metrics;infomap_prob_pred_mean;infomap_prob_pred;grace,enc:gcn_ncn,pred:mlp,sbm+random_mean;grace,enc:gcn_ncn,pred:mlp,sbm+random;grace,enc:gcn_ncn,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_ncn,pred:mlp,sbm_fast+random;leiden_prob_pred_mean;leiden_prob_pred;grace,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;grace,enc:gcn_ncn,pred:mlp,sbm_fast2
Hits@10;44.63$\pm$1.74;"[0.47362637 0.42417582 0.43736264 0.45164835 0.45934066 0.44615385
 0.41648352 0.46593407 0.45494505 0.43296703]";62.54$\pm$4.98;"[0.66373626 0.55494505 0.66813187 0.68351648 0.58351648 0.63296703
 0.56703297 0.56153846 0.67472527 0.66373626]";46.16$\pm$7.01;"[0.54835165 0.49010989 0.37142857 0.54285714 0.42197802 0.52857143
 0.34395604 0.3967033  0.50549451 0.46703297]";44.63$\pm$1.74;"[0.47362637 0.42417582 0.43736264 0.45164835 0.45934066 0.44615385
 0.41648352 0.46593407 0.45494505 0.43296703]";51.89$\pm$7.2;"[0.58351648 0.51208791 0.65274725 0.52747253 0.45824176 0.57252747
 0.44285714 0.52197802 0.52967033 0.38791209]"
Hits@20;45.81$\pm$1.23;"[0.47582418 0.43846154 0.45164835 0.45494505 0.46813187 0.45934066
 0.44945055 0.47582418 0.46483516 0.44285714]";72.31$\pm$3.51;"[0.72967033 0.75934066 0.72857143 0.76153846 0.7010989  0.71538462
 0.65384615 0.67692308 0.76483516 0.73956044]";60.65$\pm$5.35;"[0.66703297 0.57912088 0.54725275 0.67032967 0.5989011  0.65164835
 0.52307692 0.57582418 0.68021978 0.57142857]";45.81$\pm$1.23;"[0.47582418 0.43846154 0.45164835 0.45494505 0.46813187 0.45934066
 0.44945055 0.47582418 0.46483516 0.44285714]";63.88$\pm$5.77;"[0.68241758 0.64505495 0.72087912 0.67692308 0.57362637 0.67472527
 0.63516484 0.62197802 0.64945055 0.50769231]"
Hits@50;47.44$\pm$1.43;"[0.49340659 0.45714286 0.46153846 0.47472527 0.49010989 0.46923077
 0.47032967 0.49340659 0.48241758 0.45164835]";83.31$\pm$2.04;"[0.85054945 0.84505495 0.85274725 0.85824176 0.82087912 0.81538462
 0.79340659 0.81318681 0.84945055 0.83186813]";81.11$\pm$2.84;"[0.82197802 0.79010989 0.82307692 0.86483516 0.81758242 0.82087912
 0.76483516 0.83186813 0.80659341 0.76923077]";47.44$\pm$1.43;"[0.49340659 0.45714286 0.46153846 0.47472527 0.49010989 0.46923077
 0.47032967 0.49340659 0.48241758 0.45164835]";80.19$\pm$3.43;"[0.80879121 0.81208791 0.85714286 0.82527473 0.79010989 0.82527473
 0.76483516 0.78901099 0.81868132 0.72747253]"
Hits@100;50.66$\pm$1.38;"[0.52417582 0.48241758 0.49450549 0.4989011  0.52197802 0.5021978
 0.50659341 0.52857143 0.50769231 0.4989011 ]";90.91$\pm$1.3;"[0.90659341 0.91648352 0.92637363 0.91318681 0.89340659 0.91758242
 0.88571429 0.90549451 0.92747253 0.8989011 ]";90.79$\pm$1.48;"[0.91538462 0.9        0.91648352 0.93076923 0.91098901 0.91868132
 0.88571429 0.90989011 0.91208791 0.87912088]";50.66$\pm$1.38;"[0.52417582 0.48241758 0.49450549 0.4989011  0.52197802 0.5021978
 0.50659341 0.52857143 0.50769231 0.4989011 ]";88.85$\pm$2.47;"[0.8989011  0.9032967  0.91318681 0.8956044  0.9010989  0.9021978
 0.85494505 0.89120879 0.8956044  0.82857143]"
ROCAUC;72.19$\pm$1.21;"[0.72497645 0.70835527 0.7179197  0.72962927 0.73961357 0.69489192
 0.72384374 0.73424949 0.72406823 0.72153242]";96.13$\pm$0.45;"[0.96264219 0.96249366 0.96624959 0.96610434 0.96044379 0.963153
 0.9505567  0.95811013 0.96524257 0.95833474]";95.98$\pm$0.44;"[0.96469871 0.95484    0.95929472 0.96539911 0.96247736 0.96254679
 0.95212655 0.96066236 0.96185036 0.95402608]";72.19$\pm$1.21;"[0.72497645 0.70835527 0.7179197  0.72962927 0.73961357 0.69489192
 0.72384374 0.73424949 0.72406823 0.72153242]";95.42$\pm$0.8;"[0.96196595 0.95553073 0.96314752 0.95781548 0.9567679  0.95789518
 0.94829006 0.9506533  0.95607418 0.93369883]"
AP;79.4$\pm$0.81;"[0.80094733 0.78348283 0.79005286 0.79697797 0.80445816 0.78011115
 0.79311987 0.80601355 0.79495468 0.78945251]";96.23$\pm$0.59;"[0.96433247 0.96175906 0.9679685  0.9698222  0.9599728  0.96412324
 0.9481131  0.95995371 0.96788069 0.9585924 ]";95.66$\pm$0.55;"[0.96223298 0.95475061 0.95404925 0.96483427 0.95901414 0.95921057
 0.94463305 0.95439473 0.96083809 0.95225227]";79.4$\pm$0.81;"[0.80094733 0.78348283 0.79005286 0.79697797 0.80445816 0.78011115
 0.79311987 0.80601355 0.79495468 0.78945251]";95.42$\pm$0.89;"[0.96156128 0.95614715 0.96368342 0.9603262  0.95375344 0.96127056
 0.94844702 0.94863677 0.95591724 0.93214138]"
pretrain_time;nan$\pm$nan;[];3164.36$\pm$105.16;"[3148.93641782 3259.81430459 3157.63431358 3151.75146294 3313.23787785
 3195.61185908 3016.25226402 2970.32935238 3133.8726964  3296.19081187]";33.87$\pm$0.05;"[33.84796429 33.91740704 33.89939046 33.89473963 33.94023705 33.8898778
 33.82989979 33.75527549 33.84051776 33.88637805]";nan$\pm$nan;[];5.58$\pm$0.02;"[5.57192945 5.59470081 5.57620001 5.59110999 5.60798597 5.57633448
 5.57627368 5.52793527 5.58017254 5.56782866]"
