metrics;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_ncn,pred:mlp,sbm_mean;grace,enc:gcn_ncn,pred:mlp,sbm;grace,enc:gcn_ncn,pred:mlp,sbm+random_mean;grace,enc:gcn_ncn,pred:mlp,sbm+random;grace,enc:gcn_ncn,pred:mlp,sbm+deg_mean;grace,enc:gcn_ncn,pred:mlp,sbm+deg;grace,enc:gcn_ncn,pred:mlp,sbm+evc_mean;grace,enc:gcn_ncn,pred:mlp,sbm+evc;grace,enc:gcn_ncn,pred:mlp,sbm+pr_mean;grace,enc:gcn_ncn,pred:mlp,sbm+pr;bgrl,enc:gcn_ncn,pred:mlp,sbm_mean;bgrl,enc:gcn_ncn,pred:mlp,sbm;bgrl,enc:gcn_ncn,pred:mlp,sbm+random_mean;bgrl,enc:gcn_ncn,pred:mlp,sbm+random;bgrl,enc:gcn_ncn,pred:mlp,sbm+deg_mean;bgrl,enc:gcn_ncn,pred:mlp,sbm+deg;bgrl,enc:gcn_ncn,pred:mlp,sbm+evc_mean;bgrl,enc:gcn_ncn,pred:mlp,sbm+evc;bgrl,enc:gcn_ncn,pred:mlp,sbm+pr_mean;bgrl,enc:gcn_ncn,pred:mlp,sbm+pr;lbgrl,enc:gcn_ncn,pred:mlp,sbm_mean;lbgrl,enc:gcn_ncn,pred:mlp,sbm;lbgrl,enc:gcn_ncn,pred:mlp,sbm+random_mean;lbgrl,enc:gcn_ncn,pred:mlp,sbm+random;lbgrl,enc:gcn_ncn,pred:mlp,sbm+deg_mean;lbgrl,enc:gcn_ncn,pred:mlp,sbm+deg;lbgrl,enc:gcn_ncn,pred:mlp,sbm+evc_mean;lbgrl,enc:gcn_ncn,pred:mlp,sbm+evc;lbgrl,enc:gcn_ncn,pred:mlp,sbm+pr_mean;lbgrl,enc:gcn_ncn,pred:mlp,sbm+pr
Hits@10;14.85$\pm$2.84;"[0.12705882 0.14588235 0.18823529 0.10352941 0.19529412 0.13411765
 0.13882353 0.17647059 0.15294118 0.12235294]";68.47$\pm$3.88;"[0.72941176 0.69882353 0.62823529 0.73882353 0.69411765 0.69176471
 0.62588235 0.72235294 0.64470588 0.67294118]";63.51$\pm$8.39;"[0.67294118 0.64705882 0.62588235 0.65882353 0.52235294 0.71294118
 0.57647059 0.72       0.47058824 0.74352941]";75.15$\pm$3.59;"[0.78117647 0.71058824 0.75529412 0.77647059 0.78117647 0.80470588
 0.71294118 0.68470588 0.75058824 0.75764706]";57.81$\pm$10.07;"[0.53176471 0.39294118 0.55529412 0.55294118 0.55764706 0.73176471
 0.60235294 0.55529412 0.53176471 0.76941176]";74.61$\pm$3.36;"[0.76941176 0.74117647 0.71058824 0.76705882 0.76       0.8
 0.71529412 0.73411765 0.68470588 0.77882353]";56.87$\pm$3.91;"[0.59294118 0.56       0.55764706 0.6        0.6        0.49882353
 0.58352941 0.61882353 0.49882353 0.57647059]";70.99$\pm$5.89;"[0.73411765 0.63058824 0.58823529 0.72705882 0.71294118 0.72235294
 0.68941176 0.80705882 0.75764706 0.72941176]";77.62$\pm$4.69;"[0.83764706 0.72941176 0.69882353 0.80470588 0.74823529 0.76235294
 0.75529412 0.85882353 0.76235294 0.80470588]";45.11$\pm$6.34;"[0.50823529 0.37882353 0.39764706 0.53882353 0.37411765 0.53176471
 0.40235294 0.51294118 0.46352941 0.40235294]";41.95$\pm$6.81;"[0.44941176 0.30823529 0.31764706 0.49647059 0.39058824 0.50588235
 0.35529412 0.45411765 0.45176471 0.46588235]";45.81$\pm$5.86;"[0.44235294 0.46823529 0.43529412 0.6        0.40470588 0.43294118
 0.45882353 0.38117647 0.44       0.51764706]";61.34$\pm$5.59;"[0.71294118 0.56470588 0.53176471 0.60705882 0.63058824 0.67294118
 0.59529412 0.59764706 0.54823529 0.67294118]";48.94$\pm$4.82;"[0.48705882 0.44       0.48470588 0.53882353 0.44705882 0.52941176
 0.40941176 0.58117647 0.48235294 0.49411765]";63.22$\pm$4.53;"[0.68235294 0.64235294 0.6        0.63294118 0.62352941 0.66117647
 0.62588235 0.69411765 0.52235294 0.63764706]";59.36$\pm$8.43;"[0.73176471 0.61882353 0.60235294 0.57647059 0.62117647 0.58823529
 0.70823529 0.49647059 0.56235294 0.43058824]"
Hits@20;28.4$\pm$3.52;"[0.32235294 0.29411765 0.27294118 0.25647059 0.28941176 0.27294118
 0.29176471 0.34823529 0.28235294 0.20941176]";79.27$\pm$4.33;"[0.79294118 0.82588235 0.75294118 0.83529412 0.78823529 0.84941176
 0.76705882 0.84941176 0.73176471 0.73411765]";73.32$\pm$6.88;"[0.72470588 0.72470588 0.72235294 0.75058824 0.64941176 0.78117647
 0.71764706 0.84705882 0.6        0.81411765]";84.24$\pm$1.49;"[0.85176471 0.84941176 0.82588235 0.84       0.83294118 0.84
 0.82588235 0.87764706 0.83058824 0.84941176]";71.84$\pm$5.15;"[0.72941176 0.70588235 0.68470588 0.67764706 0.65647059 0.76470588
 0.72       0.77647059 0.65176471 0.81647059]";82.68$\pm$3.44;"[0.87529412 0.84235294 0.76941176 0.84941176 0.79764706 0.84470588
 0.77882353 0.86823529 0.81176471 0.83058824]";67.98$\pm$2.69;"[0.66352941 0.64235294 0.66823529 0.67529412 0.67529412 0.67529412
 0.72705882 0.73176471 0.65882353 0.68      ]";79.55$\pm$3.62;"[0.80705882 0.77647059 0.73882353 0.80705882 0.73176471 0.80235294
 0.80470588 0.86117647 0.80470588 0.82117647]";84.85$\pm$2.75;"[0.89647059 0.84941176 0.84       0.86823529 0.82117647 0.82352941
 0.81647059 0.89176471 0.82588235 0.85176471]";59.72$\pm$3.85;"[0.59529412 0.57882353 0.52705882 0.64       0.54823529 0.65411765
 0.61411765 0.61647059 0.57176471 0.62588235]";56.75$\pm$5.99;"[0.54823529 0.46352941 0.47058824 0.64235294 0.54117647 0.63058824
 0.59764706 0.57647059 0.57411765 0.63058824]";59.72$\pm$5.61;"[0.6        0.66352941 0.54117647 0.68470588 0.54588235 0.59058824
 0.55529412 0.62117647 0.51058824 0.65882353]";72.21$\pm$5.17;"[0.77176471 0.70823529 0.65411765 0.75764706 0.68470588 0.74588235
 0.64235294 0.80470588 0.68705882 0.76470588]";61.67$\pm$5.32;"[0.66117647 0.57647059 0.56235294 0.69411765 0.56470588 0.68235294
 0.54823529 0.67529412 0.59294118 0.60941176]";75.27$\pm$4.58;"[0.79529412 0.79058824 0.71529412 0.77882353 0.73882353 0.72470588
 0.74352941 0.80705882 0.64941176 0.78352941]";69.58$\pm$5.39;"[0.75764706 0.67764706 0.67058824 0.76941176 0.69882353 0.68941176
 0.76235294 0.68941176 0.66117647 0.58117647]"
Hits@50;47.18$\pm$5.16;"[0.41647059 0.52235294 0.43058824 0.41882353 0.48705882 0.48705882
 0.44941176 0.59294118 0.47058824 0.44235294]";90.02$\pm$2.26;"[0.91058824 0.89411765 0.90352941 0.92       0.88470588 0.91294118
 0.89411765 0.92235294 0.84235294 0.91764706]";86.16$\pm$3.96;"[0.85882353 0.85882353 0.83294118 0.90352941 0.78823529 0.88470588
 0.85411765 0.89411765 0.81647059 0.92470588]";92.33$\pm$1.62;"[0.95529412 0.94117647 0.91294118 0.90823529 0.92235294 0.91764706
 0.90823529 0.93647059 0.90117647 0.92941176]";87.27$\pm$2.53;"[0.86117647 0.88235294 0.87058824 0.92       0.86117647 0.87529412
 0.85411765 0.89882353 0.82117647 0.88235294]";90.75$\pm$2.05;"[0.92235294 0.90117647 0.88470588 0.92941176 0.88705882 0.91529412
 0.88941176 0.93882353 0.88       0.92705882]";80.47$\pm$3.32;"[0.77882353 0.76470588 0.78823529 0.85176471 0.79764706 0.82588235
 0.77882353 0.86117647 0.76941176 0.83058824]";88.19$\pm$2.18;"[0.91294118 0.90117647 0.84235294 0.89176471 0.85176471 0.86823529
 0.89176471 0.89411765 0.86823529 0.89647059]";91.93$\pm$2.26;"[0.94823529 0.92470588 0.88705882 0.94117647 0.91058824 0.89411765
 0.92470588 0.93411765 0.88470588 0.94352941]";76.59$\pm$4.02;"[0.75529412 0.75294118 0.68470588 0.80235294 0.72235294 0.80705882
 0.77176471 0.80705882 0.74352941 0.81176471]";75.6$\pm$3.63;"[0.75058824 0.72941176 0.68941176 0.77882353 0.72470588 0.80705882
 0.75294118 0.78823529 0.73411765 0.80470588]";77.67$\pm$4.3;"[0.78352941 0.80235294 0.73882353 0.80705882 0.68941176 0.81411765
 0.76705882 0.78352941 0.73647059 0.84470588]";83.51$\pm$2.62;"[0.85647059 0.83294118 0.79529412 0.84470588 0.80705882 0.81411765
 0.83764706 0.87764706 0.81411765 0.87058824]";77.79$\pm$3.6;"[0.79058824 0.74117647 0.73647059 0.82352941 0.74117647 0.79058824
 0.76235294 0.84235294 0.74588235 0.80470588]";85.84$\pm$3.1;"[0.87529412 0.89411765 0.81647059 0.85647059 0.83058824 0.85882353
 0.84235294 0.88705882 0.81411765 0.90823529]";82.96$\pm$3.4;"[0.87529412 0.84941176 0.77176471 0.86117647 0.80941176 0.84235294
 0.85647059 0.84941176 0.78823529 0.79294118]"
Hits@100;63.58$\pm$4.44;"[0.6        0.65176471 0.58588235 0.62117647 0.63764706 0.64
 0.64235294 0.75529412 0.60941176 0.61411765]";96.35$\pm$1.19;"[0.97411765 0.96       0.97411765 0.96705882 0.95294118 0.96470588
 0.96705882 0.97647059 0.93411765 0.96470588]";93.76$\pm$1.66;"[0.92       0.92       0.93176471 0.94117647 0.91294118 0.93176471
 0.94352941 0.95529412 0.95294118 0.96705882]";96.54$\pm$1.08;"[0.97647059 0.96941176 0.96470588 0.94588235 0.97411765 0.96
 0.97411765 0.97411765 0.94588235 0.96941176]";93.25$\pm$1.43;"[0.94117647 0.93647059 0.92       0.96       0.92235294 0.93647059
 0.94117647 0.94117647 0.91529412 0.91058824]";94.96$\pm$1.23;"[0.95294118 0.94352941 0.94117647 0.96       0.93647059 0.94117647
 0.95294118 0.97176471 0.93176471 0.96470588]";88.66$\pm$1.8;"[0.86823529 0.86352941 0.87529412 0.91294118 0.86588235 0.88941176
 0.88705882 0.91764706 0.88705882 0.89882353]";93.08$\pm$1.34;"[0.94588235 0.95294118 0.91764706 0.93882353 0.91058824 0.93411765
 0.93176471 0.93411765 0.91058824 0.93176471]";95.11$\pm$1.13;"[0.96470588 0.95294118 0.93882353 0.95764706 0.94352941 0.94117647
 0.95058824 0.95529412 0.93411765 0.97176471]";85.11$\pm$2.09;"[0.85647059 0.84705882 0.81882353 0.87529412 0.81647059 0.85411765
 0.85176471 0.87764706 0.83764706 0.87529412]";84.24$\pm$2.24;"[0.84235294 0.83058824 0.81647059 0.86588235 0.80235294 0.85411765
 0.84       0.87294118 0.82823529 0.87058824]";88.68$\pm$3.04;"[0.88941176 0.88941176 0.86823529 0.90117647 0.81882353 0.91058824
 0.89411765 0.92       0.85411765 0.92235294]";89.84$\pm$2.01;"[0.92705882 0.90588235 0.88       0.90117647 0.86823529 0.88941176
 0.89176471 0.92941176 0.87529412 0.91529412]";86.73$\pm$2.3;"[0.87294118 0.86117647 0.83764706 0.89176471 0.83529412 0.87058824
 0.84       0.90588235 0.86823529 0.88941176]";91.06$\pm$2.13;"[0.93882353 0.92941176 0.89411765 0.90588235 0.88       0.89176471
 0.90823529 0.93411765 0.88705882 0.93647059]";89.76$\pm$2.47;"[0.92470588 0.90588235 0.87294118 0.92       0.89647059 0.88235294
 0.92941176 0.91529412 0.84941176 0.88      ]"
ROCAUC;77.91$\pm$2.03;"[0.77329273 0.79947958 0.76625416 0.76033851 0.77157603 0.78143114
 0.77164262 0.83153495 0.76360969 0.77169188]";96.18$\pm$0.65;"[0.96545882 0.96317232 0.96105438 0.96975028 0.95609323 0.96509343
 0.96031077 0.96954464 0.946209   0.96142297]";94.48$\pm$1.1;"[0.94070588 0.94157509 0.93733629 0.94527747 0.92905105 0.94538408
 0.94658158 0.96080277 0.93402907 0.96729972]";96.79$\pm$0.47;"[0.97419516 0.97329827 0.96561043 0.96346837 0.96758047 0.96821038
 0.96674806 0.97136609 0.95760277 0.97122689]";93.72$\pm$1.07;"[0.94144221 0.9367308  0.93983907 0.95326859 0.92843507 0.94584913
 0.94507214 0.94034602 0.91387682 0.92735014]";95.86$\pm$0.72;"[0.95943529 0.95762491 0.95259711 0.96667037 0.94873474 0.95878754
 0.95260821 0.97069619 0.95162353 0.96760784]";91.02$\pm$0.95;"[0.90476955 0.90122076 0.90385128 0.92010544 0.89895117 0.91203322
 0.90824639 0.93056886 0.90359031 0.91844258]";94.56$\pm$0.98;"[0.95280277 0.95711003 0.92205882 0.94918424 0.93644284 0.94625329
 0.94857381 0.95558754 0.94299792 0.94529412]";95.87$\pm$0.69;"[0.96787266 0.96198201 0.95104883 0.96262486 0.95103219 0.95404291
 0.95616537 0.96370381 0.94948651 0.96929412]";89.04$\pm$1.48;"[0.8952083  0.88127336 0.86567148 0.90708657 0.86851831 0.90028512
 0.88845172 0.90829066 0.88297855 0.90622409]";88.51$\pm$1.59;"[0.88757924 0.87060484 0.85956715 0.90300777 0.86392342 0.8965481
 0.88443951 0.90365675 0.87729273 0.90391597]";91.5$\pm$1.82;"[0.9231391  0.91760277 0.90886238 0.92785239 0.86987236 0.92856471
 0.91289678 0.92383668 0.89964844 0.93735014]";91.63$\pm$1.48;"[0.93670311 0.91750865 0.89726415 0.92174806 0.90781909 0.91261453
 0.90592675 0.93998616 0.89472664 0.92867787]";90.09$\pm$1.4;"[0.91013426 0.88420761 0.88526637 0.91273585 0.88332408 0.90401107
 0.89059378 0.92468374 0.89806505 0.91554062]";92.94$\pm$1.15;"[0.94433218 0.94006367 0.91787458 0.93142619 0.91833518 0.92206505
 0.92465039 0.94114879 0.91098685 0.94295798]";91.8$\pm$1.45;"[0.9408     0.92166644 0.90565483 0.928596   0.91394007 0.91302976
 0.93853496 0.92182145 0.89436678 0.90139496]"
AP;77.13$\pm$1.85;"[0.75367438 0.78590733 0.76496132 0.750698   0.77366805 0.77442772
 0.76496571 0.8185812  0.76708688 0.75935436]";96.22$\pm$0.58;"[0.96641888 0.96519559 0.96063174 0.97075555 0.95863404 0.9649533
 0.95719418 0.96705316 0.9493248  0.96171196]";94.79$\pm$1.28;"[0.94791816 0.94371343 0.94554551 0.95076536 0.93014618 0.95264067
 0.94906852 0.96252643 0.92534783 0.97126862]";97.02$\pm$0.4;"[0.9749069  0.97385115 0.96778117 0.96875642 0.97143049 0.97068966
 0.96565541 0.97134411 0.96200939 0.97512722]";93.8$\pm$0.89;"[0.93976644 0.92862146 0.93446764 0.95181306 0.9294235  0.94804597
 0.94549478 0.93462636 0.92348894 0.94472747]";96.39$\pm$0.52;"[0.96752606 0.96465977 0.9554877  0.96876911 0.9600957  0.96602243
 0.95849785 0.96880103 0.95759287 0.97113199]";92.45$\pm$0.7;"[0.92196168 0.91779489 0.9212433  0.93377786 0.92056048 0.92295746
 0.92337642 0.93795809 0.91433598 0.930576  ]";95.54$\pm$0.74;"[0.96160015 0.96036499 0.93592997 0.95844555 0.94919819 0.95500629
 0.95696393 0.96205129 0.9559879  0.95817702]";96.54$\pm$0.66;"[0.97312048 0.96845003 0.95367322 0.96828479 0.96254674 0.95921757
 0.96300017 0.97174182 0.95933448 0.9751155 ]";90.16$\pm$1.41;"[0.90759842 0.88627608 0.87491076 0.92087077 0.88729081 0.91379976
 0.90054629 0.9118587  0.89868231 0.91444609]";89.53$\pm$1.65;"[0.89991285 0.87225274 0.86522069 0.91689559 0.88289699 0.91147346
 0.89411139 0.9064964  0.89259725 0.91144438]";91.52$\pm$1.62;"[0.92119012 0.91801044 0.90808251 0.93635975 0.88017762 0.92548965
 0.91248436 0.91842003 0.8965331  0.93500122]";93.27$\pm$1.07;"[0.94676932 0.93066906 0.91694661 0.93583788 0.92640982 0.93253781
 0.9241052  0.94927277 0.91981802 0.94424319]";91.32$\pm$1.26;"[0.92214497 0.89953066 0.89807097 0.92799477 0.89930428 0.92012099
 0.8999691  0.93250695 0.91072044 0.92197604]";94.02$\pm$0.96;"[0.95256703 0.94806494 0.93478254 0.94136497 0.9315584  0.93813781
 0.9397312  0.9468107  0.91893657 0.95045573]";93.09$\pm$1.29;"[0.94899259 0.93494299 0.92117669 0.94187109 0.93211732 0.92569206
 0.9502603  0.92856106 0.91442828 0.91055171]"
pretrain_time;nan$\pm$nan;[];62.02$\pm$0.48;"[62.67858195 62.39903021 62.19054246 62.15317512 62.09076738 62.30275178
 62.41403079 61.38611531 61.32921505 61.28054953]";10.34$\pm$0.02;"[10.3216579  10.3200984  10.34399796 10.36839581 10.34631586 10.3361187
 10.33377147 10.38222551 10.3582046  10.33859658]";72.47$\pm$0.36;"[71.43323803 72.38001323 72.66592526 72.52451873 72.48064113 72.51226926
 72.67206216 72.74840069 72.69872665 72.59344506]";25.75$\pm$0.84;"[25.262779   25.16992044 27.47870946 27.31334424 25.74737692 25.35496926
 25.25931287 25.3311398  25.23663497 25.32449818]";42.77$\pm$0.16;"[42.58458614 42.8253665  42.92970371 42.67943406 42.69990706 42.78525329
 43.11480713 42.79314351 42.79406357 42.5151751 ]";6.28$\pm$0.05;"[6.33042574 6.3176949  6.33875585 6.22525144 6.2949903  6.20476866
 6.23352337 6.22853518 6.29425073 6.30604744]";55.81$\pm$1.08;"[55.06790805 55.2723155  56.28558445 57.63943291 54.63143492 57.36124563
 55.328058   56.90124583 54.85042548 54.73141456]";7.69$\pm$0.08;"[7.58244586 7.73336196 7.66402936 7.63148713 7.61910772 7.63397455
 7.72586679 7.86285877 7.75801516 7.70868134]";70.04$\pm$0.16;"[70.19263458 69.86087346 70.24208736 70.07579446 70.20389724 70.07217169
 70.03815317 70.06519389 69.91931129 69.70991468]";11.06$\pm$0.06;"[11.20441628 11.00692725 11.02889752 11.01155853 11.04901195 11.01761651
 11.05958223 11.0923574  11.08668637 11.01319671]";40.5$\pm$1.12;"[39.62313795 40.11698103 40.39580083 42.57806945 42.75848746 39.87420559
 39.9721005  40.39075971 39.83259749 39.47894025]";7.65$\pm$0.12;"[7.81958389 7.83809066 7.7728529  7.51366186 7.55212688 7.53976941
 7.58465242 7.66716242 7.60534072 7.57028866]";4.43$\pm$0.03;"[4.47973514 4.40257692 4.44049335 4.42416835 4.41680503 4.39468455
 4.45850658 4.42446613 4.46959043 4.42603254]";25.92$\pm$0.18;"[25.87606883 25.75879622 25.87102032 25.74960065 25.7507298  26.17554069
 25.73856163 26.2008574  25.98648739 26.11965585]";45.8$\pm$0.71;"[45.74252129 45.67385221 45.88178754 47.704072   45.28540993 45.13315487
 45.24497771 46.06023335 45.27602482 45.97580457]"
