metrics;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fix+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fix+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fix+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fix+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fix+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fix+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm+random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fix+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fix+random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random
Hits@10;29.32$\pm$5.21;"[0.36911891 0.20958084 0.27887083 0.35329341 0.2994012  0.29811805
 0.30196749 0.30795552 0.19546621 0.31864842]";62.32$\pm$3.79;"[0.57185629 0.62788708 0.58511548 0.55431993 0.63473054 0.65269461
 0.62532079 0.64371257 0.66167665 0.67450813]";43.22$\pm$6.85;"[0.44183062 0.28314799 0.44696322 0.48887938 0.40718563 0.46706587
 0.47134303 0.48502994 0.50042772 0.33019675]";45.43$\pm$6.08;"[0.50556031 0.44568007 0.44140291 0.50513259 0.43969204 0.47134303
 0.4679213  0.50983747 0.46834902 0.28828058]";67.33$\pm$3.7;"[0.68391788 0.63601369 0.70915312 0.61633875 0.64542344 0.7326775
 0.62917023 0.68434559 0.70402053 0.69204448]";59.07$\pm$5.97;"[0.47134303 0.57613345 0.49230111 0.59709153 0.64157399 0.60222412
 0.60863986 0.62745937 0.62189906 0.6685201 ]";48.7$\pm$9.22;"[0.47690334 0.25834046 0.53250642 0.5641574  0.58768178 0.48460222
 0.54576561 0.39007699 0.51539778 0.51411463]";51.15$\pm$5.17;"[0.47733105 0.39178785 0.51582549 0.56757913 0.55389222 0.50940975
 0.52523524 0.49272883 0.5855432  0.49529512]";61.78$\pm$5.57;"[0.57014542 0.47091531 0.61377246 0.64756202 0.6150556  0.64841745
 0.64841745 0.64114628 0.65868263 0.66424294]";68.46$\pm$5.18;"[0.66509837 0.54619333 0.71899059 0.70145423 0.72840034 0.65611634
 0.71984602 0.68092387 0.71257485 0.71685201]";50.02$\pm$11.43;"[0.4037639  0.48417451 0.26988879 0.59452524 0.5988024  0.58939264
 0.54961506 0.65825492 0.38579983 0.46749358]";55.63$\pm$6.89;"[0.54790419 0.53892216 0.46578272 0.60863986 0.67493584 0.6201882
 0.53378956 0.54106074 0.59965783 0.43199316]";69.88$\pm$4.3;"[0.66552609 0.63259196 0.6201882  0.74465355 0.71343028 0.70744226
 0.69632164 0.73396065 0.72540633 0.74850299]";62.72$\pm$3.62;"[0.57827203 0.57100086 0.62318221 0.59923011 0.67493584 0.6578272
 0.61462789 0.61719418 0.66894782 0.66638152]";47.29$\pm$8.55;"[0.50384944 0.42130026 0.31864842 0.46578272 0.60821215 0.36526946
 0.50855432 0.43413174 0.56843456 0.53507271]";48.41$\pm$5.62;"[0.54704876 0.38964927 0.44739093 0.46834902 0.49957228 0.54833191
 0.50769889 0.53635586 0.50727117 0.38964927]";63.04$\pm$5.17;"[0.63430282 0.57784431 0.55004277 0.71171942 0.66381523 0.62275449
 0.56372968 0.61890505 0.67365269 0.68733961]"
Hits@20;45.19$\pm$4.41;"[0.40975192 0.36184773 0.41616766 0.52352438 0.48075278 0.45508982
 0.44054748 0.49144568 0.46920445 0.4704876 ]";68.78$\pm$3.2;"[0.62617622 0.68391788 0.65397776 0.65141146 0.7005988  0.713858
 0.7005988  0.70958084 0.70230967 0.7352438 ]";56.53$\pm$3.04;"[0.5748503  0.52480753 0.53721129 0.61676647 0.58682635 0.52865697
 0.54576561 0.57570573 0.60650128 0.5560308 ]";56.34$\pm$2.91;"[0.61206159 0.51026518 0.5508982  0.60222412 0.57271172 0.572284
 0.57827203 0.55731394 0.53977759 0.53806672]";73.41$\pm$2.02;"[0.73738238 0.71727973 0.75149701 0.70958084 0.70701454 0.76988879
 0.72241232 0.72668948 0.75919589 0.74037639]";67.25$\pm$4.86;"[0.60051326 0.63986313 0.57955518 0.67707442 0.68862275 0.73053892
 0.69375535 0.67450813 0.72027374 0.72070145]";59.55$\pm$6.05;"[0.61248931 0.43113772 0.58254919 0.63515825 0.66509837 0.57784431
 0.61933276 0.58468777 0.61291702 0.63387511]";62.19$\pm$3.7;"[0.59837468 0.57313944 0.58896493 0.68135158 0.66680924 0.60564585
 0.58939264 0.62360992 0.67493584 0.61719418]";69.91$\pm$2.57;"[0.68905047 0.64157399 0.68691189 0.70573139 0.68477331 0.7219846
 0.70958084 0.69461078 0.7433704  0.71300257]";76.14$\pm$2.53;"[0.75919589 0.69931565 0.77331052 0.7754491  0.7540633  0.74978614
 0.75106929 0.76860565 0.79298546 0.79041916]";63.98$\pm$6.35;"[0.59495295 0.59837468 0.50513259 0.69674936 0.71000855 0.69760479
 0.66210436 0.70573139 0.59452524 0.63301967]";67.14$\pm$3.88;"[0.67023097 0.66082121 0.58126604 0.6899059  0.72797263 0.6817793
 0.66295979 0.71856287 0.67835757 0.64242943]";77.1$\pm$2.08;"[0.78186484 0.73310522 0.74294269 0.78314799 0.78314799 0.74807528
 0.77502139 0.78357571 0.77758768 0.80153978]";69.89$\pm$3.32;"[0.67707442 0.63558597 0.73139435 0.68648417 0.71556886 0.72497861
 0.65953807 0.68819504 0.72797263 0.74208725]";60.44$\pm$3.9;"[0.62403764 0.58340462 0.53849444 0.60735672 0.64328486 0.53806672
 0.59153122 0.64670659 0.64585115 0.6257485 ]";59.72$\pm$3.86;"[0.5988024  0.49700599 0.60393499 0.58682635 0.63130881 0.61591104
 0.59794696 0.65355004 0.59452524 0.59195894]";71.03$\pm$2.35;"[0.72968349 0.68520103 0.67878529 0.74037639 0.71514115 0.72326775
 0.68905047 0.68049615 0.71856287 0.74208725]"
Hits@50;62.04$\pm$3.76;"[0.61035073 0.57271172 0.62959795 0.68905047 0.59153122 0.58725406
 0.58041061 0.62104363 0.66894782 0.65312233]";76.07$\pm$1.88;"[0.72284003 0.77844311 0.7540633  0.73396065 0.7540633  0.77159966
 0.76988879 0.76646707 0.76903336 0.78656972]";70.85$\pm$2.79;"[0.69803251 0.64798973 0.72241232 0.73053892 0.72027374 0.67151411
 0.69717707 0.73182207 0.73053892 0.73481608]";71.7$\pm$2.73;"[0.73909324 0.66210436 0.71471343 0.76304534 0.69888794 0.71856287
 0.69546621 0.71941831 0.71086399 0.74807528]";79.69$\pm$1.14;"[0.78656972 0.78485885 0.80453379 0.80496151 0.78656972 0.82463644
 0.79213003 0.79255774 0.79640719 0.79555175]";75.66$\pm$2.58;"[0.71770744 0.71685201 0.72668948 0.77972626 0.76005133 0.78314799
 0.76218991 0.75620188 0.77373824 0.78956373]";75.23$\pm$2.41;"[0.76304534 0.69375535 0.74721985 0.75705731 0.76903336 0.72882806
 0.7459367  0.76689478 0.77074423 0.78058169]";75.06$\pm$2.04;"[0.72497861 0.72668948 0.73738238 0.77630453 0.77502139 0.75106929
 0.72882806 0.74935843 0.78272027 0.7540633 ]";77.14$\pm$1.61;"[0.75705731 0.73738238 0.76518392 0.78357571 0.76817793 0.79255774
 0.7754491  0.76347305 0.79255774 0.77844311]";81.81$\pm$1.07;"[0.81180496 0.79982891 0.81736527 0.83019675 0.80153978 0.82677502
 0.82677502 0.81266039 0.82506416 0.8289136 ]";78.06$\pm$2.4;"[0.7673225  0.73353293 0.73952096 0.80239521 0.79084688 0.79769033
 0.78528657 0.80068435 0.79512404 0.79341317]";78.93$\pm$1.75;"[0.76218991 0.77288281 0.77715997 0.8075278  0.79811805 0.79726262
 0.79041916 0.81650984 0.7673225  0.80367836]";82.27$\pm$1.13;"[0.83661249 0.79512404 0.820787   0.82805817 0.81180496 0.82848589
 0.82677502 0.82121471 0.82378101 0.83404619]";76.93$\pm$2.23;"[0.75876818 0.72583405 0.78828058 0.77159966 0.77502139 0.78999145
 0.73823781 0.77502139 0.7673225  0.80325064]";73.55$\pm$2.36;"[0.74721985 0.6899059  0.73866553 0.77844311 0.71941831 0.72583405
 0.71257485 0.73994867 0.74465355 0.75876818]";73.9$\pm$2.05;"[0.74807528 0.70230967 0.71599658 0.77159966 0.74251497 0.73224979
 0.72754491 0.75449102 0.76518392 0.73011121]";78.67$\pm$1.28;"[0.80410607 0.76090676 0.77887083 0.80239521 0.786142   0.79854577
 0.77887083 0.78485885 0.77715997 0.79469632]"
Hits@100;71.55$\pm$2.17;"[0.71642429 0.70359281 0.72797263 0.74208725 0.68220701 0.68520103
 0.69289991 0.72968349 0.7352438  0.73952096]";80.3$\pm$0.93;"[0.79298546 0.81180496 0.78956373 0.80025663 0.79469632 0.80923867
 0.81180496 0.80881095 0.79341317 0.81693755]";79.51$\pm$1.71;"[0.7887083  0.76090676 0.80966638 0.81693755 0.79127459 0.77758768
 0.78357571 0.80025663 0.80667237 0.81565441]";80.08$\pm$1.9;"[0.79854577 0.76047904 0.80838323 0.82763045 0.79384089 0.79726262
 0.78314799 0.80923867 0.80111206 0.82848589]";82.99$\pm$0.86;"[0.82848589 0.82164243 0.83276305 0.83532934 0.820787   0.85243798
 0.8289136  0.82634731 0.82463644 0.82720274]";80.83$\pm$2.21;"[0.75919589 0.78913601 0.80153978 0.82378101 0.80581694 0.83875107
 0.81180496 0.80538922 0.8100941  0.83746792]";82.13$\pm$0.94;"[0.81608212 0.80239521 0.820787   0.82634731 0.82591959 0.82292558
 0.80838323 0.82549187 0.83019675 0.83490163]";81.94$\pm$1.02;"[0.81266039 0.80624465 0.81565441 0.83618477 0.82121471 0.82249786
 0.81052181 0.80710009 0.82763045 0.83404619]";81.57$\pm$0.67;"[0.80538922 0.80624465 0.81266039 0.82677502 0.81094953 0.81993157
 0.81779299 0.81394354 0.82121471 0.82207015]";84.56$\pm$0.97;"[0.84088965 0.8289136  0.84088965 0.85329341 0.83361848 0.84944397
 0.85799829 0.84003422 0.85329341 0.85799829]";83.52$\pm$0.76;"[0.82934132 0.82420873 0.82591959 0.84388366 0.82677502 0.84602224
 0.84003422 0.83875107 0.83575706 0.84174508]";83.99$\pm$0.93;"[0.82934132 0.83704021 0.82335329 0.84687767 0.83490163 0.8502994
 0.83789564 0.85072712 0.83575706 0.85243798]";84.63$\pm$0.7;"[0.85158255 0.83532934 0.84088965 0.84858854 0.83832335 0.85457656
 0.85414885 0.83832335 0.84773311 0.85329341]";80.95$\pm$1.43;"[0.80410607 0.78272027 0.81993157 0.80923867 0.80923867 0.8314799
 0.79041916 0.81308811 0.80710009 0.82763045]";81.04$\pm$1.82;"[0.81864842 0.7780154  0.81094953 0.83618477 0.78956373 0.81522669
 0.79041916 0.8075278  0.82976903 0.82763045]";81.06$\pm$1.57;"[0.81266039 0.7754491  0.80624465 0.83575706 0.7994012  0.81993157
 0.80239521 0.81522669 0.82677502 0.81223268]";82.31$\pm$0.7;"[0.83233533 0.80795552 0.82249786 0.83233533 0.81907613 0.82720274
 0.82506416 0.82292558 0.81608212 0.82591959]"
ROCAUC;89.04$\pm$0.47;"[0.89256444 0.88163463 0.89503114 0.89423341 0.88450003 0.89107749
 0.8859835  0.88912771 0.89389003 0.89618521]";92.54$\pm$0.58;"[0.92546125 0.93484585 0.91887763 0.91678491 0.92252907 0.92509061
 0.93273297 0.93258625 0.92247437 0.92310094]";90.42$\pm$0.25;"[0.90426241 0.90256088 0.90040165 0.90742665 0.89941951 0.90482789
 0.90744229 0.9044395  0.90503324 0.90587037]";90.52$\pm$0.34;"[0.9084203  0.90309324 0.89883629 0.90781659 0.89972548 0.90944294
 0.90651076 0.90588803 0.90602505 0.90635745]";92.47$\pm$0.36;"[0.92433452 0.92192692 0.92071807 0.92779146 0.92021322 0.93114852
 0.92657499 0.92747964 0.92644529 0.92032189]";91.56$\pm$0.33;"[0.91175275 0.91737526 0.9106716  0.91919918 0.91146242 0.92077979
 0.91695486 0.91855559 0.91436789 0.91513917]";90.62$\pm$0.31;"[0.90782428 0.90155471 0.90582323 0.90649484 0.902092   0.90720292
 0.91300571 0.90385464 0.90807655 0.90588949]";90.66$\pm$0.37;"[0.9060867  0.90359724 0.90410706 0.9124514  0.90313431 0.90939428
 0.91307633 0.9020331  0.90595892 0.90572503]";91.11$\pm$0.31;"[0.91024083 0.91069992 0.91037822 0.91328717 0.90622391 0.9184665
 0.91180397 0.91210043 0.90846311 0.90929924]";92.13$\pm$0.43;"[0.92288142 0.91758216 0.92154871 0.92737207 0.913082   0.92130172
 0.92417938 0.91572376 0.92511083 0.92403522]";92.19$\pm$0.39;"[0.92360614 0.92301569 0.91119183 0.92118592 0.92109143 0.926294
 0.92532313 0.92269207 0.92136118 0.92364062]";92.26$\pm$0.52;"[0.91889824 0.9195818  0.91559353 0.91950945 0.91683384 0.92980171
 0.92833708 0.9304248  0.92175139 0.92570575]";91.75$\pm$0.5;"[0.91904167 0.91287537 0.90884534 0.91529248 0.91251031 0.92160714
 0.9261546  0.91868987 0.92260929 0.91689787]";91.97$\pm$0.75;"[0.91259044 0.92167876 0.91642902 0.91104879 0.91281381 0.93658808
 0.92341048 0.92780509 0.91744459 0.917556  ]";92.2$\pm$0.39;"[0.92017764 0.9268934  0.91682278 0.92199507 0.91511228 0.92454911
 0.92049888 0.92861881 0.9221094  0.922992  ]";92.46$\pm$0.39;"[0.92659173 0.92673059 0.92335977 0.9206531  0.92044592 0.93033114
 0.9255293  0.93084612 0.91913177 0.92215816]";92.04$\pm$0.59;"[0.9193126  0.9251658  0.91262844 0.91625218 0.91965178 0.92786454
 0.92678739 0.92884511 0.91469023 0.91325598]"
AP;91.36$\pm$0.52;"[0.91669663 0.90306108 0.91631611 0.91951578 0.90654422 0.91339109
 0.91077045 0.91511328 0.91413775 0.92058942]";94.67$\pm$0.36;"[0.94169483 0.95167837 0.94272152 0.94186184 0.9454288  0.94799077
 0.95086879 0.95140317 0.94625527 0.94750437]";93.31$\pm$0.32;"[0.93491207 0.92713083 0.92994787 0.93793407 0.92909175 0.93349428
 0.93584157 0.93495805 0.93448513 0.93337363]";93.47$\pm$0.34;"[0.93832944 0.93115164 0.92854638 0.93922909 0.93136589 0.93827475
 0.93557119 0.93669124 0.93414753 0.93411962]";94.89$\pm$0.27;"[0.94901349 0.94607232 0.94729425 0.95056559 0.94552483 0.95464035
 0.95029971 0.95009053 0.94954036 0.94559922]";94.23$\pm$0.34;"[0.93558237 0.94141456 0.93772991 0.94604907 0.94096068 0.94687482
 0.94284183 0.94488316 0.94230341 0.94438893]";93.72$\pm$0.35;"[0.93942361 0.92818416 0.93656009 0.93874209 0.93666282 0.93631065
 0.94198573 0.93603351 0.93925636 0.93866882]";93.7$\pm$0.33;"[0.93667483 0.93046009 0.93474142 0.94255372 0.93647298 0.94019347
 0.94072386 0.93437367 0.93704202 0.93664672]";94.13$\pm$0.23;"[0.93928966 0.93887768 0.94046465 0.94362735 0.93842491 0.94643471
 0.94206751 0.9420645  0.94089756 0.94102623]";94.87$\pm$0.27;"[0.94848673 0.94486071 0.9486239  0.95306692 0.94434058 0.94905389
 0.95077742 0.94605417 0.95077808 0.95053606]";94.49$\pm$0.45;"[0.9438842  0.94497344 0.93396276 0.94584532 0.94574876 0.9503809
 0.94949494 0.94864885 0.94053758 0.9456054 ]";94.61$\pm$0.36;"[0.94521985 0.94295036 0.9403365  0.94605621 0.94358885 0.95191019
 0.9501281  0.95142887 0.94565292 0.94420351]";94.72$\pm$0.29;"[0.94879491 0.94374647 0.9421236  0.94708827 0.94464872 0.94994714
 0.95232951 0.94803324 0.94766512 0.94742383]";94.51$\pm$0.41;"[0.9412744  0.94331975 0.94445067 0.94042545 0.94254872 0.95552143
 0.94607795 0.94830735 0.94483123 0.94473859]";94.29$\pm$0.29;"[0.94404732 0.94006415 0.93725498 0.9459505  0.94050935 0.94226361
 0.94268553 0.94681512 0.94585835 0.94391262]";94.44$\pm$0.36;"[0.94737768 0.93844571 0.94325077 0.94503294 0.94267839 0.94967841
 0.94514869 0.9497647  0.94314579 0.93953208]";94.6$\pm$0.28;"[0.94668337 0.94644472 0.94129226 0.94568735 0.9454859  0.94917502
 0.94893046 0.95048369 0.94363733 0.94265962]"
pretrain_time;nan$\pm$nan;[];17.19$\pm$1.06;"[16.81977415 16.74969697 16.4753232  17.3576448  19.55741096 18.2877965
 17.93057036 16.6794045  15.84654212 16.20216751]";17.51$\pm$1.07;"[16.58561611 17.19536304 17.31328464 17.19481778 20.08405066 18.37208152
 18.23172617 17.19084477 16.1716485  16.73198247]";2.6$\pm$0.04;"[2.61106944 2.56849456 2.65564895 2.62782049 2.59606409 2.53230977
 2.58158994 2.59237003 2.61227465 2.66661143]";2.9$\pm$0.16;"[2.86980724 2.73270249 2.86705828 2.8547976  2.76247859 2.69779325
 2.89408469 3.00696182 3.00525284 3.29537797]";16.89$\pm$1.08;"[16.40423036 16.47882867 15.98223758 16.44059777 19.44418859 17.94300008
 17.66200185 16.59719324 15.58751774 16.40363216]";17.46$\pm$1.06;"[16.85387683 17.03155351 16.82247329 16.96598482 20.04696274 18.4617753
 18.19846892 17.12312984 16.36910605 16.74779439]";2.85$\pm$0.08;"[3.06813335 2.85211682 2.82466602 2.8142333  2.77376842 2.76188469
 2.86578798 2.78988862 2.84177494 2.89112139]";3.01$\pm$0.1;"[3.19606233 2.9281261  3.06392193 3.05366087 2.94558549 2.90491557
 2.91923785 2.91460752 3.00425076 3.1284163 ]";17.81$\pm$1.0;"[17.37561369 17.24689794 17.16906857 17.54574752 20.26558566 18.74978852
 18.4427824  17.36627412 16.66126585 17.32511091]";18.37$\pm$1.0;"[17.7496326  17.96208739 17.50614214 18.04955792 20.81663752 19.36611748
 18.98531675 17.66996956 17.56665301 18.06693697]";3.79$\pm$0.11;"[3.90211987 3.67659259 3.89672494 3.89318585 3.70414686 3.68862343
 3.64580226 3.70005035 3.89130855 3.93161321]";4.02$\pm$0.18;"[4.14349461 4.13131762 4.15228987 4.06459546 3.78003836 3.76938653
 3.78364754 3.99372959 4.30750251 4.03854513]";17.01$\pm$0.98;"[16.61137676 16.5457232  16.22010517 16.77123761 19.27125478 18.04996467
 17.73358059 16.65530396 15.85226846 16.40043664]";17.51$\pm$0.97;"[16.6558578  17.07690358 16.77590489 17.25858712 19.77301502 18.55291367
 18.19547391 17.29226279 16.51947737 17.04536271]";2.94$\pm$0.11;"[3.10795259 3.13092232 2.99778557 2.97373819 2.85131264 2.856565
 2.80419564 2.86139393 2.86441231 2.95792699]";3.15$\pm$0.14;"[3.14368415 2.92641973 3.1118722  3.34962654 3.07173777 3.25968122
 3.00980783 3.05511093 3.16447735 3.38914084]"
