metrics;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fix+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fix+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fix+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fix+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fix+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fix+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm+random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fix+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fix+random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random
Hits@10;0.77$\pm$0.28;"[0.00777977 0.00239378 0.01047277 0.00718133 0.005386   0.00927588
 0.00987433 0.0122681  0.00777977 0.00448833]";21.38$\pm$4.06;"[0.22292041 0.15559545 0.26600838 0.21514063 0.16008378 0.19748654
 0.17414722 0.24805506 0.21903052 0.27977259]";21.6$\pm$4.83;"[0.21543986 0.19269898 0.25044883 0.25433872 0.10712148 0.17713944
 0.19688809 0.26511071 0.22262118 0.2785757 ]";21.98$\pm$3.67;"[0.1780371  0.16636744 0.26750449 0.24506284 0.1780371  0.23758229
 0.21932974 0.22740874 0.20047876 0.2785757 ]";21.86$\pm$4.33;"[0.19120287 0.20257331 0.19060443 0.28785159 0.21693597 0.1807301
 0.17923399 0.22621185 0.19868342 0.31178935]";22.34$\pm$3.45;"[0.21484141 0.20466786 0.21035308 0.21514063 0.20526631 0.22112507
 0.24446439 0.23967684 0.16935966 0.30879713]";18.62$\pm$3.25;"[0.19958109 0.16965889 0.17085577 0.2241173  0.14661879 0.16397367
 0.21005386 0.23070018 0.21514063 0.13165769]";19.27$\pm$4.44;"[0.10712148 0.22561341 0.16906044 0.1929982  0.21454219 0.20466786
 0.17564333 0.20676242 0.14961101 0.28067026]";21.59$\pm$5.08;"[0.20736086 0.20526631 0.2758827  0.27259126 0.22262118 0.21095153
 0.15200479 0.15529623 0.15529623 0.30131658]";21.2$\pm$6.25;"[0.20167564 0.165769   0.24685817 0.28007181 0.19329743 0.16397367
 0.17713944 0.24685817 0.10891682 0.33542789]";21.42$\pm$3.96;"[0.22471574 0.15709156 0.2663076  0.22321963 0.13704369 0.22232196
 0.20556553 0.23429084 0.20347098 0.26840215]";20.66$\pm$4.5;"[0.21932974 0.20137642 0.21962896 0.21244764 0.12417714 0.16098145
 0.24147217 0.21633752 0.17205266 0.29862358]";21.54$\pm$4.32;"[0.25493716 0.17324955 0.22890485 0.21005386 0.21125075 0.18850987
 0.12956314 0.22651107 0.23429084 0.2962298 ]";20.62$\pm$4.37;"[0.17684022 0.19210054 0.24955117 0.19479354 0.16965889 0.17504488
 0.19718731 0.21693597 0.17235189 0.31747457]";19.51$\pm$4.75;"[0.11849192 0.2106523  0.19718731 0.26211849 0.16427289 0.13285458
 0.19239976 0.21633752 0.18102932 0.27558348]";20.71$\pm$3.87;"[0.19688809 0.15948534 0.19748654 0.22621185 0.20047876 0.1508079
 0.21304608 0.20047876 0.22681029 0.29922202]";21.21$\pm$5.18;"[0.23279473 0.19898265 0.20825853 0.22531418 0.18641532 0.11699581
 0.19389587 0.24805506 0.18102932 0.32914423]"
Hits@20;1.99$\pm$0.68;"[0.01705566 0.01436266 0.02842609 0.0203471  0.01675643 0.01436266
 0.03470975 0.02184321 0.02064632 0.01077199]";30.32$\pm$4.01;"[0.32256134 0.2390784  0.36056254 0.28426092 0.25493716 0.28994614
 0.27678037 0.30580491 0.33213645 0.36564931]";30.45$\pm$3.51;"[0.30191502 0.28904847 0.34260922 0.33123878 0.25822861 0.24117295
 0.30221424 0.3192699  0.29593058 0.36355476]";31.71$\pm$3.49;"[0.28545781 0.31867145 0.35338121 0.35996409 0.2636146  0.32375823
 0.33722322 0.30789946 0.26301616 0.35816876]";30.84$\pm$3.6;"[0.30819868 0.28276481 0.31837223 0.34619988 0.25792938 0.30490724
 0.24835428 0.33871933 0.30999402 0.36894075]";31.62$\pm$3.09;"[0.29802513 0.30730102 0.33662478 0.32076601 0.29832436 0.28366248
 0.30999402 0.31478157 0.2935368  0.39856373]";26.63$\pm$3.4;"[0.25074806 0.30191502 0.24775583 0.334231   0.25014961 0.26062238
 0.26511071 0.2839617  0.26959904 0.19928187]";28.42$\pm$3.28;"[0.23937762 0.29712747 0.26929982 0.28156792 0.27707959 0.26241771
 0.28845003 0.27618193 0.27887493 0.37193297]";29.87$\pm$4.23;"[0.28007181 0.32076601 0.34530221 0.33572711 0.28306403 0.31597846
 0.26511071 0.22082585 0.25763016 0.36295631]";30.48$\pm$6.24;"[0.29682825 0.28306403 0.37372831 0.36624776 0.25912627 0.27438659
 0.25643327 0.35248354 0.18821065 0.39796529]";30.22$\pm$3.76;"[0.2989228  0.27049671 0.32944345 0.37013764 0.25852783 0.27019749
 0.27827648 0.28845003 0.29174147 0.36535009]";30.23$\pm$3.61;"[0.29503291 0.30969479 0.32764811 0.30041891 0.26989826 0.26600838
 0.32226212 0.2935368  0.25254339 0.38569719]";31.74$\pm$4.53;"[0.31149013 0.28725314 0.32315978 0.326152   0.32435667 0.28485937
 0.2241173  0.35098743 0.33243567 0.40873728]";30.91$\pm$4.57;"[0.2812687  0.34410533 0.33093956 0.33871933 0.28725314 0.24207062
 0.29263914 0.32076601 0.25074806 0.40245362]";28.9$\pm$4.69;"[0.24476361 0.26750449 0.28276481 0.37342908 0.26391382 0.22710952
 0.29443447 0.28007181 0.27917415 0.37701975]";28.84$\pm$3.59;"[0.26152005 0.28845003 0.27199282 0.32764811 0.25733094 0.23788151
 0.27289048 0.30341113 0.29503291 0.36774387]";29.75$\pm$4.26;"[0.2785757  0.27348893 0.31627768 0.32345901 0.2839617  0.21394375
 0.28426092 0.33273489 0.28456014 0.38360263]"
Hits@50;4.44$\pm$0.69;"[0.03321364 0.03919808 0.04697786 0.04727708 0.04667864 0.04548175
 0.0598444  0.04248953 0.04578097 0.03710353]";47.95$\pm$3.38;"[0.47187313 0.43925793 0.49640934 0.53620586 0.43267504 0.46768402
 0.44284859 0.47875524 0.50688211 0.52214243]";46.89$\pm$3.87;"[0.47486535 0.45302214 0.47935368 0.52513465 0.40754039 0.48025135
 0.39706762 0.46648713 0.50927588 0.49640934]";47.8$\pm$2.55;"[0.44105326 0.47606224 0.48563734 0.51555955 0.45870736 0.48922801
 0.44344704 0.46828247 0.48114901 0.52124476]";47.94$\pm$2.88;"[0.48533812 0.44075404 0.48533812 0.50927588 0.45751047 0.46050269
 0.4401556  0.48055057 0.50059844 0.53441053]";45.69$\pm$2.24;"[0.44284859 0.45481747 0.46259725 0.49072412 0.4320766  0.45601436
 0.43895871 0.43147816 0.45751047 0.50239378]";42.22$\pm$2.96;"[0.39437463 0.43058049 0.43536804 0.48982645 0.41412328 0.42220227
 0.39766607 0.44853381 0.40694195 0.38240575]";43.58$\pm$2.98;"[0.41651706 0.43327349 0.42818671 0.47785757 0.40754039 0.41651706
 0.39646918 0.44344704 0.44075404 0.49790545]";45.95$\pm$3.18;"[0.48444045 0.45421903 0.47785757 0.50628366 0.4443447  0.4225015
 0.42429683 0.41023339 0.47187313 0.49850389]";46.41$\pm$4.53;"[0.47366846 0.42070616 0.50718133 0.53949731 0.45391981 0.43656493
 0.42848594 0.47037702 0.38958707 0.52124476]";46.03$\pm$2.85;"[0.47247157 0.46020347 0.47247157 0.5176541  0.42489527 0.43417115
 0.42429683 0.44075404 0.46588869 0.49012567]";45.86$\pm$2.33;"[0.47217235 0.46588869 0.46977858 0.48473968 0.44075404 0.41831239
 0.42429683 0.45302214 0.46349491 0.49311789]";47.16$\pm$3.41;"[0.46169958 0.43297427 0.45751047 0.51256732 0.49102334 0.47037702
 0.41561939 0.45451825 0.48294434 0.53680431]";45.34$\pm$3.1;"[0.44165171 0.45122681 0.47785757 0.49072412 0.42818671 0.42639138
 0.41741472 0.48862956 0.41382406 0.49820467]";44.59$\pm$2.96;"[0.40783962 0.42309994 0.47456613 0.48533812 0.40424895 0.42130461
 0.4497307  0.46858169 0.43925793 0.48473968]";43.96$\pm$3.38;"[0.41083184 0.42369838 0.47187313 0.48264512 0.39138241 0.43237582
 0.39916218 0.43626571 0.45032914 0.49700778]";45.57$\pm$2.6;"[0.45541592 0.45870736 0.45721125 0.46708558 0.43087971 0.43058049
 0.40394973 0.47785757 0.47875524 0.49670856]"
Hits@100;9.26$\pm$1.86;"[0.07301017 0.0733094  0.09275883 0.09275883 0.11430281 0.09874327
 0.13494913 0.07630162 0.08138839 0.08886894]";61.06$\pm$3.38;"[0.61699581 0.59874327 0.64302813 0.64901257 0.57540395 0.57241173
 0.56343507 0.59156194 0.62956314 0.66606822]";60.06$\pm$3.12;"[0.60472771 0.62268103 0.60083782 0.63225613 0.54548175 0.60203471
 0.54368642 0.59305805 0.62417714 0.63674446]";61.57$\pm$1.84;"[0.59305805 0.62687014 0.63345302 0.63105925 0.60861759 0.60891682
 0.57719928 0.61639737 0.62178336 0.64003591]";61.42$\pm$3.27;"[0.6128067  0.56134051 0.62657092 0.66397367 0.58587672 0.60712148
 0.57869539 0.60113704 0.65858767 0.64631957]";59.67$\pm$3.12;"[0.58228606 0.59634949 0.60801915 0.62507481 0.56193896 0.56044285
 0.55834829 0.59156194 0.62507481 0.65798923]";56.63$\pm$2.13;"[0.55176541 0.56283662 0.56912029 0.62627169 0.56163974 0.54997008
 0.54608019 0.56612807 0.56313585 0.56582885]";58.38$\pm$3.41;"[0.56463196 0.58258528 0.58497905 0.63165769 0.55595452 0.57241173
 0.5272292  0.60083782 0.5679234  0.64961101]";60.29$\pm$2.47;"[0.59994016 0.60293238 0.63464991 0.64093357 0.57989228 0.57151406
 0.5679234  0.58946738 0.61579892 0.62627169]";62.24$\pm$2.35;"[0.61490126 0.62537403 0.62896469 0.66187911 0.60383004 0.58647516
 0.60023938 0.60981448 0.63195691 0.66068223]";60.1$\pm$2.37;"[0.6059246  0.58856972 0.58886894 0.62836625 0.57450628 0.57660084
 0.56941951 0.6128067  0.62387792 0.64063435]";60.12$\pm$2.84;"[0.59994016 0.5978456  0.63016158 0.63614602 0.57181329 0.57510473
 0.54578097 0.59964093 0.62836625 0.62687014]";61.64$\pm$2.63;"[0.58318372 0.6059246  0.59904249 0.65649312 0.61340515 0.60263315
 0.58497905 0.61909037 0.63644524 0.663076  ]";59.99$\pm$3.08;"[0.5882705  0.59634949 0.63195691 0.62447636 0.54278875 0.56882107
 0.57390784 0.62417714 0.6005386  0.64721724]";59.09$\pm$2.45;"[0.57301017 0.58767205 0.62208259 0.62178336 0.54937163 0.56104129
 0.57779773 0.59814482 0.59754638 0.62028725]";58.31$\pm$2.66;"[0.56343507 0.58228606 0.59874327 0.60831837 0.54608019 0.58078995
 0.53171753 0.59694794 0.60981448 0.61310592]";60.09$\pm$2.86;"[0.58737283 0.60742071 0.61340515 0.64003591 0.5625374  0.57719928
 0.55356074 0.60293238 0.63435069 0.6304608 ]"
ROCAUC;77.62$\pm$2.32;"[0.75234689 0.7612638  0.76943611 0.79191712 0.81942969 0.75630919
 0.81577972 0.76006631 0.76332121 0.77165588]";93.84$\pm$0.31;"[0.93390779 0.93653046 0.94121718 0.9439944  0.93934522 0.93539236
 0.93576372 0.9366667  0.93876468 0.94201987]";93.45$\pm$0.22;"[0.93587053 0.93181248 0.93526406 0.93826939 0.93462062 0.93433319
 0.92989232 0.9356162  0.93604878 0.93372788]";93.45$\pm$0.22;"[0.93247232 0.93252203 0.93765828 0.9382133  0.93536275 0.93536584
 0.93104193 0.93510233 0.93372604 0.93384667]";93.64$\pm$0.38;"[0.93689544 0.93349804 0.93500611 0.9450894  0.93772622 0.93481181
 0.93027221 0.93503585 0.94032811 0.93577414]";93.63$\pm$0.33;"[0.93438594 0.93567371 0.93375054 0.94245366 0.93770927 0.9295674
 0.93672831 0.93541382 0.93782811 0.939278  ]";92.6$\pm$0.26;"[0.92348943 0.92610666 0.92538452 0.93229463 0.92697871 0.92469089
 0.9274431  0.9259318  0.92623187 0.92172271]";92.81$\pm$0.34;"[0.92336156 0.92807301 0.92618888 0.93432404 0.93267818 0.92510217
 0.92579671 0.92606295 0.92827447 0.93142467]";93.78$\pm$0.29;"[0.93703057 0.93387408 0.93524629 0.94264571 0.940547   0.93570961
 0.93819038 0.93447889 0.93930544 0.94134774]";94.01$\pm$0.26;"[0.94135015 0.93742866 0.94412103 0.94255358 0.93634309 0.93766348
 0.93708989 0.9421508  0.94212326 0.94055399]";93.67$\pm$0.23;"[0.93771727 0.93827968 0.93697209 0.93803398 0.93532186 0.93488902
 0.93146237 0.93892386 0.93577788 0.93980585]";93.73$\pm$0.25;"[0.93637651 0.93852859 0.93990873 0.93923956 0.93377671 0.93635166
 0.932627   0.93626607 0.93906224 0.94065298]";93.67$\pm$0.41;"[0.93640609 0.93700221 0.93985992 0.93254322 0.93141391 0.93790735
 0.9294412  0.93999129 0.9431808  0.9394944 ]";94.03$\pm$0.32;"[0.93835363 0.94100191 0.94337984 0.94362895 0.93826405 0.93499009
 0.93659544 0.94032142 0.94067444 0.94567122]";93.36$\pm$0.22;"[0.93383428 0.93262983 0.93505218 0.93588046 0.93234749 0.93171054
 0.92863837 0.93463746 0.93493839 0.9366082 ]";93.36$\pm$0.29;"[0.93140895 0.93209863 0.93322432 0.93772221 0.93576707 0.93243728
 0.92732382 0.93364295 0.93678186 0.93547855]";93.89$\pm$0.29;"[0.93936828 0.93740619 0.93866491 0.94347383 0.93997877 0.9326746
 0.93608209 0.93983245 0.94190678 0.93987877]"
AP;72.08$\pm$2.73;"[0.6933607  0.69626506 0.7201193  0.73492335 0.7672184  0.70469154
 0.77370713 0.70544937 0.70234405 0.70991422]";93.82$\pm$0.43;"[0.93650174 0.93546617 0.94256636 0.9432757  0.93435539 0.93298607
 0.93364248 0.93745341 0.93960517 0.94646466]";93.57$\pm$0.43;"[0.93744208 0.93298365 0.93783764 0.94105576 0.92889372 0.93448993
 0.92825697 0.93714924 0.93873825 0.94047036]";93.68$\pm$0.32;"[0.93091143 0.93588707 0.94016847 0.94204135 0.93471838 0.93748423
 0.93378399 0.93711937 0.93599405 0.94037021]";93.78$\pm$0.44;"[0.93784979 0.93405836 0.93627633 0.9458567  0.93710961 0.93546737
 0.92919435 0.93828354 0.94126478 0.94256489]";93.67$\pm$0.37;"[0.93457436 0.93677967 0.93474645 0.94262758 0.93524201 0.93098662
 0.93585207 0.9367794  0.93539573 0.94435025]";92.73$\pm$0.36;"[0.92470205 0.92876317 0.92690139 0.93591897 0.92576883 0.9251216
 0.9264657  0.92886499 0.92844609 0.92171108]";93.03$\pm$0.45;"[0.92398799 0.93226402 0.92762076 0.93669075 0.93242374 0.92577982
 0.9265371  0.92998205 0.92930183 0.93858826]";93.81$\pm$0.41;"[0.93807462 0.93646878 0.93943312 0.94536747 0.93941448 0.9347162
 0.93322987 0.9329343  0.93711196 0.94463333]";93.98$\pm$0.42;"[0.94103998 0.93752494 0.9445192  0.94617041 0.93557044 0.93514785
 0.93551391 0.94283288 0.9354859  0.94424418]";93.71$\pm$0.34;"[0.9380508  0.9369468  0.93911396 0.941039   0.93155025 0.93462566
 0.93199832 0.93753172 0.93764499 0.94264619]";93.71$\pm$0.37;"[0.93732068 0.939294   0.9401866  0.9406684  0.93046184 0.9332029
 0.93401807 0.93473518 0.93852946 0.94303233]";93.82$\pm$0.49;"[0.93802501 0.936776   0.93989607 0.93825304 0.93491967 0.9367325
 0.92693314 0.94192515 0.94331014 0.94567786]";93.86$\pm$0.5;"[0.93640169 0.94039794 0.94293948 0.94374054 0.93449382 0.93034802
 0.93437277 0.94138532 0.93506047 0.94691573]";93.35$\pm$0.42;"[0.92863875 0.93268815 0.93676471 0.93888434 0.92833484 0.9299068
 0.93075928 0.93532396 0.93234568 0.94153386]";93.42$\pm$0.41;"[0.92979262 0.93243679 0.93506527 0.93975072 0.93183011 0.93149321
 0.92755103 0.93471969 0.93836244 0.94056771]";93.86$\pm$0.41;"[0.93798093 0.93707538 0.93912862 0.94391931 0.9376146  0.92979348
 0.93425486 0.94061066 0.94163815 0.94369663]"
pretrain_time;nan$\pm$nan;[];15.81$\pm$1.87;"[17.79663134 17.15311575 16.63883495 13.79112959 12.58090901 17.87321472
 12.91133642 16.24745512 16.43885088 16.63204503]";15.95$\pm$1.78;"[17.31297016 17.08699417 16.75692368 13.61682129 13.14100957 18.23736668
 13.22191143 16.51232243 16.75507236 16.86083341]";2.42$\pm$0.03;"[2.38904715 2.40967441 2.37877965 2.43664289 2.42834353 2.4139483
 2.47684216 2.42388248 2.43096542 2.42830467]";2.51$\pm$0.06;"[2.45668411 2.45676112 2.61608076 2.4958837  2.49417567 2.46349525
 2.59253311 2.47619796 2.47249436 2.55689001]";16.04$\pm$1.85;"[17.10232186 18.58463478 16.89390516 13.78853273 12.93668127 18.06484795
 13.5217154  16.51639581 16.5329771  16.42238593]";16.0$\pm$1.97;"[16.83908701 17.15768051 16.68956399 13.61631942 12.60441017 17.77271342
 13.0635736  18.28339934 16.83809209 17.13176346]";2.57$\pm$0.14;"[2.89754128 2.61927295 2.5876863  2.54885721 2.67685151 2.58118677
 2.45594025 2.44097805 2.43898797 2.42843246]";2.48$\pm$0.07;"[2.44742513 2.43891621 2.46269083 2.65903854 2.5117557  2.42014694
 2.50678778 2.49778318 2.44714046 2.43233538]";16.69$\pm$1.74;"[17.51724362 17.42327547 17.56991625 14.71944237 13.65411711 18.51602888
 13.88406849 17.80777764 17.85135889 17.90706015]";17.27$\pm$1.76;"[18.5899756  18.6559608  17.79224253 15.04019547 13.90347075 19.4698627
 15.22789097 17.98270988 18.1874094  17.893888  ]";3.79$\pm$0.09;"[4.00558233 3.75677252 3.69173765 3.80039549 3.82573009 3.85265708
 3.81703401 3.71800685 3.67771554 3.7437737 ]";3.78$\pm$0.11;"[3.84107161 3.78938651 3.67543769 3.93461084 4.02049446 3.65122175
 3.76991248 3.66716266 3.74507236 3.73846388]";15.77$\pm$1.74;"[16.89869118 17.01552176 16.483073   13.89364672 12.70264506 17.60854888
 12.93122387 16.6460495  16.77404237 16.69702315]";15.88$\pm$1.71;"[16.78465939 17.16886234 16.77484775 14.29076433 12.69245791 17.73496652
 13.14071679 16.70769763 16.82723761 16.72446799]";2.67$\pm$0.06;"[2.76126742 2.73790503 2.64774036 2.69587803 2.71760988 2.64512444
 2.71408081 2.63966489 2.58051658 2.55861306]";2.61$\pm$0.06;"[2.5515039  2.57615304 2.57920766 2.6140492  2.63756704 2.55146551
 2.62827826 2.75516891 2.58041358 2.58163619]"
