metrics;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_ncn,pred:mlp,sbm_mean;grace,enc:gcn_ncn,pred:mlp,sbm
Hits@10;0.95$\pm$0.48;"[0.00987433 0.002693   0.0122681  0.0203471  0.005386   0.01017355
 0.01346499 0.00508677 0.00658288 0.00867744]";14.68$\pm$2.41;"[0.12477558 0.19239976 0.17295033 0.14063435 0.10771993 0.12268103
 0.14332735 0.16606822 0.15200479 0.14572113]"
Hits@20;1.94$\pm$0.7;"[0.02274087 0.01047277 0.0272292  0.02692998 0.01406344 0.02214243
 0.02902454 0.01137044 0.00987433 0.02004788]";22.73$\pm$2.77;"[0.23219629 0.25553561 0.24476361 0.26331538 0.21932974 0.18013166
 0.19988031 0.21424297 0.26331538 0.19988031]"
Hits@50;4.99$\pm$1.27;"[0.05774985 0.04637941 0.05475763 0.06283662 0.0475763  0.0406942
 0.07480551 0.03111909 0.03321364 0.0502693 ]";38.06$\pm$3.37;"[0.41651706 0.42788749 0.36834231 0.4171155  0.36983842 0.36116098
 0.37881508 0.36535009 0.39437463 0.30670257]"
Hits@100;9.51$\pm$2.49;"[0.09545183 0.08378217 0.09455416 0.13883902 0.08946738 0.08438061
 0.14242968 0.06283662 0.06822262 0.09096349]";51.11$\pm$4.25;"[0.54219031 0.54817475 0.51705566 0.55056852 0.55356074 0.48264512
 0.52902454 0.46499102 0.50718133 0.41591861]"
ROCAUC;77.85$\pm$2.55;"[0.758471   0.75981174 0.76252735 0.81903143 0.80788942 0.7552686
 0.82166753 0.75873173 0.76399271 0.7778109 ]";91.35$\pm$1.71;"[0.92458148 0.92433246 0.91794076 0.93000947 0.92440694 0.91376542
 0.92408374 0.89511327 0.90968241 0.87102868]"
AP;72.42$\pm$3.0;"[0.70791019 0.70087753 0.71475334 0.77591755 0.74783146 0.69971372
 0.77752867 0.69651378 0.6981494  0.72309294]";91.27$\pm$1.51;"[0.92335709 0.9242719  0.91682397 0.92738452 0.91893136 0.91064394
 0.92180753 0.89757279 0.91133895 0.87460286]"
pretrain_time;nan$\pm$nan;[];3.79$\pm$0.03;"[3.71253252 3.76396513 3.77684402 3.78310585 3.78828049 3.80105019
 3.80855441 3.81545091 3.83527303 3.82382202]"
