metrics;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fix+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fix+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random;grace,enc:gcn_bgrl,pred:mlp,kmeans+random_mean;grace,enc:gcn_bgrl,pred:mlp,kmeans+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fix+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fix+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random;bgrl,enc:gcn_bgrl,pred:mlp,kmeans+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,kmeans+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fix+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fix+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random;lgrace,enc:gcn_bgrl,pred:mlp,kmeans+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,kmeans+random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm+random
Hits@10;21.24$\pm$4.13;"[0.22989378 0.23141123 0.26403642 0.18437026 0.19575114 0.20713202
 0.22534143 0.2754173  0.18740516 0.12367223]";26.01$\pm$3.4;"[0.30121396 0.24734446 0.29969651 0.31487102 0.27769347 0.24051593
 0.21623672 0.25037936 0.23596358 0.21699545]";22.06$\pm$4.7;"[0.27921093 0.2814871  0.27693475 0.18209408 0.17298938 0.18133536
 0.22306525 0.26403642 0.1737481  0.17147193]";21.93$\pm$3.97;"[0.23823976 0.2693475  0.22989378 0.22003035 0.18285281 0.15629742
 0.21927162 0.28907436 0.22003035 0.16843703]";24.09$\pm$3.43;"[0.24582701 0.26176024 0.22382398 0.31790592 0.21016692 0.19575114
 0.22989378 0.21168437 0.23748103 0.27465857]";75.07$\pm$6.73;"[0.84977238 0.80349014 0.63429439 0.79438543 0.81562974 0.68437026
 0.75493171 0.75569044 0.75569044 0.6585736 ]";11.33$\pm$1.63;"[0.11532625 0.13657056 0.10546282 0.10698027 0.09256449 0.09332322
 0.12215478 0.12746586 0.09559939 0.13732929]";14.44$\pm$1.93;"[0.13050076 0.16388467 0.13808801 0.14719272 0.15553869 0.11608498
 0.15781487 0.16616085 0.10849772 0.16009105]";14.3$\pm$2.11;"[0.15022762 0.17754173 0.13657056 0.12974203 0.14339909 0.14339909
 0.14188164 0.176783   0.10318665 0.12746586]";11.0$\pm$1.62;"[0.13125948 0.09711684 0.09332322 0.10698027 0.12215478 0.08649469
 0.12063733 0.13505311 0.09408194 0.11305008]";17.96$\pm$1.56;"[0.16919575 0.16236722 0.15705615 0.19499241 0.19650986 0.16388467
 0.19347496 0.18512898 0.17223065 0.20106222]";16.1$\pm$1.15;"[0.17147193 0.17147193 0.16540212 0.14491654 0.17298938 0.14415781
 0.15174507 0.15933232 0.15250379 0.17602428]";22.81$\pm$1.87;"[0.22382398 0.26176024 0.23520486 0.18664643 0.22003035 0.24582701
 0.22685888 0.23748103 0.22534143 0.2185129 ]";22.52$\pm$1.6;"[0.22078907 0.25948407 0.2276176  0.2276176  0.21471927 0.20940819
 0.23672231 0.24051593 0.20485584 0.21016692]";15.58$\pm$1.43;"[0.13657056 0.18361153 0.1737481  0.14643399 0.14719272 0.16236722
 0.15326252 0.14339909 0.14567527 0.16616085]";28.41$\pm$3.43;"[0.27465857 0.29362671 0.30045524 0.2875569  0.29286798 0.215478
 0.35735964 0.25113809 0.29059181 0.27693475]";14.28$\pm$2.28;"[0.18209408 0.12215478 0.1168437  0.15705615 0.14946889 0.15705615
 0.1676783  0.12974203 0.10698027 0.13884674]"
Hits@20;29.94$\pm$2.94;"[0.32018209 0.29817906 0.31714719 0.27162367 0.28831563 0.30880121
 0.32549317 0.33687405 0.29742033 0.22989378]";39.23$\pm$4.13;"[0.40667678 0.36722307 0.43323217 0.46737481 0.42564492 0.37708649
 0.30804249 0.3801214  0.37784522 0.3801214 ]";30.6$\pm$2.52;"[0.32701062 0.29893778 0.34446131 0.26707132 0.26858877 0.30424886
 0.33383915 0.32473445 0.30349014 0.2875569 ]";29.99$\pm$2.9;"[0.33004552 0.30880121 0.34294385 0.2754173  0.27162367 0.2875569
 0.32701062 0.31790592 0.29210926 0.24582701]";34.3$\pm$3.46;"[0.33763278 0.31866464 0.32094082 0.42261002 0.30273141 0.35963581
 0.33763278 0.38391502 0.31562974 0.33080425]";88.81$\pm$2.89;"[0.92716237 0.89150228 0.85356601 0.90819423 0.93323217 0.8414264
 0.8892261  0.87253414 0.90060698 0.86342944]";15.17$\pm$0.78;"[0.15174507 0.15933232 0.14491654 0.15477997 0.14946889 0.15326252
 0.15022762 0.16312595 0.13353566 0.15705615]";18.18$\pm$1.08;"[0.18588771 0.18512898 0.17526555 0.19650986 0.18968134 0.1676783
 0.19195751 0.18512898 0.15933232 0.18133536]";18.15$\pm$1.54;"[0.18133536 0.20940819 0.16540212 0.18740516 0.18209408 0.17981791
 0.18664643 0.20106222 0.15629742 0.16540212]";13.83$\pm$1.04;"[0.15098634 0.13808801 0.11911988 0.14112291 0.13201821 0.12670713
 0.13960546 0.15326252 0.13277693 0.14946889]";22.21$\pm$2.72;"[0.22306525 0.19575114 0.18057663 0.23292868 0.27314112 0.19044006
 0.23748103 0.23292868 0.20637329 0.24810319]";20.37$\pm$1.53;"[0.22837633 0.2124431  0.2215478  0.17223065 0.20182094 0.19575114
 0.18968134 0.19802731 0.21016692 0.20713202]";25.99$\pm$1.44;"[0.25493171 0.2814871  0.2784522  0.23444613 0.25644917 0.26251897
 0.26024279 0.27617602 0.24734446 0.24734446]";25.9$\pm$2.17;"[0.23520486 0.27769347 0.29514416 0.25720789 0.25796662 0.23899848
 0.28831563 0.26783005 0.24051593 0.2306525 ]";18.88$\pm$1.37;"[0.18664643 0.2185129  0.18588771 0.16843703 0.18892261 0.20030349
 0.18209408 0.18588771 0.17223065 0.19878604]";34.58$\pm$3.0;"[0.32473445 0.35811836 0.36494689 0.33687405 0.36191199 0.30576631
 0.41654021 0.32094082 0.34294385 0.32473445]";17.72$\pm$1.69;"[0.20257967 0.16312595 0.14188164 0.19119879 0.17754173 0.18816388
 0.18892261 0.18133536 0.16009105 0.17754173]"
Hits@50;33.69$\pm$1.47;"[0.33687405 0.323217   0.35204856 0.3292868  0.32776935 0.35356601
 0.34522003 0.35963581 0.33080425 0.31031866]";59.58$\pm$2.24;"[0.59787557 0.59408194 0.61760243 0.6138088  0.59180577 0.62443096
 0.54248862 0.57435508 0.6047041  0.59711684]";36.02$\pm$1.79;"[0.36646434 0.33763278 0.39605463 0.34901366 0.36115326 0.3801214
 0.36646434 0.36418816 0.34522003 0.33611533]";36.21$\pm$1.22;"[0.36570561 0.34597876 0.37708649 0.35432473 0.36949924 0.37784522
 0.36722307 0.36115326 0.36418816 0.33763278]";52.06$\pm$3.03;"[0.50379363 0.52352049 0.51289833 0.5508346  0.48482549 0.56676783
 0.50227618 0.56145675 0.47116844 0.52883156]";95.08$\pm$0.72;"[0.95068285 0.94233687 0.94688923 0.94461305 0.95675266 0.9522003
 0.96889226 0.9461305  0.9522003  0.94764795]";20.84$\pm$1.56;"[0.20182094 0.2124431  0.19954476 0.19726859 0.21016692 0.20789074
 0.21775417 0.23823976 0.176783   0.22230653]";23.2$\pm$1.13;"[0.22685888 0.25189681 0.23292868 0.22382398 0.22913505 0.23748103
 0.24962064 0.22989378 0.21168437 0.22685888]";23.07$\pm$0.99;"[0.2245827  0.24203338 0.2245827  0.22685888 0.23368741 0.23520486
 0.23368741 0.25037936 0.22003035 0.215478  ]";19.28$\pm$1.03;"[0.19726859 0.19044006 0.18285281 0.18361153 0.19423369 0.17905918
 0.20713202 0.19575114 0.18512898 0.2124431 ]";30.79$\pm$2.22;"[0.31259484 0.30576631 0.29590288 0.28907436 0.33004552 0.29135053
 0.36191199 0.30576631 0.2814871  0.30500759]";27.12$\pm$2.15;"[0.29362671 0.29059181 0.30045524 0.24279211 0.25189681 0.26858877
 0.25113809 0.24582701 0.29666161 0.27086495]";29.63$\pm$1.33;"[0.29666161 0.32094082 0.31790592 0.284522   0.2875569  0.29666161
 0.29590288 0.29893778 0.28679818 0.27693475]";30.69$\pm$2.27;"[0.29590288 0.30880121 0.31638847 0.323217   0.30576631 0.30273141
 0.35811836 0.30804249 0.27617602 0.27389985]";23.81$\pm$1.28;"[0.24355083 0.26327769 0.23216995 0.24279211 0.24051593 0.24279211
 0.21623672 0.2185129  0.23672231 0.24430956]";43.71$\pm$2.84;"[0.39908953 0.44688923 0.44840668 0.42488619 0.4430956  0.42412747
 0.50682853 0.40591806 0.4461305  0.42564492]";23.25$\pm$1.73;"[0.25569044 0.2245827  0.19726859 0.24203338 0.23520486 0.25948407
 0.23520486 0.23520486 0.21623672 0.2245827 ]"
Hits@100;36.29$\pm$1.3;"[0.35735964 0.34977238 0.3831563  0.35811836 0.35811836 0.38391502
 0.36267071 0.37632777 0.35584219 0.34370258]";73.17$\pm$1.92;"[0.73823976 0.71396055 0.76024279 0.74734446 0.71775417 0.76783005
 0.72003035 0.72003035 0.71699545 0.71471927]";39.36$\pm$1.85;"[0.39150228 0.37025797 0.42033384 0.39074355 0.38998483 0.42412747
 0.40440061 0.40060698 0.37784522 0.36570561]";39.9$\pm$1.51;"[0.39984825 0.38770865 0.41426404 0.39074355 0.39453718 0.42792109
 0.40667678 0.40288316 0.39681335 0.36874052]";66.24$\pm$1.73;"[0.66236722 0.66919575 0.68057663 0.66084977 0.68209408 0.67450683
 0.65174507 0.66616085 0.61836115 0.65781487]";96.53$\pm$0.57;"[0.96433991 0.96433991 0.96661608 0.95675266 0.97192716 0.96509863
 0.97799697 0.95902883 0.96433991 0.96282246]";27.03$\pm$1.71;"[0.27086495 0.2875569  0.26327769 0.25113809 0.2754173  0.284522
 0.27389985 0.29514416 0.23368741 0.26707132]";27.72$\pm$0.95;"[0.26479514 0.28907436 0.28072838 0.27314112 0.2754173  0.28603945
 0.29059181 0.28072838 0.26100152 0.27010622]";27.47$\pm$1.24;"[0.2693475  0.27921093 0.26707132 0.26479514 0.284522   0.29590288
 0.28224583 0.28603945 0.26631259 0.25189681]";24.35$\pm$1.45;"[0.25569044 0.24127466 0.23748103 0.22913505 0.24355083 0.22837633
 0.2723824  0.25265554 0.2215478  0.25265554]";37.45$\pm$1.88;"[0.39150228 0.36267071 0.36949924 0.35356601 0.39301973 0.36039454
 0.41729894 0.36267071 0.37101669 0.36342944]";32.89$\pm$2.39;"[0.34825493 0.36039454 0.36874052 0.29817906 0.31183612 0.31714719
 0.30349014 0.31259484 0.34825493 0.32018209]";33.61$\pm$1.3;"[0.3383915  0.35735964 0.35280728 0.32397572 0.31638847 0.34901366
 0.33915023 0.33080425 0.33004552 0.323217  ]";34.64$\pm$2.15;"[0.33763278 0.33156297 0.35053111 0.37481032 0.34446131 0.34446131
 0.392261   0.34673748 0.32473445 0.31638847]";29.86$\pm$1.63;"[0.29666161 0.31714719 0.31487102 0.30045524 0.30955994 0.31714719
 0.26858877 0.28072838 0.30045524 0.27996965]";52.0$\pm$2.78;"[0.48937785 0.53566009 0.53262519 0.4939302  0.52731411 0.53262519
 0.56904401 0.46813354 0.53869499 0.51213961]";29.25$\pm$2.31;"[0.3414264  0.27010622 0.26479514 0.29135053 0.31562974 0.30349014
 0.30121396 0.29286798 0.26479514 0.27921093]"
ROCAUC;65.21$\pm$0.82;"[0.64280961 0.66025857 0.66021884 0.64909298 0.64522625 0.65999434
 0.66005017 0.6563452  0.6508187  0.63632533]";91.74$\pm$0.65;"[0.92057792 0.90889136 0.92700291 0.92139882 0.91612976 0.9220781
 0.91838867 0.92229052 0.91114157 0.90562101]";67.13$\pm$0.94;"[0.66075939 0.66211796 0.67294908 0.66446379 0.67580035 0.68425455
 0.68708336 0.6777861  0.66972893 0.65850538]";67.77$\pm$1.25;"[0.69316756 0.65832261 0.66931837 0.67185187 0.67968723 0.68937105
 0.68021396 0.69230349 0.68524363 0.65704981]";88.07$\pm$0.88;"[0.86827077 0.87880773 0.88551825 0.88848464 0.8751373  0.8815974
 0.8896849  0.89392928 0.86532424 0.88027337]";98.36$\pm$0.22;"[0.98294192 0.98462833 0.98331495 0.98333107 0.98749485 0.98062257
 0.98724789 0.98229027 0.98312369 0.98116254]";59.71$\pm$1.15;"[0.6034244  0.59490917 0.58484253 0.58195673 0.59676885 0.62018255
 0.61010728 0.60291033 0.58620376 0.59002869]";54.07$\pm$1.02;"[0.52749199 0.54784402 0.5471774  0.54038946 0.54086237 0.54619417
 0.55870681 0.54493519 0.52913574 0.52466347]";53.99$\pm$1.18;"[0.52797497 0.54859929 0.5546691  0.5422785  0.53094137 0.54750899
 0.54403946 0.55139587 0.53735268 0.51440369]";56.86$\pm$1.3;"[0.58719153 0.55416424 0.57318418 0.55446128 0.56505178 0.57179683
 0.59177526 0.57541546 0.55940295 0.55340379]";68.08$\pm$1.48;"[0.6976658  0.67662124 0.67018129 0.66152416 0.69027772 0.69467119
 0.70652872 0.67104018 0.67822441 0.66149394]";63.67$\pm$1.97;"[0.64881091 0.66848826 0.66966146 0.61665028 0.61940426 0.61912391
 0.63832403 0.6272874  0.64391614 0.61502691]";60.82$\pm$2.02;"[0.5940664  0.65231325 0.63750199 0.60459616 0.59241683 0.61473044
 0.60703669 0.59898775 0.58859631 0.59127443]";65.11$\pm$1.85;"[0.64063417 0.65053214 0.65393892 0.68640466 0.65251847 0.64806773
 0.68174753 0.63709873 0.63437504 0.62559955]";64.44$\pm$1.04;"[0.63923071 0.66317776 0.6401322  0.6415207  0.6578379  0.65738773
 0.63622113 0.63032    0.63987508 0.6380765 ]";79.83$\pm$1.81;"[0.79416092 0.79892627 0.80541228 0.7882454  0.80231578 0.79912027
 0.83216857 0.76344982 0.81895442 0.7805315 ]";64.13$\pm$2.59;"[0.68567299 0.60378591 0.59628156 0.64247285 0.65825353 0.65444608
 0.64933476 0.66358936 0.6270816  0.63169238]"
AP;72.24$\pm$0.95;"[0.71801431 0.72300074 0.73393648 0.7133088  0.71567454 0.73255477
 0.72736642 0.73494344 0.7204911  0.70437021]";91.71$\pm$0.58;"[0.92087471 0.90842415 0.92673587 0.9225999  0.91466272 0.92223132
 0.9117455  0.91945895 0.91306733 0.91113655]";73.87$\pm$0.98;"[0.7329518  0.72946187 0.74951866 0.73422004 0.73732772 0.75203201
 0.75220066 0.74531625 0.73150233 0.72278981]";74.22$\pm$0.93;"[0.75151599 0.73232037 0.7404538  0.73820785 0.74004056 0.74923469
 0.74744345 0.75540743 0.745242   0.72235521]";89.04$\pm$0.8;"[0.88394931 0.89093089 0.89386093 0.90018226 0.88362345 0.89153483
 0.89545613 0.90157665 0.87352933 0.88981966]";98.48$\pm$0.26;"[0.98633817 0.98599094 0.97899584 0.98557132 0.98889319 0.98345383
 0.98761094 0.98349535 0.98463055 0.98308221]";66.09$\pm$0.96;"[0.66159385 0.66427751 0.65131523 0.6474038  0.66119538 0.67445961
 0.67274084 0.67083009 0.64666628 0.6588805 ]";64.05$\pm$0.89;"[0.63009477 0.64726298 0.64106645 0.64153547 0.64185775 0.64478958
 0.65585016 0.64691358 0.62602753 0.62929577]";63.9$\pm$0.98;"[0.6296736  0.65034875 0.64284856 0.63952056 0.6381122  0.64790189
 0.6418404  0.65094025 0.63056016 0.61829548]";63.86$\pm$1.06;"[0.65440113 0.63333534 0.63666967 0.62752525 0.63774878 0.6355212
 0.65803378 0.64707768 0.62430791 0.6317454 ]";73.92$\pm$1.09;"[0.74773199 0.73529423 0.72813498 0.7258185  0.7518666  0.74329067
 0.76048444 0.73583789 0.73663053 0.72664847]";70.4$\pm$1.6;"[0.71844201 0.72982994 0.72807755 0.68204134 0.69180626 0.69200334
 0.69987633 0.69515009 0.71172577 0.69058595]";69.54$\pm$1.32;"[0.68859347 0.72235559 0.71545352 0.68785933 0.68136047 0.70130489
 0.69700911 0.69293556 0.68499883 0.68234393]";71.87$\pm$1.51;"[0.71048048 0.71757008 0.72186829 0.74430384 0.71964253 0.71529461
 0.74598194 0.71283978 0.70276396 0.69650682]";69.93$\pm$0.97;"[0.69364007 0.72079793 0.70402454 0.69708994 0.70223309 0.70921234
 0.68837705 0.68623291 0.69683337 0.69464453]";83.3$\pm$1.44;"[0.82739837 0.83645795 0.83879743 0.82477749 0.83690613 0.82960043
 0.86231412 0.80644948 0.84631085 0.82065985]";69.41$\pm$2.03;"[0.73146902 0.66706195 0.66123819 0.69736465 0.70691528 0.70558516
 0.7017428  0.70764217 0.68017245 0.68157568]"
pretrain_time;nan$\pm$nan;[];21.99$\pm$0.71;"[21.44924593 21.90445995 22.46551275 21.91529346 22.16394854 20.7145679
 21.84687519 21.48681593 22.40251923 23.54351401]";22.18$\pm$0.75;"[21.82544756 22.66932368 22.49468517 22.22975278 22.31934547 20.64563656
 21.87227941 21.56857324 22.45642161 23.67825723]";1.23$\pm$0.52;"[1.01678181 1.02145076 1.02079725 1.01361108 2.77745628 1.01624966
 1.02250957 1.1297338  1.03947377 1.21283603]";1.39$\pm$0.18;"[1.372679   1.27181768 1.25699472 1.7747283  1.46110225 1.24675488
 1.31887078 1.23840404 1.27016163 1.68091059]";1.3$\pm$0.33;"[1.16223359 1.0749104  1.05324888 1.08370328 1.32915092 1.26774144
 2.20002151 1.48238635 1.06106687 1.30594206]";21.76$\pm$0.76;"[21.35786629 21.74034739 22.16139317 21.7947731  21.91627407 20.44911432
 21.33205891 21.36201787 21.95496178 23.56825781]";21.94$\pm$0.77;"[21.21180987 22.11155128 22.39737797 22.09117436 22.22175217 20.57372785
 21.60750532 21.46140409 22.14565897 23.60973954]";1.27$\pm$0.24;"[1.85736871 1.08943987 1.41571784 1.06361723 1.05675507 1.14211774
 1.18139529 1.11056924 1.47128749 1.3466289 ]";1.67$\pm$0.24;"[1.47350764 1.58965254 1.50944543 1.91666055 1.48276114 1.90576577
 1.37870312 1.41730952 1.97288966 2.01016474]";1.41$\pm$0.27;"[1.14834785 1.44335961 1.10525608 1.58470869 1.38727689 1.63758254
 1.2757175  2.00366116 1.41607833 1.11310554]";21.75$\pm$0.84;"[20.71666241 22.1262939  22.25303936 21.59977627 22.16620827 20.37503958
 21.42190051 21.29950953 21.9794066  23.5416503 ]";22.36$\pm$1.02;"[21.10820317 23.5449605  23.80706024 22.10740662 22.53336382 20.68187428
 21.92114353 21.66914916 22.57280898 23.69942284]";1.83$\pm$0.72;"[2.94211221 2.97902036 2.13203335 1.41642261 1.23458481 1.19501305
 1.20326948 2.60311508 1.3462441  1.23581791]";2.2$\pm$0.59;"[1.83812404 3.39644957 2.86417484 2.25345087 1.4700222  1.93729401
 2.79786468 1.73305559 2.03336787 1.6882658 ]";1.73$\pm$0.45;"[1.22942352 2.62528133 2.27334332 1.90188098 1.22441483 1.44511747
 2.04942536 1.68763614 1.44331646 1.41300964]";21.82$\pm$0.74;"[20.92980528 21.92713928 22.28891921 21.87408209 21.99964404 20.75790644
 21.41410542 21.556602   21.9493947  23.55091166]"
