metrics;baseline_mean;baseline;grace_random_mean;grace_random;grace_deg_mean;grace_deg;grace_pr_mean;grace_pr;grace_evc_mean;grace_evc;grace_scom_mean;grace_scom;grace_random+scom_mean;grace_random+scom;grace_random+deg_mean;grace_random+deg;grace_deg+scom_mean;grace_deg+scom;bgrl_random_mean;bgrl_random;bgrl_deg_mean;bgrl_deg;bgrl_pr_mean;bgrl_pr;bgrl_evc_mean;bgrl_evc;bgrl_scom_mean;bgrl_scom;bgrl_random+scom_mean;bgrl_random+scom;bgrl_random+deg_mean;bgrl_random+deg;bgrl_deg+scom_mean;bgrl_deg+scom;csgcl_random_mean;csgcl_random;csgcl_deg_mean;csgcl_deg;csgcl_pr_mean;csgcl_pr;csgcl_evc_mean;csgcl_evc;csgcl_scom_mean;csgcl_scom;csgcl_random+scom_mean;csgcl_random+scom;csgcl_random+deg_mean;csgcl_random+deg;csgcl_deg+scom_mean;csgcl_deg+scom
Hits@10;23.6$\pm$2.19;"[0.24506829 0.24355083 0.23444613 0.2306525  0.26631259 0.22837633
 0.25720789 0.25644917 0.19575114 0.20182094]";28.82$\pm$3.21;"[0.30121396 0.29817906 0.31031866 0.26100152 0.30197269 0.29286798
 0.30804249 0.33080425 0.26555387 0.21168437]";24.32$\pm$2.82;"[0.25569044 0.27617602 0.2875569  0.23672231 0.23444613 0.22837633
 0.20789074 0.27086495 0.23975721 0.19423369]";28.57$\pm$2.02;"[0.30804249 0.28983308 0.2875569  0.25341426 0.31259484 0.30045524
 0.26479514 0.30500759 0.27617602 0.25948407]";28.54$\pm$2.44;"[0.30121396 0.28072838 0.27769347 0.27769347 0.30955994 0.2814871
 0.30880121 0.32245827 0.24051593 0.25341426]";29.29$\pm$2.52;"[0.31487102 0.2814871  0.30880121 0.25341426 0.31259484 0.30424886
 0.31107739 0.32245827 0.26327769 0.25644917]";28.73$\pm$2.63;"[0.31031866 0.31107739 0.30273141 0.25341426 0.30880121 0.28983308
 0.29590288 0.30880121 0.25113809 0.24127466]";26.05$\pm$3.5;"[0.25341426 0.27769347 0.30576631 0.24506829 0.323217   0.2245827
 0.28300455 0.24430956 0.20182094 0.24582701]";27.01$\pm$3.25;"[0.26176024 0.2723824  0.29893778 0.24203338 0.25189681 0.29742033
 0.30197269 0.31638847 0.25417299 0.20409712]";25.27$\pm$1.25;"[0.26403642 0.2693475  0.24430956 0.23520486 0.25569044 0.26555387
 0.24810319 0.26327769 0.24962064 0.23141123]";26.45$\pm$1.32;"[0.26631259 0.24886191 0.24658574 0.24810319 0.2814871  0.27465857
 0.27921093 0.27465857 0.2723824  0.25265554]";23.69$\pm$0.93;"[0.24355083 0.25113809 0.23748103 0.2306525  0.24051593 0.22989378
 0.23596358 0.24658574 0.23672231 0.21623672]";25.38$\pm$1.37;"[0.26024279 0.2754173  0.23216995 0.25341426 0.25796662 0.25037936
 0.25189681 0.27086495 0.25569044 0.22989378]";25.49$\pm$1.41;"[0.27162367 0.25569044 0.23823976 0.25189681 0.26176024 0.24886191
 0.24430956 0.27769347 0.26707132 0.23141123]";25.29$\pm$1.0;"[0.24506829 0.25872534 0.24430956 0.23823976 0.26403642 0.26176024
 0.25113809 0.27010622 0.25341426 0.24203338]";25.74$\pm$1.28;"[0.26783005 0.25872534 0.22382398 0.25796662 0.26327769 0.25720789
 0.27162367 0.26555387 0.24810319 0.26024279]";25.16$\pm$1.2;"[0.24886191 0.2723824  0.23672231 0.23292868 0.26176024 0.24886191
 0.25872534 0.26176024 0.25493171 0.23899848]";29.18$\pm$2.02;"[0.30045524 0.28528073 0.29893778 0.25948407 0.32549317 0.29666161
 0.30804249 0.30349014 0.28376328 0.25644917]";25.23$\pm$2.49;"[0.26327769 0.28983308 0.28983308 0.22534143 0.26251897 0.24582701
 0.24430956 0.23368741 0.25948407 0.20864947]";28.64$\pm$1.69;"[0.29742033 0.28679818 0.28831563 0.26251897 0.31942337 0.27693475
 0.29059181 0.30349014 0.2754173  0.26327769]";28.51$\pm$2.43;"[0.30197269 0.29059181 0.27693475 0.25796662 0.30955994 0.28983308
 0.29059181 0.32776935 0.24203338 0.26327769]";28.87$\pm$2.43;"[0.31790592 0.28983308 0.29817906 0.26783005 0.30121396 0.27769347
 0.30576631 0.323217   0.24355083 0.26176024]";28.68$\pm$2.1;"[0.30349014 0.28376328 0.30728376 0.25189681 0.30576631 0.30424886
 0.27465857 0.30955994 0.27086495 0.25644917]";27.98$\pm$2.77;"[0.28224583 0.29817906 0.29893778 0.27693475 0.28224583 0.27314112
 0.28679818 0.32245827 0.26707132 0.21016692]";25.29$\pm$3.97;"[0.28679818 0.27769347 0.30045524 0.21396055 0.21168437 0.18664643
 0.23975721 0.30804249 0.27314112 0.2306525 ]"
Hits@20;27.37$\pm$1.92;"[0.29362671 0.2693475  0.27086495 0.27086495 0.28603945 0.28224583
 0.29438543 0.27693475 0.22306525 0.2693475 ]";32.88$\pm$1.33;"[0.3383915  0.31790592 0.34294385 0.31562974 0.32852807 0.32701062
 0.3383915  0.35280728 0.31031866 0.31562974]";30.93$\pm$2.51;"[0.33080425 0.32397572 0.34066768 0.27996965 0.34597876 0.28376328
 0.28224583 0.32549317 0.28603945 0.29362671]";32.75$\pm$1.22;"[0.34446131 0.34597876 0.32473445 0.32169954 0.3353566  0.3323217
 0.33308042 0.31107739 0.31031866 0.31562974]";32.72$\pm$1.75;"[0.33915023 0.31031866 0.34370258 0.31790592 0.33459788 0.33763278
 0.33990895 0.34749621 0.30728376 0.29362671]";32.92$\pm$1.4;"[0.34370258 0.30652504 0.34294385 0.31562974 0.3292868  0.34597876
 0.3262519  0.34673748 0.31714719 0.31790592]";33.06$\pm$1.1;"[0.33308042 0.32549317 0.35128983 0.32169954 0.33004552 0.34446131
 0.33763278 0.32701062 0.31183612 0.323217  ]";31.33$\pm$2.56;"[0.32473445 0.3262519  0.3414264  0.29969651 0.3414264  0.28907436
 0.33080425 0.32245827 0.25493171 0.30197269]";32.27$\pm$2.17;"[0.30424886 0.30880121 0.34446131 0.31562974 0.29666161 0.36039454
 0.3383915  0.34825493 0.30728376 0.30273141]";26.91$\pm$1.23;"[0.27921093 0.2754173  0.27086495 0.25113809 0.2754173  0.27617602
 0.2723824  0.284522   0.26251897 0.24355083]";28.29$\pm$1.29;"[0.2814871  0.26707132 0.25569044 0.27389985 0.28983308 0.30121396
 0.28983308 0.29286798 0.28983308 0.2875569 ]";25.27$\pm$0.98;"[0.25417299 0.26707132 0.25265554 0.24430956 0.25493171 0.25341426
 0.25644917 0.26327769 0.25113809 0.22913505]";27.03$\pm$1.01;"[0.27389985 0.2814871  0.25417299 0.26479514 0.27389985 0.27389985
 0.27162367 0.28528073 0.27162367 0.25189681]";27.25$\pm$1.07;"[0.28528073 0.27389985 0.26479514 0.27162367 0.2723824  0.27162367
 0.26327769 0.28679818 0.284522   0.25037936]";26.99$\pm$1.26;"[0.27010622 0.28300455 0.26707132 0.25417299 0.2693475  0.28072838
 0.27769347 0.2875569  0.26479514 0.24430956]";27.68$\pm$0.84;"[0.27769347 0.2814871  0.25417299 0.27921093 0.27921093 0.27921093
 0.28300455 0.28603945 0.27162367 0.27617602]";27.26$\pm$1.04;"[0.26631259 0.28528073 0.26479514 0.25720789 0.284522   0.27921093
 0.27389985 0.284522   0.27389985 0.25644917]";32.58$\pm$0.88;"[0.3262519  0.323217   0.34294385 0.31942337 0.3353566  0.32776935
 0.33080425 0.32549317 0.31562974 0.31107739]";32.04$\pm$1.78;"[0.3414264  0.32776935 0.33611533 0.30273141 0.31183612 0.33915023
 0.3323217  0.31031866 0.32018209 0.28224583]";32.26$\pm$1.26;"[0.32245827 0.32397572 0.32701062 0.29438543 0.34673748 0.31866464
 0.33383915 0.31714719 0.31790592 0.32397572]";32.33$\pm$1.54;"[0.32397572 0.32169954 0.32701062 0.29969651 0.32245827 0.3383915
 0.32169954 0.35811836 0.31107739 0.30880121]";32.4$\pm$1.34;"[0.33080425 0.31107739 0.33383915 0.30197269 0.3414264  0.3292868
 0.3292868  0.34066768 0.31335357 0.30804249]";32.15$\pm$1.16;"[0.33004552 0.30728376 0.34294385 0.30728376 0.33156297 0.3292868
 0.31487102 0.32776935 0.31335357 0.31107739]";31.93$\pm$1.5;"[0.31638847 0.32018209 0.3292868  0.31031866 0.33611533 0.3262519
 0.32397572 0.3323217  0.31790592 0.27996965]";31.47$\pm$1.19;"[0.32473445 0.31031866 0.32776935 0.30197269 0.29514416 0.30045524
 0.32018209 0.3323217  0.32094082 0.31335357]"
Hits@50;32.24$\pm$0.75;"[0.33308042 0.31562974 0.31714719 0.31790592 0.32169954 0.3353566
 0.32776935 0.32701062 0.31487102 0.31335357]";36.05$\pm$1.17;"[0.37177542 0.35053111 0.36798179 0.34901366 0.35963581 0.36949924
 0.36342944 0.38088012 0.34901366 0.34294385]";36.46$\pm$1.26;"[0.36722307 0.34825493 0.37177542 0.35508346 0.39074355 0.36646434
 0.36570561 0.37708649 0.35356601 0.35053111]";36.44$\pm$0.93;"[0.37177542 0.36039454 0.36949924 0.35660091 0.35963581 0.38088012
 0.37329287 0.36874052 0.35204856 0.35128983]";36.57$\pm$1.3;"[0.38239757 0.34522003 0.38088012 0.35432473 0.36267071 0.37101669
 0.37936267 0.37253414 0.36191199 0.34673748]";36.34$\pm$1.11;"[0.36494689 0.34673748 0.37632777 0.35660091 0.35280728 0.38163885
 0.36418816 0.37708649 0.35887709 0.35432473]";36.4$\pm$0.94;"[0.36039454 0.36722307 0.38391502 0.35963581 0.36342944 0.36267071
 0.37784522 0.35508346 0.35584219 0.35356601]";36.27$\pm$1.03;"[0.36798179 0.35432473 0.37177542 0.35356601 0.36646434 0.37177542
 0.37708649 0.36798179 0.34370258 0.35280728]";36.8$\pm$1.64;"[0.35887709 0.34977238 0.38088012 0.35128983 0.35887709 0.40136571
 0.37405159 0.38467375 0.35053111 0.36949924]";29.6$\pm$0.96;"[0.30424886 0.30121396 0.30121396 0.27921093 0.30197269 0.29666161
 0.30045524 0.30424886 0.29438543 0.27617602]";31.79$\pm$1.73;"[0.31638847 0.29893778 0.28376328 0.30500759 0.3262519  0.34749621
 0.32018209 0.32094082 0.33383915 0.3262519 ]";27.75$\pm$1.17;"[0.2723824  0.29817906 0.2814871  0.26327769 0.27921093 0.28679818
 0.28224583 0.28679818 0.26631259 0.25796662]";29.49$\pm$1.11;"[0.30652504 0.30273141 0.28528073 0.284522   0.28679818 0.31562974
 0.29210926 0.30424886 0.29210926 0.27921093]";29.92$\pm$1.16;"[0.30880121 0.29514416 0.28907436 0.29210926 0.29666161 0.30804249
 0.29135053 0.31638847 0.31487102 0.27921093]";29.77$\pm$1.38;"[0.29362671 0.31638847 0.29666161 0.28224583 0.30424886 0.31183612
 0.29742033 0.30804249 0.29969651 0.26707132]";30.33$\pm$0.85;"[0.30804249 0.29969651 0.28603945 0.29742033 0.30500759 0.31487102
 0.30728376 0.31487102 0.30424886 0.29514416]";29.86$\pm$1.42;"[0.28679818 0.31790592 0.2875569  0.27617602 0.30576631 0.31107739
 0.29210926 0.31411229 0.31107739 0.28376328]";36.19$\pm$0.87;"[0.36342944 0.35887709 0.37329287 0.34749621 0.36342944 0.37556904
 0.36646434 0.36494689 0.34977238 0.35584219]";36.84$\pm$1.63;"[0.3831563  0.36115326 0.38088012 0.34749621 0.35735964 0.40136571
 0.37405159 0.36418816 0.36949924 0.34522003]";35.58$\pm$0.9;"[0.34977238 0.35356601 0.36191199 0.34446131 0.36494689 0.36418816
 0.37253414 0.35280728 0.34446131 0.34977238]";36.13$\pm$1.17;"[0.35204856 0.35660091 0.36874052 0.35356601 0.36039454 0.37860395
 0.36342944 0.38239757 0.35508346 0.34218513]";35.93$\pm$0.8;"[0.36039454 0.34597876 0.36494689 0.35280728 0.36418816 0.37025797
 0.35432473 0.37177542 0.35280728 0.35508346]";36.12$\pm$1.42;"[0.36949924 0.34294385 0.39453718 0.35963581 0.35128983 0.36949924
 0.36267071 0.36494689 0.34901366 0.34825493]";36.18$\pm$0.91;"[0.35128983 0.34673748 0.37632777 0.35735964 0.36570561 0.37481032
 0.36494689 0.36418816 0.36267071 0.35432473]";36.2$\pm$0.89;"[0.36722307 0.34901366 0.36570561 0.35584219 0.34901366 0.37708649
 0.36342944 0.37177542 0.36494689 0.35584219]"
Hits@100;36.84$\pm$1.22;"[0.37253414 0.36570561 0.35963581 0.36798179 0.36570561 0.3861912
 0.39150228 0.36798179 0.36039454 0.34673748]";39.4$\pm$1.39;"[0.39757208 0.38998483 0.39681335 0.3861912  0.37481032 0.41426404
 0.40136571 0.41881639 0.38239757 0.37784522]";42.11$\pm$1.53;"[0.42412747 0.39150228 0.41047041 0.40895296 0.43323217 0.44081942
 0.41122914 0.4430956  0.42943854 0.41805766]";39.77$\pm$1.33;"[0.40591806 0.40136571 0.39453718 0.3861912  0.39681335 0.42109256
 0.41047041 0.40288316 0.37177542 0.3861912 ]";39.88$\pm$1.2;"[0.42033384 0.38163885 0.41274659 0.38694992 0.39908953 0.3983308
 0.40212443 0.40895296 0.39301973 0.38467375]";39.39$\pm$0.97;"[0.39453718 0.3801214  0.40591806 0.3892261  0.38770865 0.40515933
 0.39984825 0.40743551 0.38770865 0.38088012]";39.89$\pm$1.09;"[0.39377845 0.40364188 0.42033384 0.40212443 0.38998483 0.40743551
 0.40591806 0.3983308  0.38694992 0.38088012]";40.83$\pm$1.06;"[0.41729894 0.40288316 0.41805766 0.39757208 0.40515933 0.42336874
 0.42261002 0.39681335 0.39301973 0.40667678]";41.18$\pm$1.42;"[0.40819423 0.38467375 0.41502276 0.41578149 0.40440061 0.44461305
 0.41805766 0.40895296 0.40364188 0.41426404]";33.03$\pm$0.87;"[0.33156297 0.3292868  0.33080425 0.32473445 0.33763278 0.33611533
 0.33459788 0.33990895 0.33080425 0.30728376]";36.43$\pm$2.34;"[0.35963581 0.3323217  0.31790592 0.35508346 0.39453718 0.37708649
 0.36115326 0.37708649 0.39301973 0.37556904]";30.64$\pm$1.65;"[0.30500759 0.3353566  0.31790592 0.29286798 0.31031866 0.31866464
 0.31335357 0.30880121 0.28376328 0.27769347]";32.19$\pm$1.05;"[0.33156297 0.32776935 0.31866464 0.30652504 0.323217   0.34218513
 0.31866464 0.32245827 0.323217   0.30424886]";32.7$\pm$1.49;"[0.33383915 0.30804249 0.30880121 0.32245827 0.32776935 0.33308042
 0.31714719 0.35584219 0.34673748 0.31638847]";33.07$\pm$1.1;"[0.32169954 0.33915023 0.3262519  0.31562974 0.33156297 0.3414264
 0.3323217  0.34522003 0.3414264  0.31183612]";33.91$\pm$0.99;"[0.34446131 0.3353566  0.31790592 0.33459788 0.33459788 0.34370258
 0.34218513 0.35963581 0.33990895 0.3383915 ]";33.08$\pm$1.79;"[0.31487102 0.35887709 0.31790592 0.30273141 0.33915023 0.35280728
 0.32701062 0.34294385 0.34066768 0.31107739]";39.42$\pm$1.11;"[0.39757208 0.38088012 0.40364188 0.39605463 0.39150228 0.41047041
 0.40515933 0.40060698 0.37936267 0.37708649]";41.97$\pm$1.95;"[0.4370258  0.3892261  0.42033384 0.40667678 0.41198786 0.45978756
 0.4339909  0.42564492 0.41426404 0.3983308 ]";39.21$\pm$0.71;"[0.3892261  0.39074355 0.39984825 0.38467375 0.39074355 0.40895296
 0.39150228 0.39377845 0.3831563  0.38846737]";39.08$\pm$1.12;"[0.38239757 0.3861912  0.39681335 0.38467375 0.38846737 0.40667678
 0.392261   0.40819423 0.39453718 0.36798179]";39.19$\pm$0.78;"[0.39681335 0.38239757 0.3861912  0.38770865 0.39301973 0.40288316
 0.38543247 0.40136571 0.38163885 0.40136571]";39.0$\pm$1.79;"[0.38770865 0.37632777 0.43323217 0.38467375 0.37481032 0.40136571
 0.3983308  0.39757208 0.37784522 0.36798179]";40.33$\pm$0.64;"[0.40288316 0.39150228 0.41122914 0.40819423 0.40440061 0.40743551
 0.40895296 0.40136571 0.40440061 0.392261  ]";40.35$\pm$1.19;"[0.40819423 0.38998483 0.40819423 0.40364188 0.3952959  0.41881639
 0.39377845 0.42412747 0.40819423 0.38467375]"
ROCAUC;67.61$\pm$1.0;"[0.67249719 0.66669852 0.68992081 0.68394225 0.67594138 0.67796139
 0.67827973 0.69142099 0.65972349 0.66424504]";66.42$\pm$0.96;"[0.66605464 0.67594369 0.67427685 0.65989618 0.65408658 0.67204644
 0.67066657 0.6671484  0.6580842  0.64379428]";74.12$\pm$3.67;"[0.7581822  0.66932153 0.67151597 0.76201756 0.76046154 0.74772641
 0.74474131 0.77053279 0.77791009 0.74975851]";66.27$\pm$1.27;"[0.66740428 0.66773846 0.67566909 0.65589618 0.66054409 0.68166176
 0.67206803 0.65921086 0.65109033 0.63536167]";64.8$\pm$0.53;"[0.65474946 0.64775514 0.65414156 0.63743578 0.64937132 0.64663375
 0.65355323 0.64966807 0.64581295 0.64128295]";67.56$\pm$2.16;"[0.67224303 0.63055717 0.64789647 0.70146345 0.68079078 0.67922497
 0.69335091 0.67759296 0.70363796 0.66886762]";66.42$\pm$1.05;"[0.65694792 0.67103212 0.67627872 0.67057706 0.66742731 0.65766261
 0.67828203 0.66329519 0.6597595  0.64067793]";67.5$\pm$2.31;"[0.68691009 0.65904161 0.67982078 0.67277667 0.65119732 0.70407351
 0.69717821 0.6241768  0.68051268 0.69451548]";68.84$\pm$1.59;"[0.70526226 0.66660296 0.67368939 0.69493254 0.67670097 0.6997071
 0.66689022 0.70205524 0.6856492  0.71287312]";60.74$\pm$1.12;"[0.59290068 0.61403158 0.59245281 0.60910908 0.60585946 0.61418471
 0.6144357  0.63022214 0.60584132 0.59472841]";69.37$\pm$6.0;"[0.71283224 0.58901322 0.57124247 0.7013961  0.76266749 0.71361601
 0.70921765 0.74453177 0.73333022 0.69901055]";55.52$\pm$2.32;"[0.5458125  0.60378937 0.59047138 0.53072895 0.53889705 0.56499133
 0.55595283 0.54584417 0.53761595 0.53751085]";56.23$\pm$1.31;"[0.57257686 0.56991038 0.53649711 0.54645149 0.55646056 0.58450519
 0.56630845 0.57106574 0.55797307 0.56083302]";60.16$\pm$3.2;"[0.61296488 0.54932866 0.53516444 0.5977803  0.62802339 0.62781126
 0.60426544 0.62762042 0.63139775 0.60168244]";60.45$\pm$1.31;"[0.58056017 0.61008282 0.59675245 0.60116635 0.60833711 0.62648435
 0.61834446 0.60016038 0.61451049 0.58905985]";62.33$\pm$1.98;"[0.63462654 0.6122925  0.58148814 0.62018313 0.61897999 0.61781917
 0.65507068 0.60975152 0.63730279 0.6451825 ]";61.09$\pm$1.58;"[0.60333949 0.61356184 0.57971106 0.60580937 0.61012685 0.63072872
 0.63676514 0.62044736 0.61374025 0.59443857]";66.92$\pm$1.03;"[0.67548891 0.68025886 0.67969903 0.6610976  0.67845646 0.66815495
 0.67907185 0.65006355 0.66014318 0.65936744]";73.24$\pm$3.13;"[0.74484522 0.66450754 0.68777646 0.76544593 0.7400603  0.75565532
 0.73554479 0.75301331 0.75854387 0.7182196 ]";65.78$\pm$1.35;"[0.65904679 0.67498118 0.67490058 0.63793229 0.67116423 0.66802485
 0.65354603 0.64762907 0.63737595 0.65375356]";65.46$\pm$0.91;"[0.66561224 0.64568073 0.65773888 0.64932584 0.65106463 0.66927231
 0.65773082 0.65339089 0.6598753  0.63679795]";68.26$\pm$2.18;"[0.69983663 0.64355106 0.64389675 0.69163917 0.66809105 0.69407221
 0.68278142 0.70218937 0.69727147 0.70244439]";66.51$\pm$1.36;"[0.66692188 0.66994325 0.69574423 0.65437269 0.65585934 0.65303571
 0.67058771 0.67317906 0.66726236 0.64420531]";68.57$\pm$2.65;"[0.65869218 0.67557785 0.69985908 0.7170343  0.63762029 0.67685957
 0.70749469 0.66174263 0.72294196 0.69965702]";67.67$\pm$1.99;"[0.68467421 0.66594239 0.66028649 0.70063766 0.68323534 0.66408299
 0.63277693 0.68611913 0.70006729 0.68938832]"
AP;73.85$\pm$0.66;"[0.74129068 0.73322144 0.73992383 0.7441238  0.73775319 0.74266582
 0.7425547  0.7480718  0.72618997 0.72908826]";73.93$\pm$0.9;"[0.74337684 0.74293022 0.74765189 0.73279742 0.73160118 0.74479807
 0.7471521  0.7492973  0.73328089 0.71982307]";78.17$\pm$1.95;"[0.79142441 0.74365506 0.74729207 0.79012899 0.79258023 0.78533678
 0.77878124 0.80386434 0.80050336 0.78312471]";73.93$\pm$0.89;"[0.74384263 0.74222751 0.7438558  0.73326126 0.74017618 0.75278818
 0.74651999 0.74009528 0.73076904 0.71939186]";73.29$\pm$0.74;"[0.74230534 0.73051081 0.73854173 0.72263028 0.73439554 0.73183115
 0.73956255 0.74027038 0.73047731 0.71846999]";74.47$\pm$1.08;"[0.74491861 0.72207222 0.73392171 0.75524975 0.74670167 0.74764986
 0.75591595 0.7510589  0.7559075  0.7340387 ]";74.0$\pm$0.85;"[0.73640781 0.74573761 0.74988603 0.74281232 0.74218965 0.73576452
 0.75145624 0.7416349  0.73415931 0.72044512]";73.87$\pm$1.34;"[0.74588198 0.73886018 0.74881348 0.73138367 0.71919907 0.75760164
 0.74566674 0.71281855 0.73697921 0.75019908]";75.03$\pm$1.09;"[0.75736906 0.73858307 0.74918779 0.74873484 0.73574932 0.76675254
 0.74162572 0.76497322 0.73984103 0.76059375]";69.73$\pm$0.8;"[0.69138427 0.70314154 0.690307   0.69335403 0.70016114 0.70313684
 0.70083902 0.71197549 0.69648718 0.68220943]";74.75$\pm$3.56;"[0.75713392 0.68787629 0.67355942 0.74640197 0.78816189 0.76263677
 0.75704143 0.77773068 0.77368552 0.75118959]";66.6$\pm$1.36;"[0.66121576 0.69485346 0.68241295 0.65140352 0.66030787 0.67157443
 0.66955469 0.66533952 0.65457688 0.64845734]";67.3$\pm$0.91;"[0.68222037 0.67788082 0.65663506 0.66235182 0.67251118 0.68767377
 0.67300301 0.68045065 0.67237898 0.66533899]";69.29$\pm$1.89;"[0.69993184 0.66373757 0.65629458 0.68881257 0.70623877 0.70913452
 0.69191826 0.71327346 0.71301824 0.68700332]";69.61$\pm$0.97;"[0.6825545  0.70142919 0.69058427 0.69047965 0.69944477 0.71073989
 0.70553674 0.69890309 0.70244508 0.67870171]";70.77$\pm$1.15;"[0.7161587  0.7009127  0.68077632 0.70312239 0.70432754 0.70551502
 0.72456072 0.70764528 0.71604062 0.71744577]";69.91$\pm$1.22;"[0.69103023 0.70870072 0.67966055 0.68919712 0.70270606 0.71538037
 0.71141939 0.70975495 0.70202172 0.68149591]";74.21$\pm$0.7;"[0.74623632 0.74662567 0.74670404 0.73814982 0.74778209 0.74488125
 0.75174149 0.7372567  0.73344235 0.72844454]";77.78$\pm$1.71;"[0.79000697 0.74201784 0.75439964 0.7907461  0.78253006 0.79861525
 0.77871501 0.78354827 0.79056632 0.76691003]";73.69$\pm$0.85;"[0.73666067 0.74573298 0.7453559  0.72298358 0.74853989 0.74389376
 0.73495231 0.73551158 0.72435316 0.73072829]";73.49$\pm$0.71;"[0.7396439  0.7315707  0.73765102 0.72796772 0.7336992  0.74422889
 0.73623281 0.7424199  0.7367741  0.71852667]";74.79$\pm$1.1;"[0.75861421 0.72671114 0.73198214 0.74984729 0.74054624 0.75278003
 0.74805535 0.76337636 0.75179193 0.75561213]";73.87$\pm$1.03;"[0.74011087 0.7378423  0.7617229  0.73150889 0.7323804  0.73312972
 0.74334619 0.74756278 0.73796284 0.72106035]";74.58$\pm$1.43;"[0.72979064 0.74507816 0.75782174 0.76087209 0.72081431 0.72857288
 0.76393186 0.74322486 0.75830745 0.74980095]";74.39$\pm$0.79;"[0.74376806 0.74100819 0.73948603 0.74641227 0.74265536 0.74170154
 0.72763887 0.74811745 0.76088334 0.74684336]"
pretrain_time;nan$\pm$nan;[];87.95$\pm$10.61;"[74.90190244 71.75766873 99.62245369 86.92409205 75.00534272 93.16867328
 99.34208202 99.32870269 96.6662147  82.78043985]";95.12$\pm$7.73;"[99.12238002 80.1424818  99.42489552 79.22381473 99.46179581 99.08134627
 99.08143544 98.95268703 97.78022051 98.94077826]";83.31$\pm$16.64;"[89.84842038 99.16952729 99.08084559 56.53112078 67.15741301 93.14486527
 72.00723124 97.47311854 59.45070076 99.18709707]";86.27$\pm$10.38;"[99.1357913  92.3328414  93.16066122 71.65954065 99.3400712  95.46717429
 74.66095734 75.88734007 75.50849843 85.55429935]";85.43$\pm$16.37;"[ 48.88579369 103.77470684 103.51721096  87.69792247  93.32565212
  80.65244102  90.86715269  74.73252416 100.36334944  70.4598496 ]";91.69$\pm$16.67;"[ 78.71124291  56.90412688  84.81764984 108.87250519  79.25226164
 108.7665329   94.70304918 108.83743262 108.73016477  87.34831309]";84.41$\pm$24.97;"[104.83103728  48.94063568 104.99721575 104.61188769 104.53851819
  59.70368314 104.52020121 104.61393929  50.96017814  56.42826557]";99.47$\pm$13.3;"[ 79.54848146 108.75743651  71.21056128 108.9745822  108.75061607
 108.88877034 108.66625834  97.49582767  93.21427226 109.14374065]";56.96$\pm$11.06;"[64.35671735 64.15132928 56.6456368  30.87889004 54.06387925 42.36765432
 64.32036209 64.35168862 64.17305517 64.33892417]";57.65$\pm$10.77;"[64.18726325 59.7262423  58.24106646 64.36001539 64.33837366 64.15477991
 35.70415568 37.32311797 64.21946144 64.24171567]";40.7$\pm$8.13;"[31.89047742 51.02642679 56.78017998 34.24824739 34.25235271 41.80249476
 35.7910924  31.83157015 44.98751426 44.34848022]";55.46$\pm$8.4;"[49.45110798 49.15307498 61.83496451 55.98262095 60.47837448 51.70559502
 36.41693044 61.08689475 64.32597637 64.18643355]";50.13$\pm$13.14;"[35.84279919 60.26753616 61.14485621 68.59750533 45.60835648 47.78369808
 31.54258537 47.64192009 68.38224483 34.45454717]";59.05$\pm$14.55;"[64.70440865 72.79823494 74.07631016 37.47627187 65.84565234 57.68075776
 52.25295162 73.953125   29.39595914 62.27036619]";56.48$\pm$15.86;"[69.83975434 69.79568076 69.75599337 69.66809177 29.71871877 36.93204284
 57.59038019 59.9608407  32.99083066 68.55481648]";48.05$\pm$11.96;"[50.03404474 49.04383039 73.89157915 43.33187175 53.20524311 37.66785383
 34.50499105 33.58751321 61.74530625 43.46238422]";87.46$\pm$15.32;"[ 93.3817699   66.86359024  98.9551816   71.2369411  105.98365831
  62.93257546  96.91959977  78.46175885 105.69365478  94.13611245]";96.28$\pm$14.75;"[105.76858139 102.44311833  73.77808356 105.93342161  87.5463748
 105.79511833 105.84356427 105.73482966 105.55260158  64.44213557]";71.6$\pm$20.64;"[ 84.1950562  105.76262879  78.18420696  64.5525682   53.09119821
 105.75027037  67.53714728  40.98848248  56.27016211  59.68068838]";83.76$\pm$14.74;"[ 88.17425251  73.38975668 105.6658287   63.9928329   78.95735288
 105.66508818  69.97215176  68.39810705  99.42404747  83.92997599]";85.72$\pm$15.11;"[109.05928016  67.15333343  81.66448021  68.98797393  65.12675476
  85.97002983  85.93779564  92.98313498  90.16333508 110.19659066]";94.47$\pm$18.26;"[ 84.00212693 115.42808747  99.08092785  90.0689733   97.31308341
  69.78124666  59.23999381 114.85682178 115.57077646  99.35538602]";97.09$\pm$12.42;"[ 76.70229006  89.93928361  98.47041273  88.62557626 107.63306165
 111.20489407 111.32273054  80.1424129  111.25421309  95.56789398]";93.06$\pm$21.53;"[101.06892633  50.26839542 104.80703521 115.24974656  66.9434824
  73.98108721 115.45651579  98.78956199 115.60459065  88.44823122]"
