metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random;bgrl_sbm2_mean;bgrl_sbm2;lbgrl_random_mean;lbgrl_random;lbgrl_sbm2_mean;lbgrl_sbm2
Hits@10;16.25$\pm$3.68;[0.17314488 0.1130742  0.20141343];9.54$\pm$1.53;[0.08833922 0.08127208 0.11660777];14.61$\pm$2.59;[0.16254417 0.16607774 0.10954064];9.78$\pm$1.64;[0.12014134 0.08127208 0.09187279];7.77$\pm$2.56;[0.05300353 0.1130742  0.06713781]
Hits@20;22.73$\pm$2.42;[0.20848057 0.21201413 0.2614841 ];14.61$\pm$2.35;[0.16607774 0.1130742  0.1590106 ];19.08$\pm$2.75;[0.22261484 0.19434629 0.15547703];15.78$\pm$2.09;[0.18727915 0.14134276 0.14487633];12.49$\pm$3.48;[0.08480565 0.16961131 0.12014134]
Hits@50;34.75$\pm$2.05;[0.32508834 0.34275618 0.3745583 ];29.45$\pm$5.2;[0.36042403 0.23321555 0.28975265];34.39$\pm$2.17;[0.32862191 0.3745583  0.32862191];27.8$\pm$4.97;[0.34628975 0.22968198 0.25795053];22.97$\pm$1.75;[0.2155477  0.25441696 0.21908127]
Hits@100;53.71$\pm$2.84;[0.50883392 0.52650177 0.57597173];44.41$\pm$3.65;[0.48409894 0.39575972 0.45229682];51.35$\pm$3.84;[0.50176678 0.56537102 0.47349823];42.17$\pm$4.85;[0.47349823 0.43462898 0.35689046];38.4$\pm$3.06;[0.37809187 0.42402827 0.34982332]
ROCAUC;62.96$\pm$1.29;[0.62031615 0.6205846  0.64791669];55.89$\pm$2.02;[0.58427499 0.53483    0.55746732];60.99$\pm$2.16;[0.60240482 0.63938868 0.58800834];55.14$\pm$2.89;[0.58763376 0.54945124 0.51701232];51.59$\pm$1.72;[0.49524904 0.53731474 0.51517687]
AP;65.78$\pm$2.24;[0.64191539 0.64205214 0.68940137];58.87$\pm$1.76;[0.60499293 0.56417795 0.596796  ];64.43$\pm$2.06;[0.65314409 0.66383467 0.61581787];58.5$\pm$2.25;[0.61680729 0.56913348 0.56894995];55.74$\pm$2.54;[0.53441024 0.59286853 0.54504218]
pretrain_time;nan$\pm$nan;[];0.05$\pm$0.0;[0.04791832 0.04743791 0.04721642];1.19$\pm$0.14;[1.39004207 1.14010501 1.04711866];0.05$\pm$0.0;[0.05286455 0.05364966 0.05264211];1.2$\pm$0.1;[1.25791669 1.2689867  1.05908561]
