metrics;a2grace_random_mean;a2grace_random;a2grace_deg_mean;a2grace_deg;a2grace_raa_mean;a2grace_raa;a2grace_sbm+random_mean;a2grace_sbm+random;a2grace_sbm+deg_mean;a2grace_sbm+deg;a2grace_sbm+raa_mean;a2grace_sbm+raa;a2bgrl_random_mean;a2bgrl_random;a2bgrl_deg_mean;a2bgrl_deg;a2bgrl_raa_mean;a2bgrl_raa;a2bgrl_sbm+random_mean;a2bgrl_sbm+random;a2bgrl_sbm+deg_mean;a2bgrl_sbm+deg;a2bgrl_sbm+raa_mean;a2bgrl_sbm+raa
Hits@10;10.61$\pm$0.92;"[0.11864407 0.10169492 0.11186441 0.1220339  0.10847458 0.10169492
 0.10508475 0.08813559 0.10169492 0.10169492]";11.8$\pm$1.34;"[0.11186441 0.12542373 0.10847458 0.12542373 0.11864407 0.10847458
 0.10508475 0.13559322 0.09830508 0.14237288]";10.71$\pm$1.32;"[0.11186441 0.10508475 0.09830508 0.11525424 0.1220339  0.11864407
 0.1220339  0.09491525 0.0779661  0.10508475]";22.17$\pm$2.77;"[0.22033898 0.22372881 0.26101695 0.26101695 0.19661017 0.2
 0.25423729 0.22033898 0.20338983 0.17627119]";18.34$\pm$4.53;"[0.25084746 0.14237288 0.25084746 0.2        0.17627119 0.15932203
 0.11186441 0.19661017 0.21355932 0.13220339]";20.24$\pm$2.55;"[0.19661017 0.1559322  0.21355932 0.24745763 0.22372881 0.16949153
 0.22033898 0.21016949 0.18644068 0.2       ]";14.61$\pm$3.93;"[0.1220339  0.10508475 0.1220339  0.17288136 0.17627119 0.08135593
 0.18644068 0.11525424 0.17627119 0.20338983]";12.44$\pm$2.17;"[0.14237288 0.09830508 0.14915254 0.11186441 0.09830508 0.10169492
 0.14915254 0.13220339 0.10847458 0.15254237]";13.59$\pm$1.88;"[0.16610169 0.11525424 0.1220339  0.11186441 0.16271186 0.13898305
 0.13220339 0.14576271 0.11525424 0.14915254]";13.69$\pm$1.85;"[0.14576271 0.12542373 0.1220339  0.16271186 0.14237288 0.13220339
 0.17288136 0.11186441 0.13559322 0.11864407]";13.22$\pm$2.42;"[0.14237288 0.10847458 0.09830508 0.16271186 0.11186441 0.12542373
 0.15254237 0.12881356 0.11525424 0.17627119]";13.63$\pm$2.35;"[0.11186441 0.1220339  0.12881356 0.17966102 0.09491525 0.1220339
 0.14915254 0.15254237 0.15254237 0.14915254]"
Hits@20;12.98$\pm$1.3;"[0.15254237 0.13220339 0.13559322 0.13898305 0.13898305 0.12542373
 0.12881356 0.11186441 0.12881356 0.10508475]";14.07$\pm$2.13;"[0.12542373 0.13898305 0.11864407 0.14237288 0.13898305 0.16949153
 0.12542373 0.15254237 0.11186441 0.18305085]";12.34$\pm$1.98;"[0.13220339 0.11186441 0.10847458 0.11864407 0.15932203 0.13898305
 0.14915254 0.09830508 0.09830508 0.11864407]";26.71$\pm$3.63;"[0.32542373 0.25423729 0.29830508 0.29152542 0.27118644 0.25762712
 0.28135593 0.26779661 0.24067797 0.18305085]";21.53$\pm$4.58;"[0.29830508 0.1559322  0.27457627 0.2440678  0.21355932 0.18983051
 0.14915254 0.21694915 0.22711864 0.18305085]";23.59$\pm$2.54;"[0.26440678 0.17966102 0.2440678  0.26101695 0.2440678  0.22711864
 0.26779661 0.23389831 0.22033898 0.21694915]";20.85$\pm$4.36;"[0.22033898 0.15932203 0.17966102 0.24067797 0.22033898 0.11864407
 0.22372881 0.21016949 0.22711864 0.28474576]";15.46$\pm$2.6;"[0.18983051 0.14237288 0.18644068 0.13220339 0.12542373 0.12881356
 0.16949153 0.18644068 0.1220339  0.16271186]";17.9$\pm$2.21;"[0.18983051 0.16610169 0.14915254 0.16949153 0.22372881 0.20338983
 0.16610169 0.19661017 0.15932203 0.16610169]";18.78$\pm$2.82;"[0.18983051 0.18983051 0.17627119 0.20338983 0.17966102 0.17627119
 0.25084746 0.16949153 0.20677966 0.13559322]";18.37$\pm$2.01;"[0.20338983 0.15932203 0.16949153 0.18644068 0.15932203 0.16271186
 0.19661017 0.18983051 0.18644068 0.22372881]";17.76$\pm$3.18;"[0.13898305 0.15254237 0.18305085 0.22372881 0.18305085 0.13220339
 0.16949153 0.18644068 0.23728814 0.16949153]"
Hits@50;17.8$\pm$2.01;"[0.19661017 0.16610169 0.17288136 0.17966102 0.17966102 0.21016949
 0.16949153 0.16271186 0.20338983 0.13898305]";22.68$\pm$5.33;"[0.2        0.28135593 0.16271186 0.21694915 0.20677966 0.28135593
 0.24745763 0.17966102 0.16271186 0.32881356]";16.95$\pm$2.96;"[0.15932203 0.16949153 0.14915254 0.14915254 0.23050847 0.17627119
 0.21355932 0.13898305 0.13559322 0.17288136]";35.8$\pm$3.2;"[0.41694915 0.33220339 0.36610169 0.36949153 0.38644068 0.33559322
 0.36949153 0.37627119 0.3220339  0.30508475]";30.95$\pm$4.56;"[0.39661017 0.24745763 0.33898305 0.30169492 0.26440678 0.28813559
 0.25084746 0.31864407 0.34915254 0.33898305]";30.92$\pm$2.99;"[0.34576271 0.24745763 0.3220339  0.3220339  0.31186441 0.33559322
 0.33559322 0.31186441 0.29152542 0.26779661]";31.86$\pm$5.01;"[0.35254237 0.30508475 0.35932203 0.33559322 0.31525424 0.18983051
 0.29830508 0.31186441 0.33220339 0.38644068]";23.02$\pm$4.77;"[0.27457627 0.17966102 0.28135593 0.19322034 0.17966102 0.2
 0.22711864 0.33220339 0.21694915 0.21694915]";28.92$\pm$4.4;"[0.3220339  0.26779661 0.23389831 0.34576271 0.34576271 0.33220339
 0.29152542 0.28474576 0.22033898 0.24745763]";28.44$\pm$4.12;"[0.34237288 0.26101695 0.30508475 0.30508475 0.27118644 0.26101695
 0.31525424 0.27118644 0.3220339  0.18983051]";28.78$\pm$2.0;"[0.29152542 0.25084746 0.29152542 0.27118644 0.28813559 0.28813559
 0.26779661 0.29152542 0.3220339  0.31525424]";28.37$\pm$2.5;"[0.26440678 0.24745763 0.28813559 0.33220339 0.28474576 0.27118644
 0.25762712 0.27457627 0.31186441 0.30508475]"
Hits@100;27.12$\pm$2.19;"[0.28135593 0.2440678  0.26779661 0.24745763 0.2779661  0.32542373
 0.28135593 0.26101695 0.26779661 0.25762712]";34.27$\pm$7.45;"[0.29152542 0.43728814 0.2440678  0.36271186 0.33559322 0.38983051
 0.36271186 0.23728814 0.29152542 0.47457627]";25.93$\pm$3.74;"[0.27118644 0.22711864 0.23389831 0.2440678  0.32542373 0.28135593
 0.31525424 0.21016949 0.22033898 0.26440678]";47.53$\pm$2.4;"[0.5220339  0.45423729 0.47118644 0.46101695 0.47118644 0.46101695
 0.49830508 0.50508475 0.46779661 0.44067797]";41.39$\pm$4.46;"[0.48474576 0.38305085 0.44067797 0.41016949 0.3559322  0.43050847
 0.33559322 0.43728814 0.46440678 0.39661017]";40.78$\pm$3.22;"[0.40677966 0.4        0.40677966 0.4        0.41016949 0.42372881
 0.45084746 0.41016949 0.4440678  0.32542373]";43.8$\pm$5.09;"[0.4779661  0.4779661  0.47457627 0.44745763 0.44067797 0.29830508
 0.41694915 0.42372881 0.45762712 0.46440678]";36.41$\pm$4.8;"[0.42372881 0.29830508 0.43728814 0.35932203 0.29830508 0.31864407
 0.36949153 0.42033898 0.34915254 0.36610169]";42.58$\pm$5.83;"[0.49152542 0.48474576 0.36271186 0.48474576 0.48813559 0.43050847
 0.42372881 0.41016949 0.33559322 0.34576271]";41.08$\pm$4.85;"[0.42711864 0.40677966 0.44745763 0.45084746 0.41694915 0.36271186
 0.45084746 0.38305085 0.46440678 0.29830508]";41.46$\pm$2.98;"[0.38644068 0.38644068 0.43050847 0.43050847 0.38983051 0.46440678
 0.39322034 0.37627119 0.44745763 0.44067797]";40.31$\pm$3.06;"[0.42372881 0.36949153 0.37966102 0.44745763 0.42033898 0.41694915
 0.34237288 0.38983051 0.40677966 0.43389831]"
ROCAUC;43.28$\pm$1.91;"[0.45368572 0.42208561 0.43505889 0.41115771 0.42295892 0.4694628
 0.4513071  0.4045734  0.43266877 0.42525711]";49.94$\pm$5.9;"[0.46772766 0.57335248 0.44731974 0.49432347 0.48818156 0.54942833
 0.50392416 0.41301925 0.44546969 0.61165182]";42.61$\pm$2.55;"[0.42592359 0.41045677 0.38798047 0.42271761 0.46702672 0.44929618
 0.45987935 0.40239012 0.39858661 0.43711577]";58.62$\pm$2.03;"[0.63595519 0.57318012 0.58598104 0.56217179 0.57674232 0.58449871
 0.60536627 0.59025567 0.58205113 0.56605573]";55.57$\pm$4.06;"[0.60147084 0.51457627 0.57180121 0.54739443 0.49679977 0.5613387
 0.48696926 0.58052284 0.59943694 0.59620799]";53.75$\pm$2.52;"[0.55340419 0.52129848 0.53759265 0.51242746 0.5502212  0.5287561
 0.58834818 0.53611031 0.55487504 0.49201953]";54.15$\pm$3.96;"[0.55220914 0.55079575 0.57105429 0.56202241 0.55063488 0.43253088
 0.5291468  0.52734272 0.55643781 0.58258546]";49.7$\pm$3.15;"[0.5271129  0.45645504 0.54776214 0.50178684 0.45459351 0.46587762
 0.48125251 0.53228383 0.48651537 0.5163229 ]";53.96$\pm$3.78;"[0.55888538 0.57503016 0.46384372 0.57208848 0.58513071 0.55173801
 0.54745188 0.5461649  0.50180982 0.49381212]";51.83$\pm$4.52;"[0.52645791 0.50063775 0.53854639 0.55626544 0.52896294 0.49841999
 0.56173513 0.49794887 0.56873312 0.40501005]";51.93$\pm$2.32;"[0.49136455 0.4935823  0.53114622 0.54866992 0.50715312 0.54513071
 0.50966964 0.48860672 0.52532031 0.55201379]";50.42$\pm$1.92;"[0.4849526  0.49165182 0.48815858 0.54168342 0.5133927  0.51610457
 0.48347027 0.48449296 0.51509336 0.5228555 ]"
AP;52.13$\pm$1.2;"[0.53749485 0.51108489 0.52474706 0.51968624 0.52133815 0.53919629
 0.53244193 0.50504619 0.51917422 0.50270679]";56.43$\pm$3.6;"[0.53988085 0.59727762 0.52320398 0.56894311 0.56572501 0.60073585
 0.57168256 0.52294413 0.52082223 0.63201795]";51.57$\pm$2.3;"[0.51157389 0.50335941 0.49441264 0.51541118 0.55750957 0.52365742
 0.55413173 0.49406436 0.48522996 0.5174245 ]";66.25$\pm$1.96;"[0.69694644 0.65308598 0.67496045 0.66361861 0.65861994 0.64260282
 0.68323852 0.67428569 0.6513378  0.62625867]";62.3$\pm$3.5;"[0.66933119 0.58005684 0.66115408 0.63666339 0.58953105 0.61006188
 0.56885823 0.64455217 0.66372795 0.60582995]";62.46$\pm$2.13;"[0.64048816 0.59460881 0.63406976 0.62372955 0.6369607  0.60768954
 0.66313344 0.62747287 0.62970589 0.58786548]";61.21$\pm$3.36;"[0.62559352 0.60576088 0.62405077 0.63913174 0.61881302 0.52111637
 0.61979578 0.59581404 0.62049087 0.65084331]";56.63$\pm$2.91;"[0.59582512 0.53325377 0.61445546 0.55856568 0.52781006 0.53896739
 0.5757025  0.59964608 0.54194878 0.57700428]";60.36$\pm$2.78;"[0.62545717 0.61398112 0.55434448 0.61963843 0.64804153 0.61405726
 0.60922891 0.61089524 0.56955762 0.57035642]";59.27$\pm$3.39;"[0.61332587 0.58508172 0.60372005 0.6227231  0.59287988 0.56887046
 0.63949351 0.56923529 0.61735776 0.51468925]";59.17$\pm$1.59;"[0.5846373  0.56835534 0.58844942 0.61585682 0.576366   0.59673589
 0.59917159 0.57612878 0.59150028 0.61949482]";57.99$\pm$2.02;"[0.55572127 0.56787147 0.56098181 0.62704609 0.57362209 0.57098888
 0.57321922 0.57532806 0.59941148 0.59471998]"
pretrain_time;29.14$\pm$14.78;"[19.55654669 20.30245256 22.96806955 42.41265655 19.5485425  41.87586427
 23.36155701 18.53766918 64.87512803 18.00738168]";23.51$\pm$8.04;"[33.40350938 18.3794198  19.37100577 20.16177559 23.00668502 18.54087257
 18.72000599 20.01384878 43.9583931  19.56199551]";31.67$\pm$15.4;"[53.58614302 22.25514817 51.23693848 17.93707228 19.22913623 19.29571891
 51.44844389 18.4783709  44.96381974 18.25959325]";498.41$\pm$163.99;"[773.72177529 466.07325387 355.11340737 504.87732697 717.58665633
 453.21189404 349.25986886 293.63128567 370.18946648 700.44344401]";445.4$\pm$203.9;"[385.00675631 248.64142847 567.01982546 235.47249007 244.98925972
 706.17617631 328.98036957 759.17984509 276.54300356 701.99178147]";444.83$\pm$120.86;"[308.35659814 645.08717036 584.18520522 502.01937962 504.6849227
 378.75838685 357.36065125 358.27069044 266.30768037 543.21963859]";23.16$\pm$9.1;"[18.63815141 18.29846787 18.26604414 18.73660183 21.5276165  49.74821782
 24.67807198 20.20880032 22.91317558 18.6296978 ]";20.94$\pm$3.98;"[18.15094876 19.80359793 18.17919302 21.41106892 21.43944335 18.66156912
 17.39640522 20.27676105 31.95700002 22.08991885]";21.41$\pm$6.21;"[18.52482152 17.80001211 36.87821531 18.62418866 19.62576771 18.42164779
 16.73286057 17.07848215 20.92736053 29.45787096]";265.76$\pm$46.1;"[250.38190007 242.2433176  270.92816854 234.427706   241.87593293
 244.6222446  267.63762045 246.88925219 258.61336398 400.02199793]";256.91$\pm$25.63;"[245.98065925 246.20627689 260.80543351 240.27841353 248.46512604
 242.85468554 331.52500057 255.93300223 254.35925102 242.71376276]";247.11$\pm$5.61;"[246.78879929 246.05884314 257.18779612 247.85685563 251.80772114
 235.61634231 240.59712744 250.89455605 246.86885929 247.40032291]"
