metrics;a2bgrl_random_mean;a2bgrl_random;a2bgrl_deg_mean;a2bgrl_deg;a2bgrl_raa_mean;a2bgrl_raa;a2bgrl_sbm+random_mean;a2bgrl_sbm+random;a2bgrl_sbm+deg_mean;a2bgrl_sbm+deg;a2bgrl_sbm+raa_mean;a2bgrl_sbm+raa
Hits@10;63.44$\pm$2.56;"[0.64725275 0.64615385 0.62307692 0.68791209 0.61868132 0.62967033
 0.6010989  0.65494505 0.63846154 0.5967033 ]";62.73$\pm$3.25;"[0.6956044  0.5978022  0.61428571 0.63296703 0.62637363 0.63956044
 0.63516484 0.65824176 0.5978022  0.57472527]";60.25$\pm$2.51;"[0.63626374 0.58681319 0.6021978  0.61318681 0.59230769 0.6010989
 0.54835165 0.63626374 0.62197802 0.58681319]";64.77$\pm$2.92;"[0.68571429 0.62087912 0.66263736 0.6978022  0.64065934 0.64505495
 0.59450549 0.65604396 0.65164835 0.62197802]";63.7$\pm$3.85;"[0.70549451 0.5978022  0.64285714 0.7032967  0.62747253 0.62637363
 0.5989011  0.65054945 0.62747253 0.59010989]";63.81$\pm$2.5;"[0.64615385 0.63076923 0.64175824 0.69120879 0.64615385 0.64615385
 0.61428571 0.64945055 0.62527473 0.59010989]"
Hits@20;66.96$\pm$1.89;"[0.67032967 0.67912088 0.66923077 0.70549451 0.65494505 0.65164835
 0.67692308 0.68791209 0.66593407 0.63406593]";66.97$\pm$3.5;"[0.73516484 0.63406593 0.64395604 0.65494505 0.65494505 0.71648352
 0.69230769 0.68901099 0.65384615 0.62197802]";64.09$\pm$1.47;"[0.65604396 0.62417582 0.66263736 0.63626374 0.64725275 0.62857143
 0.61978022 0.65934066 0.64615385 0.62857143]";68.98$\pm$2.21;"[0.7010989  0.66593407 0.6967033  0.72197802 0.7043956  0.6978022
 0.66153846 0.6989011  0.7021978  0.64725275]";69.43$\pm$2.55;"[0.73956044 0.66373626 0.68681319 0.72087912 0.70879121 0.70879121
 0.7021978  0.68351648 0.67802198 0.65054945]";67.57$\pm$1.98;"[0.68681319 0.66263736 0.66923077 0.70659341 0.69230769 0.68571429
 0.68461538 0.67142857 0.66813187 0.62967033]"
Hits@50;71.21$\pm$1.36;"[0.70769231 0.72197802 0.71428571 0.73736264 0.70879121 0.70769231
 0.71428571 0.71758242 0.71098901 0.68021978]";71.58$\pm$3.56;"[0.78131868 0.6978022  0.69120879 0.70549451 0.68241758 0.75494505
 0.76153846 0.72307692 0.68461538 0.67582418]";68.62$\pm$1.0;"[0.6956044  0.68021978 0.68791209 0.68571429 0.69450549 0.6956044
 0.66043956 0.69010989 0.69010989 0.68131868]";73.64$\pm$1.2;"[0.73626374 0.72527473 0.74505495 0.74835165 0.74725275 0.74285714
 0.70989011 0.74505495 0.73956044 0.72417582]";74.07$\pm$2.65;"[0.78901099 0.70769231 0.72197802 0.75054945 0.74175824 0.78131868
 0.74945055 0.73516484 0.71978022 0.70989011]";72.38$\pm$1.34;"[0.71648352 0.71318681 0.71648352 0.74065934 0.72307692 0.73516484
 0.73956044 0.73956044 0.71428571 0.7       ]"
Hits@100;74.2$\pm$1.36;"[0.73296703 0.76263736 0.74505495 0.76593407 0.73186813 0.73626374
 0.73516484 0.75054945 0.73956044 0.71978022]";76.44$\pm$3.64;"[0.82417582 0.74725275 0.73296703 0.74175824 0.72417582 0.81428571
 0.81648352 0.75934066 0.73736264 0.74615385]";72.8$\pm$0.9;"[0.73846154 0.72307692 0.72637363 0.72197802 0.73406593 0.74285714
 0.71098901 0.73406593 0.72087912 0.72747253]";77.79$\pm$1.22;"[0.78241758 0.77032967 0.78131868 0.78021978 0.7978022  0.78351648
 0.75384615 0.79010989 0.77692308 0.76263736]";78.11$\pm$2.55;"[0.83076923 0.75494505 0.75494505 0.78021978 0.79230769 0.81098901
 0.7967033  0.77802198 0.76483516 0.74725275]";76.12$\pm$1.19;"[0.76153846 0.74725275 0.74615385 0.77912088 0.75714286 0.77472527
 0.77142857 0.77252747 0.75604396 0.74615385]"
ROCAUC;86.72$\pm$0.69;"[0.86864569 0.87688383 0.86443501 0.87508695 0.86612728 0.85774906
 0.85977901 0.87735177 0.86640071 0.85968724]";88.54$\pm$1.62;"[0.91561647 0.87645695 0.87229657 0.87330153 0.87612607 0.90335104
 0.90878396 0.88419213 0.87179487 0.87199131]";86.48$\pm$0.46;"[0.87052047 0.8677382  0.86239981 0.86587489 0.87274061 0.86255645
 0.8564008  0.86653423 0.86199059 0.86166586]";88.52$\pm$0.65;"[0.8906213  0.88273397 0.87922243 0.88815421 0.89531337 0.88199131
 0.87225033 0.89276537 0.88503729 0.88372117]";89.21$\pm$1.21;"[0.9171972  0.88675885 0.88101706 0.88634827 0.89869641 0.90244536
 0.89898684 0.89334742 0.88303413 0.87313247]";87.96$\pm$0.62;"[0.8833921  0.87267359 0.86662254 0.88556696 0.88273457 0.88131627
 0.88408707 0.88664231 0.87916682 0.87357445]"
AP;90.42$\pm$0.61;"[0.90507092 0.91169855 0.90205654 0.91299473 0.90276738 0.90041765
 0.89464391 0.91099888 0.90563665 0.89523955]";91.56$\pm$1.21;"[0.93832229 0.90911894 0.9064169  0.90802488 0.90621816 0.92938426
 0.93195138 0.91624212 0.90675035 0.90346884]";90.02$\pm$0.43;"[0.90604304 0.90229505 0.89938602 0.90284263 0.90411735 0.90128673
 0.89006483 0.90068554 0.89961629 0.89587033]";91.82$\pm$0.58;"[0.92244639 0.91572241 0.91643197 0.92222928 0.92459748 0.9182943
 0.90405875 0.9244222  0.91942488 0.9143033 ]";92.2$\pm$0.89;"[0.94011736 0.91654774 0.91492375 0.92130222 0.92552551 0.92994385
 0.92621985 0.92379497 0.91573954 0.90603594]";91.35$\pm$0.49;"[0.91587296 0.90868546 0.90668691 0.92050759 0.91484838 0.91609425
 0.91439591 0.91951737 0.91291989 0.90528723]"
pretrain_time;47.45$\pm$2.55;"[51.45913649 45.71250319 48.33560014 46.64605355 45.00972056 45.84062243
 50.99625707 44.15491414 50.57198381 45.82043099]";47.31$\pm$2.35;"[48.93445325 49.78587365 49.41363287 44.82147956 45.03903365 48.94071507
 47.68826795 43.84461045 50.13472533 44.48117852]";46.35$\pm$0.97;"[47.12289476 46.31345129 46.21723437 47.09271288 45.61202836 45.25392389
 46.52860332 44.41959286 47.30837345 47.67495632]";1315.08$\pm$94.77;"[1336.57076335 1422.7492311  1238.96692848 1214.62905455 1309.38066244
 1457.20786977 1338.90508342 1125.1848309  1321.64207745 1385.53219485]";1329.32$\pm$131.41;"[1326.75657034 1418.06018257 1326.70460534 1201.03845143 1292.69652462
 1331.0568254  1644.7550962  1128.64585519 1369.2614882  1254.24771237]";1289.79$\pm$90.98;"[1373.92453575 1391.57537889 1227.38217092 1198.781317   1288.99364114
 1352.21945333 1202.72490525 1125.57181692 1334.02196884 1402.69854617]"
