metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random;bgrl_sbm2_mean;bgrl_sbm2;lbgrl_random_mean;lbgrl_random;lbgrl_sbm2_mean;lbgrl_sbm2
Hits@10;2.0$\pm$1.18;"[0.00338983 0.02372881 0.03050847 0.04745763 0.01355932 0.01355932
 0.02372881 0.02033898 0.01016949 0.01355932]";11.73$\pm$3.03;"[0.16949153 0.15932203 0.12881356 0.13898305 0.10169492 0.11864407
 0.10508475 0.09491525 0.08474576 0.07118644]";6.47$\pm$2.79;"[0.0779661  0.0440678  0.08474576 0.0440678  0.02711864 0.0440678
 0.04745763 0.06440678 0.12542373 0.08813559]";13.19$\pm$3.51;"[0.2        0.11525424 0.17966102 0.11525424 0.12881356 0.12881356
 0.09491525 0.09152542 0.16271186 0.10169492]";9.56$\pm$2.77;"[0.06779661 0.11864407 0.1220339  0.09491525 0.08813559 0.06101695
 0.1559322  0.07118644 0.08135593 0.09491525]"
Hits@20;3.19$\pm$1.39;"[0.01694915 0.02711864 0.05084746 0.06101695 0.03389831 0.02033898
 0.03050847 0.03050847 0.01355932 0.03389831]";18.34$\pm$3.37;"[0.21016949 0.21016949 0.24067797 0.17966102 0.13220339 0.14576271
 0.20677966 0.15932203 0.14915254 0.2       ]";14.14$\pm$2.76;"[0.11864407 0.1559322  0.14576271 0.1220339  0.13559322 0.1220339
 0.1220339  0.11864407 0.21016949 0.16271186]";18.85$\pm$4.66;"[0.29152542 0.15932203 0.22711864 0.16271186 0.17966102 0.15254237
 0.14576271 0.18305085 0.24067797 0.14237288]";14.37$\pm$2.69;"[0.13559322 0.17627119 0.16949153 0.16610169 0.14237288 0.08135593
 0.16610169 0.12881356 0.12542373 0.14576271]"
Hits@50;9.02$\pm$2.17;"[0.09491525 0.0779661  0.10847458 0.12881356 0.09491525 0.06779661
 0.10847458 0.04745763 0.08813559 0.08474576]";30.88$\pm$3.68;"[0.32881356 0.30847458 0.37288136 0.28813559 0.30508475 0.24745763
 0.33559322 0.29830508 0.25762712 0.34576271]";25.22$\pm$3.87;"[0.21355932 0.28135593 0.25084746 0.24745763 0.2779661  0.24067797
 0.23728814 0.23389831 0.34237288 0.19661017]";30.51$\pm$4.87;"[0.39322034 0.27118644 0.35932203 0.28813559 0.31864407 0.25423729
 0.28474576 0.30169492 0.35254237 0.22711864]";25.36$\pm$3.36;"[0.2440678  0.28474576 0.29491525 0.26101695 0.29152542 0.18305085
 0.27118644 0.21694915 0.23389831 0.25423729]"
Hits@100;17.36$\pm$2.33;"[0.2        0.17966102 0.16271186 0.20677966 0.16271186 0.16610169
 0.18644068 0.11864407 0.16949153 0.18305085]";45.69$\pm$4.51;"[0.4440678  0.44067797 0.48135593 0.42711864 0.49830508 0.38644068
 0.53220339 0.51186441 0.40338983 0.4440678 ]";38.71$\pm$3.83;"[0.3220339  0.42711864 0.41016949 0.38644068 0.43389831 0.35932203
 0.36610169 0.38305085 0.44067797 0.34237288]";48.17$\pm$4.38;"[0.54237288 0.48135593 0.53559322 0.50847458 0.51864407 0.4440678
 0.41355932 0.42711864 0.49830508 0.44745763]";40.51$\pm$4.82;"[0.43050847 0.44067797 0.49491525 0.40677966 0.41694915 0.32542373
 0.43728814 0.34915254 0.3559322  0.39322034]"
ROCAUC;29.51$\pm$2.0;"[0.3001264  0.28402183 0.30716461 0.31686297 0.31694915 0.29250215
 0.30199368 0.24325194 0.29547257 0.29218041]";55.73$\pm$2.78;"[0.53984487 0.55299052 0.59094513 0.53907498 0.56391841 0.5224131
 0.59928756 0.575237   0.51107153 0.57819018]";50.98$\pm$2.11;"[0.46792301 0.52264292 0.51811548 0.51879345 0.53234128 0.49576558
 0.50916403 0.49785694 0.54403907 0.49127262]";58.57$\pm$2.85;"[0.62403907 0.5702844  0.62538351 0.59061189 0.60981327 0.55612755
 0.55302499 0.5622867  0.61215743 0.55305947]";50.64$\pm$3.55;"[0.50531456 0.53382361 0.57212295 0.49936225 0.52543522 0.45050273
 0.53031887 0.45408791 0.48043666 0.51258834]"
AP;40.5$\pm$1.34;"[0.40857539 0.39472168 0.41217659 0.43817705 0.40326678 0.39514037
 0.41091747 0.38776331 0.3951966  0.40400362]";60.68$\pm$2.33;"[0.6185993  0.618394   0.63999424 0.59599569 0.6051028  0.58350101
 0.63855765 0.6056691  0.55829316 0.60359182]";54.88$\pm$2.46;"[0.5280781  0.55773306 0.56235635 0.54161227 0.54862706 0.53556767
 0.53167911 0.53898621 0.61457433 0.5289673 ]";62.06$\pm$3.5;"[0.68023154 0.60692498 0.664785   0.62454751 0.63999083 0.59086411
 0.59143211 0.59127396 0.64822489 0.56789057]";56.39$\pm$3.24;"[0.54939003 0.59580866 0.6199651  0.57021475 0.56952258 0.50378009
 0.59431247 0.53201425 0.54192303 0.56239475]"
pretrain_time;nan$\pm$nan;[];0.14$\pm$0.0;"[0.13923502 0.13893056 0.13895631 0.13957477 0.13835764 0.13759518
 0.1389401  0.13756227 0.13916445 0.13966012]";6.54$\pm$0.18;"[6.58236575 6.49820685 6.76704478 6.43024302 6.67378139 6.20865703
 6.24860859 6.64907527 6.69070482 6.67002201]";0.16$\pm$0.0;"[0.15779257 0.16144753 0.1628902  0.1608057  0.15842557 0.15863228
 0.15841174 0.1560564  0.15759444 0.1525445 ]";6.81$\pm$0.37;"[6.5814116  6.52269959 6.76506853 7.29875016 7.53593779 6.94726276
 6.29404283 6.71407747 6.98646927 6.43467188]"
