metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random
Hits@10;34.38$\pm$4.15;"[0.27888446 0.33466135 0.42231076 0.32270916 0.35458167 0.39043825
 0.30677291 0.31075697 0.38247012 0.33466135]";10.36$\pm$3.13;"[0.08366534 0.07569721 0.10358566 0.07968127 0.09163347 0.19123506
 0.10756972 0.09561753 0.11155378 0.09561753]"
Hits@20;43.19$\pm$3.32;"[0.38247012 0.43426295 0.50996016 0.42231076 0.44223108 0.45816733
 0.43426295 0.39840637 0.42629482 0.41035857]";16.73$\pm$3.92;"[0.13944223 0.15139442 0.13545817 0.10756972 0.187251   0.25896414
 0.16334661 0.19521912 0.15936255 0.1752988 ]"
Hits@50;50.52$\pm$5.73;"[0.43426295 0.47808765 0.62151394 0.47011952 0.5498008  0.55776892
 0.5498008  0.4501992  0.47808765 0.46215139]";31.87$\pm$4.39;"[0.25896414 0.23505976 0.29083665 0.31474104 0.3187251  0.3625498
 0.37848606 0.34661355 0.32270916 0.35856574]"
Hits@100;60.36$\pm$5.76;"[0.53784861 0.60557769 0.71713147 0.59760956 0.6374502  0.64541833
 0.65338645 0.55776892 0.56175299 0.52191235]";48.17$\pm$5.14;"[0.39043825 0.40239044 0.46215139 0.45816733 0.47808765 0.54183267
 0.53784861 0.52191235 0.4940239  0.52988048]"
ROCAUC;63.34$\pm$3.92;"[0.59184775 0.63160902 0.71871875 0.62638688 0.65327534 0.64924366
 0.66730687 0.61291091 0.60732369 0.57499602]";53.03$\pm$3.26;"[0.46327836 0.48880177 0.53186457 0.51351566 0.53029317 0.56538785
 0.56946715 0.5542293  0.52740433 0.55850199]"
AP;73.14$\pm$2.87;"[0.68568337 0.72870572 0.78921279 0.72309156 0.74219036 0.75961344
 0.75021262 0.70936182 0.7247389  0.7012179 ]";57.7$\pm$2.8;"[0.53021301 0.55529431 0.56634921 0.54538044 0.58158978 0.6291414
 0.60961455 0.59208512 0.57896193 0.58113406]"
pretrain_time;nan$\pm$nan;[];0.0$\pm$0.0;"[0.00016046 0.0001812  0.00017905 0.00017285 0.00016379 0.00019312
 0.00017691 0.00017452 0.00018167 0.00016665]"
