metrics;grace_enc:gcn_grace_pred:mlp_random_mean;grace_enc:gcn_grace_pred:mlp_random;grace_enc:gcn_bgrl_pred:mlp_random_mean;grace_enc:gcn_bgrl_pred:mlp_random;grace_enc:gcn_ncn_pred:mlp_random_mean;grace_enc:gcn_ncn_pred:mlp_random;bgrl_enc:gcn_grace_pred:mlp_random_mean;bgrl_enc:gcn_grace_pred:mlp_random;bgrl_enc:gcn_bgrl_pred:mlp_random_mean;bgrl_enc:gcn_bgrl_pred:mlp_random;bgrl_enc:gcn_ncn_pred:mlp_random_mean;bgrl_enc:gcn_ncn_pred:mlp_random;lbgrl_enc:gcn_grace_pred:mlp_random_mean;lbgrl_enc:gcn_grace_pred:mlp_random;lbgrl_enc:gcn_bgrl_pred:mlp_random_mean;lbgrl_enc:gcn_bgrl_pred:mlp_random;lbgrl_enc:gcn_ncn_pred:mlp_random_mean;lbgrl_enc:gcn_ncn_pred:mlp_random
Hits@10;45.88$\pm$5.22;[0.38862559 0.44834123 0.50521327 0.52985782 0.42180095];39.87$\pm$4.09;[0.44834123 0.32985782 0.38104265 0.40758294 0.42654028];12.4$\pm$15.21;[0.29668246 0.         0.         0.         0.32322275];0.0$\pm$0.0;[0. 0. 0. 0. 0.];44.38$\pm$5.34;[0.45687204 0.46161137 0.43317536 0.51563981 0.35165877];33.4$\pm$3.76;[0.37061611 0.29668246 0.28151659 0.35165877 0.36966825];39.62$\pm$2.1;[0.36587678 0.40379147 0.43033175 0.39146919 0.38957346];25.4$\pm$13.1;[0.32417062 0.27582938 0.37251185 0.         0.29763033];33.8$\pm$4.76;[0.32796209 0.30521327 0.2957346  0.42938389 0.33175355]
Hits@20;59.62$\pm$2.6;[0.58957346 0.58767773 0.61137441 0.63507109 0.55734597];55.85$\pm$2.08;[0.58293839 0.52227488 0.56966825 0.56682464 0.5507109 ];18.94$\pm$23.2;[0.46635071 0.         0.         0.         0.48056872];0.0$\pm$0.0;[0. 0. 0. 0. 0.];55.73$\pm$2.08;[0.57061611 0.57819905 0.53649289 0.57345972 0.52796209];43.24$\pm$2.25;[0.41232227 0.46066351 0.40094787 0.43791469 0.45023697];46.75$\pm$3.72;[0.43507109 0.4492891  0.51374408 0.51090047 0.42843602];34.71$\pm$17.95;[0.45971564 0.40758294 0.5014218  0.         0.36682464];46.31$\pm$2.97;[0.42085308 0.45592417 0.49383886 0.49952607 0.44549763]
Hits@50;72.11$\pm$2.71;[0.72322275 0.67014218 0.7450237  0.74312796 0.72417062];69.42$\pm$1.92;[0.7042654  0.66919431 0.69383886 0.67962085 0.72417062];52.99$\pm$26.62;[0.61421801 0.69194313 0.         0.67677725 0.66635071];68.09$\pm$3.48;[0.61327014 0.70047393 0.70331754 0.70521327 0.68246445];67.32$\pm$1.06;[0.67582938 0.65876777 0.67772512 0.68909953 0.66445498];62.94$\pm$1.98;[0.61516588 0.63601896 0.61232227 0.66540284 0.61800948];57.71$\pm$2.47;[0.56398104 0.58767773 0.61706161 0.57345972 0.54312796];62.64$\pm$4.42;[0.6464455  0.61421801 0.67014218 0.6549763  0.54597156];64.72$\pm$2.12;[0.64075829 0.63886256 0.67203791 0.66919431 0.61516588]
Hits@100;78.46$\pm$1.93;[0.76682464 0.75734597 0.80758294 0.8        0.79146919];77.95$\pm$1.47;[0.7943128  0.75924171 0.76587678 0.78293839 0.79526066];64.28$\pm$32.24;[0.75734597 0.81990521 0.         0.80947867 0.82748815];72.76$\pm$2.92;[0.68909953 0.76208531 0.70331754 0.72417062 0.75924171];74.35$\pm$1.56;[0.74691943 0.72796209 0.7563981  0.76303318 0.72322275];77.08$\pm$0.67;[0.76777251 0.76303318 0.78009479 0.77725118 0.76587678];66.07$\pm$2.24;[0.65023697 0.66161137 0.70047393 0.65876777 0.63222749];72.25$\pm$4.4;[0.7478673  0.70521327 0.78767773 0.71563981 0.65592417];78.79$\pm$1.79;[0.78483412 0.79146919 0.80663507 0.80094787 0.75545024]
ROCAUC;90.26$\pm$0.74;[0.89399579 0.89507513 0.91065115 0.9114063  0.90199142];90.77$\pm$0.61;[0.91844204 0.90241639 0.9024065  0.90468723 0.91054648];83.92$\pm$15.36;[0.89715865 0.92247029 0.53269783 0.92372948 0.92003324];84.0$\pm$1.42;[0.81645548 0.85291301 0.83274455 0.84246805 0.85533973];88.84$\pm$0.77;[0.89872299 0.87819366 0.89410301 0.89008423 0.88113385];90.69$\pm$0.39;[0.90729516 0.90710316 0.90717594 0.9127113  0.90037421];83.59$\pm$0.64;[0.83002239 0.83962984 0.84411671 0.83880955 0.82678826];87.58$\pm$1.59;[0.88416954 0.86949844 0.89706251 0.87864873 0.84948002];91.58$\pm$1.3;[0.90016277 0.92286427 0.92861256 0.92746973 0.90005975]
AP;92.21$\pm$0.76;[0.91250312 0.91502852 0.9290441  0.93197765 0.92191975];91.95$\pm$0.55;[0.92895581 0.91455857 0.91596465 0.91537912 0.92275615];83.65$\pm$15.97;[0.90706655 0.91511595 0.51721838 0.91911998 0.9239782 ];82.85$\pm$1.35;[0.80871429 0.84024086 0.81804295 0.83083704 0.84481828];91.03$\pm$0.67;[0.91690602 0.90199159 0.91421872 0.9161657  0.90244765];91.19$\pm$0.26;[0.91189485 0.90996473 0.91055262 0.9169267  0.90999277];87.27$\pm$0.58;[0.86843093 0.87367083 0.8809775  0.87627434 0.86434885];89.01$\pm$1.47;[0.89907301 0.88352187 0.91352698 0.88335383 0.8711512 ];92.12$\pm$0.81;[0.91248216 0.92459038 0.92760711 0.93063156 0.91065492]
pretrain_time;13.3$\pm$0.02;[13.2814672  13.27596664 13.31767035 13.30402708 13.31117606];7.56$\pm$2.12;[ 4.54478526  6.03486323  7.64540672  9.03246999 10.53976464];4.0$\pm$0.0;[4.00525951 4.00219679 4.00332117 4.00536823 4.00134516];15.44$\pm$0.18;[15.31874013 15.66799092 15.6409359  15.27977991 15.27222896];21.88$\pm$7.68;[11.02780771 16.44500756 21.84376955 27.29949856 32.76455259];17.88$\pm$0.03;[17.92907429 17.86670899 17.86028671 17.90517378 17.86358547];25.62$\pm$0.01;[25.61188722 25.61927056 25.63797832 25.60979295 25.60965538];19.31$\pm$6.61;[ 9.9991715  14.59856796 19.29170513 23.95382786 28.68410993];4.26$\pm$0.01;[4.26492119 4.26141429 4.25289106 4.25098634 4.24600387]
