metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random
Hits@10;37.44$\pm$4.91;"[0.45853818 0.36184857 0.44575549 0.35365454 0.36807604 0.29826286
 0.4057686  0.32350049 0.33497214 0.39364143]";0.21$\pm$0.07;"[0.00196657 0.00131105 0.00163881 0.00229433 0.00163881 0.00098328
 0.00229433 0.00327761 0.00229433 0.00294985]"
Hits@20;50.98$\pm$5.2;"[0.61324156 0.52605703 0.53982301 0.53785644 0.47590954 0.40707965
 0.53752868 0.48672566 0.47328745 0.50016388]";0.43$\pm$0.12;"[0.0042609  0.00327761 0.00327761 0.00622747 0.00458866 0.00229433
 0.00360538 0.0042609  0.00524418 0.00622747]"
Hits@50;71.61$\pm$4.92;"[0.76630613 0.75122911 0.76532284 0.72336939 0.67191085 0.59128155
 0.71484759 0.73058014 0.73025238 0.71550311]";2.07$\pm$0.64;"[0.01311046 0.02490987 0.01901016 0.03179285 0.0186824  0.01278269
 0.01802688 0.02064897 0.03179285 0.01671583]"
Hits@100;83.43$\pm$2.0;"[0.8548017  0.86201245 0.85349066 0.83218617 0.8056375  0.82038676
 0.83808587 0.83284169 0.84562439 0.79842675]";9.15$\pm$1.79;"[0.08849558 0.11340544 0.08816781 0.10226155 0.1120944  0.10193379
 0.07014094 0.06063586 0.10685021 0.07112422]"
ROCAUC;96.75$\pm$0.3;"[0.96750226 0.96773028 0.97111314 0.96875166 0.96859684 0.96337715
 0.9724473  0.96714192 0.96662142 0.96182074]";82.41$\pm$0.69;"[0.82455871 0.82870001 0.83566846 0.82184422 0.82238018 0.82835708
 0.82251243 0.80715683 0.82513247 0.82473137]"
AP;97.03$\pm$0.27;"[0.972919   0.97097617 0.97385822 0.97093407 0.96949622 0.96506333
 0.9738627  0.96953871 0.96954742 0.96683523]";76.32$\pm$0.93;"[0.76157997 0.7702054  0.77155777 0.77251834 0.76363551 0.76664339
 0.75943489 0.73989802 0.76972172 0.75648606]"
pretrain_time;nan$\pm$nan;[];0.0$\pm$0.0;"[0.00020123 0.00019526 0.00019908 0.00019693 0.00019526 0.00019002
 0.00019383 0.00019693 0.00019884 0.00019288]"
