metrics;louvain_prob_pred_mean;louvain_prob_pred;grace_sbm_mean;grace_sbm;grace_sbm+random_mean;grace_sbm+random;grace_sbm+deg_mean;grace_sbm+deg;grace_sbm+scom_mean;grace_sbm+scom;bgrl_sbm_mean;bgrl_sbm;bgrl_sbm+random_mean;bgrl_sbm+random;bgrl_sbm+deg_mean;bgrl_sbm+deg;bgrl_sbm+scom_mean;bgrl_sbm+scom
Hits@10;21.07$\pm$4.12;"[0.22989378 0.23368741 0.25644917 0.18437026 0.18968134 0.20257967
 0.22534143 0.2754173  0.18740516 0.12215478]";26.44$\pm$5.32;"[0.29362671 0.32776935 0.18968134 0.31638847 0.23899848 0.3414264
 0.19195751 0.27314112 0.20789074 0.26327769]";29.83$\pm$3.11;"[0.33383915 0.34066768 0.29059181 0.31562974 0.26403642 0.29893778
 0.25265554 0.32549317 0.25189681 0.30880121]";27.53$\pm$6.46;"[0.35584219 0.29817906 0.3861912  0.26783005 0.30804249 0.25189681
 0.17905918 0.30197269 0.20182094 0.20182094]";31.76$\pm$4.74;"[0.3262519  0.31714719 0.33763278 0.3383915  0.29286798 0.36267071
 0.27162367 0.41502276 0.25265554 0.26176024]";31.26$\pm$3.49;"[0.3383915  0.34977238 0.36874052 0.31487102 0.28831563 0.2814871
 0.26783005 0.35053111 0.2723824  0.29362671]";34.59$\pm$3.42;"[0.39908953 0.36191199 0.33687405 0.3292868  0.32169954 0.392261
 0.29969651 0.37632777 0.34522003 0.29666161]";29.55$\pm$2.47;"[0.27921093 0.33308042 0.34218513 0.26024279 0.30424886 0.29514416
 0.28983308 0.30197269 0.27389985 0.2754173 ]";34.89$\pm$2.24;"[0.32852807 0.34294385 0.38391502 0.35811836 0.33459788 0.38543247
 0.34673748 0.36267071 0.31411229 0.33156297]"
Hits@20;29.96$\pm$2.89;"[0.32018209 0.29817906 0.31714719 0.27162367 0.28831563 0.30880121
 0.32549317 0.33687405 0.29742033 0.23216995]";39.79$\pm$5.14;"[0.4370258  0.39150228 0.37556904 0.47875569 0.39377845 0.44992413
 0.31183612 0.36646434 0.33004552 0.44385432]";43.6$\pm$3.97;"[0.5        0.44764795 0.48861912 0.45068285 0.41578149 0.44840668
 0.38467375 0.42109256 0.43854325 0.36418816]";38.98$\pm$5.48;"[0.42640364 0.46585736 0.47799697 0.38239757 0.3892261  0.37025797
 0.28679818 0.392261   0.37936267 0.32701062]";44.51$\pm$3.3;"[0.4522003  0.46509863 0.47344461 0.46206373 0.42640364 0.49848255
 0.3952959  0.46737481 0.40440061 0.40591806]";37.44$\pm$2.91;"[0.41122914 0.40895296 0.41881639 0.34597876 0.36722307 0.35735964
 0.33990895 0.39377845 0.34370258 0.35660091]";42.28$\pm$2.82;"[0.45751138 0.46889226 0.45295903 0.41729894 0.40212443 0.43247344
 0.37936267 0.42261002 0.39984825 0.3952959 ]";34.43$\pm$3.96;"[0.323217   0.42943854 0.40743551 0.30424886 0.34218513 0.32245827
 0.32018209 0.34825493 0.30804249 0.33763278]";42.28$\pm$2.16;"[0.41274659 0.43626707 0.43930197 0.42412747 0.41957511 0.45599393
 0.42488619 0.44157815 0.38163885 0.392261  ]"
Hits@50;33.69$\pm$1.47;"[0.33687405 0.323217   0.35204856 0.3292868  0.32776935 0.35356601
 0.34522003 0.35963581 0.33080425 0.31031866]";59.59$\pm$2.6;"[0.59256449 0.55235205 0.58421851 0.63808801 0.62822458 0.60318665
 0.58042489 0.56449165 0.62063733 0.59484067]";63.01$\pm$2.91;"[0.64946889 0.67147193 0.64264036 0.66540212 0.64264036 0.61153263
 0.56904401 0.60546282 0.62518968 0.61836115]";54.41$\pm$5.27;"[0.55311077 0.64795144 0.64036419 0.50227618 0.53186646 0.52579666
 0.50758725 0.52503794 0.49013657 0.51669196]";63.57$\pm$2.25;"[0.62443096 0.65326252 0.64719272 0.66236722 0.66540212 0.65402124
 0.62518968 0.61911988 0.6047041  0.60091047]";44.94$\pm$3.18;"[0.47951442 0.49317147 0.5        0.41729894 0.43930197 0.4400607
 0.40515933 0.46433991 0.44081942 0.41426404]";50.46$\pm$2.31;"[0.51820941 0.52124431 0.54172989 0.47875569 0.5091047  0.52427921
 0.47572079 0.51820941 0.48786039 0.47116844]";41.66$\pm$4.16;"[0.40515933 0.48786039 0.5030349  0.38846737 0.42109256 0.37936267
 0.392261   0.39605463 0.37860395 0.41426404]";49.86$\pm$2.3;"[0.5        0.51593323 0.52503794 0.4939302  0.49241275 0.52124431
 0.47951442 0.52883156 0.45675266 0.47268589]"
Hits@100;36.29$\pm$1.3;"[0.35735964 0.34977238 0.3831563  0.35811836 0.35811836 0.38391502
 0.36267071 0.37632777 0.35584219 0.34370258]";73.4$\pm$1.77;"[0.72989378 0.74734446 0.75644917 0.75113809 0.74658574 0.74051593
 0.7276176  0.70713202 0.73368741 0.69954476]";75.16$\pm$1.94;"[0.73216995 0.784522   0.7814871  0.74658574 0.76858877 0.74355083
 0.74279211 0.74051593 0.75265554 0.72306525]";68.51$\pm$4.96;"[0.68512898 0.78679818 0.76858877 0.63657056 0.64795144 0.6707132
 0.65098634 0.64264036 0.66691958 0.69499241]";74.44$\pm$2.44;"[0.7215478  0.75265554 0.79817906 0.74430956 0.75872534 0.75644917
 0.74506829 0.71927162 0.74203338 0.70561457]";50.88$\pm$3.16;"[0.53566009 0.55159332 0.54324734 0.48937785 0.47723824 0.5
 0.47268589 0.54931715 0.50227618 0.46661608]";56.71$\pm$2.19;"[0.57587253 0.58421851 0.60925645 0.52959029 0.56980273 0.57207891
 0.5538695  0.57890744 0.55918058 0.53793627]";48.68$\pm$3.37;"[0.46585736 0.53641882 0.56373293 0.46433991 0.49620637 0.45751138
 0.47647951 0.46509863 0.47040971 0.47192716]";55.17$\pm$1.99;"[0.54628225 0.57587253 0.57814871 0.5477997  0.54400607 0.55766313
 0.52883156 0.57966616 0.51820941 0.54097117]"
ROCAUC;65.21$\pm$0.82;"[0.64280616 0.66028274 0.660201   0.64909183 0.64522452 0.65998915
 0.66004384 0.65634405 0.65080948 0.63632533]";91.44$\pm$0.92;"[0.92753309 0.90792885 0.92867061 0.91472169 0.9181112  0.91267635
 0.91589547 0.91415408 0.90957976 0.89457287]";90.65$\pm$1.13;"[0.90711947 0.91826433 0.93013337 0.89342499 0.91140874 0.90084818
 0.90771471 0.8996888  0.90748505 0.88919156]";90.86$\pm$0.51;"[0.91332254 0.91641184 0.91323245 0.90369599 0.9060234  0.90577702
 0.89932613 0.90522294 0.91210423 0.9111376 ]";90.49$\pm$1.28;"[0.89903427 0.90338283 0.92800399 0.8954922  0.90780911 0.91566779
 0.91705601 0.89908492 0.90487359 0.87888257]";75.22$\pm$1.64;"[0.77501318 0.76597986 0.7633226  0.72594933 0.74059595 0.7463831
 0.74284392 0.76809197 0.76450018 0.72961458]";78.45$\pm$1.23;"[0.78688856 0.78714243 0.80348121 0.76946148 0.79168787 0.79311494
 0.78545285 0.79250301 0.77629557 0.75885947]";77.79$\pm$1.35;"[0.76768584 0.76386487 0.77504715 0.76694122 0.80366226 0.78454215
 0.79552323 0.76045349 0.78572865 0.77568239]";77.87$\pm$0.89;"[0.77558482 0.78751315 0.78532736 0.77281415 0.77908255 0.79167089
 0.77588531 0.78721957 0.76058039 0.7714504 ]"
AP;72.24$\pm$0.94;"[0.7179795  0.72339136 0.73383882 0.71331474 0.71566182 0.73255257
 0.72733746 0.73493848 0.72048168 0.70438602]";91.54$\pm$0.66;"[0.92574862 0.91443259 0.9222141  0.92273331 0.91652799 0.9155568
 0.90771764 0.91520333 0.90972354 0.90366207]";91.55$\pm$0.77;"[0.91885384 0.92551979 0.93178568 0.91011635 0.91664952 0.90808757
 0.91230941 0.91215049 0.91474163 0.9047926 ]";90.88$\pm$0.84;"[0.91586148 0.9220331  0.92322079 0.90186445 0.90633836 0.90430811
 0.8953495  0.90588259 0.90576612 0.90765785]";91.43$\pm$0.88;"[0.911368   0.91305579 0.93139183 0.91266351 0.91672516 0.92172912
 0.92024697 0.91331357 0.90573008 0.89703822]";80.94$\pm$1.44;"[0.82754818 0.8251417  0.82290028 0.79242463 0.7998208  0.80446943
 0.79597582 0.82580311 0.81231549 0.78806303]";83.67$\pm$0.99;"[0.8416259  0.84208773 0.85163111 0.82464071 0.8411448  0.84142029
 0.83436806 0.84510847 0.82654356 0.81810955]";81.8$\pm$0.91;"[0.80945238 0.8213732  0.83092805 0.80729897 0.83354646 0.81668984
 0.82582439 0.80705781 0.81573056 0.81238472]";83.21$\pm$0.78;"[0.83029091 0.83990985 0.83940659 0.8284724  0.83182507 0.84018758
 0.82788252 0.84151723 0.81597128 0.8250694 ]"
pretrain_time;nan$\pm$nan;[];865.54$\pm$123.25;"[ 821.66241097  804.86407208  709.9288137   858.08434725  736.57189965
 1020.76656318  979.14967513  850.46748209  766.71757197 1107.21644855]";1243.05$\pm$320.24;"[1535.62187552  807.39657354 1061.55160809 1594.21107841  906.25721955
 1524.34713459 1591.5706563  1406.65718007  740.34464121 1262.52909517]";1280.21$\pm$313.3;"[1426.57068491 1032.37606549 1506.41644025  975.67716908 1631.87971878
 1129.64944744  978.12164497 1575.76064754  809.26094246 1736.39587569]";1272.58$\pm$331.99;"[1401.59126163 1661.19803905  801.39966893 1374.97533131 1635.50120091
 1229.95400596  821.82673907 1570.08074284  777.77805948 1451.45235443]";1220.82$\pm$141.28;"[1202.52292323 1586.35328627 1130.40515375 1108.52462721 1111.04533029
 1249.00682163 1121.6285789  1183.14897776 1162.8156116  1352.71882463]";1109.34$\pm$293.57;"[ 934.8784883  1652.40931463 1679.58957076 1023.20543361  834.14838696
 1032.239784    869.63140345  910.42393684  970.62763596 1186.23898935]";1471.95$\pm$136.65;"[1551.78876805 1600.81651926 1561.16641116 1240.88504744 1209.74386907
 1510.89402533 1587.47176051 1516.45723081 1561.77857447 1378.54400301]";1571.1$\pm$109.92;"[1537.16471267 1650.79620981 1674.690413   1452.05025482 1336.85047913
 1515.14963841 1590.091573   1589.91173911 1631.90796852 1732.35520577]"
