metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random;bgrl_sbm2_mean;bgrl_sbm2;lbgrl_random_mean;lbgrl_random;lbgrl_sbm2_mean;lbgrl_sbm2
Hits@10;79.19$\pm$5.37;"[0.80352645 0.73803526 0.85894207 0.77833753 0.85642317 0.85138539
 0.7279597  0.81360202 0.697733   0.79345088]";76.52$\pm$5.32;"[0.79345088 0.70025189 0.7884131  0.74559194 0.83879093 0.82619647
 0.74055416 0.81108312 0.66498741 0.74307305]";27.28$\pm$6.44;"[0.19395466 0.28967254 0.40554156 0.28463476 0.30730479 0.18387909
 0.2115869  0.23425693 0.29471033 0.32241814]";70.65$\pm$3.19;"[0.70277078 0.68765743 0.72040302 0.72040302 0.74811083 0.70780856
 0.67254408 0.76070529 0.64735516 0.697733  ]";25.94$\pm$5.17;"[0.16120907 0.29219144 0.28463476 0.32241814 0.25692695 0.21914358
 0.23677582 0.32241814 0.29974811 0.19899244]"
Hits@20;89.75$\pm$2.88;"[0.90176322 0.89672544 0.9093199  0.84382872 0.91939547 0.92695214
 0.91435768 0.92443325 0.84382872 0.89420655]";87.66$\pm$2.8;"[0.86649874 0.85390428 0.88664987 0.81360202 0.89420655 0.89924433
 0.89672544 0.91687657 0.8790932  0.85894207]";46.32$\pm$3.69;"[0.3929471  0.45843829 0.49622166 0.48110831 0.47607053 0.40806045
 0.5138539  0.46599496 0.49622166 0.44332494]";80.33$\pm$1.8;"[0.81360202 0.77329975 0.79093199 0.78589421 0.79848866 0.80856423
 0.83123426 0.83123426 0.80856423 0.79093199]";39.92$\pm$5.81;"[0.29219144 0.37783375 0.40302267 0.3929471  0.4534005  0.31989924
 0.44332494 0.49118388 0.44080605 0.37783375]"
Hits@50;94.86$\pm$1.22;"[0.95717884 0.95465995 0.92947103 0.92695214 0.95465995 0.95717884
 0.95717884 0.95465995 0.95969773 0.93450882]";94.46$\pm$1.35;"[0.93702771 0.94206549 0.9395466  0.92443325 0.94458438 0.95969773
 0.9697733  0.95717884 0.92695214 0.94458438]";67.66$\pm$4.35;"[0.62972292 0.70025189 0.64231738 0.64483627 0.61460957 0.71788413
 0.74307305 0.73551637 0.65491184 0.68261965]";90.43$\pm$2.03;"[0.90680101 0.91435768 0.88161209 0.85894207 0.91435768 0.90428212
 0.92947103 0.92443325 0.89168766 0.91687657]";62.09$\pm$4.38;"[0.60957179 0.5768262  0.61209068 0.6070529  0.59445844 0.64735516
 0.65994962 0.697733   0.66246851 0.54156171]"
Hits@100;96.2$\pm$0.82;"[0.9697733  0.96221662 0.94710327 0.94962217 0.96221662 0.95969773
 0.97481108 0.96473552 0.9697733  0.95969773]";96.78$\pm$0.81;"[0.97229219 0.96473552 0.96473552 0.95465995 0.96473552 0.98236776
 0.97732997 0.97229219 0.95717884 0.96725441]";81.16$\pm$3.11;"[0.78337531 0.81612091 0.79345088 0.77329975 0.79596977 0.82871537
 0.86397985 0.86901763 0.79345088 0.79848866]";94.81$\pm$1.18;"[0.92695214 0.95717884 0.92947103 0.94206549 0.95465995 0.94710327
 0.96221662 0.95969773 0.94458438 0.95717884]";75.72$\pm$2.41;"[0.74307305 0.74307305 0.73803526 0.73551637 0.73551637 0.76322418
 0.80604534 0.79345088 0.77078086 0.74307305]"
ROCAUC;96.04$\pm$0.7;"[0.96981771 0.96170269 0.95168423 0.94712872 0.96376476 0.96377745
 0.97014859 0.96123069 0.95816727 0.95619042]";96.6$\pm$0.43;"[0.96419621 0.96266711 0.96445634 0.96133883 0.96562379 0.97404336
 0.97155433 0.97036486 0.96062877 0.96505436]";85.68$\pm$1.58;"[0.83386736 0.8653884  0.85755255 0.84299545 0.84612554 0.85442456
 0.88886345 0.87735669 0.85632752 0.84486178]";95.07$\pm$0.53;"[0.94759183 0.95398105 0.94097418 0.9442727  0.95253444 0.94835955
 0.955983   0.95815205 0.94918216 0.95571214]";82.39$\pm$1.7;"[0.82190738 0.81843042 0.81745332 0.80776913 0.81177471 0.8182718
 0.86034781 0.84473832 0.83593406 0.80202787]"
AP;96.75$\pm$0.57;"[0.97437493 0.9698183  0.96555677 0.96049941 0.97426932 0.9692728
 0.97350402 0.96814669 0.95666103 0.9627793 ]";96.95$\pm$0.39;"[0.96920161 0.96666238 0.97049213 0.96526757 0.97237445 0.97755152
 0.97316144 0.97068833 0.96492988 0.96516084]";85.04$\pm$1.32;"[0.82448618 0.85149357 0.86651713 0.84306375 0.83880795 0.84591877
 0.86759979 0.8656957  0.85629535 0.84376723]";95.68$\pm$0.26;"[0.95608817 0.9585836  0.95251875 0.95303079 0.96003093 0.95715814
 0.96007412 0.95935571 0.95441209 0.95655014]";82.31$\pm$1.53;"[0.80888511 0.81671077 0.82684572 0.82008167 0.81640259 0.81639876
 0.84131285 0.84637268 0.84218978 0.7955143 ]"
pretrain_time;nan$\pm$nan;[];0.05$\pm$0.0;"[0.06098914 0.04454565 0.04477525 0.04488635 0.04471803 0.04468608
 0.0447495  0.04507113 0.04480386 0.04457879]";0.51$\pm$0.13;"[0.64011621 0.47719455 0.54972363 0.73368239 0.53696632 0.54586387
 0.5577271  0.43350911 0.25473142 0.36661553]";0.05$\pm$0.0;"[0.05189157 0.05062532 0.0499332  0.04980612 0.04993057 0.04959583
 0.04982996 0.05063176 0.0498457  0.04965615]";0.39$\pm$0.17;"[0.25756073 0.26036167 0.260149   0.26159048 0.43155241 0.25856233
 0.25920773 0.56584239 0.56700993 0.76426649]"
