metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random;bgrl_sbm2_mean;bgrl_sbm2;lbgrl_random_mean;lbgrl_random;lbgrl_sbm2_mean;lbgrl_sbm2
Hits@10;60.58$\pm$5.23;[0.65644172 0.53374233 0.62730061];64.72$\pm$4.62;[0.66641104 0.58358896 0.69171779];44.3$\pm$6.65;[0.4708589  0.35122699 0.50690184];56.08$\pm$5.45;[0.60276074 0.48389571 0.5958589 ];37.42$\pm$0.6;[0.37730061 0.36579755 0.37960123]
Hits@20;77.4$\pm$3.74;[0.7845092  0.72392638 0.81365031];77.56$\pm$3.85;[0.74386503 0.75306748 0.8297546 ];59.3$\pm$2.02;[0.58665644 0.57208589 0.62039877];65.36$\pm$1.35;[0.65337423 0.63726994 0.6702454 ];52.91$\pm$6.49;[0.61119632 0.45245399 0.52377301]
Hits@50;90.34$\pm$0.38;[0.90107362 0.90030675 0.90874233];87.24$\pm$2.5;[0.84969325 0.86042945 0.90720859];70.48$\pm$3.51;[0.70322086 0.66257669 0.74846626];80.21$\pm$2.07;[0.77684049 0.80214724 0.82745399];68.84$\pm$5.02;[0.6940184  0.62423313 0.74693252]
Hits@100;94.91$\pm$0.07;[0.94861963 0.95015337 0.94861963];93.66$\pm$0.96;[0.9309816  0.92868098 0.95015337];83.41$\pm$1.07;[0.8243865  0.82898773 0.84892638];88.62$\pm$1.61;[0.86349693 0.89800613 0.89723926];79.73$\pm$2.57;[0.79831288 0.76533742 0.82822086]
ROCAUC;97.66$\pm$0.15;[0.97816662 0.97453182 0.97697622];97.44$\pm$0.15;[0.9743045  0.97261258 0.97617818];95.11$\pm$0.3;[0.94938119 0.94851848 0.95527153];96.64$\pm$0.23;[0.96443325 0.96499268 0.96964743];93.67$\pm$0.59;[0.93754904 0.92912558 0.94355322]
AP;97.72$\pm$0.15;[0.97934698 0.97582986 0.97652639];97.79$\pm$0.24;[0.97732931 0.97524496 0.98102645];95.25$\pm$0.35;[0.95177209 0.94864911 0.95719619];96.72$\pm$0.27;[0.96672068 0.96423973 0.97074416];94.11$\pm$0.68;[0.94323282 0.93198219 0.94812793]
pretrain_time;nan$\pm$nan;[];0.14$\pm$0.0;[0.13888836 0.13811159 0.1373105 ];2.12$\pm$0.04;[2.14113402 2.1560812  2.07389045];0.17$\pm$0.0;[0.16637301 0.16517282 0.1649828 ];2.11$\pm$0.12;[1.94397831 2.15835428 2.23655415]
