metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random;bgrl_sbm2_mean;bgrl_sbm2;lbgrl_random_mean;lbgrl_random;lbgrl_sbm2_mean;lbgrl_sbm2
Hits@10;60.58$\pm$5.23;[0.65644172 0.53374233 0.62730061];58.23$\pm$6.26;[0.62960123 0.49386503 0.62346626];39.37$\pm$5.34;[0.44861963 0.32131902 0.41104294];52.97$\pm$3.76;[0.51150307 0.49539877 0.58205521];44.58$\pm$4.56;[0.50920245 0.42407975 0.4041411 ]
Hits@20;77.4$\pm$3.74;[0.7845092  0.72392638 0.81365031];69.84$\pm$1.48;[0.68711656 0.68865031 0.71932515];52.89$\pm$8.21;[0.61579755 0.41871166 0.55214724];65.41$\pm$1.5;[0.65797546 0.63420245 0.6702454 ];55.7$\pm$3.1;[0.59125767 0.56365031 0.51610429]
Hits@50;90.34$\pm$0.38;[0.90107362 0.90030675 0.90874233];83.64$\pm$1.35;[0.83052147 0.82361963 0.85506135];69.86$\pm$1.52;[0.71932515 0.68328221 0.69325153];79.06$\pm$2.2;[0.76533742 0.78757669 0.8190184 ];68.97$\pm$0.42;[0.6940184  0.69095092 0.68404908]
Hits@100;94.91$\pm$0.07;[0.94861963 0.95015337 0.94861963];91.51$\pm$0.82;[0.90567485 0.91411043 0.9256135 ];81.26$\pm$1.96;[0.83435583 0.78680982 0.81671779];87.58$\pm$1.01;[0.87423313 0.8642638  0.88880368];79.91$\pm$1.23;[0.78527607 0.79677914 0.81518405]
ROCAUC;97.66$\pm$0.15;[0.97816662 0.97453182 0.97697622];97.12$\pm$0.04;[0.97133332 0.97159225 0.97054603];94.66$\pm$0.56;[0.95249298 0.93910373 0.94825443];96.23$\pm$0.06;[0.96240795 0.96156705 0.962962  ];93.6$\pm$0.04;[0.93573171 0.93657846 0.93570691]
AP;97.72$\pm$0.15;[0.97934698 0.97582986 0.97652639];97.35$\pm$0.12;[0.97384249 0.97190417 0.97476418];94.77$\pm$0.67;[0.95493291 0.93883997 0.94934841];96.42$\pm$0.13;[0.96399809 0.96273582 0.96584015];94.08$\pm$0.08;[0.94189789 0.94021244 0.94041636]
pretrain_time;nan$\pm$nan;[];0.05$\pm$0.0;[0.04899716 0.04841971 0.04801726];0.64$\pm$0.01;[0.63886547 0.65216947 0.62901282];0.06$\pm$0.0;[0.05855751 0.05813098 0.06102586];0.64$\pm$0.01;[0.64538741 0.65652394 0.62898254]
