metrics;baseline_mean;baseline;grace_random_mean;grace_random;grace_deg_mean;grace_deg;grace_pr_mean;grace_pr;grace_evc_mean;grace_evc;grace_scom_mean;grace_scom;grace_random+scom_mean;grace_random+scom;grace_random+deg_mean;grace_random+deg;grace_deg+scom_mean;grace_deg+scom;bgrl_random_mean;bgrl_random;bgrl_deg_mean;bgrl_deg;bgrl_pr_mean;bgrl_pr;bgrl_evc_mean;bgrl_evc;bgrl_scom_mean;bgrl_scom;bgrl_random+scom_mean;bgrl_random+scom;bgrl_random+deg_mean;bgrl_random+deg;bgrl_deg+scom_mean;bgrl_deg+scom
Hits@10;33.14$\pm$4.41;"[0.31836643 0.31283845 0.40004513 0.38752256 0.30606949 0.34690884
 0.27098375 0.35525722 0.25857401 0.35694946]";30.91$\pm$4.95;"[0.37161552 0.29648014 0.37105144 0.26060469 0.31385379 0.21265794
 0.27154783 0.2982852  0.36270307 0.33179152]";35.01$\pm$5.23;"[0.39857852 0.30505415 0.35931859 0.30121841 0.30381318 0.28463448
 0.37274368 0.45284296 0.39857852 0.32412004]";31.81$\pm$5.72;"[0.34826264 0.34544224 0.34792419 0.29659296 0.36349278 0.19821751
 0.31374097 0.41561372 0.285537   0.26579422]";32.43$\pm$3.88;"[0.30618231 0.34634477 0.36947202 0.31881769 0.36631318 0.26556859
 0.28000903 0.3870713  0.30494134 0.29839801]";34.49$\pm$4.05;"[0.40613718 0.39113267 0.36281588 0.27278881 0.34747292 0.27967058
 0.3295352  0.35480596 0.36371841 0.34115523]";32.66$\pm$4.05;"[0.35548285 0.35548285 0.39372744 0.27639892 0.35277527 0.26071751
 0.28801895 0.30934116 0.3551444  0.31915614]";31.6$\pm$5.18;"[0.29693141 0.29208032 0.39970668 0.31385379 0.37014892 0.2038583
 0.33641697 0.29467509 0.35976986 0.29219314]";31.74$\pm$6.46;"[0.35931859 0.28576264 0.39305054 0.29208032 0.38030235 0.17238267
 0.26274819 0.379287   0.30595668 0.34352437]";33.49$\pm$4.72;"[0.31013087 0.39948105 0.31283845 0.34532942 0.25530235 0.31486913
 0.27944495 0.41087545 0.35548285 0.36484657]";31.69$\pm$4.29;"[0.35875451 0.34352437 0.29004964 0.34420126 0.29365975 0.21931408
 0.32254061 0.36552347 0.34747292 0.28418321]";31.86$\pm$5.75;"[0.31949458 0.34984206 0.30347473 0.34453971 0.26714801 0.21987816
 0.28463448 0.45103791 0.31836643 0.3273917 ]";31.71$\pm$2.76;"[0.32017148 0.34318592 0.35187274 0.30832581 0.27109657 0.28993682
 0.28542419 0.32897112 0.31419224 0.35773917]";32.75$\pm$4.94;"[0.2862139  0.39192238 0.33404783 0.30031588 0.36777978 0.29693141
 0.22529332 0.32682762 0.39000451 0.35604693]";31.6$\pm$4.43;"[0.36134928 0.33393502 0.34532942 0.31261282 0.24763087 0.25112816
 0.33359657 0.39056859 0.30731047 0.27617329]";33.54$\pm$4.44;"[0.37883574 0.33923736 0.38549188 0.29839801 0.33731949 0.31577166
 0.25270758 0.38898917 0.37184116 0.28508574]";32.12$\pm$5.68;"[0.34724729 0.41922383 0.31689982 0.31780235 0.30065433 0.2094991
 0.26150722 0.39384025 0.31362816 0.33212996]"
Hits@20;47.89$\pm$3.19;"[0.49052347 0.41290614 0.46965253 0.48612365 0.52154783 0.48307762
 0.45769404 0.52515794 0.4488944  0.49334386]";45.93$\pm$4.66;"[0.441787   0.41651625 0.47506769 0.47958032 0.50180505 0.35525722
 0.43276173 0.50586643 0.46739621 0.51714801]";47.68$\pm$4.36;"[0.47292419 0.42633123 0.50259477 0.47179603 0.4836417  0.37646661
 0.48905686 0.54016245 0.49413357 0.51116877]";45.21$\pm$5.78;"[0.4715704  0.47597022 0.47788809 0.40162455 0.52312726 0.35537004
 0.48194946 0.52143502 0.45509928 0.35661101]";45.68$\pm$3.77;"[0.46739621 0.46671931 0.47946751 0.46581679 0.51647112 0.40117329
 0.40884477 0.50846119 0.42599278 0.42768502]";47.68$\pm$3.93;"[0.51365072 0.47236011 0.52549639 0.48115975 0.50462545 0.38199458
 0.45712996 0.50688177 0.47111913 0.45329422]";46.48$\pm$3.04;"[0.49413357 0.44596119 0.51872744 0.43400271 0.48589801 0.41087545
 0.47044224 0.48285199 0.46062726 0.44415614]";46.27$\pm$3.7;"[0.44979693 0.41741877 0.52944495 0.47845217 0.48668773 0.39045578
 0.46310921 0.49142599 0.46908845 0.45160199]";46.43$\pm$6.04;"[0.48916968 0.42102888 0.4900722  0.47032942 0.53677798 0.31667419
 0.47055505 0.49469765 0.42734657 0.52673736]";45.29$\pm$2.1;"[0.45566336 0.45498646 0.43208484 0.46886282 0.44122292 0.46717058
 0.43862816 0.50236913 0.43355144 0.43434116]";44.27$\pm$3.45;"[0.495713   0.43152076 0.40185018 0.40309116 0.45295578 0.38650722
 0.44325361 0.46277076 0.47630866 0.47326264]";46.41$\pm$3.45;"[0.50597924 0.42554152 0.49232852 0.43197202 0.43197202 0.43795126
 0.48826715 0.52594765 0.43727437 0.46401173]";45.65$\pm$3.47;"[0.4900722  0.47980596 0.46152978 0.44156137 0.40297834 0.41696751
 0.41606498 0.51523014 0.48025722 0.46085289]";47.16$\pm$2.9;"[0.48781588 0.526963   0.464463   0.44483303 0.504287   0.42531588
 0.43953069 0.46953971 0.47484206 0.47890343]";46.66$\pm$4.24;"[0.50135379 0.48307762 0.45780686 0.45408394 0.44415614 0.44720217
 0.45972473 0.4900722  0.54986462 0.37815884]";46.35$\pm$4.08;"[0.52267599 0.45814531 0.47213448 0.37725632 0.47450361 0.47292419
 0.42317238 0.49706679 0.50439982 0.43276173]";47.35$\pm$2.53;"[0.49593863 0.48431859 0.46277076 0.48161101 0.48037004 0.41459838
 0.46829874 0.49232852 0.50643051 0.44878159]"
Hits@50;65.59$\pm$3.52;"[0.64745036 0.64609657 0.65263989 0.59882671 0.68840253 0.61845668
 0.72179603 0.69844314 0.64745036 0.63977888]";66.17$\pm$3.49;"[0.64880415 0.65715253 0.65771661 0.66143953 0.69088448 0.56994585
 0.70904783 0.67305957 0.67317238 0.67565433]";65.18$\pm$2.13;"[0.65952166 0.63515343 0.66888538 0.6413583  0.67655686 0.60852888
 0.62951264 0.67170578 0.65444495 0.67249549]";66.31$\pm$2.26;"[0.67858755 0.66662906 0.69020758 0.63030235 0.67587996 0.61191336
 0.66414711 0.66640343 0.6761056  0.67080325]";65.21$\pm$2.19;"[0.63819946 0.65286552 0.63797383 0.62894856 0.68332581 0.61428249
 0.65726534 0.68558213 0.65286552 0.66978791]";67.24$\pm$2.77;"[0.67881318 0.67339801 0.66561372 0.6583935  0.6967509  0.60390343
 0.67384928 0.69641245 0.6661778  0.7109657 ]";66.16$\pm$3.29;"[0.67745939 0.64790162 0.64406588 0.60018051 0.69652527 0.60999549
 0.69765343 0.67881318 0.68140794 0.68185921]";65.66$\pm$2.45;"[0.65952166 0.63176895 0.68659747 0.66076264 0.65737816 0.60266245
 0.68095668 0.67937726 0.63910199 0.66775722]";66.23$\pm$3.12;"[0.68524368 0.64711191 0.64880415 0.64880415 0.71875    0.60751354
 0.67847473 0.66245487 0.63007671 0.69607401]";61.81$\pm$1.76;"[0.62251805 0.62263087 0.6079648  0.59228339 0.63695848 0.58472473
 0.61304152 0.64034296 0.62939982 0.63143051]";61.91$\pm$2.07;"[0.65647563 0.6101083  0.60706227 0.59634477 0.63763538 0.59453971
 0.59465253 0.62330776 0.64000451 0.63131769]";62.32$\pm$2.03;"[0.65027076 0.63413809 0.61495939 0.60740072 0.63628159 0.57874549
 0.61112365 0.64620939 0.61902076 0.63391245]";62.08$\pm$2.65;"[0.62387184 0.63447653 0.59600632 0.6178926  0.63413809 0.55877708
 0.61597473 0.66313177 0.6243231  0.63910199]";62.99$\pm$2.6;"[0.65478339 0.65320397 0.61067238 0.62172834 0.65027076 0.56847924
 0.62229242 0.65207581 0.61890794 0.64677347]";62.7$\pm$2.43;"[0.6704648  0.61800542 0.61304152 0.6036778  0.63673285 0.58731949
 0.61856949 0.64282491 0.66042419 0.61868231]";63.51$\pm$2.83;"[0.6633574  0.62296931 0.60142148 0.59781137 0.65974729 0.59205776
 0.65049639 0.66042419 0.66978791 0.63267148]";62.29$\pm$1.71;"[0.6448556  0.64158394 0.61710289 0.60773917 0.63346119 0.58799639
 0.60717509 0.62172834 0.6299639  0.63695848]"
Hits@100;77.46$\pm$2.27;"[0.76049188 0.78136282 0.77312726 0.74684116 0.79512635 0.72675993
 0.80629513 0.79208032 0.7805731  0.78328069]";77.59$\pm$1.87;"[0.79772112 0.77357852 0.76895307 0.76816336 0.78079874 0.72901625
 0.79129061 0.77143502 0.79512635 0.78260379]";77.86$\pm$1.6;"[0.78226534 0.77639892 0.7840704  0.75338448 0.78756769 0.74582581
 0.78801895 0.77865523 0.78880866 0.80133123]";77.87$\pm$1.89;"[0.77662455 0.79162906 0.80505415 0.75383574 0.78610108 0.7379287
 0.79241877 0.77515794 0.77639892 0.79208032]";77.5$\pm$1.37;"[0.76759928 0.78948556 0.76827617 0.75643051 0.79817238 0.75789711
 0.79287004 0.76895307 0.78000903 0.77041968]";78.47$\pm$1.57;"[0.78474729 0.78305505 0.7862139  0.77064531 0.8025722  0.74593863
 0.79569043 0.79309567 0.7840704  0.80076715]";77.62$\pm$1.96;"[0.77809116 0.77899368 0.76805054 0.74763087 0.79343412 0.73352888
 0.79038809 0.78880866 0.79162906 0.79185469]";77.54$\pm$1.38;"[0.77538357 0.75654332 0.77572202 0.77267599 0.7862139  0.74582581
 0.7911778  0.78350632 0.79038809 0.77639892]";78.85$\pm$1.19;"[0.78068592 0.77639892 0.7791065  0.7819269  0.80798736 0.77064531
 0.8011056  0.78993682 0.79490072 0.80200812]";71.03$\pm$1.43;"[0.71920126 0.71717058 0.69336643 0.70092509 0.71875    0.67802347
 0.71085289 0.72495487 0.71728339 0.72269856]";72.44$\pm$1.97;"[0.72506769 0.73995939 0.71683213 0.70351986 0.75383574 0.68140794
 0.71784747 0.73488267 0.73115975 0.73962094]";72.62$\pm$1.7;"[0.7237139  0.73815433 0.7109657  0.71412455 0.74593863 0.68862816
 0.72224729 0.7422157  0.73533394 0.74086191]";72.47$\pm$1.77;"[0.72450361 0.73070848 0.70972473 0.70893502 0.74210289 0.68546931
 0.72980596 0.74458484 0.74390794 0.72743682]";72.95$\pm$1.87;"[0.72969314 0.72946751 0.71559116 0.71999097 0.75270758 0.68377708
 0.74199007 0.73476986 0.74435921 0.74232852]";73.33$\pm$1.76;"[0.75676895 0.72405235 0.70555054 0.71344765 0.74323105 0.7109657
 0.7336417  0.74864621 0.74954874 0.74684116]";73.79$\pm$2.18;"[0.75146661 0.72563177 0.71198105 0.71017599 0.76872744 0.70611462
 0.73950812 0.76083032 0.74638989 0.75789711]";72.8$\pm$1.8;"[0.7351083  0.73386733 0.70769404 0.71750903 0.75564079 0.69156137
 0.72134477 0.73070848 0.74638989 0.74029783]"
ROCAUC;98.29$\pm$0.09;"[0.98259883 0.98344147 0.9837012  0.98147725 0.98210588 0.98146119
 0.98317668 0.9845213  0.98351829 0.98279166]";97.5$\pm$0.1;"[0.97562667 0.97517599 0.97453477 0.97409894 0.97405831 0.97324526
 0.97463505 0.97572287 0.97670408 0.97605763]";97.65$\pm$0.14;"[0.97734966 0.97707704 0.97623094 0.97488303 0.97726955 0.97646139
 0.97600162 0.97389579 0.97639246 0.97925939]";97.66$\pm$0.14;"[0.97800367 0.97791929 0.97804811 0.97417086 0.97623255 0.97504456
 0.97663547 0.97464658 0.97779709 0.97744315]";97.61$\pm$0.13;"[0.97588347 0.97661917 0.97479721 0.97488916 0.97809894 0.97586656
 0.97558153 0.97411021 0.97656807 0.97832098]";97.58$\pm$0.09;"[0.97647629 0.97530889 0.97441249 0.97530686 0.97545583 0.97476672
 0.9762688  0.97648445 0.97785227 0.97588194]";97.56$\pm$0.15;"[0.97593865 0.97681577 0.97570932 0.97440537 0.976431   0.97328761
 0.97613878 0.97285943 0.97790957 0.97666404]";97.54$\pm$0.09;"[0.97540076 0.97618985 0.97598787 0.97634265 0.97552779 0.97380784
 0.97531339 0.97357075 0.97615006 0.97594059]";97.66$\pm$0.17;"[0.97684445 0.97836228 0.97368594 0.97553583 0.97716463 0.97612051
 0.97723667 0.97406451 0.9784139  0.97884716]";95.96$\pm$0.13;"[0.95820412 0.96064626 0.96160052 0.96122987 0.95927807 0.95785777
 0.95766801 0.95978699 0.96025448 0.95969682]";96.41$\pm$0.14;"[0.96164844 0.96560371 0.96421875 0.96565156 0.96496847 0.96241296
 0.96233566 0.96474247 0.96524453 0.96467003]";96.38$\pm$0.15;"[0.96132051 0.96581817 0.96482427 0.96528747 0.9644936  0.96333286
 0.96160592 0.96495835 0.9629981  0.96318508]";96.42$\pm$0.15;"[0.96227494 0.96644748 0.96569836 0.96419064 0.96400919 0.96123747
 0.96373212 0.96459058 0.96529387 0.96422068]";96.56$\pm$0.16;"[0.96523165 0.96808962 0.9660492  0.96415501 0.96710832 0.96287017
 0.96348475 0.96562931 0.96676424 0.96626663]";96.37$\pm$0.11;"[0.96426956 0.96491872 0.96468176 0.96293114 0.96367059 0.96155056
 0.96239236 0.96410558 0.96508073 0.96336197]";96.49$\pm$0.2;"[0.96295645 0.96689008 0.96519561 0.96364307 0.96671092 0.96092925
 0.96377786 0.96584141 0.9674967  0.96587713]";96.4$\pm$0.16;"[0.96223023 0.96695586 0.9650216  0.96351971 0.9627692  0.96268011
 0.96241582 0.9635567  0.96609043 0.96487696]"
AP;98.32$\pm$0.09;"[0.98264176 0.98333678 0.98406788 0.98191327 0.98308349 0.98168807
 0.98353239 0.98478304 0.98338367 0.98336697]";97.83$\pm$0.12;"[0.97912623 0.97838926 0.97813332 0.9770802  0.97811335 0.97545449
 0.97846853 0.97871992 0.97991785 0.97966695]";97.93$\pm$0.11;"[0.98018927 0.97947235 0.97916223 0.97779005 0.97982166 0.97834001
 0.97951662 0.97774846 0.97964371 0.98153932]";97.93$\pm$0.14;"[0.98046698 0.9807655  0.98060369 0.97703604 0.97963601 0.97698921
 0.97978175 0.97787133 0.98007168 0.97977845]";97.89$\pm$0.1;"[0.97851502 0.97971471 0.97819255 0.97787473 0.98027168 0.97788542
 0.97853778 0.97799939 0.97903477 0.98073354]";97.91$\pm$0.1;"[0.9800272  0.9791278  0.97811874 0.978182   0.97911106 0.97697067
 0.97956135 0.97935106 0.98036216 0.97970993]";97.88$\pm$0.14;"[0.97945611 0.97980823 0.97867021 0.9771429  0.97972793 0.97613477
 0.97938002 0.97686279 0.98052601 0.97982938]";97.86$\pm$0.1;"[0.97871628 0.978959   0.97949962 0.97894083 0.97919106 0.97616696
 0.97898931 0.97744585 0.97915741 0.97900658]";97.94$\pm$0.15;"[0.98002693 0.98048321 0.97729138 0.97808187 0.9806348  0.97763094
 0.98015478 0.9778769  0.98062548 0.98161153]";96.79$\pm$0.1;"[0.96767812 0.96923172 0.96884761 0.96786935 0.96804875 0.96602527
 0.96646043 0.96844995 0.96813768 0.96858942]";97.07$\pm$0.11;"[0.96965666 0.97199675 0.97032161 0.97086592 0.97160282 0.96840478
 0.96934761 0.9715123  0.97142652 0.97158223]";97.06$\pm$0.11;"[0.96935873 0.97216594 0.97095951 0.97073946 0.97141435 0.96905147
 0.96913775 0.97191029 0.97018389 0.9709423 ]";97.07$\pm$0.12;"[0.96965051 0.97243528 0.97144108 0.97021748 0.97072619 0.96801353
 0.96987344 0.97174574 0.97176774 0.97135975]";97.19$\pm$0.15;"[0.97170508 0.97417654 0.97196896 0.97052307 0.97338956 0.96901031
 0.97043213 0.97225532 0.97303753 0.97287269]";97.08$\pm$0.11;"[0.97172732 0.9718048  0.97100791 0.96968789 0.97073838 0.96859623
 0.96992157 0.9717431  0.97221036 0.97078466]";97.16$\pm$0.17;"[0.97098801 0.97287165 0.97154529 0.96956057 0.973447   0.96830607
 0.97060923 0.97271268 0.97368882 0.97243438]";97.08$\pm$0.12;"[0.97004552 0.97313706 0.97125258 0.96998791 0.97046277 0.96892029
 0.96948276 0.97090103 0.97219245 0.97187132]"
pretrain_time;nan$\pm$nan;[];831.88$\pm$79.94;"[889.98357415 816.19001555 890.24627137 782.41243458 889.00512886
 888.93907976 889.03420377 658.44474983 888.93928599 725.55905104]";804.26$\pm$88.21;"[889.52551556 666.57438207 889.34009671 791.41455984 773.5228374
 834.15212154 776.82780647 890.25711083 890.36837912 640.63153672]";748.26$\pm$73.58;"[661.50684047 764.9501996  756.52908945 773.8126297  773.78840828
 795.84897828 774.42200875 890.86070681 661.69580102 629.17372704]";774.2$\pm$99.95;"[733.67264199 802.37614202 892.87269211 851.96118522 710.50174356
 890.35959959 699.91131973 891.46791124 661.25461626 607.61154699]";827.06$\pm$56.86;"[750.4411571  806.65165663 893.35241532 780.16600561 779.81373763
 894.08668303 808.90477014 768.85408258 894.41290164 893.89336228]";850.39$\pm$74.61;"[896.93456769 788.3430748  895.44226646 770.06370258 895.82542086
 895.49035859 895.50187325 896.30405068 895.41694927 674.59943533]";845.77$\pm$53.75;"[892.85451698 773.5984118  892.97110009 826.98152661 821.05709815
 893.02645755 862.27719307 731.80244803 891.9102726  871.22999597]";795.96$\pm$91.59;"[895.95790339 633.07464743 860.13379002 806.13873267 895.22783875
 862.86998343 766.75257516 862.67963052 701.35277581 675.37684751]";41.94$\pm$2.78;"[39.53766203 41.71358728 39.25868583 41.24697828 45.61118102 47.47145653
 40.60852647 42.08333349 38.11098504 43.72447968]";44.12$\pm$3.97;"[44.96027064 40.87266731 41.78174281 47.86146235 46.25197124 46.22734857
 39.12256908 49.06249189 36.9188509  48.17497087]";42.3$\pm$3.27;"[45.09721994 40.70616651 38.54271245 41.35982347 49.18653178 41.60397267
 39.97901559 44.53659654 37.82238674 44.11673975]";42.14$\pm$2.81;"[44.04323506 40.42829084 40.21347404 39.80971289 42.22767043 46.87535477
 37.64206696 46.62508297 41.67688918 41.89624476]";43.61$\pm$3.43;"[38.51160574 43.05223536 40.17629623 46.20678663 41.77012897 50.08107281
 43.67960405 47.59330416 40.3428216  44.64147544]";47.15$\pm$3.94;"[48.70537615 44.98036981 43.30377626 46.31697631 48.74399471 50.44745564
 43.42019415 54.44385982 40.71445751 50.41070199]";45.42$\pm$4.53;"[44.91469646 42.03362203 42.30694485 43.65906978 52.42100143 45.54507303
 43.30577898 55.65969467 41.37758279 43.01414299]";47.16$\pm$4.52;"[43.66637182 41.77267361 44.31629348 50.48234701 53.18536043 53.90948987
 43.3482275  50.71691418 41.47865462 48.75803232]"
