metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random;bgrl_sbm2_mean;bgrl_sbm2;lbgrl_random_mean;lbgrl_random;lbgrl_sbm2_mean;lbgrl_sbm2
Hits@10;34.53$\pm$5.9;[0.27888446 0.33466135 0.42231076];39.18$\pm$5.41;[0.38247012 0.33067729 0.46215139];41.43$\pm$4.0;[0.37848606 0.39442231 0.47011952];43.16$\pm$6.23;[0.35059761 0.50199203 0.44223108];50.46$\pm$4.07;[0.48207171 0.47011952 0.56175299]
Hits@20;44.22$\pm$5.24;[0.38247012 0.43426295 0.50996016];51.53$\pm$5.05;[0.53386454 0.44621514 0.56573705];59.23$\pm$4.25;[0.53386454 0.60956175 0.63346614];53.12$\pm$2.71;[0.4940239  0.55776892 0.54183267];60.16$\pm$2.54;[0.58167331 0.58565737 0.6374502 ]
Hits@50;51.13$\pm$8.0;[0.43426295 0.47808765 0.62151394];64.41$\pm$1.99;[0.66533865 0.61752988 0.64940239];76.1$\pm$4.59;[0.70916335 0.75298805 0.82071713];67.6$\pm$1.67;[0.65338645 0.69322709 0.6812749 ];79.15$\pm$0.82;[0.80079681 0.78087649 0.79282869]
Hits@100;62.02$\pm$7.39;[0.53784861 0.60557769 0.71713147];74.37$\pm$0.75;[0.74900398 0.73306773 0.74900398];85.39$\pm$3.45;[0.80876494 0.86055777 0.89243028];77.69$\pm$2.03;[0.74900398 0.78486056 0.79681275];90.57$\pm$2.09;[0.92430279 0.87649402 0.91633466]
ROCAUC;64.74$\pm$5.3;[0.59184775 0.63160902 0.71871875];74.82$\pm$0.7;[0.75801971 0.74216282 0.74451199];83.88$\pm$2.73;[0.80368566 0.84239933 0.87017666];77.57$\pm$1.93;[0.75570229 0.80173331 0.76952747];87.27$\pm$0.85;[0.87644641 0.86085935 0.88066856]
AP;73.45$\pm$4.25;[0.68568337 0.72870572 0.78921279];80.27$\pm$1.09;[0.80569446 0.78809498 0.81418825];85.86$\pm$2.57;[0.82441472 0.8650911  0.88631271];82.66$\pm$1.71;[0.80673326 0.84839322 0.82481214];88.08$\pm$0.84;[0.87655691 0.87332075 0.89248214]
pretrain_time;nan$\pm$nan;[];0.05$\pm$0.0;[0.04701591 0.04674768 0.04674363];1.08$\pm$0.17;[0.84720063 1.25842333 1.12691236];0.05$\pm$0.0;[0.05221319 0.05187368 0.05223751];1.07$\pm$0.01;[1.08712339 1.06544805 1.0672996 ]
