metrics;a2bgrl_random_mean;a2bgrl_random;a2bgrl_deg_mean;a2bgrl_deg;a2bgrl_pr_mean;a2bgrl_pr;a2bgrl_evc_mean;a2bgrl_evc;a2bgrl_scom_mean;a2bgrl_scom;a2bgrl_random+scom_mean;a2bgrl_random+scom;a2bgrl_random+deg_mean;a2bgrl_random+deg;a2bgrl_deg+scom_mean;a2bgrl_deg+scom
Hits@10;30.63$\pm$3.61;"[0.31475632 0.33190433 0.33506318 0.33731949 0.35029332 0.26669675
 0.29061372 0.25169224 0.25124097 0.33337094]";30.53$\pm$3.11;"[0.2642148  0.35243682 0.2819269  0.29241877 0.33472473 0.25879964
 0.33585289 0.31644856 0.28587545 0.32998646]";28.37$\pm$2.43;"[0.26737365 0.33585289 0.25699458 0.27290162 0.29095217 0.25575361
 0.31701264 0.27797834 0.2883574  0.27391697]";25.81$\pm$8.97;"[0.29862365 0.28452166 0.29602888 0.31396661 0.         0.28361913
 0.24627708 0.31261282 0.2357852  0.30979242]";29.5$\pm$2.91;"[0.3153204  0.25857401 0.30798736 0.2933213  0.33472473 0.30618231
 0.32502256 0.23657491 0.30031588 0.27245036]";29.55$\pm$2.47;"[0.29839801 0.29625451 0.29377256 0.33359657 0.30054152 0.29738267
 0.29230596 0.25462545 0.25609206 0.3323556 ]";32.63$\pm$3.2;"[0.30618231 0.37082581 0.36890794 0.32152527 0.30189531 0.28158845
 0.35706227 0.28542419 0.31723827 0.35277527]";30.98$\pm$4.15;"[0.29185469 0.35390343 0.27098375 0.36022112 0.34059116 0.28102437
 0.32930957 0.23837996 0.27380415 0.35841606]"
Hits@20;38.55$\pm$1.9;"[0.38695848 0.40421931 0.38831227 0.40715253 0.39406588 0.34544224
 0.39180957 0.35751354 0.37849729 0.40083484]";38.19$\pm$3.79;"[0.34397563 0.42463899 0.37014892 0.33822202 0.43592058 0.33461191
 0.4176444  0.37770758 0.35254964 0.4232852 ]";38.12$\pm$2.25;"[0.39745036 0.41775722 0.36371841 0.39316336 0.3863944  0.33348375
 0.39564531 0.3629287  0.39000451 0.37116426]";34.26$\pm$11.67;"[0.42226986 0.37556408 0.39767599 0.37127708 0.         0.36687726
 0.32569946 0.40094765 0.37669224 0.38865072]";38.54$\pm$2.01;"[0.37578971 0.41064982 0.4034296  0.33957581 0.40230144 0.38447653
 0.40218863 0.38537906 0.38244585 0.36732852]";39.35$\pm$1.87;"[0.37229242 0.39237365 0.40252708 0.39869134 0.3991426  0.36992329
 0.43095668 0.38616877 0.37048736 0.41268051]";40.35$\pm$2.31;"[0.39384025 0.44562274 0.40275271 0.39147112 0.40636282 0.36326715
 0.43445397 0.39530686 0.38289711 0.41922383]";38.16$\pm$3.12;"[0.37037455 0.39869134 0.36146209 0.41978791 0.39056859 0.32107401
 0.41775722 0.39316336 0.339463   0.40388087]"
Hits@50;48.18$\pm$1.26;"[0.4808213  0.48646209 0.48747744 0.48567238 0.50800993 0.45916065
 0.47980596 0.4666065  0.47563177 0.48849278]";48.49$\pm$2.93;"[0.49819495 0.51308664 0.46694495 0.44517148 0.52662455 0.42712094
 0.50124097 0.47845217 0.48883123 0.50315884]";48.04$\pm$1.95;"[0.4900722  0.51286101 0.46356047 0.49052347 0.48815433 0.4396435
 0.49830776 0.46897563 0.48104693 0.47100632]";43.15$\pm$14.71;"[0.51173285 0.49774368 0.48601083 0.45611462 0.         0.4588222
 0.40433213 0.48894404 0.50722022 0.504287  ]";47.62$\pm$1.54;"[0.48984657 0.49323105 0.48759025 0.43490523 0.47630866 0.47314982
 0.47675993 0.4780009  0.4808213  0.47111913]";48.93$\pm$1.5;"[0.48984657 0.48871841 0.48003159 0.4879287  0.50722022 0.45205325
 0.50225632 0.48905686 0.48894404 0.50654332]";49.67$\pm$1.44;"[0.50033845 0.52335289 0.49954874 0.50191787 0.50045126 0.46502708
 0.50011282 0.48420578 0.48804152 0.50406137]";49.34$\pm$2.57;"[0.49650271 0.52109657 0.47777527 0.51004061 0.50891245 0.43298736
 0.51838899 0.47236011 0.48522112 0.51060469]"
Hits@100;53.39$\pm$0.92;"[0.53937274 0.53813177 0.53914711 0.53215253 0.5532491  0.51996841
 0.53203971 0.52075812 0.5291065  0.53463448]";54.19$\pm$1.76;"[0.54625451 0.55381318 0.53102437 0.51895307 0.56193592 0.50462545
 0.5511056  0.54004964 0.55313628 0.55855144]";53.89$\pm$1.35;"[0.54873646 0.55009025 0.53598827 0.52786552 0.55437726 0.50485108
 0.54411101 0.53700361 0.54478791 0.54129061]";51.18$\pm$6.81;"[0.55550542 0.5504287  0.54456227 0.51793773 0.32412004 0.52301444
 0.46017599 0.54670578 0.5433213  0.55245939]";53.22$\pm$0.93;"[0.53858303 0.54749549 0.53463448 0.51229693 0.53666516 0.52515794
 0.53361913 0.53508574 0.53587545 0.52245036]";54.22$\pm$0.98;"[0.54038809 0.54309567 0.54004964 0.53610108 0.55403881 0.51737365
 0.54715704 0.54287004 0.54862365 0.55189531]";54.76$\pm$1.07;"[0.54523917 0.56441787 0.54072653 0.54783394 0.55629513 0.52177347
 0.55155686 0.54456227 0.55313628 0.55076715]";54.67$\pm$1.73;"[0.55268502 0.56814079 0.53745487 0.5511056  0.56024368 0.50462545
 0.55764892 0.53316787 0.54399819 0.5575361 ]"
ROCAUC;73.53$\pm$1.93;"[0.76249035 0.75648976 0.71564626 0.71798387 0.72963387 0.75263541
 0.70561578 0.74758489 0.7473507  0.71727369]";76.92$\pm$1.3;"[0.76566729 0.77184321 0.7808432  0.78492493 0.7672834  0.77425354
 0.74949104 0.78027686 0.77494973 0.7426834 ]";76.79$\pm$1.62;"[0.77288487 0.74109717 0.77794461 0.77049894 0.78326786 0.77680448
 0.73298496 0.78077862 0.76605906 0.77644557]";76.08$\pm$1.95;"[0.77098743 0.78756302 0.74610778 0.77592056 0.71411531 0.75886515
 0.75016808 0.75975641 0.77273922 0.7714863 ]";75.49$\pm$1.05;"[0.73479522 0.75512106 0.75145184 0.75474756 0.75710196 0.74276835
 0.75669702 0.77697983 0.76106725 0.75855039]";75.59$\pm$2.35;"[0.781242   0.78233608 0.78212394 0.72995214 0.78113165 0.7233025
 0.73194918 0.73321334 0.75392402 0.7601038 ]";76.09$\pm$1.75;"[0.73808897 0.77286783 0.72683193 0.76531058 0.75817114 0.74487452
 0.77705584 0.77901869 0.76836229 0.77844877]";77.42$\pm$0.45;"[0.78134547 0.76711718 0.77816659 0.7708979  0.7761064  0.77735446
 0.76705139 0.77629763 0.77477236 0.77297022]"
AP;82.88$\pm$0.93;"[0.84269901 0.83976125 0.82010696 0.82043029 0.828013   0.83443429
 0.81306628 0.83324817 0.83505936 0.82085202]";84.65$\pm$0.56;"[0.84538618 0.84699512 0.85229868 0.85313527 0.84694454 0.84720963
 0.83616494 0.85270861 0.84714548 0.83725607]";84.65$\pm$0.78;"[0.84850312 0.83397335 0.85107126 0.84752656 0.8559781  0.84854375
 0.82963957 0.85244374 0.84705246 0.84984278]";83.82$\pm$1.68;"[0.84612538 0.85273314 0.83670065 0.84886303 0.79077114 0.83858524
 0.83346669 0.84047718 0.84689373 0.84702516]";83.9$\pm$0.52;"[0.83044389 0.8382382  0.83863273 0.83954516 0.83917155 0.83289301
 0.83818989 0.85098553 0.84325229 0.8390177 ]";84.04$\pm$1.23;"[0.85301046 0.8542261  0.85364854 0.82669377 0.85436158 0.8222312
 0.82850641 0.82886878 0.83928799 0.84303743]";84.19$\pm$0.89;"[0.83056853 0.84850672 0.82604861 0.84415251 0.84122736 0.83133551
 0.84942127 0.85266058 0.84512481 0.8503875 ]";84.95$\pm$0.22;"[0.85365596 0.84775228 0.85059725 0.84812315 0.85164068 0.84923955
 0.84536684 0.8501851  0.84848131 0.85023922]"
pretrain_time;392.86$\pm$62.07;"[404.63253331 373.39813614 402.54987097 344.54669142 357.94633722
 467.2457912  346.62920332 540.90345001 356.81799388 333.94004059]";442.88$\pm$85.56;"[346.49352288 592.74199486 405.63628173 329.06645679 579.01489997
 472.5093987  486.35934186 416.58079267 427.4459157  372.95941973]";371.58$\pm$29.64;"[407.62747526 350.79256415 387.07924223 371.77823567 332.5261147
 378.0108614  348.73785758 396.78561044 326.01902986 416.44970536]";477.93$\pm$62.96;"[498.57162404 545.17655277 461.11854458 328.77482557 465.5452373
 493.931638   426.88691854 485.40427732 569.5848515  504.312711  ]";371.56$\pm$45.44;"[347.16131735 354.63029313 350.2031498  335.74710774 409.53111911
 334.66497946 371.47112703 493.361974   352.68915534 366.15185881]";444.21$\pm$63.08;"[543.75004411 477.61090255 557.218436   472.98612523 380.32484889
 429.50298834 368.28818631 414.81254983 391.24678087 406.34518576]";389.22$\pm$31.55;"[368.81416965 441.62696171 399.11191368 354.64814019 418.78013849
 352.34256983 428.88257265 349.14378738 382.90758872 395.91930008]";425.74$\pm$61.61;"[477.28230023 422.83000326 404.82121587 570.9052608  356.84176183
 404.94712734 394.41373682 461.13849735 346.3188324  417.85539365]"
