metrics;a2grace_random_mean;a2grace_random;a2grace_deg_mean;a2grace_deg;a2grace_raa_mean;a2grace_raa;a2grace_sbm+random_mean;a2grace_sbm+random;a2grace_sbm+deg_mean;a2grace_sbm+deg;a2grace_sbm+raa_mean;a2grace_sbm+raa;a2bgrl_random_mean;a2bgrl_random;a2bgrl_deg_mean;a2bgrl_deg;a2bgrl_raa_mean;a2bgrl_raa;a2bgrl_sbm+random_mean;a2bgrl_sbm+random;a2bgrl_sbm+deg_mean;a2bgrl_sbm+deg;a2bgrl_sbm+raa_mean;a2bgrl_sbm+raa
Hits@10;47.15$\pm$3.42;"[0.47488152 0.41042654 0.49194313 0.52132701 0.51374408 0.43696682
 0.43317536 0.492891   0.47867299 0.46066351]";44.01$\pm$3.98;"[0.39810427 0.46161137 0.45402844 0.51753555 0.39336493 0.43222749
 0.40189573 0.46540284 0.47772512 0.39905213]";45.87$\pm$4.75;"[0.43412322 0.40379147 0.47867299 0.53459716 0.47867299 0.41990521
 0.37156398 0.47677725 0.50805687 0.48056872]";49.89$\pm$2.22;"[0.49383886 0.49099526 0.50805687 0.48151659 0.53080569 0.48720379
 0.4521327  0.52796209 0.51563981 0.50047393]";45.34$\pm$4.36;"[0.40758294 0.42843602 0.48151659 0.52132701 0.47772512 0.44265403
 0.38009479 0.48436019 0.4985782  0.41137441]";50.09$\pm$4.58;"[0.48436019 0.46066351 0.5535545  0.51374408 0.54123223 0.49478673
 0.38957346 0.54218009 0.51184834 0.51658768]";43.59$\pm$4.58;"[0.47677725 0.41042654 0.42464455 0.51848341 0.42274882 0.45687204
 0.3478673  0.46824645 0.44454976 0.38862559]";49.37$\pm$2.93;"[0.492891   0.47109005 0.48341232 0.52417062 0.52796209 0.48815166
 0.43317536 0.51753555 0.52701422 0.47203791]";45.43$\pm$5.8;"[0.47203791 0.38388626 0.49194313 0.49194313 0.51374408 0.41327014
 0.32322275 0.49668246 0.48720379 0.46919431]";45.6$\pm$2.22;"[0.43601896 0.44170616 0.43981043 0.45876777 0.4521327  0.45781991
 0.42654028 0.48909953 0.5014218  0.45687204]";48.37$\pm$3.34;"[0.52606635 0.46824645 0.46919431 0.47867299 0.52132701 0.47393365
 0.40473934 0.48341232 0.51469194 0.49668246]";45.43$\pm$5.45;"[0.47488152 0.39526066 0.44549763 0.50995261 0.52606635 0.42654028
 0.33554502 0.48341232 0.4957346  0.45023697]"
Hits@20;55.61$\pm$1.63;"[0.56113744 0.53649289 0.54028436 0.57630332 0.58104265 0.54691943
 0.53175355 0.5535545  0.57156398 0.56208531]";53.43$\pm$3.33;"[0.50047393 0.53364929 0.52037915 0.58672986 0.56966825 0.55165877
 0.47488152 0.52701422 0.56966825 0.50900474]";54.07$\pm$1.65;"[0.54218009 0.54123223 0.54407583 0.56587678 0.54407583 0.52037915
 0.51469194 0.53080569 0.56966825 0.53364929]";55.8$\pm$2.29;"[0.53554502 0.55260664 0.57819905 0.55545024 0.56872038 0.54218009
 0.51753555 0.59526066 0.58672986 0.5478673 ]";54.09$\pm$3.23;"[0.56208531 0.52890995 0.51753555 0.59146919 0.57819905 0.53080569
 0.47962085 0.56398104 0.54597156 0.50995261]";56.96$\pm$2.11;"[0.57725118 0.56303318 0.57251185 0.57630332 0.5943128  0.54028436
 0.52606635 0.6        0.57345972 0.57251185]";51.99$\pm$2.18;"[0.52985782 0.51469194 0.52322275 0.56303318 0.50805687 0.52322275
 0.47488152 0.53554502 0.52417062 0.50236967]";54.79$\pm$2.14;"[0.55165877 0.55165877 0.55829384 0.56872038 0.55734597 0.52322275
 0.50236967 0.56398104 0.57251185 0.52890995]";52.01$\pm$3.67;"[0.51279621 0.51658768 0.53933649 0.5507109  0.56113744 0.47393365
 0.43412322 0.54028436 0.53744076 0.53459716]";53.13$\pm$1.51;"[0.52796209 0.52701422 0.53554502 0.52132701 0.55924171 0.52606635
 0.50521327 0.54407583 0.54881517 0.51753555]";53.73$\pm$2.47;"[0.56303318 0.52985782 0.51279621 0.5450237  0.55545024 0.53080569
 0.48341232 0.55165877 0.57156398 0.52985782]";54.56$\pm$2.96;"[0.56113744 0.52796209 0.5535545  0.58388626 0.56587678 0.52322275
 0.47867299 0.57819905 0.55165877 0.53175355]"
Hits@50;62.01$\pm$0.94;"[0.61232227 0.61232227 0.60473934 0.63317536 0.62938389 0.61611374
 0.61421801 0.61800948 0.62938389 0.63127962]";61.81$\pm$1.49;"[0.61611374 0.60853081 0.61706161 0.6492891  0.63601896 0.61421801
 0.5971564  0.62843602 0.61137441 0.6028436 ]";59.94$\pm$1.15;"[0.60189573 0.60189573 0.59336493 0.61800948 0.60758294 0.57535545
 0.59052133 0.59146919 0.60379147 0.61042654]";62.39$\pm$1.58;"[0.61137441 0.62180095 0.63791469 0.64834123 0.62464455 0.62085308
 0.58767773 0.63696682 0.62938389 0.61990521]";62.64$\pm$1.64;"[0.62464455 0.61232227 0.62938389 0.65023697 0.63601896 0.61042654
 0.5971564  0.65023697 0.63507109 0.61800948]";63.73$\pm$1.94;"[0.64170616 0.62369668 0.64739336 0.65781991 0.65402844 0.6056872
 0.60189573 0.65876777 0.64170616 0.63981043]";58.82$\pm$1.73;"[0.58009479 0.59241706 0.58104265 0.60947867 0.60758294 0.59526066
 0.5478673  0.60473934 0.58104265 0.58199052]";60.82$\pm$1.46;"[0.60379147 0.5943128  0.61611374 0.62938389 0.62180095 0.59146919
 0.58199052 0.60473934 0.62085308 0.61706161]";61.01$\pm$1.73;"[0.61706161 0.60094787 0.60947867 0.63886256 0.63791469 0.58672986
 0.58862559 0.61706161 0.60853081 0.59620853]";60.69$\pm$1.34;"[0.61137441 0.6056872  0.60758294 0.61421801 0.62938389 0.61611374
 0.58767773 0.61421801 0.60189573 0.58104265]";59.43$\pm$1.3;"[0.60379147 0.6028436  0.59052133 0.59620853 0.6028436  0.5971564
 0.56682464 0.60758294 0.60189573 0.57345972]";62.63$\pm$1.98;"[0.63601896 0.62748815 0.6492891  0.6492891  0.63791469 0.61421801
 0.58957346 0.64170616 0.61990521 0.5971564 ]"
Hits@100;65.28$\pm$0.99;"[0.64075829 0.64170616 0.64454976 0.66919431 0.66350711 0.64454976
 0.6549763  0.6464455  0.66255924 0.65971564]";67.96$\pm$2.08;"[0.68056872 0.65781991 0.68246445 0.72890995 0.69383886 0.66066351
 0.66540284 0.69478673 0.66066351 0.67109005]";63.45$\pm$1.28;"[0.64265403 0.63886256 0.62464455 0.64834123 0.63696682 0.60853081
 0.62748815 0.62180095 0.64454976 0.65118483]";67.09$\pm$1.55;"[0.67582938 0.66445498 0.68151659 0.692891   0.67677725 0.65592417
 0.63981043 0.67677725 0.68815166 0.65687204]";68.11$\pm$1.7;"[0.69478673 0.66729858 0.68720379 0.71563981 0.69478673 0.65308057
 0.66445498 0.67962085 0.67582938 0.67867299]";67.77$\pm$1.92;"[0.68056872 0.65781991 0.692891   0.70236967 0.68815166 0.66066351
 0.63696682 0.69668246 0.68151659 0.67962085]";64.02$\pm$0.92;"[0.63791469 0.64549763 0.63601896 0.65592417 0.65023697 0.64075829
 0.63412322 0.64739336 0.62464455 0.62938389]";65.03$\pm$1.26;"[0.63412322 0.62369668 0.66540284 0.65876777 0.65592417 0.6521327
 0.65118483 0.64170616 0.66350711 0.65687204]";65.87$\pm$1.23;"[0.66919431 0.64454976 0.66824645 0.68246445 0.66540284 0.64454976
 0.64549763 0.66350711 0.6492891  0.65402844]";66.2$\pm$0.85;"[0.67203791 0.65876777 0.65687204 0.67393365 0.66824645 0.66255924
 0.65308057 0.65781991 0.67014218 0.6464455 ]";63.21$\pm$1.23;"[0.64454976 0.62559242 0.62464455 0.64075829 0.64739336 0.62464455
 0.61895735 0.64739336 0.63696682 0.61042654]";68.18$\pm$1.1;"[0.67109005 0.68625592 0.69478673 0.69763033 0.69194313 0.66919431
 0.67772512 0.68436019 0.68246445 0.66255924]"
ROCAUC;78.47$\pm$0.72;"[0.78856264 0.77155949 0.7864172  0.79450147 0.78745087 0.77550549
 0.78528155 0.77725388 0.79299082 0.78765526]";82.35$\pm$1.26;"[0.82075865 0.81589632 0.81398037 0.85365154 0.83097145 0.80662564
 0.8265286  0.82632241 0.81187847 0.82837762]";77.46$\pm$0.84;"[0.775422   0.76829811 0.76951461 0.7874001  0.7730024  0.76729274
 0.76855776 0.76426316 0.7884844  0.78372004]";81.9$\pm$1.18;"[0.82869412 0.81941825 0.82827385 0.82648009 0.8117868  0.8126008
 0.79044855 0.83214573 0.82605376 0.81376115]";82.73$\pm$1.24;"[0.82344038 0.82898138 0.82140922 0.85175715 0.84287056 0.80863503
 0.81570854 0.83350688 0.81621582 0.83051504]";82.21$\pm$1.19;"[0.83379767 0.81081647 0.83023742 0.8293183  0.83021675 0.80310325
 0.80111004 0.83387705 0.82642337 0.82193706]";79.13$\pm$1.12;"[0.78701134 0.80117293 0.77304733 0.81132499 0.78872802 0.7952957
 0.79792457 0.79896049 0.77993201 0.77943487]";80.19$\pm$1.13;"[0.78837648 0.78787988 0.79908897 0.81225309 0.80773837 0.78909189
 0.80385346 0.79524719 0.81329802 0.82196986]";80.52$\pm$0.94;"[0.80550734 0.78782597 0.80892612 0.81860425 0.81976056 0.80432964
 0.79644662 0.8031904  0.81096073 0.79690303]";80.97$\pm$0.5;"[0.80353787 0.80891085 0.81370679 0.81327913 0.80807709 0.80624604
 0.8177633  0.80238    0.81616051 0.80717324]";78.12$\pm$1.07;"[0.78901589 0.76549314 0.77705802 0.7869365  0.78360055 0.77590081
 0.77087217 0.80136744 0.79148493 0.76977516]";81.01$\pm$0.86;"[0.79981294 0.8096961  0.81353968 0.83324184 0.80949889 0.80268503
 0.80797466 0.81078053 0.80861714 0.80513825]"
AP;85.29$\pm$0.48;"[0.85229529 0.84493754 0.85417408 0.86006833 0.85690022 0.84766568
 0.85061768 0.84886347 0.8595872  0.85402165]";87.23$\pm$0.88;"[0.87051651 0.86814401 0.86912487 0.89467146 0.87700047 0.85898453
 0.87027338 0.87585874 0.86752293 0.87058546]";84.31$\pm$0.67;"[0.84254771 0.8395356  0.84230577 0.85411017 0.84534333 0.83392397
 0.83323394 0.83949237 0.85319894 0.84736387]";87.08$\pm$0.83;"[0.8742572  0.87107691 0.87847111 0.87736252 0.86767104 0.86579796
 0.85089859 0.88014979 0.87649772 0.86581864]";87.5$\pm$0.87;"[0.87321872 0.87369085 0.87285264 0.89308123 0.88595671 0.86321612
 0.86350885 0.8791153  0.87069072 0.87498738]";87.25$\pm$0.97;"[0.87907944 0.86589392 0.87846517 0.88080469 0.87982279 0.86255059
 0.84950274 0.87838111 0.87792972 0.87275799]";85.15$\pm$0.76;"[0.85242785 0.85571714 0.84119445 0.86696302 0.85281752 0.85209905
 0.84955292 0.85863462 0.84268409 0.84284581]";85.92$\pm$0.73;"[0.8517529  0.84800516 0.86133728 0.86653245 0.86367473 0.853142
 0.85538217 0.8536541  0.86952666 0.86879399]";86.15$\pm$0.78;"[0.86123793 0.84868022 0.86678251 0.87186634 0.87343815 0.85868151
 0.84968194 0.86343023 0.86248189 0.85853415]";86.45$\pm$0.29;"[0.86201435 0.86529986 0.86413893 0.86654907 0.86594662 0.86280899
 0.86666483 0.86355172 0.86959031 0.85861876]";84.82$\pm$0.71;"[0.85502193 0.84018259 0.8454339  0.85133398 0.85126914 0.84468641
 0.83988353 0.85954817 0.85614033 0.83820553]";86.81$\pm$0.62;"[0.86319814 0.86623311 0.87098934 0.88281497 0.87232694 0.86476971
 0.86202368 0.87212494 0.86543194 0.86132925]"
pretrain_time;50.76$\pm$10.63;"[75.9476769  42.49945188 50.25088096 50.44569945 50.13066506 57.53829646
 38.9913063  58.74912071 39.49833918 43.53197408]";61.04$\pm$10.59;"[52.70772076 57.84881425 85.70914221 52.64817214 64.23413563 62.68233967
 43.00857091 63.36619902 64.752702   63.4122057 ]";48.07$\pm$9.37;"[41.20740652 49.74184036 41.43195844 56.06903338 46.37478185 70.47076702
 53.42735934 37.00124741 43.71845722 41.28800726]";470.2$\pm$79.89;"[524.14683676 534.59170008 596.00647092 391.31721234 447.75686693
 590.85698843 430.68719935 365.3347795  411.26120543 410.04363608]";737.9$\pm$225.24;"[811.59676313 926.65100884 903.73788428 388.34913635 905.31401157
 431.22565389 910.07143211 880.03878784 373.8982656  848.10435486]";520.34$\pm$162.54;"[579.26292992 509.71264338 931.93044591 648.84126663 503.31854916
 439.40916729 461.14118552 337.86866713 388.67297125 403.26737261]";46.91$\pm$11.23;"[35.84035611 40.17000222 54.5730803  45.30278826 74.67889166 40.5413723
 34.53280425 47.22395658 53.75088191 42.48759222]";47.3$\pm$4.29;"[45.8409164  50.73756599 42.06860375 37.40218449 51.4934864  48.90286589
 49.13057542 46.65437818 49.37121773 51.37776756]";36.83$\pm$3.05;"[39.7645905  35.74722099 34.49301553 34.29455376 33.27665401 32.40886259
 38.7245605  41.94467831 39.71041512 37.96087575]";657.71$\pm$151.51;"[710.1475687  481.39609766 606.93981934 858.39504266 941.32264495
 661.97715116 511.25099421 501.27611852 767.11552024 537.24768615]";581.22$\pm$99.69;"[536.15317154 698.79052186 496.26502919 460.31274557 631.12510562
 556.67610931 582.98544407 563.74955463 483.97526598 802.19539428]";617.24$\pm$195.99;"[583.11613989 362.59485888 407.81955218 415.71962547 757.63437653
 512.55052733 885.99230862 873.89356971 520.30235672 852.80013728]"
