metrics;lgrace_random_mean;lgrace_random;lgrace_deg_mean;lgrace_deg;lgrace_raa_mean;lgrace_raa;lgrace_sbm+random_mean;lgrace_sbm+random;lgrace_sbm+deg_mean;lgrace_sbm+deg;lgrace_sbm+raa_mean;lgrace_sbm+raa;lbgrl_random_mean;lbgrl_random;lbgrl_deg_mean;lbgrl_deg;lbgrl_raa_mean;lbgrl_raa;lbgrl_sbm+random_mean;lbgrl_sbm+random;lbgrl_sbm+deg_mean;lbgrl_sbm+deg;lbgrl_sbm+raa_mean;lbgrl_sbm+raa
Hits@10;25.34$\pm$2.65;"[0.28300455 0.23672231 0.20940819 0.25417299 0.2693475  0.26100152
 0.29210926 0.26251897 0.25720789 0.20864947]";24.68$\pm$2.17;"[0.25341426 0.23975721 0.24127466 0.23748103 0.25265554 0.25796662
 0.24962064 0.28528073 0.25644917 0.19423369]";26.53$\pm$3.09;"[0.23748103 0.26555387 0.28603945 0.25644917 0.29666161 0.26555387
 0.30197269 0.29362671 0.25569044 0.19423369]";3.84$\pm$1.22;"[0.04324734 0.04324734 0.06373293 0.03338392 0.02427921 0.0447648
 0.02124431 0.03641882 0.02579666 0.0477997 ]";4.3$\pm$1.36;"[0.02503794 0.06221548 0.05235205 0.0538695  0.05235205 0.0508346
 0.04248862 0.0447648  0.02579666 0.02048558]";4.46$\pm$2.36;"[0.0060698  0.0660091  0.06449165 0.06145675 0.04248862 0.01441578
 0.07663126 0.05842185 0.03945372 0.01669196]";24.86$\pm$1.4;"[0.25569044 0.23596358 0.2245827  0.24506829 0.25644917 0.25189681
 0.2723824  0.26403642 0.24734446 0.23216995]";17.44$\pm$4.85;"[0.17905918 0.24658574 0.22306525 0.15022762 0.13960546 0.20030349
 0.13505311 0.1107739  0.24203338 0.1168437 ]";27.14$\pm$1.59;"[0.27921093 0.26783005 0.26783005 0.23975721 0.29438543 0.27996965
 0.26024279 0.29438543 0.2723824  0.25796662]";12.04$\pm$1.99;"[0.12746586 0.12746586 0.06904401 0.14567527 0.12518968 0.13277693
 0.13353566 0.12291351 0.10698027 0.11305008]";7.76$\pm$3.51;"[0.0660091  0.15553869 0.13050076 0.06449165 0.04855842 0.04097117
 0.08725341 0.05918058 0.06221548 0.06145675]";18.27$\pm$3.68;"[0.1676783  0.21168437 0.24355083 0.1707132  0.09787557 0.20257967
 0.19271624 0.18057663 0.1585736  0.20106222]"
Hits@20;28.83$\pm$2.18;"[0.31031866 0.26251897 0.24127466 0.28300455 0.29362671 0.29893778
 0.32018209 0.29817906 0.29514416 0.27996965]";28.95$\pm$2.04;"[0.31411229 0.26327769 0.25796662 0.28907436 0.30880121 0.30273141
 0.29210926 0.31638847 0.284522   0.26555387]";31.27$\pm$1.53;"[0.30880121 0.2875569  0.33156297 0.29514416 0.32018209 0.31487102
 0.3383915  0.32169954 0.29817906 0.31031866]";5.74$\pm$1.54;"[0.06525038 0.0538695  0.07890744 0.07132018 0.03034901 0.06752656
 0.03262519 0.05918058 0.0477997  0.06752656]";7.02$\pm$2.24;"[0.0447648  0.10242792 0.09711684 0.08497724 0.08270106 0.07207891
 0.07663126 0.06676783 0.03945372 0.03490137]";8.89$\pm$3.75;"[0.01365706 0.12443096 0.13125948 0.10242792 0.09484067 0.04704097
 0.10394537 0.11532625 0.11153263 0.0447648 ]";26.66$\pm$1.3;"[0.26631259 0.25872534 0.24658574 0.26251897 0.26555387 0.27162367
 0.28603945 0.28831563 0.27162367 0.24886191]";20.91$\pm$4.48;"[0.21699545 0.27086495 0.25796662 0.18512898 0.18285281 0.24886191
 0.16995448 0.13960546 0.25720789 0.1616085 ]";29.22$\pm$0.96;"[0.28983308 0.29210926 0.28376328 0.28224583 0.31183612 0.30197269
 0.28603945 0.30349014 0.284522   0.28603945]";15.86$\pm$1.36;"[0.16616085 0.16616085 0.14719272 0.18740516 0.16919575 0.15553869
 0.15477997 0.15250379 0.13505311 0.15174507]";10.67$\pm$5.1;"[0.08118361 0.22382398 0.18133536 0.08573596 0.07132018 0.06145675
 0.11760243 0.08194234 0.09408194 0.06828528]";23.27$\pm$4.82;"[0.21320182 0.3292868  0.29438543 0.20864947 0.14188164 0.22685888
 0.24203338 0.21699545 0.21168437 0.24203338]"
Hits@50;33.04$\pm$2.63;"[0.37329287 0.30349014 0.28300455 0.31790592 0.3292868  0.34522003
 0.36494689 0.34749621 0.32245827 0.31714719]";34.44$\pm$2.35;"[0.36570561 0.31638847 0.29666161 0.33156297 0.35280728 0.37329287
 0.34825493 0.37405159 0.34749621 0.33763278]";35.51$\pm$0.82;"[0.36039454 0.33990895 0.36494689 0.34977238 0.35811836 0.35053111
 0.36342944 0.35432473 0.34522003 0.36418816]";11.29$\pm$2.06;"[0.12746586 0.11608498 0.14415781 0.13277693 0.08118361 0.11836115
 0.07814871 0.10318665 0.1016692  0.12594841]";12.38$\pm$3.17;"[0.11001517 0.16995448 0.17223065 0.14795144 0.12291351 0.12746586
 0.1138088  0.12139605 0.08573596 0.06676783]";17.43$\pm$5.19;"[0.04400607 0.21623672 0.21699545 0.20106222 0.16843703 0.14643399
 0.22078907 0.20333839 0.19119879 0.13429439]";29.63$\pm$0.95;"[0.29438543 0.29514416 0.28528073 0.2875569  0.284522   0.30804249
 0.30728376 0.31183612 0.29969651 0.28907436]";26.43$\pm$3.69;"[0.26783005 0.30728376 0.29969651 0.24506829 0.24962064 0.29362671
 0.24051593 0.20257967 0.31638847 0.22003035]";32.49$\pm$1.12;"[0.32169954 0.31942337 0.31335357 0.31562974 0.33990895 0.33687405
 0.32701062 0.34522003 0.31411229 0.31562974]";24.97$\pm$2.4;"[0.23596358 0.26327769 0.23899848 0.29514416 0.2754173  0.26100152
 0.23672231 0.22685888 0.20864947 0.25493171]";16.88$\pm$7.69;"[0.12518968 0.34218513 0.28300455 0.12822458 0.11229135 0.11153263
 0.18892261 0.10394537 0.16084977 0.13201821]";31.52$\pm$4.24;"[0.29590288 0.38694992 0.35584219 0.30045524 0.2185129  0.3323217
 0.31183612 0.32701062 0.29210926 0.33080425]"
Hits@100;36.59$\pm$2.78;"[0.3983308  0.34522003 0.31562974 0.35128983 0.35811836 0.3801214
 0.42109256 0.37405159 0.35735964 0.35735964]";39.67$\pm$2.69;"[0.40895296 0.36115326 0.34673748 0.3983308  0.40743551 0.43854325
 0.40895296 0.42640364 0.39301973 0.37708649]";39.3$\pm$0.67;"[0.39377845 0.39908953 0.39301973 0.40060698 0.3861912  0.38543247
 0.39301973 0.3952959  0.38088012 0.40288316]";18.43$\pm$1.95;"[0.20182094 0.19271624 0.20333839 0.20864947 0.15402124 0.176783
 0.14795144 0.18740516 0.17602428 0.19423369]";19.68$\pm$3.72;"[0.18285281 0.24355083 0.25872534 0.21092564 0.19575114 0.18740516
 0.19271624 0.2185129  0.12974203 0.14795144]";24.84$\pm$5.67;"[0.09332322 0.31031866 0.28528073 0.26631259 0.2693475  0.24051593
 0.27010622 0.27389985 0.25720789 0.21775417]";32.31$\pm$0.67;"[0.31790592 0.32018209 0.32094082 0.32245827 0.31790592 0.33763278
 0.33383915 0.323217   0.32094082 0.31638847]";31.75$\pm$3.64;"[0.31411229 0.34218513 0.3414264  0.28907436 0.29742033 0.35432473
 0.29059181 0.28831563 0.39074355 0.26707132]";36.66$\pm$2.32;"[0.34901366 0.35356601 0.33990895 0.35735964 0.37708649 0.37860395
 0.38543247 0.42109256 0.35963581 0.34446131]";33.98$\pm$2.4;"[0.33308042 0.40440061 0.3353566  0.34446131 0.34218513 0.32776935
 0.32549317 0.3323217  0.30728376 0.34522003]";23.82$\pm$7.48;"[0.17754173 0.40060698 0.35508346 0.20257967 0.17905918 0.21320182
 0.27086495 0.19802731 0.19954476 0.18588771]";39.26$\pm$1.48;"[0.38543247 0.43171472 0.40288316 0.3861912  0.38846737 0.3892261
 0.37405159 0.38998483 0.39453718 0.3831563 ]"
ROCAUC;64.8$\pm$2.45;"[0.68619857 0.64795893 0.59045123 0.64318437 0.65732527 0.65751725
 0.67545034 0.64485926 0.64365517 0.632941  ]";70.46$\pm$3.61;"[0.72349095 0.66135866 0.62111139 0.70897127 0.7087125  0.74917853
 0.7236199  0.73887759 0.71699257 0.69354116]";65.94$\pm$1.14;"[0.63728698 0.66125446 0.65850365 0.66002082 0.67528714 0.66800931
 0.64716537 0.64866498 0.67323768 0.66409076]";57.35$\pm$0.85;"[0.57385656 0.58639165 0.58593658 0.57356585 0.5630548  0.56545704
 0.56429075 0.5796391  0.57821957 0.56473948]";61.19$\pm$2.37;"[0.60974576 0.60880916 0.61025753 0.63722567 0.6371445  0.61750802
 0.63018587 0.62925387 0.56836075 0.57022066]";61.32$\pm$2.01;"[0.57229622 0.65620013 0.61730539 0.61274037 0.62053716 0.62394452
 0.61628588 0.60401503 0.59823102 0.61035251]";68.89$\pm$4.14;"[0.69574452 0.59692975 0.62124206 0.71065854 0.72053463 0.70662371
 0.69980094 0.71893141 0.7234328  0.69496622]";70.4$\pm$4.39;"[0.73558595 0.63997677 0.62367626 0.70516296 0.71887902 0.75371303
 0.71408604 0.69896277 0.77000598 0.68032363]";71.92$\pm$4.84;"[0.7221085  0.63735893 0.62295524 0.74989437 0.75337685 0.74010951
 0.73234755 0.78145889 0.74607185 0.7067728 ]";64.68$\pm$1.14;"[0.65730311 0.67170536 0.64847443 0.65252279 0.64402944 0.63180809
 0.63336699 0.63945521 0.6389297  0.65009924]";64.3$\pm$2.01;"[0.62296589 0.67039428 0.65251819 0.63347406 0.60071474 0.63875866
 0.67142357 0.64602297 0.6519035  0.64205549]";68.27$\pm$1.13;"[0.67436349 0.70519548 0.69948317 0.6746801  0.68167097 0.66761469
 0.68999968 0.67877135 0.68005987 0.67543595]"
AP;72.36$\pm$1.96;"[0.75107306 0.72009102 0.67874434 0.71806351 0.73004922 0.73260554
 0.75057977 0.72283975 0.72138821 0.71096374]";75.81$\pm$2.45;"[0.77548639 0.73036388 0.70439158 0.75716259 0.76242578 0.79033125
 0.76897017 0.78430018 0.76189682 0.74578232]";73.68$\pm$0.51;"[0.72515085 0.73699415 0.73714967 0.73776816 0.7449246  0.73942189
 0.73233387 0.73454281 0.74172721 0.73831834]";60.22$\pm$1.38;"[0.61108004 0.61074188 0.62043653 0.61091993 0.57642213 0.60297983
 0.5765647  0.60496474 0.60243932 0.60552386]";63.02$\pm$2.71;"[0.61921815 0.64927205 0.65334277 0.65543344 0.64246282 0.63699646
 0.640323   0.64580513 0.57944122 0.57957379]";64.58$\pm$3.62;"[0.55093634 0.69191479 0.66937877 0.6587904  0.65641349 0.6336744
 0.66690437 0.65672636 0.64849412 0.62482122]";73.75$\pm$2.41;"[0.73575317 0.68924784 0.6950013  0.74733903 0.75604886 0.75240677
 0.75060921 0.75944508 0.75619118 0.73318178]";73.24$\pm$3.12;"[0.75140491 0.71796874 0.70103374 0.71914709 0.73065651 0.77757589
 0.72679904 0.70541571 0.79592563 0.69791452]";76.56$\pm$3.2;"[0.7627002  0.7180126  0.7013758  0.78144782 0.7911731  0.78111659
 0.77736936 0.81206752 0.77952186 0.75118034]";70.4$\pm$1.19;"[0.70887735 0.73119329 0.6979795  0.71457912 0.70359294 0.6938229
 0.69184803 0.69731651 0.69079361 0.709498  ]";66.74$\pm$3.43;"[0.63994074 0.73633962 0.71202966 0.65283708 0.61873175 0.64632224
 0.69635251 0.65611519 0.66391222 0.65110669]";73.91$\pm$1.28;"[0.72911368 0.76801648 0.75715369 0.73325289 0.723477   0.73162375
 0.7411625  0.73527669 0.73710295 0.7347539 ]"
pretrain_time;89.68$\pm$69.23;"[ 39.51569104 223.09393764 229.08655477  64.95747805  65.33144283
  69.47581792  30.29071498  66.17987609  53.56015015  55.35406852]";59.8$\pm$9.57;"[56.51351452 52.06715155 87.96683812 56.48457623 56.58901334 56.46188331
 57.1283474  57.57359028 57.00583434 60.24373388]";108.73$\pm$45.96;"[ 55.56070065 104.88113546 225.13104892  59.58429503 115.7271359
 114.54900622 118.41793728 115.45120788 114.68667865  63.30528808]";1260.1$\pm$292.88;"[1120.05995703 1086.55854964 1282.77207327 1207.05637479 1504.26605177
 1536.96620917  681.03975463 1003.6861558  1430.24620414 1748.39094925]";1057.06$\pm$334.04;"[ 694.8296814  1130.6349504  1259.95743012 1627.5099988  1162.89864564
 1028.83825803 1491.42571902  954.4921124   638.98711681  580.99984193]";1390.98$\pm$202.22;"[1273.22302675 1322.04368901 1263.74113107 1018.42788196 1642.68575215
 1360.11356831 1600.9629879  1380.62892532 1310.16417265 1737.81865501]";24.83$\pm$7.48;"[24.98480868 34.68050623 36.5231998  17.0576725  29.23664355 24.41549301
 22.82870054 29.41305923 16.89236975 12.24758625]";14.64$\pm$7.69;"[ 9.96614552 12.96967936 14.16757727  9.96026683  9.95290112 29.77115011
  9.93023372  9.95390797 29.73868322  9.94004011]";19.54$\pm$4.16;"[15.38680792 24.206388   27.23264289 16.63863397 22.85338688 16.88675261
 23.08019137 15.03368068 18.27941251 15.85122824]";774.11$\pm$396.96;"[ 520.77532625 1660.22654819  565.83297229  542.49809718 1373.03387237
  509.19279742  535.41607594  531.68049669  546.70074177  955.7695272 ]";753.83$\pm$421.78;"[ 517.67261457 1655.92373228  566.555305    543.40968585  549.87011123
  509.71511006 1533.35880613  532.10173392  547.68124914  581.9728353 ]";1099.05$\pm$421.78;"[ 519.43102026 1217.71167374 1639.38679266  540.80039001  548.38011193
  991.05381536 1473.20774102 1584.01794529 1018.56098318 1457.94314361]"
