metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random
Hits@10;28.36$\pm$3.13;"[0.31518955 0.32671619 0.27971311 0.30622439 0.30186988 0.26754611
 0.29405738 0.27817623 0.2158043  0.25089652]";0.15$\pm$0.05;"[0.00064037 0.00102459 0.00140881 0.00179303 0.00102459 0.00166496
 0.00230533 0.00166496 0.00153689 0.00217725]"
Hits@20;38.22$\pm$2.5;"[0.42341189 0.39523566 0.3755123  0.38204406 0.40163934 0.38972848
 0.36923668 0.40035861 0.35309939 0.33158299]";0.25$\pm$0.05;"[0.00179303 0.00217725 0.00192111 0.00307377 0.00217725 0.00281762
 0.00332992 0.00268955 0.00268955 0.0024334 ]"
Hits@50;48.26$\pm$1.87;"[0.50704406 0.47835553 0.48655225 0.50845287 0.4873207  0.49449283
 0.47003074 0.48860143 0.45735143 0.44800205]";0.57$\pm$0.07;"[0.00435451 0.0053791  0.00601947 0.00576332 0.0048668  0.00678791
 0.00678791 0.00563525 0.0053791  0.00576332]"
Hits@100;55.33$\pm$1.27;"[0.56378074 0.5551998  0.55904201 0.56685451 0.54418545 0.5630123
 0.54264857 0.56928791 0.53201844 0.53650102]";1.17$\pm$0.13;"[0.01011783 0.0126793  0.01178279 0.01152664 0.01037398 0.01191086
 0.01498463 0.01139857 0.01216701 0.01050205]"
ROCAUC;88.16$\pm$0.38;"[0.8860577  0.87691455 0.87657453 0.87931708 0.88215255 0.88700915
 0.88010063 0.88751356 0.87986045 0.88005193]";51.83$\pm$0.4;"[0.5171104  0.51780918 0.51917635 0.51406215 0.51615271 0.52734337
 0.51635496 0.52045561 0.52208317 0.51294294]"
AP;90.88$\pm$0.3;"[0.91262433 0.90503313 0.9057329  0.90938861 0.91021863 0.91286537
 0.90731527 0.91270142 0.90626775 0.90610783]";49.77$\pm$0.35;"[0.49401175 0.49582647 0.49894044 0.49415139 0.49515937 0.50483934
 0.4990788  0.4973425  0.50255373 0.49478229]"
pretrain_time;nan$\pm$nan;[];0.0$\pm$0.0;"[0.00020456 0.00020099 0.00020409 0.0002017  0.00019383 0.00019979
 0.0001936  0.00020146 0.00019121 0.00021029]"
