metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random;bgrl_sbm2_mean;bgrl_sbm2;lbgrl_random_mean;lbgrl_random;lbgrl_sbm2_mean;lbgrl_sbm2
Hits@10;8.01$\pm$1.7;[0.07022175 0.10401267 0.06599789];5.76$\pm$0.82;[0.04910243 0.0686378  0.05491024];7.81$\pm$1.06;[0.0749736  0.09239704 0.06705385];7.46$\pm$0.64;[0.0718057  0.08342133 0.0686378 ];10.01$\pm$1.67;[0.08553326 0.09134108 0.12354805]
Hits@20;12.04$\pm$1.38;[0.10718057 0.13938754 0.11457233];8.5$\pm$0.65;[0.08394931 0.09345301 0.07761352];11.84$\pm$1.84;[0.11351637 0.14308342 0.09873284];10.63$\pm$1.51;[0.10137276 0.12671595 0.09081309];15.08$\pm$0.25;[0.1531151  0.15205913 0.14730729]
Hits@50;18.44$\pm$1.41;[0.16948258 0.2032735  0.18057022];13.67$\pm$0.31;[0.13357973 0.14097149 0.13569166];18.99$\pm$3.77;[0.17634636 0.24128828 0.15205913];17.69$\pm$1.84;[0.15681098 0.20116156 0.17265048];22.9$\pm$0.59;[0.2280887  0.23653643 0.22228089]
Hits@100;23.74$\pm$1.98;[0.21647307 0.26399155 0.23178458];20.24$\pm$1.13;[0.20380148 0.21541711 0.18796199];26.96$\pm$4.61;[0.22967265 0.33421331 0.24498416];24.38$\pm$2.16;[0.21805702 0.27085533 0.24234424];31.4$\pm$1.8;[0.30570222 0.33896515 0.29725449]
ROCAUC;64.32$\pm$1.36;[0.63634564 0.66215214 0.63111571];63.25$\pm$1.4;[0.65084706 0.62986098 0.61685487];69.61$\pm$2.62;[0.67497678 0.73291805 0.68028309];66.57$\pm$0.44;[0.66234951 0.67195718 0.66272055];73.33$\pm$0.68;[0.72687579 0.74271138 0.73040135]
AP;68.07$\pm$1.39;[0.67046342 0.70035513 0.67132403];66.56$\pm$0.97;[0.67622147 0.66786305 0.6528578 ];72.16$\pm$2.79;[0.69921693 0.76085005 0.70462187];69.76$\pm$0.93;[0.69040347 0.71073822 0.6917602 ];75.62$\pm$0.69;[0.75075784 0.76602876 0.75187887]
pretrain_time;nan$\pm$nan;[];0.12$\pm$0.0;[0.11723208 0.11714816 0.11739588];30.34$\pm$0.48;[30.75151777 29.65752816 30.60208082];0.16$\pm$0.02;[0.16872406 0.16848969 0.13224053];30.32$\pm$0.34;[30.46556854 29.8556757  30.64323449]
