metrics;lgrace_random_mean;lgrace_random;lgrace_deg_mean;lgrace_deg;lgrace_raa_mean;lgrace_raa;lgrace_sbm+random_mean;lgrace_sbm+random;lgrace_sbm+deg_mean;lgrace_sbm+deg;lgrace_sbm+raa_mean;lgrace_sbm+raa;lbgrl_random_mean;lbgrl_random;lbgrl_deg_mean;lbgrl_deg;lbgrl_raa_mean;lbgrl_raa;lbgrl_sbm+random_mean;lbgrl_sbm+random;lbgrl_sbm+deg_mean;lbgrl_sbm+deg;lbgrl_sbm+raa_mean;lbgrl_sbm+raa
Hits@10;10.71$\pm$1.82;"[0.13898305 0.12542373 0.10508475 0.11186441 0.10847458 0.11186441
 0.10847458 0.0779661  0.07457627 0.10847458]";10.41$\pm$1.76;"[0.09152542 0.08813559 0.09830508 0.12542373 0.09830508 0.09830508
 0.10847458 0.08474576 0.10169492 0.14576271]";11.53$\pm$1.44;"[0.12881356 0.10508475 0.09491525 0.12881356 0.10508475 0.14237288
 0.1220339  0.10169492 0.10508475 0.11864407]";8.75$\pm$3.78;"[0.10508475 0.13559322 0.09152542 0.0779661  0.09152542 0.04067797
 0.08813559 0.03389831 0.15932203 0.05084746]";8.81$\pm$3.92;"[0.10508475 0.13559322 0.09152542 0.0779661  0.09152542 0.04067797
 0.08813559 0.03389831 0.16610169 0.05084746]";8.44$\pm$2.07;"[0.08813559 0.05084746 0.09152542 0.09491525 0.04745763 0.07457627
 0.0779661  0.11186441 0.10508475 0.10169492]";10.51$\pm$2.13;"[0.15254237 0.07457627 0.11864407 0.09830508 0.09152542 0.08135593
 0.10169492 0.11186441 0.09830508 0.1220339 ]";10.17$\pm$1.99;"[0.11864407 0.08813559 0.14576271 0.11186441 0.10508475 0.11186441
 0.0779661  0.08813559 0.08813559 0.08135593]";11.53$\pm$1.94;"[0.16271186 0.09830508 0.09152542 0.1220339  0.10508475 0.11186441
 0.11864407 0.10508475 0.13220339 0.10508475]";8.34$\pm$3.08;"[0.10169492 0.12881356 0.0779661  0.08135593 0.08474576 0.03389831
 0.10169492 0.04067797 0.12542373 0.05762712]";8.47$\pm$3.28;"[0.10169492 0.12881356 0.0779661  0.08135593 0.08474576 0.03389831
 0.10169492 0.04067797 0.13898305 0.05762712]";13.19$\pm$4.29;"[0.22033898 0.13220339 0.14915254 0.13898305 0.1559322  0.09491525
 0.05762712 0.1559322  0.12881356 0.08474576]"
Hits@20;12.61$\pm$1.45;"[0.15254237 0.13559322 0.11186441 0.1220339  0.12542373 0.13898305
 0.13220339 0.11525424 0.09830508 0.12881356]";13.36$\pm$1.68;"[0.13898305 0.14237288 0.12881356 0.15254237 0.1220339  0.11525424
 0.13559322 0.10169492 0.13559322 0.16271186]";13.53$\pm$1.52;"[0.15254237 0.10847458 0.12542373 0.14237288 0.10847458 0.14915254
 0.14576271 0.13559322 0.14576271 0.13898305]";14.75$\pm$5.29;"[0.13898305 0.15254237 0.14915254 0.12881356 0.13898305 0.12542373
 0.1559322  0.07457627 0.29152542 0.11864407]";14.71$\pm$5.2;"[0.13898305 0.15254237 0.14915254 0.12881356 0.13898305 0.12542373
 0.1559322  0.07457627 0.28813559 0.11864407]";12.78$\pm$1.72;"[0.13220339 0.08813559 0.13898305 0.13898305 0.11864407 0.11186441
 0.13559322 0.14915254 0.1220339  0.14237288]";12.47$\pm$2.67;"[0.19661017 0.09830508 0.12542373 0.10169492 0.10847458 0.10847458
 0.11864407 0.13559322 0.1220339  0.13220339]";14.51$\pm$1.5;"[0.15254237 0.1220339  0.16610169 0.13220339 0.13898305 0.16271186
 0.13220339 0.14237288 0.13559322 0.16610169]";14.71$\pm$3.14;"[0.17627119 0.21694915 0.10847458 0.15932203 0.12542373 0.12881356
 0.15254237 0.1220339  0.16271186 0.11864407]";14.54$\pm$3.89;"[0.12542373 0.16271186 0.16949153 0.13559322 0.16271186 0.1220339
 0.14237288 0.0779661  0.23389831 0.1220339 ]";14.51$\pm$3.82;"[0.12542373 0.16271186 0.16949153 0.13559322 0.16271186 0.1220339
 0.14237288 0.0779661  0.23050847 0.1220339 ]";19.93$\pm$3.78;"[0.26440678 0.18305085 0.17966102 0.23050847 0.21355932 0.1559322
 0.16271186 0.25762712 0.18305085 0.16271186]"
Hits@50;18.2$\pm$1.77;"[0.21016949 0.16610169 0.15932203 0.16949153 0.19661017 0.18644068
 0.20338983 0.16271186 0.16949153 0.19661017]";19.73$\pm$2.94;"[0.18305085 0.19661017 0.19661017 0.21694915 0.17627119 0.19322034
 0.2440678  0.13898305 0.18644068 0.24067797]";18.47$\pm$2.24;"[0.21355932 0.15254237 0.15932203 0.20338983 0.1559322  0.17966102
 0.22033898 0.18305085 0.18983051 0.18983051]";28.14$\pm$7.05;"[0.25762712 0.26440678 0.29152542 0.26101695 0.26779661 0.2
 0.28135593 0.25423729 0.48135593 0.25423729]";28.14$\pm$7.05;"[0.25762712 0.26440678 0.29152542 0.26101695 0.26779661 0.2
 0.28135593 0.25423729 0.48135593 0.25423729]";24.1$\pm$1.9;"[0.22711864 0.22372881 0.23389831 0.26440678 0.24067797 0.21016949
 0.2779661  0.24745763 0.25084746 0.23389831]";19.42$\pm$3.94;"[0.28135593 0.21355932 0.19322034 0.15254237 0.15254237 0.13898305
 0.21694915 0.21355932 0.19661017 0.18305085]";27.59$\pm$4.74;"[0.29491525 0.38305085 0.24745763 0.21355932 0.31186441 0.26779661
 0.26779661 0.22711864 0.24067797 0.30508475]";25.02$\pm$5.46;"[0.24067797 0.36610169 0.16949153 0.2779661  0.25084746 0.2440678
 0.31525424 0.20338983 0.20338983 0.23050847]";28.24$\pm$7.84;"[0.26101695 0.24745763 0.27118644 0.25084746 0.28135593 0.19661017
 0.30847458 0.23389831 0.50169492 0.27118644]";27.32$\pm$5.37;"[0.26101695 0.24745763 0.27118644 0.25084746 0.28135593 0.19661017
 0.30847458 0.23389831 0.41016949 0.27118644]";32.34$\pm$4.09;"[0.38305085 0.33898305 0.30169492 0.33898305 0.30508475 0.23728814
 0.31186441 0.35254237 0.29152542 0.37288136]"
Hits@100;28.81$\pm$3.23;"[0.29491525 0.22372881 0.31186441 0.24067797 0.31864407 0.29152542
 0.29830508 0.32881356 0.30508475 0.26779661]";31.08$\pm$4.63;"[0.27118644 0.30169492 0.28474576 0.31525424 0.27118644 0.33220339
 0.42033898 0.25762712 0.29830508 0.3559322 ]";29.15$\pm$2.67;"[0.3220339  0.31186441 0.23389831 0.29152542 0.26779661 0.27118644
 0.32881356 0.29491525 0.29152542 0.30169492]";42.44$\pm$8.74;"[0.40677966 0.4        0.42372881 0.40338983 0.40338983 0.3220339
 0.41694915 0.39661017 0.67457627 0.39661017]";42.27$\pm$8.26;"[0.40677966 0.4        0.42372881 0.40338983 0.40338983 0.3220339
 0.41694915 0.39661017 0.65762712 0.39661017]";37.66$\pm$3.49;"[0.32542373 0.36610169 0.33559322 0.37966102 0.38644068 0.36610169
 0.45762712 0.37627119 0.36610169 0.40677966]";35.69$\pm$6.25;"[0.37966102 0.47118644 0.26779661 0.37288136 0.3559322  0.30508475
 0.45084746 0.33559322 0.28474576 0.34576271]";55.59$\pm$15.28;"[0.44745763 0.76271186 0.35254237 0.63728814 0.68813559 0.71186441
 0.66101695 0.37288136 0.34576271 0.57966102]";43.22$\pm$9.63;"[0.33559322 0.6        0.28813559 0.47457627 0.43389831 0.49830508
 0.51525424 0.3220339  0.35932203 0.49491525]";42.31$\pm$8.53;"[0.41355932 0.38983051 0.42033898 0.36610169 0.42372881 0.32881356
 0.41694915 0.38983051 0.66440678 0.41694915]";42.24$\pm$8.34;"[0.41355932 0.38983051 0.42033898 0.36610169 0.42372881 0.32881356
 0.41694915 0.38983051 0.65762712 0.41694915]";48.41$\pm$4.28;"[0.53898305 0.47457627 0.52542373 0.45762712 0.53220339 0.41016949
 0.41694915 0.48474576 0.50169492 0.49830508]"
ROCAUC;44.44$\pm$2.28;"[0.43971273 0.42163746 0.44174662 0.39610457 0.47709279 0.45771905
 0.46798621 0.46072968 0.43043953 0.45115197]";45.51$\pm$2.98;"[0.4053318  0.46291296 0.43349612 0.46965814 0.44466533 0.46226372
 0.50118357 0.41728814 0.45455903 0.49939098]";44.73$\pm$2.82;"[0.48715886 0.44047113 0.38241885 0.47690893 0.42862396 0.45010055
 0.46752083 0.44556162 0.43172652 0.46223499]";52.72$\pm$7.47;"[0.52125251 0.5013272  0.52494111 0.5074289  0.52572249 0.42949727
 0.54314278 0.49653548 0.73321459 0.48915829]";52.64$\pm$7.24;"[0.52125251 0.5013272  0.52494111 0.5074289  0.52572249 0.42949727
 0.54314278 0.49653548 0.72503304 0.48915829]";49.79$\pm$2.61;"[0.47525424 0.4733927  0.46393565 0.51295605 0.53165182 0.49477736
 0.54700373 0.49671933 0.47331227 0.5095892 ]";53.31$\pm$6.42;"[0.51851767 0.61262856 0.42623384 0.55309394 0.5636254  0.54022407
 0.62002873 0.47724217 0.4387245  0.58101695]";60.65$\pm$9.0;"[0.5363861  0.70657282 0.48022982 0.65113473 0.67169779 0.69624246
 0.67062338 0.49180121 0.48784832 0.67285263]";56.56$\pm$7.95;"[0.49901752 0.67202528 0.42738294 0.62002873 0.584131   0.6222235
 0.64674519 0.47598966 0.49540937 0.61336398]";52.62$\pm$7.17;"[0.52294743 0.50326918 0.52267739 0.4962482  0.5273657  0.43195633
 0.54338409 0.49432922 0.72343579 0.49665039]";52.51$\pm$6.86;"[0.52294743 0.50326918 0.52267739 0.4962482  0.5273657  0.43195633
 0.54338409 0.49432922 0.71204826 0.49665039]";58.69$\pm$1.87;"[0.60719334 0.5687676  0.6081241  0.57101982 0.60509624 0.54812985
 0.58294743 0.58781959 0.60155128 0.58808388]"
AP;52.68$\pm$1.38;"[0.54204852 0.51353985 0.52404766 0.50978234 0.54008197 0.53926764
 0.5444876  0.52549572 0.50315423 0.52658753]";53.49$\pm$2.63;"[0.50589268 0.53543061 0.52547856 0.55449551 0.5149675  0.54234029
 0.57207011 0.49167891 0.52852197 0.57820447]";53.28$\pm$1.86;"[0.55755896 0.5114621  0.49929677 0.5540284  0.51770924 0.53408993
 0.55503879 0.53011881 0.52778774 0.54116448]";56.93$\pm$5.87;"[0.56919197 0.55955315 0.58355782 0.55719408 0.55475237 0.49543496
 0.5821049  0.52622675 0.72814285 0.53638611]";56.88$\pm$5.74;"[0.56919197 0.55955315 0.58355782 0.55719408 0.55475237 0.49543496
 0.5821049  0.52622675 0.72318536 0.53638611]";54.7$\pm$1.64;"[0.53919519 0.51822571 0.53356735 0.55991945 0.55038182 0.53015346
 0.57503875 0.55929105 0.54290649 0.56133108]";56.47$\pm$2.81;"[0.59584744 0.60017318 0.52429889 0.56216231 0.56266407 0.54998432
 0.60296211 0.5436512  0.52422401 0.5805333 ]";62.08$\pm$4.53;"[0.59154606 0.67951603 0.57220718 0.63251499 0.65391325 0.67447708
 0.64123144 0.55507855 0.55677861 0.65077346]";59.63$\pm$4.61;"[0.57736961 0.66815634 0.51125172 0.63040872 0.59830481 0.61253056
 0.65144414 0.54438269 0.56131969 0.60805364]";56.88$\pm$5.48;"[0.56821429 0.56223325 0.58448956 0.55500617 0.5604043  0.49138532
 0.58556883 0.5235383  0.712173   0.54532825]";56.69$\pm$4.97;"[0.56821429 0.56223325 0.58448956 0.55500617 0.5604043  0.49138532
 0.58556883 0.5235383  0.69239185 0.54532825]";62.8$\pm$2.49;"[0.67220435 0.62228486 0.64126769 0.63288063 0.64098864 0.57994739
 0.59493452 0.644165   0.63499088 0.61597667]"
pretrain_time;32.04$\pm$12.47;"[28.8811214  49.74247742 27.74454832 15.4302423  16.1397469  31.00659323
 49.55733514 25.98003983 26.36829042 49.57782173]";21.0$\pm$5.5;"[17.22876096 16.0918088  17.40023065 32.15233064 16.35916185 20.72351503
 28.96788478 17.88572121 17.64863825 25.51567698]";42.23$\pm$14.97;"[36.43900704 62.31805611 44.57926393 41.73541737 25.81287003 57.07013988
 19.73479319 24.80877113 64.28546381 45.56462526]";544.11$\pm$15.67;"[563.07270861 546.44918227 572.49361396 533.6828742  541.21578026
 529.51706958 521.65268469 555.11428738 550.66093493 527.22190475]";541.5$\pm$14.02;"[551.40527439 540.49276686 568.16669011 533.44268465 539.04182529
 529.33468461 519.83581638 555.17525983 550.67589235 527.4689858 ]";224.1$\pm$32.0;"[199.43506527 207.24189258 282.09339428 203.03302646 202.75764322
 200.68268228 199.59648037 211.20483947 265.58250952 269.33776736]";13.5$\pm$1.21;"[14.43398666 14.09281039 14.54783726 15.30271387 14.83559084 11.88804412
 13.05207443 12.37226224 12.40716887 12.03857422]";13.97$\pm$1.16;"[12.4300468  15.28707623 12.48719668 15.31706977 15.16513896 14.95385957
 14.09881973 12.35952878 13.42530441 14.19011617]";13.33$\pm$1.06;"[13.03572512 13.39609456 13.49861455 12.43405199 12.31769252 12.68771219
 14.23415208 13.51432419 15.92622042 12.24411583]";541.82$\pm$14.35;"[553.38003063 541.23714805 568.5034337  533.35349488 539.63874245
 528.24395013 519.56419659 555.64438629 550.57421374 528.05973315]";551.94$\pm$20.37;"[557.73913097 545.37049413 567.22107601 532.21629834 540.00459456
 528.27890563 520.56981778 578.2804997  578.16904259 571.51506472]";217.24$\pm$9.64;"[211.39942622 232.61387157 224.66871023 230.62574339 208.49949336
 201.92524552 207.12938404 220.22657561 216.71235371 218.60656714]"
