metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random
Hits@10;2.0$\pm$1.18;"[0.00338983 0.02372881 0.03050847 0.04745763 0.01355932 0.01355932
 0.02372881 0.02033898 0.01016949 0.01355932]";6.34$\pm$1.55;"[0.08135593 0.04745763 0.06779661 0.03389831 0.05084746 0.08474576
 0.06101695 0.06440678 0.08135593 0.06101695]"
Hits@20;3.19$\pm$1.39;"[0.01694915 0.02711864 0.05084746 0.06101695 0.03389831 0.02033898
 0.03050847 0.03050847 0.01355932 0.03389831]";11.59$\pm$2.63;"[0.13898305 0.14576271 0.12542373 0.06101695 0.12542373 0.11525424
 0.11525424 0.08813559 0.14915254 0.09491525]"
Hits@50;9.02$\pm$2.17;"[0.09491525 0.0779661  0.10847458 0.12881356 0.09491525 0.06779661
 0.10847458 0.04745763 0.08813559 0.08474576]";24.51$\pm$3.33;"[0.26101695 0.28135593 0.26440678 0.19322034 0.28813559 0.22033898
 0.22711864 0.18983051 0.26440678 0.26101695]"
Hits@100;17.36$\pm$2.33;"[0.2        0.17966102 0.16271186 0.20677966 0.16271186 0.16610169
 0.18644068 0.11864407 0.16949153 0.18305085]";38.34$\pm$3.69;"[0.37966102 0.42372881 0.38644068 0.28474576 0.42372881 0.37288136
 0.37966102 0.4        0.38644068 0.39661017]"
ROCAUC;29.51$\pm$2.0;"[0.3001264  0.28402183 0.30716461 0.31686297 0.31694915 0.29250215
 0.30199368 0.24325194 0.29547257 0.29218041]";49.8$\pm$1.87;"[0.50744039 0.51218615 0.49592071 0.45937374 0.52600977 0.48872163
 0.51578282 0.48738868 0.5067337  0.47994255]"
AP;40.5$\pm$1.34;"[0.40857539 0.39472168 0.41217659 0.43817705 0.40326678 0.39514037
 0.41091747 0.38776331 0.3951966  0.40400362]";54.05$\pm$1.91;"[0.55074412 0.54757019 0.55140183 0.48886985 0.55355647 0.54644737
 0.54780581 0.52597623 0.55532344 0.53701609]"
pretrain_time;nan$\pm$nan;[];0.0$\pm$0.0;"[0.00016117 0.00015593 0.00016499 0.00015521 0.00015235 0.00016165
 0.00015759 0.00017118 0.00015664 0.00016022]"
