metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random
Hits@10;1.16$\pm$0.58;"[0.00414938 0.00829876 0.01244813 0.02074689 0.01244813 0.02074689
 0.01659751 0.00829876 0.00829876 0.00414938]";13.61$\pm$4.08;"[0.13692946 0.09958506 0.21576763 0.12448133 0.10373444 0.20746888
 0.12448133 0.12448133 0.08713693 0.13692946]"
Hits@20;2.7$\pm$0.91;"[0.0373444  0.01244813 0.02074689 0.02904564 0.0373444  0.04149378
 0.02904564 0.01659751 0.02074689 0.02489627]";19.42$\pm$3.46;"[0.19087137 0.18257261 0.2780083  0.17842324 0.14522822 0.22821577
 0.17842324 0.2033195  0.18672199 0.17012448]"
Hits@50;6.27$\pm$1.1;"[0.08298755 0.05394191 0.04149378 0.06639004 0.06639004 0.06639004
 0.06224066 0.05394191 0.05809129 0.0746888 ]";32.41$\pm$3.21;"[0.31120332 0.30705394 0.37759336 0.39419087 0.31950207 0.31120332
 0.29460581 0.3153527  0.29460581 0.3153527 ]"
Hits@100;9.29$\pm$1.35;"[0.10788382 0.07053942 0.09128631 0.09543568 0.10373444 0.08298755
 0.09958506 0.08298755 0.07883817 0.11618257]";48.3$\pm$4.32;"[0.50622407 0.43983402 0.52697095 0.54771784 0.4813278  0.48547718
 0.42323651 0.53112033 0.41908714 0.46887967]"
ROCAUC;12.7$\pm$1.2;"[0.14257675 0.1157091  0.11945387 0.1322787  0.14335153 0.12697784
 0.13166096 0.12150273 0.10232538 0.13392504]";52.81$\pm$3.36;"[0.5462888  0.50593137 0.57710783 0.58217497 0.50992579 0.52528366
 0.4786419  0.55617155 0.49932573 0.50031852]"
AP;39.06$\pm$2.18;"[0.42011581 0.38316178 0.35475367 0.39502467 0.39767887 0.42324932
 0.39904173 0.40090888 0.36167857 0.37053376]";58.64$\pm$2.82;"[0.57636174 0.57997225 0.64520483 0.60944786 0.56673208 0.6042754
 0.55462089 0.60930025 0.5526718  0.56505106]"
pretrain_time;nan$\pm$nan;[];0.0$\pm$0.0;"[0.00015783 0.00016689 0.00015235 0.00016093 0.00015664 0.00015593
 0.00016928 0.00014925 0.00014949 0.00016069]"
