metrics;lbgrl_random_mean;lbgrl_random;lbgrl_deg_mean;lbgrl_deg;lbgrl_raa_mean;lbgrl_raa;lbgrl_sbm+random_mean;lbgrl_sbm+random;lbgrl_sbm+deg_mean;lbgrl_sbm+deg;lbgrl_sbm+raa_mean;lbgrl_sbm+raa
Hits@10;63.98$\pm$2.57;"[0.63846154 0.65054945 0.64945055 0.65824176 0.64285714 0.68131868
 0.59450549 0.66153846 0.60549451 0.61538462]";60.98$\pm$7.5;"[0.51648352 0.64725275 0.66923077 0.69120879 0.64395604 0.51648352
 0.47142857 0.62747253 0.69010989 0.62417582]";65.99$\pm$2.82;"[0.68021978 0.61428571 0.67802198 0.68461538 0.62637363 0.67582418
 0.64725275 0.70769231 0.64835165 0.63626374]";32.4$\pm$9.77;"[0.35604396 0.08571429 0.27692308 0.36813187 0.38901099 0.4032967
 0.23736264 0.43296703 0.38241758 0.30769231]";27.98$\pm$8.01;"[0.1967033  0.27912088 0.3978022  0.17032967 0.43296703 0.19450549
 0.28901099 0.26483516 0.27582418 0.2967033 ]";35.76$\pm$6.68;"[0.25934066 0.39120879 0.35384615 0.42527473 0.48461538 0.37032967
 0.32747253 0.31648352 0.38681319 0.26043956]"
Hits@20;69.31$\pm$1.95;"[0.6967033  0.68461538 0.71978022 0.69340659 0.70549451 0.72527473
 0.69340659 0.68461538 0.66153846 0.66593407]";68.4$\pm$5.06;"[0.66703297 0.72527473 0.73956044 0.74395604 0.68681319 0.59120879
 0.5967033  0.69340659 0.70879121 0.68681319]";71.59$\pm$1.94;"[0.72967033 0.69450549 0.71208791 0.75714286 0.71318681 0.71318681
 0.7032967  0.73516484 0.71428571 0.68681319]";42.16$\pm$9.68;"[0.44615385 0.14395604 0.46153846 0.43846154 0.46703297 0.46043956
 0.38241758 0.48791209 0.48681319 0.44175824]";40.27$\pm$8.43;"[0.31648352 0.37582418 0.55384615 0.31098901 0.53406593 0.31098901
 0.45824176 0.42747253 0.37582418 0.36373626]";48.0$\pm$5.72;"[0.37692308 0.48351648 0.50879121 0.57142857 0.56483516 0.45824176
 0.47802198 0.44285714 0.4956044  0.41978022]"
Hits@50;77.34$\pm$2.1;"[0.7978022  0.79340659 0.8        0.74945055 0.77142857 0.76923077
 0.78681319 0.75604396 0.77692308 0.73296703]";77.69$\pm$1.98;"[0.79340659 0.8010989  0.8010989  0.78681319 0.74835165 0.77252747
 0.73956044 0.76703297 0.78461538 0.77472527]";78.02$\pm$1.81;"[0.78241758 0.76483516 0.79010989 0.8032967  0.76153846 0.79120879
 0.78131868 0.7956044  0.79120879 0.74065934]";59.42$\pm$5.99;"[0.63406593 0.42087912 0.61978022 0.62307692 0.61318681 0.60989011
 0.5967033  0.63186813 0.61538462 0.57692308]";59.03$\pm$5.43;"[0.51318681 0.55274725 0.66593407 0.58791209 0.66483516 0.51648352
 0.65934066 0.5956044  0.57912088 0.56813187]";65.08$\pm$4.14;"[0.62087912 0.62967033 0.63846154 0.72637363 0.68241758 0.65164835
 0.63076923 0.63846154 0.70879121 0.58021978]"
Hits@100;82.98$\pm$1.45;"[0.85274725 0.84835165 0.84285714 0.80659341 0.82307692 0.81978022
 0.82417582 0.82307692 0.84065934 0.81648352]";85.01$\pm$2.89;"[0.89450549 0.85714286 0.85384615 0.84945055 0.79450549 0.89010989
 0.87032967 0.82527473 0.83516484 0.83076923]";82.92$\pm$1.74;"[0.82747253 0.80879121 0.83076923 0.84945055 0.81538462 0.84175824
 0.84175824 0.84285714 0.84175824 0.79230769]";72.37$\pm$3.27;"[0.72747253 0.63516484 0.72417582 0.74615385 0.72967033 0.73516484
 0.73076923 0.74835165 0.75714286 0.7032967 ]";72.11$\pm$3.06;"[0.67582418 0.67692308 0.76373626 0.72087912 0.74945055 0.71428571
 0.77032967 0.71428571 0.71868132 0.70659341]";75.82$\pm$2.68;"[0.75494505 0.73516484 0.76593407 0.79340659 0.77472527 0.77472527
 0.75274725 0.73296703 0.79340659 0.7043956 ]"
ROCAUC;93.07$\pm$0.68;"[0.94093588 0.93854607 0.93699513 0.92265668 0.92855392 0.92775389
 0.92361188 0.93288733 0.93465347 0.92045224]";93.49$\pm$0.98;"[0.94819285 0.93240551 0.93928723 0.93692549 0.91712716 0.95043111
 0.93689711 0.92545466 0.93690567 0.92537797]";92.83$\pm$0.46;"[0.93010506 0.92424888 0.9299109  0.93367951 0.92550054 0.92878276
 0.93071247 0.9329453  0.92968242 0.91709938]";87.47$\pm$1.03;"[0.87896389 0.8514491  0.87076548 0.88741939 0.88464437 0.87385461
 0.86408526 0.88092139 0.88272586 0.87208187]";87.4$\pm$0.95;"[0.86338244 0.8621332  0.89041212 0.88000181 0.88865354 0.87083927
 0.87847361 0.86793986 0.87168365 0.86635914]";88.6$\pm$0.95;"[0.88455078 0.88069195 0.89084854 0.9005259  0.89117498 0.88455984
 0.88038401 0.8839005  0.89786929 0.86513283]"
AP;94.38$\pm$0.58;"[0.95093501 0.95032436 0.95066976 0.93918209 0.94030033 0.94315485
 0.94019852 0.94539283 0.94578846 0.93195063]";94.44$\pm$0.61;"[0.94660969 0.94811113 0.9524411  0.9505997  0.93408886 0.94733034
 0.93679211 0.94213317 0.94922823 0.93708921]";94.34$\pm$0.49;"[0.94552538 0.93747814 0.94526104 0.94874041 0.93948173 0.9453632
 0.94536104 0.94906159 0.94447427 0.93276403]";88.68$\pm$2.06;"[0.89580871 0.82952745 0.88734612 0.9027464  0.89872717 0.89248634
 0.8764736  0.90339597 0.89498557 0.88676099]";88.36$\pm$1.31;"[0.86651508 0.87520603 0.90498419 0.87465186 0.90900066 0.87218187
 0.8884102  0.87824591 0.88412207 0.88248341]";89.91$\pm$1.2;"[0.88940657 0.90102001 0.90271019 0.91823136 0.9101832  0.90328808
 0.89439216 0.88626827 0.90941236 0.87591608]"
pretrain_time;8.69$\pm$0.7;"[ 7.98761606  8.27354932  8.63510633  9.36645293 10.32629776  8.9321115
  8.73934174  7.76009059  8.59882522  8.26970005]";10.63$\pm$3.14;"[14.81866074  8.67982244  8.76475596  8.94800401  9.13308024 17.48926187
 13.19171476  8.2105124   8.73779249  8.28731489]";10.35$\pm$0.53;"[10.73933411 10.03625894 10.21418738 10.39655423 11.58514786 10.22544837
 10.05125165  9.52583337 10.70526385 10.05895901]";613.79$\pm$18.7;"[605.70405054 646.7701149  608.74398375 601.12704182 634.68148899
 626.93004894 595.88695359 579.9697957  615.26717138 622.85058403]";607.43$\pm$19.19;"[605.91988301 633.94232392 609.36506796 595.23653889 634.55755663
 614.6437633  585.22994328 569.32610178 609.21538401 616.88017893]";608.18$\pm$19.46;"[606.26449227 634.1484468  611.21995282 596.57206035 635.80552626
 610.14942741 593.13825083 565.0468111  611.13979816 618.28131866]"
