metrics;grace_rjc_mean;grace_rjc;grace_raa_mean;grace_raa;grace_rra_mean;grace_rra;grace_raa+scom_mean;grace_raa+scom;grace_raa+deg_mean;grace_raa+deg;grace_sbm+raa_mean;grace_sbm+raa;bgrl_rjc_mean;bgrl_rjc;bgrl_raa_mean;bgrl_raa;bgrl_rra_mean;bgrl_rra;bgrl_raa+scom_mean;bgrl_raa+scom;bgrl_raa+deg_mean;bgrl_raa+deg;bgrl_sbm+raa_mean;bgrl_sbm+raa
Hits@10;28.66$\pm$2.12;"[0.29286798 0.29059181 0.28983308 0.26100152 0.30576631 0.2754173
 0.30576631 0.32397572 0.2693475  0.25189681]";28.0$\pm$2.04;"[0.30045524 0.28224583 0.28603945 0.2693475  0.29362671 0.2754173
 0.29286798 0.30880121 0.24355083 0.24734446]";27.66$\pm$2.44;"[0.30652504 0.28300455 0.28907436 0.22534143 0.30121396 0.26555387
 0.27086495 0.30273141 0.27314112 0.24886191]";28.19$\pm$3.87;"[0.31942337 0.29059181 0.29742033 0.27314112 0.29893778 0.29135053
 0.30424886 0.32169954 0.22837633 0.19347496]";24.5$\pm$4.18;"[0.26024279 0.28224583 0.27996965 0.27086495 0.29438543 0.18816388
 0.25341426 0.2245827  0.23899848 0.15705615]";31.7$\pm$2.49;"[0.32018209 0.30652504 0.31866464 0.30955994 0.35811836 0.28907436
 0.29286798 0.36494689 0.31866464 0.29135053]";25.36$\pm$0.88;"[0.25417299 0.25948407 0.23141123 0.24962064 0.25872534 0.24886191
 0.26251897 0.26327769 0.25493171 0.25265554]";25.39$\pm$1.07;"[0.26100152 0.26176024 0.24582701 0.24430956 0.25872534 0.23216995
 0.26403642 0.26707132 0.25872534 0.24506829]";25.24$\pm$1.12;"[0.25796662 0.25265554 0.24506829 0.24430956 0.27010622 0.25569044
 0.24658574 0.26631259 0.25569044 0.22913505]";26.62$\pm$0.99;"[0.27465857 0.2693475  0.26251897 0.25113809 0.27314112 0.26631259
 0.27314112 0.28224583 0.25872534 0.25037936]";27.44$\pm$1.69;"[0.28072838 0.26858877 0.24658574 0.25569044 0.284522   0.28300455
 0.28907436 0.30652504 0.26858877 0.26024279]";34.8$\pm$2.1;"[0.32018209 0.35280728 0.36798179 0.32701062 0.36039454 0.35660091
 0.34825493 0.38998483 0.32701062 0.3292868 ]"
Hits@20;32.02$\pm$1.63;"[0.31638847 0.31487102 0.32473445 0.30424886 0.32473445 0.34218513
 0.32852807 0.34673748 0.31031866 0.28907436]";32.0$\pm$1.3;"[0.32169954 0.31866464 0.3292868  0.30121396 0.32169954 0.34066768
 0.33004552 0.33004552 0.30804249 0.29817906]";32.13$\pm$1.03;"[0.33687405 0.31411229 0.33308042 0.30955994 0.32397572 0.33004552
 0.32245827 0.32701062 0.30500759 0.31107739]";33.02$\pm$1.45;"[0.33156297 0.34066768 0.33990895 0.31638847 0.3353566  0.33915023
 0.34597876 0.3414264  0.30955994 0.30197269]";30.71$\pm$2.22;"[0.31866464 0.32169954 0.33308042 0.29969651 0.3262519  0.31638847
 0.32018209 0.2723824  0.30045524 0.26251897]";44.89$\pm$3.61;"[0.45068285 0.46965099 0.49241275 0.46509863 0.46433991 0.47647951
 0.36722307 0.47116844 0.40819423 0.42412747]";26.62$\pm$0.8;"[0.26403642 0.27162367 0.25037936 0.25872534 0.2693475  0.26251897
 0.2754173  0.27921093 0.26858877 0.26176024]";26.67$\pm$0.9;"[0.27693475 0.27389985 0.25569044 0.26100152 0.2784522  0.25417299
 0.26858877 0.2754173  0.26707132 0.25569044]";26.8$\pm$0.95;"[0.27921093 0.2723824  0.25796662 0.26707132 0.27769347 0.2754173
 0.26707132 0.27389985 0.26176024 0.24734446]";28.67$\pm$0.61;"[0.28907436 0.28376328 0.2814871  0.28224583 0.28907436 0.29210926
 0.29362671 0.29742033 0.28072838 0.27769347]";29.7$\pm$1.66;"[0.30652504 0.27314112 0.26403642 0.28603945 0.30273141 0.31183612
 0.30880121 0.31866464 0.30197269 0.29666161]";41.53$\pm$1.61;"[0.42109256 0.4491654  0.42033384 0.41198786 0.40212443 0.41198786
 0.39605463 0.42792109 0.42185129 0.39074355]"
Hits@50;35.43$\pm$1.18;"[0.35356601 0.34597876 0.36039454 0.33308042 0.35280728 0.37253414
 0.35735964 0.37253414 0.35356601 0.3414264 ]";35.18$\pm$1.0;"[0.36039454 0.35356601 0.35356601 0.34066768 0.35508346 0.36494689
 0.34977238 0.36494689 0.34218513 0.33308042]";35.82$\pm$0.63;"[0.36949924 0.35432473 0.36039454 0.34446131 0.35963581 0.36494689
 0.35584219 0.35735964 0.35887709 0.35660091]";36.48$\pm$0.8;"[0.36267071 0.36267071 0.37556904 0.35811836 0.36267071 0.37481032
 0.37253414 0.36949924 0.36115326 0.34825493]";35.97$\pm$0.93;"[0.36798179 0.35356601 0.36039454 0.34673748 0.35280728 0.37253414
 0.37253414 0.35811836 0.36570561 0.34673748]";61.02$\pm$4.08;"[0.62443096 0.66919575 0.60394537 0.63277693 0.66540212 0.62443096
 0.57207891 0.6047041  0.52959029 0.57587253]";28.97$\pm$0.83;"[0.28983308 0.29286798 0.27010622 0.29210926 0.29210926 0.29514416
 0.28907436 0.29666161 0.29969651 0.27921093]";29.1$\pm$0.74;"[0.29438543 0.29438543 0.27617602 0.29438543 0.29666161 0.29590288
 0.28983308 0.29666161 0.29438543 0.27693475]";29.08$\pm$1.0;"[0.29514416 0.30045524 0.27617602 0.2875569  0.30500759 0.29362671
 0.29742033 0.29742033 0.2814871  0.27389985]";30.87$\pm$0.71;"[0.30652504 0.30576631 0.30880121 0.30652504 0.31259484 0.31487102
 0.323217   0.31183612 0.29893778 0.29817906]";32.38$\pm$1.92;"[0.3353566  0.29438543 0.28831563 0.31790592 0.33308042 0.34673748
 0.32852807 0.34977238 0.32852807 0.31562974]";48.6$\pm$1.43;"[0.48330804 0.51138088 0.49924127 0.46965099 0.48027314 0.49317147
 0.46889226 0.50151745 0.48558422 0.46737481]"
Hits@100;38.03$\pm$0.89;"[0.38239757 0.38163885 0.3801214  0.36646434 0.37632777 0.38998483
 0.37784522 0.39908953 0.3801214  0.36874052]";38.37$\pm$1.16;"[0.39074355 0.38543247 0.39150228 0.37632777 0.37784522 0.40591806
 0.38239757 0.39301973 0.36798179 0.36570561]";38.85$\pm$0.83;"[0.39301973 0.38694992 0.3892261  0.37481032 0.392261   0.39301973
 0.39605463 0.40212443 0.37632777 0.38088012]";39.41$\pm$1.08;"[0.39453718 0.39074355 0.41729894 0.3801214  0.39453718 0.40136571
 0.3983308  0.39908953 0.38770865 0.37708649]";39.86$\pm$1.14;"[0.40743551 0.38467375 0.39453718 0.38163885 0.40819423 0.40743551
 0.39984825 0.41047041 0.40971168 0.38163885]";72.43$\pm$2.77;"[0.73444613 0.76327769 0.73899848 0.71168437 0.74810319 0.75265554
 0.7124431  0.715478   0.70106222 0.6646434 ]";31.26$\pm$0.94;"[0.32169954 0.31031866 0.29135053 0.31259484 0.31866464 0.31031866
 0.32245827 0.31942337 0.31790592 0.30121396]";31.71$\pm$0.63;"[0.31411229 0.31866464 0.30349014 0.31487102 0.32701062 0.32397572
 0.32245827 0.31790592 0.31638847 0.31259484]";31.61$\pm$1.05;"[0.32169954 0.32549317 0.29438543 0.30728376 0.32473445 0.31790592
 0.32549317 0.32701062 0.31183612 0.30500759]";33.32$\pm$0.9;"[0.3414264  0.33687405 0.33080425 0.32701062 0.33383915 0.34294385
 0.34294385 0.33687405 0.32776935 0.31183612]";35.73$\pm$2.64;"[0.37860395 0.32094082 0.30804249 0.36798179 0.36418816 0.39301973
 0.35963581 0.38391502 0.36342944 0.33308042]";54.4$\pm$1.63;"[0.53338392 0.57587253 0.55462822 0.53034901 0.54400607 0.5569044
 0.52883156 0.55538695 0.54324734 0.51745068]"
ROCAUC;62.55$\pm$0.77;"[0.63334109 0.62148672 0.624146   0.62412787 0.63161064 0.63345046
 0.63225538 0.62845629 0.61848213 0.60786449]";63.49$\pm$0.95;"[0.64386653 0.6370547  0.63253516 0.63014442 0.62873088 0.63609737
 0.64832102 0.64934109 0.62399658 0.61919471]";63.95$\pm$1.03;"[0.64167584 0.64247457 0.64699469 0.63794352 0.6474201  0.62924754
 0.64612946 0.65119272 0.63770894 0.61415967]";65.3$\pm$1.48;"[0.66818287 0.67458483 0.67097311 0.63113169 0.64271664 0.64538513
 0.65718625 0.66141651 0.63366644 0.64440621]";67.07$\pm$2.91;"[0.67504651 0.66016416 0.65978767 0.61216672 0.71947109 0.67270788
 0.70228262 0.65910637 0.69820043 0.64757467]";90.47$\pm$1.21;"[0.89869808 0.91476717 0.91350646 0.90124309 0.90402412 0.92754115
 0.905366   0.89814256 0.90552573 0.87861143]";56.19$\pm$1.94;"[0.5666976  0.55994045 0.51454358 0.55044199 0.56656289 0.59288744
 0.57172948 0.56911884 0.57359175 0.55307019]";57.34$\pm$1.05;"[0.58524895 0.57054707 0.55027793 0.56616338 0.56573854 0.58395975
 0.58234933 0.57413921 0.58386767 0.57143934]";57.42$\pm$1.31;"[0.57635897 0.57462392 0.5542857  0.57703019 0.56280784 0.58519829
 0.58909381 0.5919019  0.57833249 0.5519203 ]";59.75$\pm$0.81;"[0.59619175 0.60212052 0.58990377 0.58769149 0.58656895 0.59791932
 0.60741548 0.60242332 0.61221761 0.59283333]";64.12$\pm$3.21;"[0.63179773 0.58792867 0.57788736 0.67545696 0.64604858 0.66326756
 0.65848264 0.67301125 0.65967971 0.63854969]";77.52$\pm$1.1;"[0.76187019 0.7799495  0.79221748 0.75661783 0.7747668  0.78805572
 0.7751925  0.78373507 0.77568231 0.76348378]"
AP;71.85$\pm$0.61;"[0.72251    0.71761575 0.7173052  0.71515048 0.72157413 0.72204215
 0.72335395 0.72702731 0.7141631  0.70423336]";72.24$\pm$0.77;"[0.72754543 0.72465591 0.72330123 0.71717192 0.71887116 0.72735541
 0.73027073 0.73391106 0.71393217 0.70714473]";72.57$\pm$0.89;"[0.72988154 0.72757321 0.73117866 0.72060969 0.73043626 0.72379203
 0.73166753 0.73721559 0.72176922 0.70330917]";73.39$\pm$1.09;"[0.74125782 0.74711381 0.7485059  0.72093752 0.72876456 0.7301734
 0.73918133 0.74378287 0.72050135 0.71871166]";74.0$\pm$1.49;"[0.74455722 0.73720131 0.73928586 0.71096765 0.76337109 0.74132123
 0.75774749 0.73570653 0.74884922 0.72059647]";91.37$\pm$0.98;"[0.91324397 0.9244036  0.92174409 0.91320685 0.91634118 0.92783657
 0.91041082 0.91173618 0.90724755 0.89100387]";66.96$\pm$1.19;"[0.67336754 0.66821271 0.63933957 0.66659334 0.67543653 0.6834499
 0.67727546 0.67481277 0.67743723 0.65966708]";67.61$\pm$0.65;"[0.68292211 0.67565094 0.65978905 0.67053238 0.67558909 0.67973288
 0.68072116 0.67906873 0.68151909 0.67534475]";67.68$\pm$0.85;"[0.68001862 0.67836474 0.66200133 0.67947881 0.67396525 0.68199527
 0.68419253 0.68904869 0.67726541 0.66133968]";69.37$\pm$0.54;"[0.69399283 0.69827127 0.6878906  0.68803914 0.69037944 0.69215796
 0.70179079 0.69873261 0.69987385 0.68579448]";71.97$\pm$2.16;"[0.72119192 0.68556336 0.67503869 0.73717434 0.72533056 0.73810197
 0.72972979 0.74284627 0.73125517 0.7110819 ]";82.83$\pm$0.75;"[0.82117737 0.83522949 0.83840544 0.81547753 0.82761556 0.83467989
 0.82673004 0.83722945 0.8267488  0.81967377]"
pretrain_time;32.08$\pm$6.23;"[38.46150279 30.25835061 33.50962901 19.05777478 25.11327314 38.08857846
 38.1504612  31.85537791 38.10600424 28.21709061]";30.18$\pm$5.78;"[28.1935358  38.56817722 21.83991504 30.32305336 25.00574732 25.41677427
 38.22917962 29.21616673 26.80998158 38.17284417]";27.87$\pm$6.88;"[26.29739833 28.19179797 18.85567212 34.47710323 24.50680089 28.71434855
 38.22718191 14.48268032 34.15358686 30.7690351 ]";33.33$\pm$4.76;"[35.62326503 24.8345356  34.24064422 28.79839587 36.98188949 37.26224947
 41.73186922 33.24397969 32.5346036  28.09072232]";29.28$\pm$9.87;"[37.87465477 40.31038523 32.81006169 40.06970644 40.028723   17.09172559
 16.14060354 29.07290936 23.47372675 15.88764453]";1148.55$\pm$353.81;"[ 988.27507019  741.9730854   748.14841032 1258.2664957  1242.74061537
  832.88514113 1578.30355263 1560.77754188  821.44041252 1712.73848295]";16.07$\pm$4.65;"[18.78884864 11.48507357 15.51251245 21.23742533 10.90208602  9.43889809
 19.41599917 19.44049025 11.55336976 22.91772795]";13.19$\pm$3.54;"[15.03455257 14.61632848  9.64695334  9.72863555 11.09262323  9.53297305
 13.38618517 21.45721364 11.64368176 15.7459693 ]";14.23$\pm$3.92;"[13.74823546 14.68081737  9.72475338  9.71237302 17.02225518 13.45131469
 19.69328785 13.47117829  9.42040849 21.35027599]";15.98$\pm$3.91;"[16.02123165 12.1111269  11.48103666 18.75019693 17.17337632 16.54695702
 15.94227648 25.52666903 12.51699734 13.76967359]";21.72$\pm$5.76;"[23.14800048 12.04782391 10.98409247 26.96969485 25.0107348  23.22872186
 18.49360824 25.02427816 22.97928143 29.30341315]";1243.09$\pm$268.66;"[1058.93342376 1226.41349578 1669.49316859 1516.06964159 1141.32293177
 1028.59940672 1138.05431962  945.26545238  999.25114346 1707.50939155]"
