metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random
Hits@10;22.81$\pm$1.57;"[0.24127466 0.22078907 0.215478   0.2185129  0.25037936 0.24658574
 0.24658574 0.21927162 0.20182094 0.22078907]";5.42$\pm$0.9;"[0.06449165 0.04172989 0.04931715 0.07359636 0.0508346  0.04931715
 0.05462822 0.05766313 0.04400607 0.05614568]"
Hits@20;27.17$\pm$1.9;"[0.28300455 0.2693475  0.28072838 0.24582701 0.29362671 0.26555387
 0.28224583 0.30197269 0.24582701 0.24886191]";8.88$\pm$0.69;"[0.09559939 0.08042489 0.09256449 0.09787557 0.09939302 0.08042489
 0.08801214 0.08270106 0.08194234 0.08952959]"
Hits@50;32.31$\pm$1.3;"[0.33156297 0.31411229 0.33763278 0.30197269 0.33308042 0.3292868
 0.33004552 0.33611533 0.30197269 0.31487102]";16.51$\pm$0.99;"[0.14795144 0.17450683 0.17147193 0.17298938 0.17147193 0.17981791
 0.15477997 0.16312595 0.15933232 0.15553869]"
Hits@100;36.92$\pm$1.5;"[0.37101669 0.36115326 0.37784522 0.34066768 0.37632777 0.39453718
 0.37101669 0.38543247 0.35280728 0.36115326]";23.73$\pm$0.88;"[0.22913505 0.25417299 0.24127466 0.23672231 0.24203338 0.23672231
 0.2245827  0.24658574 0.23672231 0.22534143]"
ROCAUC;66.82$\pm$1.47;"[0.6656842  0.67013869 0.70430839 0.65180407 0.64712824 0.67793721
 0.66380005 0.66921014 0.6680205  0.66356863]";58.94$\pm$1.0;"[0.59002409 0.60312563 0.59815534 0.58858723 0.57657513 0.58128953
 0.59114836 0.60644865 0.58027078 0.57839337]"
AP;73.39$\pm$0.9;"[0.73505582 0.73463136 0.75377102 0.71909884 0.72758834 0.7418652
 0.7338047  0.73764113 0.72769426 0.7280696 ]";63.68$\pm$0.61;"[0.63641439 0.64857225 0.64316917 0.63644556 0.63451141 0.62914054
 0.63547782 0.64356524 0.62958475 0.63094621]"
pretrain_time;nan$\pm$nan;[];0.0$\pm$0.0;"[0.00017428 0.0001843  0.00016665 0.00017858 0.00016642 0.00016427
 0.000211   0.00018001 0.00017858 0.00017452]"
