metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random
Hits@10;82.95$\pm$7.54;"[0.89924433 0.84634761 0.85894207 0.84634761 0.86146096 0.82367758
 0.61460957 0.88664987 0.83123426 0.82619647]";54.23$\pm$13.05;"[0.63224181 0.52896725 0.78589421 0.64735516 0.43324937 0.42821159
 0.48110831 0.67002519 0.33501259 0.48110831]"
Hits@20;91.59$\pm$2.04;"[0.92191436 0.91687657 0.92947103 0.91183879 0.92947103 0.92191436
 0.85894207 0.93702771 0.91183879 0.91939547]";77.05$\pm$7.11;"[0.80352645 0.68261965 0.87657431 0.76826196 0.63224181 0.81612091
 0.81360202 0.80352645 0.80856423 0.70025189]"
Hits@50;95.72$\pm$0.8;"[0.9697733  0.95969773 0.94458438 0.94458438 0.95214106 0.96473552
 0.96473552 0.95969773 0.95465995 0.95717884]";92.07$\pm$2.19;"[0.92443325 0.90680101 0.94962217 0.87153652 0.92191436 0.92947103
 0.91435768 0.95465995 0.91939547 0.91435768]"
Hits@100;96.7$\pm$0.84;"[0.98236776 0.96725441 0.95214106 0.95969773 0.96221662 0.96725441
 0.97984887 0.96473552 0.96725441 0.96725441]";95.97$\pm$0.77;"[0.94962217 0.95214106 0.97229219 0.94710327 0.96221662 0.96473552
 0.95717884 0.96725441 0.96473552 0.95969773]"
ROCAUC;96.62$\pm$0.54;"[0.9768668  0.96879303 0.95689967 0.95985675 0.966842   0.96171221
 0.96511717 0.96758517 0.96812805 0.96989446]";94.54$\pm$0.67;"[0.94817555 0.9395466  0.96250214 0.93707859 0.94039046 0.94238908
 0.94794291 0.94659441 0.94483308 0.9445525 ]"
AP;96.9$\pm$0.84;"[0.97936596 0.97420775 0.96298007 0.97086498 0.97493031 0.95574512
 0.95343521 0.97627066 0.968342   0.97430058]";93.64$\pm$1.01;"[0.94835684 0.94008506 0.95479762 0.9306653  0.91820664 0.93386127
 0.93204736 0.9380859  0.92638246 0.94123895]"
pretrain_time;nan$\pm$nan;[];0.0$\pm$0.0;"[0.00017786 0.00018454 0.00017571 0.00017262 0.00017428 0.00018048
 0.00018787 0.0001719  0.00017691 0.0001719 ]"
