metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random
Hits@10;16.93$\pm$3.66;"[0.17314488 0.1130742  0.20141343 0.16961131 0.13074205 0.13427562
 0.18021201 0.22968198 0.2155477  0.14487633]";7.46$\pm$2.3;"[0.08127208 0.02826855 0.10600707 0.07420495 0.07067138 0.05300353
 0.09187279 0.08480565 0.05300353 0.1024735 ]"
Hits@20;24.81$\pm$3.02;"[0.20848057 0.21201413 0.2614841  0.25441696 0.2155477  0.22261484
 0.27915194 0.27915194 0.25088339 0.29681979]";12.05$\pm$1.6;"[0.12014134 0.12014134 0.14134276 0.12720848 0.10954064 0.12367491
 0.11660777 0.14840989 0.08833922 0.10954064]"
Hits@50;36.71$\pm$3.0;"[0.32508834 0.34275618 0.3745583  0.36749117 0.32508834 0.38515901
 0.38162544 0.37809187 0.36042403 0.43109541]";22.3$\pm$3.29;"[0.18021201 0.204947   0.27561837 0.19787986 0.2614841  0.22968198
 0.22968198 0.25795053 0.21908127 0.17314488]"
Hits@100;52.76$\pm$3.94;"[0.50883392 0.52650177 0.57597173 0.55123675 0.49116608 0.51943463
 0.48763251 0.49116608 0.50883392 0.61484099]";39.79$\pm$3.76;"[0.36749117 0.33568905 0.44169611 0.39929329 0.4664311  0.39929329
 0.38162544 0.42402827 0.40636042 0.35689046]"
ROCAUC;63.54$\pm$1.77;"[0.62031615 0.6205846  0.64791669 0.65077601 0.61856185 0.61882406
 0.64157375 0.63501854 0.62500468 0.67541735]";51.93$\pm$2.34;"[0.51331644 0.48958034 0.54985079 0.53723982 0.54916405 0.52706364
 0.5022038  0.53768932 0.50803481 0.47921063]"
AP;66.34$\pm$1.91;"[0.64191539 0.64205214 0.68940137 0.6812849  0.635463   0.65788615
 0.67143656 0.66833888 0.65530257 0.69119331]";54.98$\pm$1.98;"[0.54708789 0.51204496 0.58101949 0.55204462 0.5632617  0.54616558
 0.54627066 0.57951554 0.53338164 0.53692475]"
pretrain_time;nan$\pm$nan;[];0.0$\pm$0.0;"[0.00016117 0.00017595 0.00017929 0.00016904 0.00016952 0.00016999
 0.00017214 0.00017881 0.00017715 0.00016999]"
