metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random;bgrl_sbm2_mean;bgrl_sbm2;lbgrl_random_mean;lbgrl_random;lbgrl_sbm2_mean;lbgrl_sbm2
Hits@10;42.2$\pm$4.29;[0.45853818 0.36184857 0.44575549];38.36$\pm$3.95;[0.41887906 0.32841691 0.40347427];21.85$\pm$3.3;[0.22091118 0.17699115 0.25762045];33.19$\pm$1.14;[0.33824975 0.31596198 0.34152737];12.64$\pm$1.53;[0.10488364 0.13569322 0.13864307]
Hits@20;55.97$\pm$3.83;[0.61324156 0.52605703 0.53982301];52.45$\pm$2.4;[0.49754179 0.52015733 0.55588332];33.43$\pm$1.27;[0.3497214  0.31858407 0.33464438];43.71$\pm$0.75;[0.44509997 0.42707309 0.43920026];21.88$\pm$3.08;[0.17535234 0.23795477 0.24319895]
Hits@50;76.1$\pm$0.69;[0.76630613 0.75122911 0.76532284];71.27$\pm$2.05;[0.68567683 0.73549656 0.71681416];51.35$\pm$0.44;[0.51294657 0.50835792 0.51917404];60.1$\pm$2.14;[0.62176336 0.57161586 0.60963618];38.59$\pm$3.45;[0.34218289 0.38905277 0.42641757]
Hits@100;85.68$\pm$0.37;[0.8548017  0.86201245 0.85349066];83.26$\pm$1.38;[0.81448705 0.84791872 0.83546378];66.43$\pm$1.54;[0.65486726 0.6519174  0.68600459];74.75$\pm$1.34;[0.72926909 0.75221239 0.76106195];53.45$\pm$1.57;[0.52572927 0.52114061 0.55653884]
ROCAUC;96.88$\pm$0.17;[0.96750226 0.96773028 0.97111314];96.98$\pm$0.12;[0.9680864  0.97077473 0.97039602];94.89$\pm$0.5;[0.94780086 0.94340628 0.95540618];96.23$\pm$0.16;[0.96103378 0.96449008 0.96132975];93.24$\pm$0.24;[0.92943945 0.93523203 0.9323986 ]
AP;97.26$\pm$0.12;[0.972919   0.97097617 0.97385822];97.17$\pm$0.1;[0.97092366 0.97304539 0.9711237 ];94.67$\pm$0.52;[0.94539937 0.94103894 0.95368159];96.16$\pm$0.09;[0.96054668 0.96145523 0.96285228];92.3$\pm$0.4;[0.91736475 0.92555063 0.92595454]
pretrain_time;nan$\pm$nan;[];0.05$\pm$0.0;[0.05386353 0.05373812 0.05367446];3.14$\pm$0.26;[3.25608754 3.39238834 2.77709389];0.1$\pm$0.01;[0.09102702 0.09109426 0.10311246];3.17$\pm$0.4;[3.29531217 3.59800267 2.63072634]
