metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random;bgrl_sbm2_mean;bgrl_sbm2;lbgrl_random_mean;lbgrl_random;lbgrl_sbm2_mean;lbgrl_sbm2
Hits@10;11.64$\pm$3.0;"[0.1198786  0.08194234 0.09484067 0.11836115 0.13505311 0.07435508
 0.17905918 0.14871017 0.10849772 0.10318665]";14.7$\pm$1.97;"[0.1737481  0.14567527 0.16084977 0.14871017 0.16843703 0.12670713
 0.14339909 0.16312595 0.10698027 0.13201821]";7.28$\pm$1.42;"[0.06828528 0.08573596 0.10091047 0.07511381 0.07738998 0.06449165
 0.07511381 0.06449165 0.04324734 0.07359636]";12.18$\pm$1.07;"[0.13657056 0.11532625 0.1138088  0.11153263 0.13732929 0.12367223
 0.12974203 0.13125948 0.1107739  0.107739  ]";4.48$\pm$1.07;"[0.04248862 0.04931715 0.06373293 0.03945372 0.05462822 0.05614568
 0.03110774 0.04248862 0.04172989 0.02731411]"
Hits@20;16.65$\pm$2.68;"[0.17602428 0.15402124 0.1198786  0.17223065 0.19575114 0.14491654
 0.21699545 0.18057663 0.16388467 0.14112291]";17.41$\pm$1.73;"[0.20257967 0.1707132  0.19802731 0.1707132  0.18361153 0.16236722
 0.1585736  0.18664643 0.14567527 0.16236722]";11.02$\pm$1.89;"[0.11001517 0.13505311 0.14264036 0.12291351 0.09787557 0.08573596
 0.1016692  0.11456753 0.08042489 0.1107739 ]";15.86$\pm$1.32;"[0.14946889 0.14719272 0.16843703 0.16616085 0.1707132  0.16919575
 0.16919575 0.16388467 0.12746586 0.15477997]";6.72$\pm$1.26;"[0.06449165 0.07283763 0.08497724 0.05235205 0.07890744 0.07056146
 0.04628225 0.06676783 0.08194234 0.05311077]"
Hits@50;24.41$\pm$1.76;"[0.25644917 0.23899848 0.23748103 0.22610015 0.26479514 0.22230653
 0.26327769 0.26100152 0.25569044 0.21471927]";23.14$\pm$1.39;"[0.25644917 0.23292868 0.23823976 0.24658574 0.23141123 0.2306525
 0.20713202 0.23672231 0.21699545 0.21699545]";19.06$\pm$2.62;"[0.18968134 0.21396055 0.24506829 0.20561457 0.18057663 0.16843703
 0.17981791 0.19499241 0.14188164 0.18588771]";20.94$\pm$1.5;"[0.19650986 0.19271624 0.21396055 0.2215478  0.22837633 0.22078907
 0.2185129  0.22306525 0.18361153 0.19499241]";11.73$\pm$1.0;"[0.1198786  0.11001517 0.13125948 0.10394537 0.12063733 0.1107739
 0.1047041  0.1198786  0.13581184 0.11608498]"
Hits@100;30.49$\pm$1.05;"[0.31942337 0.30273141 0.29059181 0.29210926 0.30880121 0.29817906
 0.31942337 0.31790592 0.30349014 0.29590288]";28.57$\pm$1.19;"[0.29590288 0.29362671 0.2814871  0.30880121 0.28831563 0.2693475
 0.28603945 0.28831563 0.27921093 0.26631259]";27.35$\pm$2.17;"[0.27996965 0.2814871  0.31866464 0.27465857 0.26707132 0.25113809
 0.25720789 0.30121396 0.24658574 0.25720789]";26.21$\pm$1.45;"[0.26176024 0.25796662 0.2723824  0.25417299 0.26403642 0.29135053
 0.27314112 0.25872534 0.23292868 0.25417299]";17.82$\pm$1.27;"[0.17830046 0.18057663 0.19119879 0.1676783  0.16919575 0.17754173
 0.15326252 0.18740516 0.20106222 0.17602428]"
ROCAUC;65.93$\pm$1.34;"[0.65205823 0.6509236  0.66726958 0.66557367 0.68496837 0.64735764
 0.65327979 0.6787607  0.64887781 0.64375399]";61.96$\pm$0.94;"[0.63026992 0.61969468 0.60781959 0.6203115  0.62104202 0.60477836
 0.61407649 0.63715486 0.62610568 0.61453068]";63.12$\pm$1.78;"[0.64362043 0.65822187 0.65840665 0.63033813 0.63285177 0.60521586
 0.60604741 0.63437987 0.62376614 0.61894718]";61.61$\pm$1.0;"[0.62084284 0.62231539 0.6274129  0.610185   0.59754111 0.63293524
 0.61992466 0.6128296  0.60594387 0.6111665 ]";59.85$\pm$1.24;"[0.59857932 0.59955564 0.59598566 0.60837568 0.57443222 0.60184823
 0.57940567 0.61573497 0.61232592 0.59863775]"
AP;69.92$\pm$1.12;"[0.69974374 0.6948448  0.69554083 0.69858257 0.72135487 0.68469822
 0.70697926 0.71238657 0.69469533 0.68274801]";68.28$\pm$0.83;"[0.697524   0.68499021 0.67733048 0.6886573  0.68247416 0.67163676
 0.67541721 0.69555434 0.67833952 0.6758111 ]";67.37$\pm$1.65;"[0.68328095 0.69521191 0.70332848 0.6781575  0.67158065 0.65387813
 0.65551422 0.67808041 0.6526848  0.66502472]";66.82$\pm$0.99;"[0.67060227 0.67418923 0.68052259 0.66320879 0.66038297 0.68358343
 0.67393546 0.66627633 0.64935642 0.65962843]";61.93$\pm$1.03;"[0.6154737  0.62163326 0.62565689 0.62168279 0.6075317  0.62439852
 0.59887268 0.63284982 0.63281416 0.61215037]"
pretrain_time;nan$\pm$nan;[];0.25$\pm$0.0;"[0.25082135 0.25061321 0.25022388 0.24994731 0.24960208 0.24969029
 0.24995399 0.24981952 0.24973226 0.24980974]";31.79$\pm$1.26;"[30.36995602 32.8771522  33.38081741 31.67634225 31.75494957 29.67449117
 31.21118283 31.07728744 31.87554121 33.99566436]";0.29$\pm$0.03;"[0.27907896 0.34656835 0.34442925 0.27333522 0.27341962 0.27869511
 0.27361727 0.27367806 0.27360535 0.27353048]";31.79$\pm$1.37;"[30.3056252  33.05105519 33.18153644 31.37409449 32.97960067 29.42145228
 31.05555415 30.80668592 31.84138346 33.84564424]"
