metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random
Hits@10;61.89$\pm$5.35;"[0.65644172 0.53374233 0.62730061 0.60582822 0.57361963 0.56441718
 0.70015337 0.70628834 0.62269939 0.59815951]";19.69$\pm$6.52;"[0.29601227 0.13957055 0.11503067 0.27530675 0.18174847 0.2101227
 0.17944785 0.26610429 0.09279141 0.21319018]"
Hits@20;76.65$\pm$4.21;"[0.7845092  0.72392638 0.81365031 0.78680982 0.75690184 0.66257669
 0.79677914 0.79601227 0.76150307 0.78220859]";38.66$\pm$7.22;"[0.45398773 0.34969325 0.25460123 0.53527607 0.37423313 0.36196319
 0.42944785 0.37883436 0.32515337 0.40260736]"
Hits@50;90.23$\pm$0.84;"[0.90107362 0.90030675 0.90874233 0.9202454  0.90030675 0.89953988
 0.89570552 0.91180982 0.89340491 0.89187117]";68.06$\pm$4.78;"[0.73006135 0.68481595 0.62269939 0.76687117 0.5958589  0.63880368
 0.68021472 0.69631902 0.69248466 0.69785276]"
Hits@100;95.25$\pm$0.65;"[0.94861963 0.95015337 0.94861963 0.9547546  0.95552147 0.95322086
 0.94708589 0.97009202 0.94861963 0.94785276]";83.76$\pm$1.81;"[0.8404908  0.84739264 0.85122699 0.86119632 0.81134969 0.8243865
 0.80444785 0.85736196 0.84509202 0.83282209]"
ROCAUC;97.73$\pm$0.21;"[0.97816662 0.97453182 0.97697622 0.97906377 0.97837553 0.97825658
 0.97370215 0.98102023 0.97532623 0.97736375]";94.36$\pm$0.53;"[0.94607442 0.9408089  0.9417866  0.95423139 0.93862378 0.94536499
 0.93348879 0.94748994 0.94418202 0.94399867]"
AP;97.85$\pm$0.21;"[0.97934698 0.97582986 0.97652639 0.97789692 0.9780851  0.97886232
 0.97743419 0.98390326 0.97781031 0.97934423]";93.22$\pm$0.69;"[0.93964903 0.92842803 0.92481418 0.94411036 0.92624021 0.93345116
 0.92286892 0.94019464 0.92839723 0.93364145]"
pretrain_time;nan$\pm$nan;[];0.0$\pm$0.0;"[0.00020027 0.00021577 0.00019526 0.00020289 0.0001967  0.00019765
 0.00022054 0.00019169 0.00018859 0.00019479]"
