metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random;bgrl_sbm2_mean;bgrl_sbm2;lbgrl_random_mean;lbgrl_random;lbgrl_sbm2_mean;lbgrl_sbm2
Hits@10;38.87$\pm$4.42;[0.39419087 0.43983402 0.33195021];56.71$\pm$1.74;[0.54356846 0.57261411 0.58506224];63.62$\pm$5.14;[0.6473029  0.69294606 0.56846473];64.59$\pm$2.26;[0.67634855 0.63900415 0.62240664];74.55$\pm$5.3;[0.80497925 0.75518672 0.67634855]
Hits@20;51.45$\pm$5.7;[0.53941909 0.56846473 0.43568465];67.5$\pm$2.54;[0.64315353 0.67634855 0.70539419];76.76$\pm$5.88;[0.81327801 0.80497925 0.6846473 ];77.04$\pm$3.22;[0.77178423 0.73029046 0.80912863];88.93$\pm$2.5;[0.85477178 0.91286307 0.90041494]
Hits@50;63.62$\pm$9.17;[0.72614108 0.67219917 0.51037344];79.39$\pm$1.37;[0.81327801 0.78423237 0.78423237];91.42$\pm$2.96;[0.90456432 0.95435685 0.88381743];88.66$\pm$0.98;[0.87966805 0.87966805 0.90041494];96.27$\pm$1.22;[0.94605809 0.96680498 0.97510373]
Hits@100;68.74$\pm$11.18;[0.80082988 0.72614108 0.53526971];86.03$\pm$0.39;[0.86307054 0.85477178 0.86307054];96.13$\pm$1.93;[0.95435685 0.98755187 0.94190871];94.19$\pm$1.48;[0.95020747 0.92116183 0.95435685];98.89$\pm$0.98;[0.97510373 0.99585062 0.99585062]
ROCAUC;68.85$\pm$9.43;[0.78361254 0.72206057 0.55995937];84.27$\pm$0.7;[0.85244744 0.83905236 0.83648698];92.41$\pm$2.23;[0.92794546 0.94931217 0.89507756];91.19$\pm$1.65;[0.91906131 0.88908593 0.92754946];95.89$\pm$0.61;[0.95019025 0.96360256 0.96281056]
AP;77.94$\pm$5.55;[0.83291895 0.80238032 0.70282218];87.53$\pm$0.34;[0.8706713  0.87887703 0.87642417];92.1$\pm$1.73;[0.91980376 0.9427762  0.9003578 ];91.63$\pm$1.38;[0.91691994 0.8990779  0.93298275];94.56$\pm$0.76;[0.93511482 0.94895608 0.95266237]
pretrain_time;nan$\pm$nan;[];0.05$\pm$0.0;[0.04739237 0.04779506 0.04678845];0.88$\pm$0.09;[0.7677784  0.99608874 0.87234354];0.06$\pm$0.0;[0.05775785 0.05811    0.05738449];1.02$\pm$0.04;[1.07271647 0.97174668 1.00659323]
