metrics;a2bgrl_random_mean;a2bgrl_random;a2bgrl_deg_mean;a2bgrl_deg;a2bgrl_pr_mean;a2bgrl_pr;a2bgrl_evc_mean;a2bgrl_evc;a2bgrl_scom_mean;a2bgrl_scom;a2bgrl_random+scom_mean;a2bgrl_random+scom;a2bgrl_random+deg_mean;a2bgrl_random+deg;a2bgrl_deg+scom_mean;a2bgrl_deg+scom
Hits@10;23.69$\pm$3.6;"[0.24684116 0.30302347 0.23443141 0.20351986 0.15782942 0.25304603
 0.22935469 0.23736462 0.26444043 0.23894404]";26.03$\pm$4.53;"[0.32344314 0.25112816 0.3053926  0.25485108 0.22393953 0.27357852
 0.16820848 0.23646209 0.245713   0.32073556]";23.43$\pm$3.65;"[0.19370487 0.25022563 0.25327166 0.22777527 0.17441336 0.24706679
 0.22732401 0.19968412 0.26342509 0.30606949]";25.13$\pm$3.98;"[0.28023466 0.21175542 0.23826715 0.25879964 0.18761282 0.25970217
 0.19517148 0.27989621 0.28948556 0.31204874]";25.97$\pm$3.25;"[0.29704422 0.29693141 0.22506769 0.20769404 0.23871841 0.26432762
 0.25101534 0.2428926  0.25868682 0.31475632]";24.27$\pm$3.21;"[0.25338448 0.27481949 0.20126354 0.26680957 0.21074007 0.24210289
 0.19754061 0.29862365 0.22236011 0.25958935]";24.7$\pm$4.02;"[0.29569043 0.29952617 0.16448556 0.24977437 0.21231949 0.25473827
 0.20363267 0.27673736 0.25643051 0.25620487]";26.06$\pm$3.12;"[0.25970217 0.22484206 0.29422383 0.26500451 0.26534296 0.2784296
 0.18332581 0.2741426  0.27989621 0.28158845]"
Hits@20;34.29$\pm$3.53;"[0.4034296  0.39147112 0.30121841 0.31915614 0.29523917 0.36134928
 0.36958484 0.31689982 0.33957581 0.33156588]";38.61$\pm$3.7;"[0.46852437 0.34769856 0.40523466 0.35728791 0.36913357 0.39677347
 0.36089801 0.33968863 0.40027076 0.41516245]";35.61$\pm$3.37;"[0.33968863 0.35142148 0.3586417  0.34758574 0.29377256 0.36608755
 0.40151173 0.31227437 0.39361462 0.39643502]";37.47$\pm$2.83;"[0.4155009  0.39496841 0.32163809 0.37578971 0.39079422 0.35694946
 0.35311372 0.34736011 0.38086643 0.41042419]";37.12$\pm$2.65;"[0.42836191 0.37330776 0.33303249 0.34893953 0.37736913 0.35108303
 0.36225181 0.38819946 0.3963222  0.35277527]";35.72$\pm$2.9;"[0.38819946 0.379287   0.30877708 0.37533845 0.3238944  0.33765794
 0.36315433 0.36597473 0.40094765 0.32919675]";37.23$\pm$1.63;"[0.39180957 0.35424188 0.37578971 0.39169675 0.39790162 0.36755415
 0.34769856 0.37319495 0.36687726 0.35615975]";37.06$\pm$2.07;"[0.38752256 0.36586191 0.37138989 0.37680505 0.34792419 0.35469314
 0.32976083 0.38458935 0.40444495 0.38334838]"
Hits@50;50.96$\pm$1.94;"[0.5170352  0.53768051 0.49763087 0.49255415 0.49232852 0.49255415
 0.52166065 0.4928926  0.54749549 0.50383574]";54.87$\pm$3.44;"[0.63650722 0.54896209 0.54738267 0.51037906 0.56227437 0.50361011
 0.55200812 0.5305731  0.53982401 0.55584386]";54.15$\pm$1.98;"[0.54365975 0.54106498 0.53508574 0.52639892 0.53350632 0.51884025
 0.58833484 0.51884025 0.55065433 0.55866426]";53.53$\pm$1.48;"[0.56340253 0.54083935 0.53000903 0.52583484 0.5411778  0.50699458
 0.53181408 0.54862365 0.5219991  0.54230596]";52.61$\pm$3.43;"[0.61146209 0.51895307 0.50135379 0.48138538 0.54512635 0.50236913
 0.53282942 0.51432762 0.54523917 0.50812274]";51.56$\pm$2.14;"[0.52120939 0.52166065 0.50857401 0.49413357 0.5305731  0.47010379
 0.53937274 0.50248195 0.52154783 0.54648014]";54.6$\pm$2.17;"[0.55223375 0.52718863 0.52921931 0.53260379 0.58224278 0.504287
 0.5476083  0.56893051 0.55640794 0.55945397]";54.21$\pm$2.2;"[0.54140343 0.55798736 0.50315884 0.54016245 0.55460289 0.49966155
 0.56024368 0.56915614 0.54681859 0.54794675]"
Hits@100;62.16$\pm$1.8;"[0.62387184 0.63357401 0.60717509 0.60254964 0.60638538 0.59363718
 0.63910199 0.62048736 0.65320397 0.63583032]";65.08$\pm$2.89;"[0.72427798 0.64891697 0.64023014 0.6172157  0.64045578 0.61450812
 0.65534747 0.65207581 0.66708032 0.64801444]";65.24$\pm$2.13;"[0.63977888 0.66222924 0.63740975 0.62601534 0.64688628 0.62951264
 0.70295578 0.6541065  0.65895758 0.66640343]";64.22$\pm$1.63;"[0.65500903 0.63537906 0.62827166 0.620713   0.65579874 0.61687726
 0.6441787  0.64056859 0.67023917 0.65500903]";63.6$\pm$3.15;"[0.72145758 0.63176895 0.61112365 0.60379061 0.64214801 0.61168773
 0.63515343 0.62906137 0.64812726 0.62522563]";63.75$\pm$1.66;"[0.63966606 0.65072202 0.6178926  0.60785199 0.64034296 0.61484657
 0.65117329 0.65715253 0.64948105 0.6463222 ]";65.68$\pm$1.69;"[0.65207581 0.67463899 0.63300993 0.63831227 0.67407491 0.62894856
 0.66437274 0.66741877 0.66008574 0.67554152]";64.56$\pm$2.01;"[0.63740975 0.66143953 0.6150722  0.63605596 0.6569269  0.61146209
 0.63718412 0.66696751 0.66347022 0.66956227]"
ROCAUC;94.1$\pm$0.37;"[0.93803096 0.94460996 0.94344343 0.94235166 0.94226954 0.93801173
 0.94062579 0.93295593 0.94691838 0.94128254]";94.76$\pm$0.61;"[0.96372206 0.94834144 0.94924718 0.94679757 0.94358379 0.94485786
 0.94731386 0.94014398 0.94951601 0.94243023]";94.63$\pm$0.42;"[0.94449423 0.94734519 0.94689575 0.94656854 0.94201341 0.945708
 0.95584651 0.93915904 0.94981878 0.94473506]";94.59$\pm$0.44;"[0.94358377 0.94887695 0.95693614 0.94597594 0.94429214 0.9404191
 0.94479612 0.94239781 0.94822222 0.94326475]";94.5$\pm$1.0;"[0.97367074 0.94406957 0.94436752 0.93975783 0.94127732 0.94323639
 0.94112887 0.9341298  0.94508959 0.94328929]";94.56$\pm$0.25;"[0.94276198 0.95012923 0.94586361 0.9437498  0.9430057  0.94410569
 0.94325369 0.94652829 0.9487114  0.94804014]";94.93$\pm$0.17;"[0.94863539 0.95243612 0.94937245 0.95039157 0.94780884 0.94790766
 0.94873502 0.94621225 0.95151146 0.94966628]";94.35$\pm$0.3;"[0.94029148 0.94736234 0.9421287  0.9448878  0.94488352 0.94177961
 0.94238151 0.93810446 0.94822788 0.94491181]"
AP;95.3$\pm$0.27;"[0.9517146  0.95647438 0.95371365 0.95287985 0.95233061 0.95044503
 0.95324048 0.94742417 0.95732191 0.95412135]";95.88$\pm$0.42;"[0.97016943 0.95903229 0.95947346 0.95727964 0.95590149 0.95652694
 0.95886663 0.95368716 0.96021218 0.95673159]";95.76$\pm$0.3;"[0.95586162 0.95870502 0.95769731 0.95679221 0.95427507 0.95686233
 0.96453688 0.95309605 0.96037532 0.95808133]";95.72$\pm$0.25;"[0.95658833 0.95932191 0.96304015 0.95681815 0.95586252 0.95332921
 0.95628779 0.95533337 0.95885348 0.95685306]";95.66$\pm$0.69;"[0.97624232 0.95637858 0.9552247  0.95258612 0.95384198 0.95516164
 0.9544915  0.94933093 0.95669128 0.95607314]";95.66$\pm$0.19;"[0.95498339 0.96005148 0.955998   0.95466891 0.95434332 0.9554369
 0.9557783  0.9568126  0.95904196 0.95848842]";95.96$\pm$0.12;"[0.95953471 0.96163249 0.9587145  0.95969511 0.95869227 0.95825573
 0.95951648 0.95810026 0.96130981 0.96032635]";95.6$\pm$0.21;"[0.95388987 0.95852367 0.95433875 0.95671153 0.95712325 0.95441989
 0.95467869 0.95302886 0.95950341 0.95745134]"
pretrain_time;861.17$\pm$101.85;"[ 956.51073384  864.57919359  694.31358933  883.5932076  1012.21129179
  681.46568179  864.97635794  944.04248238  808.99153018  901.00487208]";854.3$\pm$72.52;"[803.58792138 901.12276053 803.84900308 845.79598308 919.44915867
 694.51962566 898.01440954 952.9269197  818.98751402 904.75531745]";894.08$\pm$168.19;"[ 900.62459016  917.20961285  779.87061286  852.5818696   974.15286899
  683.97849941 1338.53859735  889.48544693  837.68991566  766.66831088]";877.7$\pm$128.65;"[ 902.81728697 1047.27968168  723.38628411  942.53387094  942.72069311
  674.97430015  999.44529986  681.19028449  888.92856407  973.69899487]";905.57$\pm$113.12;"[ 797.88038993 1017.89237976  934.31223488  950.84115672  974.89022493
  675.19598889  995.34413767  897.58630252  773.83998871 1037.94932866]";847.79$\pm$142.1;"[ 893.59321046  952.14194632  744.69914699  854.00491166 1154.85368276
  676.34723663  866.18096876  676.58870602  939.92907906  719.54797006]";979.52$\pm$183.56;"[ 873.88549638 1347.02510071 1074.58612823  943.80880928 1230.60050464
  681.4768002   834.59627914  969.6813221   932.0336957   907.54287314]";869.82$\pm$85.24;"[830.30284905 896.93047619 885.34372687 915.74420357 966.34739733
 689.21955895 848.1862762  964.82857227 761.66827106 939.66584516]"
