metrics;louvain_prob_pred_mean;louvain_prob_pred;grace_sbm_mean;grace_sbm;grace_sbm+random_mean;grace_sbm+random;grace_sbm+deg_mean;grace_sbm+deg;grace_sbm+scom_mean;grace_sbm+scom;grace_sbm2_mean;grace_sbm2;bgrl_sbm_mean;bgrl_sbm;bgrl_sbm+random_mean;bgrl_sbm+random;bgrl_sbm+deg_mean;bgrl_sbm+deg;bgrl_sbm+scom_mean;bgrl_sbm+scom;bgrl_sbm2_mean;bgrl_sbm2
Hits@10;23.61$\pm$3.4;"[0.19336493 0.22180095 0.26635071 0.24834123 0.27677725 0.20189573
 0.3014218  0.22938389 0.20473934 0.21706161]";30.57$\pm$4.94;"[0.2957346  0.32037915 0.35924171 0.2492891  0.33933649 0.3042654
 0.19241706 0.30521327 0.32417062 0.36682464]";41.66$\pm$4.33;"[0.43791469 0.34881517 0.46255924 0.38578199 0.45687204 0.37725118
 0.35260664 0.43791469 0.44265403 0.46350711]";47.7$\pm$4.57;"[0.45592417 0.49383886 0.48720379 0.56398104 0.46255924 0.4521327
 0.39620853 0.48909953 0.53364929 0.43507109]";47.44$\pm$3.21;"[0.45118483 0.44075829 0.5014218  0.49763033 0.48341232 0.46919431
 0.40379147 0.50047393 0.48246445 0.51374408]";26.57$\pm$4.25;"[0.33459716 0.27488152 0.27772512 0.24075829 0.26161137 0.18293839
 0.23317536 0.23886256 0.32227488 0.29004739]";39.26$\pm$1.99;"[0.38388626 0.37061611 0.37345972 0.41137441 0.40663507 0.37345972
 0.38957346 0.37345972 0.42654028 0.41706161]";42.78$\pm$2.56;"[0.43791469 0.38104265 0.44834123 0.46066351 0.4521327  0.4436019
 0.38862559 0.42559242 0.40853081 0.43127962]";50.1$\pm$2.82;"[0.48530806 0.48815166 0.49099526 0.53838863 0.54028436 0.49668246
 0.45023697 0.507109   0.53649289 0.47677725]";44.23$\pm$3.54;"[0.4492891  0.39620853 0.44265403 0.4521327  0.48436019 0.4464455
 0.36018957 0.45592417 0.45687204 0.47867299]";30.28$\pm$3.44;"[0.31090047 0.30331754 0.29194313 0.292891   0.34218009 0.34691943
 0.2436019  0.2464455  0.31090047 0.33933649]"
Hits@20;35.77$\pm$2.68;"[0.32132701 0.32037915 0.37535545 0.33270142 0.37251185 0.32890995
 0.38483412 0.38578199 0.38578199 0.36966825]";37.74$\pm$3.3;"[0.37345972 0.39810427 0.40758294 0.34218009 0.38957346 0.34123223
 0.31184834 0.38483412 0.41232227 0.41327014]";49.23$\pm$2.67;"[0.48815166 0.47203791 0.51374408 0.46824645 0.51658768 0.45402844
 0.47109005 0.47867299 0.53744076 0.52322275]";54.08$\pm$3.24;"[0.52037915 0.56113744 0.54028436 0.60189573 0.52606635 0.50900474
 0.50047393 0.56777251 0.57440758 0.50616114]";53.67$\pm$2.64;"[0.54407583 0.52227488 0.54597156 0.56966825 0.5563981  0.50995261
 0.47393365 0.54691943 0.55545024 0.54218009]";34.83$\pm$4.08;"[0.41990521 0.38199052 0.35260664 0.30900474 0.33744076 0.28815166
 0.30900474 0.31753555 0.38957346 0.37819905]";44.0$\pm$1.21;"[0.44265403 0.42464455 0.43317536 0.4521327  0.44075829 0.42654028
 0.43981043 0.42654028 0.46350711 0.45023697]";47.75$\pm$1.25;"[0.48530806 0.47582938 0.48625592 0.48151659 0.49383886 0.48151659
 0.45592417 0.45308057 0.48530806 0.47677725]";55.44$\pm$2.06;"[0.55924171 0.54312796 0.53744076 0.58483412 0.57535545 0.53933649
 0.52417062 0.5450237  0.58862559 0.54691943]";49.91$\pm$1.73;"[0.50047393 0.5042654  0.507109   0.5042654  0.50805687 0.49194313
 0.46255924 0.48246445 0.49763033 0.53270142]";39.18$\pm$2.8;"[0.39146919 0.40473934 0.43412322 0.3507109  0.41706161 0.4028436
 0.33649289 0.37819905 0.39810427 0.40379147]"
Hits@50;52.83$\pm$1.21;"[0.53649289 0.53744076 0.54597156 0.54597156 0.51943128 0.50900474
 0.51943128 0.53080569 0.51848341 0.52037915]";48.09$\pm$3.43;"[0.47109005 0.48720379 0.49668246 0.47677725 0.52037915 0.44739336
 0.3971564  0.49763033 0.50236967 0.51184834]";58.62$\pm$1.8;"[0.58009479 0.57725118 0.60947867 0.57535545 0.6028436  0.56208531
 0.56492891 0.57345972 0.61137441 0.60473934]";62.46$\pm$1.64;"[0.62274882 0.62085308 0.63222749 0.65592417 0.62938389 0.61990521
 0.5943128  0.64454976 0.61137441 0.61516588]";60.16$\pm$1.75;"[0.59905213 0.60758294 0.60094787 0.62559242 0.61611374 0.58199052
 0.56113744 0.60473934 0.61611374 0.6028436 ]";46.95$\pm$2.3;"[0.50236967 0.49004739 0.45687204 0.43412322 0.46919431 0.45971564
 0.4549763  0.43981043 0.492891   0.49478673]";49.88$\pm$1.25;"[0.5014218  0.48909953 0.50331754 0.50616114 0.4957346  0.50331754
 0.47962085 0.47962085 0.507109   0.52227488]";53.32$\pm$1.54;"[0.54028436 0.52890995 0.52796209 0.54028436 0.55260664 0.52985782
 0.51658768 0.5014218  0.53744076 0.5563981 ]";60.39$\pm$1.26;"[0.6056872  0.5971564  0.59241706 0.61990521 0.62369668 0.59241706
 0.58388626 0.5971564  0.61042654 0.61611374]";54.97$\pm$1.45;"[0.53649289 0.55924171 0.56113744 0.56398104 0.5563981  0.5535545
 0.51848341 0.53364929 0.54976303 0.56398104]";48.98$\pm$2.58;"[0.46824645 0.49668246 0.52132701 0.48246445 0.51943128 0.5042654
 0.44170616 0.47014218 0.47203791 0.52132701]"
Hits@100;58.84$\pm$1.03;"[0.58578199 0.59526066 0.58388626 0.5943128  0.60663507 0.58009479
 0.57914692 0.58767773 0.57061611 0.60094787]";56.89$\pm$2.04;"[0.56303318 0.57251185 0.57251185 0.56872038 0.59810427 0.54976303
 0.52227488 0.56682464 0.58767773 0.58767773]";63.93$\pm$1.18;"[0.63601896 0.63317536 0.64739336 0.63886256 0.63791469 0.62464455
 0.62654028 0.63317536 0.66729858 0.64834123]";68.01$\pm$1.46;"[0.67962085 0.68246445 0.67488152 0.70900474 0.70236967 0.66729858
 0.67014218 0.68436019 0.65971564 0.67109005]";65.42$\pm$1.14;"[0.6549763  0.6492891  0.66635071 0.67867299 0.65308057 0.65118483
 0.63222749 0.65118483 0.65023697 0.6549763 ]";55.88$\pm$2.44;"[0.6028436  0.57914692 0.54976303 0.52890995 0.55450237 0.58009479
 0.54218009 0.51753555 0.57156398 0.56113744]";54.57$\pm$1.46;"[0.54881517 0.53554502 0.54597156 0.55450237 0.56018957 0.54218009
 0.52417062 0.52511848 0.54597156 0.57440758]";58.23$\pm$1.59;"[0.59336493 0.57156398 0.57819905 0.58672986 0.6        0.57535545
 0.55260664 0.56492891 0.59336493 0.60663507]";64.3$\pm$1.06;"[0.65592417 0.62843602 0.63317536 0.65402844 0.65592417 0.63791469
 0.62748815 0.63886256 0.65118483 0.64739336]";59.49$\pm$1.17;"[0.58767773 0.60094787 0.59810427 0.6        0.60947867 0.58483412
 0.57061611 0.58672986 0.6        0.61042654]";56.9$\pm$1.56;"[0.57251185 0.56966825 0.57440758 0.5563981  0.57061611 0.58578199
 0.53744076 0.5507109  0.58199052 0.59052133]"
ROCAUC;77.52$\pm$0.59;"[0.77692384 0.77236899 0.7766016  0.77320276 0.78287819 0.77679028
 0.76733586 0.77682981 0.76439832 0.7847344 ]";78.62$\pm$1.21;"[0.80238316 0.78292132 0.77716853 0.78241818 0.79138564 0.77821522
 0.75976011 0.79235507 0.7953425  0.79975113]";81.62$\pm$0.91;"[0.82345657 0.81330698 0.81900676 0.80740864 0.81664742 0.80551919
 0.79943397 0.82338222 0.8279441  0.82564453]";83.69$\pm$0.92;"[0.83062403 0.83211249 0.83551672 0.86214595 0.84218504 0.82996608
 0.83476292 0.83520945 0.82881103 0.83742593]";81.95$\pm$0.92;"[0.82802504 0.81576065 0.82452685 0.8243813  0.82454302 0.82034635
 0.79340356 0.820376   0.8212128  0.8220022 ]";78.26$\pm$1.32;"[0.80723761 0.7953577  0.77725298 0.77232317 0.78021967 0.79423463
 0.76709867 0.7629622  0.77960556 0.7898376 ]";75.37$\pm$1.25;"[0.76180562 0.74010018 0.75378271 0.74222592 0.77716403 0.75076571
 0.73525842 0.74725276 0.76108978 0.76758743]";77.11$\pm$1.01;"[0.77298938 0.75054828 0.77399609 0.76421284 0.78279464 0.76890097
 0.75867299 0.7746286  0.78166767 0.78218099]";77.85$\pm$0.91;"[0.78012896 0.76023629 0.78319714 0.78971092 0.78631927 0.76717324
 0.78122055 0.77548842 0.78886121 0.77315379]";77.83$\pm$1.11;"[0.78034165 0.762411   0.77743716 0.77331596 0.79370454 0.77382359
 0.75931179 0.78556367 0.78312724 0.79445026]";77.73$\pm$1.11;"[0.79324172 0.7745711  0.77578132 0.77737607 0.78019182 0.77433571
 0.75286629 0.76738258 0.78831623 0.78911615]"
AP;82.27$\pm$0.41;"[0.82120205 0.82016312 0.82476387 0.82471478 0.83099935 0.81937263
 0.818468   0.82300095 0.81686405 0.82734981]";82.98$\pm$1.16;"[0.83703271 0.8280848  0.82836123 0.82510258 0.83924338 0.821849
 0.80128165 0.83391791 0.83864647 0.84418507]";86.21$\pm$0.78;"[0.86648746 0.85764507 0.86715377 0.85650476 0.8646947  0.85458402
 0.8459899  0.86465926 0.87317022 0.86978773]";87.87$\pm$0.66;"[0.87470713 0.87741579 0.87840005 0.89535755 0.88368303 0.87341006
 0.87019579 0.88107706 0.87622778 0.87611338]";86.77$\pm$0.86;"[0.87155207 0.86500363 0.87356272 0.87393651 0.87287054 0.86734073
 0.84329971 0.86809212 0.87035082 0.87100171]";82.49$\pm$1.1;"[0.84522207 0.83782747 0.82014128 0.81578611 0.82344553 0.82875654
 0.81276743 0.80724041 0.82786809 0.83034357]";81.71$\pm$0.91;"[0.82101048 0.80772017 0.81781248 0.81277967 0.831297   0.8162771
 0.80180509 0.80906025 0.82387756 0.82967753]";83.31$\pm$0.73;"[0.83378177 0.82113375 0.83438839 0.83164879 0.8433713  0.83179604
 0.82087389 0.83211795 0.84009728 0.84180977]";84.98$\pm$0.61;"[0.85131542 0.83938425 0.85145956 0.85816767 0.85754331 0.84334769
 0.84618513 0.84687938 0.85694684 0.84687206]";84.01$\pm$0.8;"[0.83892522 0.83125846 0.84082105 0.84001505 0.85042483 0.83647205
 0.82379748 0.84292383 0.84352104 0.85262845]";82.58$\pm$0.89;"[0.83483739 0.82375982 0.83071646 0.82671934 0.83265867 0.82914796
 0.8040171  0.81628152 0.82611136 0.83332703]"
pretrain_time;nan$\pm$nan;[];335.43$\pm$14.8;"[315.75212812 359.08569336 338.59065294 326.94621491 354.42356062
 354.27484512 329.64881277 323.05217242 319.50656939 333.02424002]";650.4$\pm$144.53;"[817.01595283 588.35263038 686.64680624 598.93327856 608.68042374
 894.83159804 587.74750757 376.20495558 798.73580098 546.88897896]";861.34$\pm$83.97;"[872.2971642  920.19667888 891.61027503 868.91973186 905.1734004
 931.09235072 911.00974417 624.47431397 842.21972013 846.3882165 ]";526.33$\pm$178.59;"[563.74189234 667.78057194 679.62335205 561.4956665  907.96460032
 474.86248493 390.49557304 362.47446299 320.31562471 334.54708147]";1057.82$\pm$170.91;"[1320.47086358  889.95577741  875.41458321 1128.99659491 1096.45245051
  836.26104522  914.35925126 1329.0472765  1025.42996216 1161.7989819 ]";317.81$\pm$21.77;"[322.72449207 316.07409859 308.06044841 322.04685187 341.6578958
 360.5387609  313.41800356 323.28126526 281.9772284  288.29548669]";348.93$\pm$34.95;"[388.98021102 344.03759003 368.1226902  326.09623909 394.28653193
 356.34315729 373.56798887 357.37935042 287.09875226 293.43001914]";705.5$\pm$105.95;"[733.33138824 716.14797568 622.68724656 681.30555105 902.45233655
 693.18665886 622.65202761 871.35898662 679.37461448 532.52608633]";371.16$\pm$78.49;"[352.57179642 352.93042064 346.10736418 343.47204947 345.39527464
 383.48258638 364.78632522 337.65790677 288.73330045 596.4621501 ]";817.32$\pm$193.13;"[ 670.55742526  672.31354141  856.0956459   661.99169755  714.9672761
 1197.2122829   710.00273561  649.20858335  902.73644423 1138.14188838]"
