metrics;baseline_mean;baseline;bgrl_random_mean;bgrl_random;bgrl_sbm2_mean;bgrl_sbm2;lbgrl_random_mean;lbgrl_random;lbgrl_sbm2_mean;lbgrl_sbm2
Hits@10;2.0$\pm$1.18;"[0.00338983 0.02372881 0.03050847 0.04745763 0.01355932 0.01355932
 0.02372881 0.02033898 0.01016949 0.01355932]";16.03$\pm$4.77;"[0.20338983 0.11186441 0.23728814 0.18983051 0.20677966 0.12881356
 0.1559322  0.16271186 0.13559322 0.07118644]";7.29$\pm$3.05;"[0.14915254 0.07457627 0.03728814 0.04745763 0.0779661  0.04745763
 0.08813559 0.08813559 0.05423729 0.06440678]";15.02$\pm$3.32;"[0.19661017 0.15932203 0.16271186 0.14237288 0.18983051 0.16610169
 0.13220339 0.13898305 0.14237288 0.07118644]";12.27$\pm$4.86;"[0.23389831 0.11186441 0.11864407 0.15254237 0.09830508 0.12881356
 0.1220339  0.07457627 0.14576271 0.04067797]"
Hits@20;3.19$\pm$1.39;"[0.01694915 0.02711864 0.05084746 0.06101695 0.03389831 0.02033898
 0.03050847 0.03050847 0.01355932 0.03389831]";24.58$\pm$4.73;"[0.29152542 0.24067797 0.32881356 0.26779661 0.28135593 0.21355932
 0.20338983 0.26440678 0.2        0.16610169]";12.2$\pm$3.54;"[0.19661017 0.12542373 0.09830508 0.10169492 0.16271186 0.07457627
 0.12881356 0.13898305 0.08135593 0.11186441]";23.22$\pm$4.98;"[0.28135593 0.23728814 0.26101695 0.23050847 0.25762712 0.25084746
 0.17966102 0.28135593 0.23389831 0.10847458]";17.56$\pm$5.85;"[0.29830508 0.13220339 0.14576271 0.23728814 0.17627119 0.16610169
 0.16949153 0.13220339 0.21694915 0.08135593]"
Hits@50;9.02$\pm$2.17;"[0.09491525 0.0779661  0.10847458 0.12881356 0.09491525 0.06779661
 0.10847458 0.04745763 0.08813559 0.08474576]";42.64$\pm$4.48;"[0.45423729 0.43728814 0.4779661  0.49830508 0.45423729 0.40677966
 0.36610169 0.43050847 0.37627119 0.36271186]";24.07$\pm$6.74;"[0.30508475 0.24067797 0.21694915 0.22033898 0.40677966 0.1559322
 0.2440678  0.24067797 0.18983051 0.18644068]";41.86$\pm$4.28;"[0.46779661 0.36610169 0.47118644 0.48813559 0.42372881 0.41694915
 0.36949153 0.42033898 0.39322034 0.36949153]";31.12$\pm$8.72;"[0.48135593 0.22033898 0.30508475 0.34576271 0.32881356 0.31525424
 0.33220339 0.23389831 0.39322034 0.1559322 ]"
Hits@100;17.36$\pm$2.33;"[0.2        0.17966102 0.16271186 0.20677966 0.16271186 0.16610169
 0.18644068 0.11864407 0.16949153 0.18305085]";60.85$\pm$3.92;"[0.61355932 0.6        0.65762712 0.66101695 0.62711864 0.56271186
 0.60677966 0.64745763 0.54237288 0.56610169]";37.12$\pm$8.33;"[0.43389831 0.37966102 0.34576271 0.41355932 0.55254237 0.2440678
 0.38983051 0.36949153 0.31186441 0.27118644]";60.85$\pm$4.65;"[0.68135593 0.58305085 0.6440678  0.6779661  0.56949153 0.58983051
 0.54237288 0.6440678  0.57966102 0.57288136]";45.05$\pm$9.23;"[0.61694915 0.38644068 0.4440678  0.50169492 0.51525424 0.47118644
 0.43050847 0.37627119 0.50508475 0.25762712]"
ROCAUC;29.51$\pm$2.0;"[0.3001264  0.28402183 0.30716461 0.31686297 0.31694915 0.29250215
 0.30199368 0.24325194 0.29547257 0.29218041]";67.63$\pm$2.69;"[0.67663315 0.64005745 0.7126343  0.719368   0.6994312  0.65105429
 0.66482045 0.69355932 0.64757254 0.65771905]";48.55$\pm$5.47;"[0.52358518 0.50140764 0.44427463 0.51335823 0.60411376 0.4055846
 0.4959954  0.49527147 0.42775065 0.4436771 ]";67.89$\pm$2.06;"[0.70414249 0.67597817 0.69736283 0.71077277 0.68859523 0.66993393
 0.6548578  0.68093077 0.66091353 0.645079  ]";54.82$\pm$7.69;"[0.67967825 0.49406492 0.54081011 0.58043091 0.56613042 0.56591784
 0.55014076 0.46906061 0.63867854 0.39724217]"
AP;40.5$\pm$1.34;"[0.40857539 0.39472168 0.41217659 0.43817705 0.40326678 0.39514037
 0.41091747 0.38776331 0.3951966  0.40400362]";69.36$\pm$3.05;"[0.71296166 0.6698687  0.74020208 0.72493146 0.71905311 0.67424059
 0.67519197 0.71244679 0.66637649 0.64118235]";53.96$\pm$4.6;"[0.60572894 0.53512757 0.50517565 0.54606775 0.623743   0.46915116
 0.55063287 0.55798592 0.49651813 0.50558956]";68.88$\pm$2.92;"[0.73508878 0.6789398  0.71331213 0.71695579 0.70196838 0.69284961
 0.658353   0.68978439 0.67023767 0.63042863]";59.95$\pm$6.43;"[0.71003948 0.56240472 0.59514502 0.64492118 0.61661964 0.60035258
 0.60173598 0.53192799 0.66210421 0.46946893]"
pretrain_time;nan$\pm$nan;[];0.05$\pm$0.0;"[0.05485225 0.04590631 0.04563093 0.04564357 0.04601598 0.04553771
 0.04564571 0.04569983 0.04548573 0.0453639 ]";2.3$\pm$0.23;"[2.83380795 2.28955221 2.50037146 2.11208749 2.19800591 2.37174726
 2.04648376 2.38573217 2.14427471 2.07383418]";0.05$\pm$0.0;"[0.05571389 0.05459857 0.05481029 0.05490494 0.05357051 0.05315804
 0.05336928 0.05468988 0.05866241 0.05394673]";2.27$\pm$0.16;"[2.38100696 2.14004564 2.43351507 2.11750627 2.14834523 2.32291722
 2.07604933 2.48304582 2.45583463 2.0937407 ]"
