metrics;a2grace_random_mean;a2grace_random;a2grace_deg_mean;a2grace_deg;a2grace_raa_mean;a2grace_raa;a2grace_sbm+random_mean;a2grace_sbm+random;a2grace_sbm+deg_mean;a2grace_sbm+deg;a2grace_sbm+raa_mean;a2grace_sbm+raa;a2bgrl_random_mean;a2bgrl_random;a2bgrl_deg_mean;a2bgrl_deg;a2bgrl_raa_mean;a2bgrl_raa;a2bgrl_sbm+random_mean;a2bgrl_sbm+random;a2bgrl_sbm+deg_mean;a2bgrl_sbm+deg;a2bgrl_sbm+raa_mean;a2bgrl_sbm+raa
Hits@10;83.01$\pm$1.54;"[0.83576642 0.84671533 0.83759124 0.79379562 0.84124088 0.83759124
 0.81021898 0.83941606 0.82664234 0.83211679]";78.81$\pm$3.97;"[0.81021898 0.8120438  0.83029197 0.77554745 0.81021898 0.70072993
 0.81386861 0.8229927  0.74087591 0.76459854]";82.88$\pm$1.44;"[0.81751825 0.84306569 0.84124088 0.79927007 0.83759124 0.84306569
 0.81021898 0.83759124 0.82846715 0.83029197]";90.18$\pm$1.2;"[0.90693431 0.91423358 0.89781022 0.88686131 0.90693431 0.91605839
 0.89963504 0.88868613 0.91788321 0.88321168]";88.27$\pm$1.7;"[0.91788321 0.89416058 0.87773723 0.85766423 0.89416058 0.88321168
 0.88868613 0.8850365  0.86678832 0.86131387]";90.13$\pm$0.92;"[0.89963504 0.91423358 0.89416058 0.88868613 0.91058394 0.91605839
 0.88868613 0.89781022 0.90145985 0.90145985]";84.01$\pm$1.88;"[0.83576642 0.86861314 0.84671533 0.80291971 0.84489051 0.86313869
 0.81386861 0.83941606 0.83941606 0.84671533]";83.72$\pm$2.06;"[0.85036496 0.85766423 0.84124088 0.7919708  0.85766423 0.85583942
 0.81934307 0.84854015 0.81934307 0.83029197]";84.2$\pm$1.55;"[0.84671533 0.84671533 0.85766423 0.80474453 0.84489051 0.8540146
 0.8229927  0.84489051 0.85583942 0.84124088]";85.2$\pm$1.24;"[0.85218978 0.8649635  0.86131387 0.82481752 0.86313869 0.86313869
 0.83759124 0.85583942 0.8540146  0.84306569]";85.95$\pm$1.27;"[0.85948905 0.87226277 0.87226277 0.84671533 0.85948905 0.87226277
 0.83029197 0.85948905 0.86861314 0.8540146 ]";84.22$\pm$1.74;"[0.84671533 0.8649635  0.83941606 0.81386861 0.84489051 0.86131387
 0.80839416 0.84671533 0.8540146  0.84124088]"
Hits@20;83.41$\pm$1.56;"[0.83759124 0.84854015 0.83759124 0.79927007 0.84489051 0.85036496
 0.81021898 0.83941606 0.83576642 0.83759124]";83.01$\pm$1.63;"[0.82481752 0.84489051 0.84671533 0.80291971 0.83759124 0.85583942
 0.81934307 0.82846715 0.80656934 0.83394161]";83.18$\pm$1.47;"[0.82116788 0.84489051 0.84306569 0.80109489 0.84124088 0.84671533
 0.8120438  0.83941606 0.83759124 0.83029197]";91.53$\pm$0.78;"[0.92153285 0.92153285 0.90145985 0.91605839 0.92153285 0.92335766
 0.91058394 0.91605839 0.91970803 0.90145985]";90.02$\pm$1.91;"[0.93248175 0.91605839 0.88868613 0.87043796 0.91240876 0.91058394
 0.91240876 0.90145985 0.88138686 0.87591241]";91.46$\pm$0.64;"[0.91970803 0.91788321 0.90693431 0.90693431 0.91970803 0.9270073
 0.91240876 0.91240876 0.91605839 0.90693431]";84.76$\pm$1.91;"[0.84124088 0.87043796 0.85218978 0.80656934 0.86313869 0.87226277
 0.82481752 0.84489051 0.85036496 0.85036496]";84.49$\pm$2.06;"[0.85218978 0.86131387 0.86131387 0.79379562 0.85948905 0.86313869
 0.83576642 0.85583942 0.83029197 0.83576642]";85.09$\pm$1.51;"[0.85766423 0.85766423 0.86313869 0.81386861 0.84671533 0.86131387
 0.83759124 0.84489051 0.86678832 0.85948905]";85.97$\pm$1.41;"[0.8540146  0.87408759 0.86313869 0.83394161 0.87956204 0.87226277
 0.84489051 0.86861314 0.86131387 0.84489051]";86.97$\pm$1.22;"[0.87043796 0.88138686 0.87591241 0.86131387 0.87226277 0.88321168
 0.84124088 0.87043796 0.88138686 0.85948905]";84.76$\pm$1.79;"[0.8540146  0.87226277 0.83941606 0.81751825 0.85766423 0.86861314
 0.81751825 0.85218978 0.85583942 0.84124088]"
Hits@50;84.01$\pm$1.6;"[0.85036496 0.85218978 0.84124088 0.80474453 0.85218978 0.85218978
 0.81386861 0.84489051 0.84489051 0.84489051]";87.96$\pm$2.63;"[0.85036496 0.90145985 0.8850365  0.85218978 0.88321168 0.9270073
 0.83394161 0.87408759 0.89233577 0.8959854 ]";83.87$\pm$1.57;"[0.82846715 0.85218978 0.84854015 0.80474453 0.85218978 0.8540146
 0.81751825 0.84124088 0.84671533 0.84124088]";92.7$\pm$0.87;"[0.9379562  0.93065693 0.90875912 0.92883212 0.93248175 0.93065693
 0.91788321 0.92153285 0.9379562  0.92335766]";92.01$\pm$1.7;"[0.94525547 0.94160584 0.92518248 0.89963504 0.92518248 0.92518248
 0.9270073  0.92153285 0.8959854  0.89416058]";92.37$\pm$0.73;"[0.9270073  0.93065693 0.91240876 0.91240876 0.93065693 0.93065693
 0.92883212 0.91970803 0.92883212 0.91605839]";85.95$\pm$2.05;"[0.8540146  0.88686131 0.85948905 0.81934307 0.88321168 0.8850365
 0.83576642 0.8540146  0.85583942 0.86131387]";86.02$\pm$1.44;"[0.86678832 0.86861314 0.8649635  0.8229927  0.86678832 0.87956204
 0.86313869 0.86313869 0.85218978 0.8540146 ]";86.41$\pm$1.48;"[0.8649635  0.86313869 0.86678832 0.83211679 0.85218978 0.87408759
 0.8649635  0.8540146  0.88321168 0.8850365 ]";87.01$\pm$1.45;"[0.86313869 0.89051095 0.87591241 0.8540146  0.89233577 0.87773723
 0.84854015 0.87408759 0.87226277 0.85218978]";88.56$\pm$1.26;"[0.88686131 0.89781022 0.89416058 0.86861314 0.89051095 0.89781022
 0.85948905 0.88868613 0.8959854  0.87591241]";85.46$\pm$1.74;"[0.85766423 0.87773723 0.84671533 0.82481752 0.86861314 0.87226277
 0.82846715 0.85766423 0.86861314 0.84306569]"
Hits@100;84.76$\pm$1.41;"[0.85948905 0.85583942 0.84671533 0.82116788 0.8540146  0.85766423
 0.81934307 0.85036496 0.85583942 0.85583942]";91.3$\pm$2.59;"[0.91788321 0.91970803 0.91423358 0.90328467 0.92153285 0.94343066
 0.84124088 0.92153285 0.91605839 0.93065693]";84.49$\pm$1.53;"[0.83941606 0.85583942 0.85036496 0.8120438  0.86131387 0.8649635
 0.82481752 0.84671533 0.84854015 0.84489051]";93.5$\pm$0.69;"[0.93978102 0.94160584 0.9270073  0.93430657 0.9379562  0.9379562
 0.92153285 0.92883212 0.94525547 0.93613139]";93.8$\pm$1.06;"[0.94525547 0.94708029 0.95072993 0.92883212 0.94708029 0.93978102
 0.93613139 0.93613139 0.91240876 0.93613139]";93.34$\pm$0.8;"[0.93065693 0.94343066 0.92518248 0.92335766 0.94343066 0.93613139
 0.94160584 0.92335766 0.93978102 0.9270073 ]";87.81$\pm$1.59;"[0.86313869 0.89781022 0.8850365  0.85218978 0.90510949 0.89233577
 0.86678832 0.87226277 0.86861314 0.87773723]";88.49$\pm$1.36;"[0.89051095 0.8959854  0.89233577 0.85583942 0.87773723 0.90693431
 0.89233577 0.88686131 0.87591241 0.87408759]";87.94$\pm$1.19;"[0.87591241 0.87226277 0.88868613 0.86861314 0.86678832 0.88686131
 0.87408759 0.8649635  0.89416058 0.90145985]";88.3$\pm$1.38;"[0.8649635  0.89963504 0.89416058 0.87226277 0.89781022 0.89963504
 0.87043796 0.88321168 0.8850365  0.86313869]";89.8$\pm$1.45;"[0.8959854  0.91423358 0.8959854  0.88686131 0.90693431 0.91240876
 0.8649635  0.90510949 0.91058394 0.88686131]";86.31$\pm$1.89;"[0.86131387 0.88321168 0.85583942 0.83394161 0.88138686 0.8850365
 0.83759124 0.86313869 0.8850365  0.84489051]"
ROCAUC;89.61$\pm$1.31;"[0.90621504 0.90212585 0.89771032 0.86742101 0.90392402 0.90215082
 0.87521312 0.90327635 0.89401407 0.90878243]";94.35$\pm$1.6;"[0.94392682 0.95090808 0.9481259  0.93867881 0.95449611 0.95770952
 0.89832969 0.95085647 0.94146099 0.95011055]";89.43$\pm$1.11;"[0.88002491 0.90512281 0.90701756 0.87997829 0.90766357 0.90834121
 0.88257566 0.89184127 0.89061251 0.88971509]";95.65$\pm$0.74;"[0.95614111 0.96820888 0.94280795 0.9609862  0.9565174  0.96262954
 0.94613458 0.952305   0.96315733 0.95646412]";96.12$\pm$0.62;"[0.96374341 0.96527519 0.97120917 0.95642749 0.96390324 0.96681196
 0.9533506  0.95952102 0.94975758 0.9618087 ]";95.59$\pm$0.4;"[0.95441619 0.9652319  0.95103628 0.95181216 0.95841214 0.95990896
 0.95463597 0.95372689 0.95505221 0.95480247]";92.04$\pm$1.12;"[0.90717739 0.93728688 0.92691073 0.90679445 0.93712371 0.92828434
 0.90821967 0.91944829 0.91143974 0.92087684]";93.26$\pm$0.99;"[0.93585167 0.94822913 0.93293796 0.9133911  0.93776973 0.94167743
 0.91837605 0.93688729 0.92723707 0.93373715]";91.96$\pm$0.5;"[0.91657454 0.91823952 0.92858903 0.91560552 0.91925016 0.91957983
 0.91640138 0.91130321 0.92624141 0.92383718]";91.84$\pm$1.02;"[0.90038095 0.92581517 0.92564535 0.912825   0.92857571 0.92964296
 0.90418709 0.91823286 0.92800962 0.91094691]";93.21$\pm$1.02;"[0.93058701 0.94310432 0.93734016 0.92531901 0.9380894  0.93953294
 0.9061218  0.9355886  0.93851231 0.92693737]";89.97$\pm$1.55;"[0.90109356 0.91240543 0.89634171 0.8811138  0.9115796  0.9173987
 0.86881294 0.90144653 0.91832277 0.88877937]"
AP;93.57$\pm$0.74;"[0.94180621 0.94018754 0.93703563 0.91934702 0.94014509 0.94040251
 0.92354771 0.93894676 0.93452568 0.94085721]";95.45$\pm$0.87;"[0.94943903 0.96123492 0.96198    0.95386218 0.96455568 0.96124474
 0.93557695 0.95994856 0.94476103 0.95279575]";93.34$\pm$0.7;"[0.92831022 0.94112871 0.94122187 0.92396618 0.94117814 0.942018
 0.92528248 0.92587883 0.9324308  0.93268025]";97.14$\pm$0.46;"[0.97219749 0.97834734 0.96485085 0.97432609 0.97256477 0.97412898
 0.96452205 0.96537469 0.97580069 0.97154159]";96.99$\pm$0.44;"[0.96580496 0.96685242 0.97889615 0.96904107 0.97171892 0.97546597
 0.96680325 0.96929309 0.96366858 0.97135133]";97.06$\pm$0.26;"[0.97140235 0.97382265 0.96871672 0.96901387 0.9736811  0.97367548
 0.96884533 0.96541898 0.97127782 0.97008494]";94.91$\pm$0.73;"[0.94266804 0.95978053 0.95334931 0.93857483 0.95978678 0.95520889
 0.94176392 0.94640679 0.94343142 0.94970457]";95.39$\pm$0.65;"[0.95636347 0.96368381 0.95620527 0.9422147  0.95791583 0.95916293
 0.94964697 0.9567691  0.94347955 0.95354709]";94.85$\pm$0.42;"[0.94840495 0.94879011 0.95464147 0.94488947 0.94303898 0.94587668
 0.94765864 0.94333638 0.9537196  0.95428025]";94.94$\pm$0.63;"[0.9402894  0.95545968 0.95451859 0.94454354 0.95674506 0.95551063
 0.94144354 0.94961357 0.95376125 0.94223275]";95.71$\pm$0.62;"[0.95652088 0.96383548 0.96060886 0.95238609 0.96048567 0.96186714
 0.94181537 0.95937642 0.96095774 0.95357568]";93.94$\pm$0.89;"[0.9403085  0.94834439 0.93677781 0.92664027 0.94613513 0.94997448
 0.92299774 0.94124707 0.94820863 0.93344325]"
pretrain_time;50.86$\pm$16.04;"[22.15135145 56.42341185 61.3024435  61.39088202 73.36513758 46.08540535
 60.95309305 24.69404435 60.70052528 41.57876921]";31.4$\pm$8.06;"[24.65983272 34.62849116 32.94409561 21.67145944 23.34220624 30.27673125
 33.72995973 23.42781949 46.98516822 42.29977059]";33.8$\pm$11.7;"[57.09641767 25.8923943  21.78920937 21.28544641 26.68655491 29.98280382
 29.0337286  33.11778259 51.42855835 41.71396327]";516.25$\pm$93.75;"[533.99432325 596.20247006 432.84158826 433.16165495 461.56919527
 524.94828892 745.34174299 493.8687439  410.91071081 529.65884423]";852.75$\pm$264.19;"[1075.95309949 1005.76386476  407.1296308  1131.97201967  677.61772919
 1056.49778891  653.65811968  443.11332726 1035.81250429 1039.97337031]";564.79$\pm$264.04;"[ 431.54515743 1057.29120398  399.91518903  400.70295644 1095.69017673
  417.97563624  407.13786721  436.105196    378.88608074  622.66510749]";30.33$\pm$9.41;"[25.28582478 46.39982557 30.52259588 44.90725303 21.17572975 20.38688922
 26.7729032  38.92029023 19.4151938  29.54303145]";24.76$\pm$5.8;"[19.95107603 31.1965847  21.50523877 23.0874579  39.65613294 24.06834221
 24.12873387 21.19407535 21.80976391 21.00709295]";32.79$\pm$15.25;"[22.14138126 49.1737783  21.31570077 33.11406755 67.17499423 42.21867895
 20.27160478 34.38058591 18.01959252 20.0417428 ]";757.53$\pm$260.54;"[1071.41822052 1047.12332225  429.23669171  397.08191657 1054.43386006
 1053.69739342  675.64923286  579.40221596  550.86382723  716.42816019]";622.18$\pm$182.88;"[456.24677396 960.92199659 451.02883196 924.41145682 488.38661718
 752.03328013 541.24567986 644.95459175 485.98993421 516.62313008]";901.85$\pm$179.32;"[1054.21050978 1048.40118742  934.02010822  764.7013967  1007.29178357
  811.07974744 1041.20522213 1041.5334723   458.24075079  857.79026937]"
