metrics;SBM_GRACE+Inner;SBM_BGRL+Inner;SBM_CSGCL+inner;GCN+inner;GRACE+inner;GCA_deg+inner;GCA_pr+inner;GCA_evc+inner;BGRL+inner;BGRL_deg+inner;BGRL_pr+inner;BGRL_evc+inner;CSGCL+inner;BGRL_cs+inner
Hits@10;16.23$\pm$4.86;8.06$\pm$3.07;16.23$\pm$4.86;2.58$\pm$1.31;16.23$\pm$4.86;16.23$\pm$4.86;16.23$\pm$4.86;16.23$\pm$4.86;8.06$\pm$3.07;8.06$\pm$3.07;8.06$\pm$3.07;8.06$\pm$3.07;16.23$\pm$4.86;8.06$\pm$3.07
Hits@20;34.57$\pm$7.16;15.24$\pm$2.97;34.57$\pm$7.16;4.88$\pm$1.26;34.57$\pm$7.16;34.57$\pm$7.16;34.57$\pm$7.16;34.57$\pm$7.16;15.24$\pm$2.97;15.24$\pm$2.97;15.24$\pm$2.97;15.24$\pm$2.97;34.57$\pm$7.16;15.24$\pm$2.97
Hits@50;63.35$\pm$3.6;28.39$\pm$3.39;63.35$\pm$3.6;14.13$\pm$3.49;63.35$\pm$3.6;63.35$\pm$3.6;63.35$\pm$3.6;63.35$\pm$3.6;28.39$\pm$3.39;28.39$\pm$3.39;28.39$\pm$3.39;28.39$\pm$3.39;63.35$\pm$3.6;28.39$\pm$3.39
Hits@100;81.8$\pm$3.67;45.35$\pm$4.02;81.8$\pm$3.67;27.48$\pm$2.8;81.8$\pm$3.67;81.8$\pm$3.67;81.8$\pm$3.67;81.8$\pm$3.67;45.35$\pm$4.02;45.35$\pm$4.02;45.35$\pm$4.02;45.35$\pm$4.02;81.8$\pm$3.67;45.35$\pm$4.02
ROCAUC;83.64$\pm$1.49;61.42$\pm$2.26;83.64$\pm$1.49;49.52$\pm$1.55;83.64$\pm$1.49;83.64$\pm$1.49;83.64$\pm$1.49;83.64$\pm$1.49;61.42$\pm$2.26;61.42$\pm$2.26;61.42$\pm$2.26;61.42$\pm$2.26;83.64$\pm$1.49;61.42$\pm$2.26
pretrain_time;nan$\pm$nan;nan$\pm$nan;nan$\pm$nan;nan$\pm$nan;nan$\pm$nan;nan$\pm$nan;nan$\pm$nan;nan$\pm$nan;nan$\pm$nan;nan$\pm$nan;nan$\pm$nan;nan$\pm$nan;nan$\pm$nan;nan$\pm$nan
