metrics;SBM_GRACE+MLP;SBM_BGRL+MLP;SBM_CSGCL+mlp;SBM2_GRACE+MLP;SBM2_BGRL+MLP;SBM2_CSGCL+mlp;graceGCN+mlp;GRACE+mlp;BGRL+mlp;CSGCL+mlp
Hits@10;15.24$\pm$4.72;15.68$\pm$4.86;14.32$\pm$5.12;14.97$\pm$6.63;15.47$\pm$5.68;13.61$\pm$3.82;13.41$\pm$3.5;15.3$\pm$4.59;14.32$\pm$4.91;16.32$\pm$5.04
Hits@20;29.29$\pm$8.0;30.14$\pm$7.64;30.34$\pm$7.23;31.05$\pm$9.69;32.13$\pm$9.13;29.05$\pm$7.05;29.19$\pm$5.41;28.07$\pm$6.79;27.16$\pm$4.18;28.61$\pm$6.42
Hits@50;63.21$\pm$8.06;78.34$\pm$9.7;68.85$\pm$7.68;78.72$\pm$8.8;76.66$\pm$11.97;68.95$\pm$6.13;66.18$\pm$5.49;63.48$\pm$6.47;60.14$\pm$5.82;61.82$\pm$6.78
Hits@100;84.49$\pm$6.6;92.7$\pm$1.8;88.04$\pm$2.62;92.74$\pm$1.81;92.4$\pm$1.79;90.81$\pm$1.61;85.98$\pm$2.98;83.61$\pm$3.64;78.89$\pm$4.11;81.79$\pm$2.64
ROCAUC;81.41$\pm$3.29;85.68$\pm$2.09;83.24$\pm$1.97;85.79$\pm$1.7;85.41$\pm$2.24;84.05$\pm$1.65;82.3$\pm$1.8;80.67$\pm$2.56;78.09$\pm$2.36;79.85$\pm$2.12
pretrain_time;69.28$\pm$3.13;72.03$\pm$5.17;94.09$\pm$3.57;36.96$\pm$2.8;35.92$\pm$2.81;64.0$\pm$2.0;nan$\pm$nan;8.76$\pm$0.22;7.36$\pm$0.28;9.95$\pm$0.36
