metrics;Cora GCN+NCN;Cora GCN+MLP;Cora GRACE+NCN;Cora GRACE+MLP;Cora GCA_deg+NCN;Cora GCA_deg+MLP;Cora GCA_pr+NCN;Cora GCA_pr+MLP;Cora GCA_evc+NCN;Cora GCA_evc+MLP;Cora BGRL+NCN;Cora BGRL+MLP;Cora BGRL_deg+NCN;Cora BGRL_deg+MLP;Cora BGRL_pr+NCN;Cora BGRL_pr+MLP;Cora BGRL_evc+NCN;Cora BGRL_evc+MLP;Cora CSGCL+NCN;Cora CSGCL+MLP;Cora BGRL_cs+NCN;Cora BGRL_cs+MLP
Hits@10;36.73$\pm$2.73;12.41$\pm$2.3;35.86$\pm$1.31;13.92$\pm$2.97;36.84$\pm$3.03;12.77$\pm$2.63;36.85$\pm$2.49;13.55$\pm$2.97;36.74$\pm$2.77;12.42$\pm$2.48;35.67$\pm$3.04;9.6$\pm$2.18;35.75$\pm$2.36;10.11$\pm$1.48;36.18$\pm$2.03;9.86$\pm$1.49;35.89$\pm$2.39;9.84$\pm$1.92;39.09$\pm$2.83;15.7$\pm$3.12;35.91$\pm$2.48;9.42$\pm$2.3
Hits@20;42.36$\pm$2.1;19.02$\pm$2.18;39.59$\pm$1.97;21.27$\pm$2.78;41.08$\pm$3.12;18.87$\pm$3.42;41.58$\pm$3.58;17.99$\pm$2.72;41.23$\pm$3.42;17.85$\pm$3.9;39.73$\pm$2.62;14.75$\pm$1.67;39.59$\pm$2.12;14.16$\pm$1.35;39.83$\pm$1.68;14.04$\pm$1.42;39.79$\pm$1.98;14.05$\pm$1.11;44.0$\pm$1.99;23.42$\pm$3.25;40.05$\pm$2.15;14.85$\pm$1.6
Hits@50;49.86$\pm$1.61;29.45$\pm$2.31;46.97$\pm$2.61;33.44$\pm$2.04;47.8$\pm$2.98;28.59$\pm$3.35;48.19$\pm$4.13;29.13$\pm$3.53;48.41$\pm$3.92;27.94$\pm$3.93;47.88$\pm$2.09;25.75$\pm$2.26;47.98$\pm$2.25;25.54$\pm$2.24;47.86$\pm$1.81;25.84$\pm$2.68;47.73$\pm$1.74;25.41$\pm$1.63;53.04$\pm$2.1;35.74$\pm$2.89;47.49$\pm$1.97;25.8$\pm$2.21
Hits@100;58.35$\pm$1.48;41.23$\pm$1.77;57.1$\pm$3.21;47.05$\pm$1.88;54.31$\pm$3.0;39.69$\pm$3.57;54.86$\pm$4.6;41.27$\pm$4.08;55.75$\pm$4.68;38.47$\pm$4.87;56.94$\pm$1.88;38.66$\pm$2.5;56.41$\pm$1.66;38.74$\pm$2.29;56.27$\pm$1.62;39.3$\pm$2.34;56.14$\pm$1.52;39.11$\pm$2.73;62.66$\pm$2.0;49.27$\pm$2.08;56.77$\pm$2.0;38.59$\pm$2.47
ROCAUC;84.3$\pm$0.69;77.86$\pm$0.57;85.94$\pm$0.74;82.9$\pm$0.7;79.56$\pm$2.2;75.7$\pm$3.71;81.28$\pm$2.94;77.48$\pm$4.09;81.51$\pm$3.97;74.58$\pm$4.99;83.75$\pm$0.46;78.26$\pm$0.47;83.72$\pm$0.41;78.26$\pm$0.47;83.75$\pm$0.4;78.27$\pm$0.45;83.7$\pm$0.36;78.22$\pm$0.46;87.38$\pm$0.49;83.62$\pm$0.69;83.68$\pm$0.47;78.18$\pm$0.5
pretrain_time;nan$\pm$nan;nan$\pm$nan;26.57$\pm$1.07;26.26$\pm$0.86;28.48$\pm$2.03;37.92$\pm$6.85;42.46$\pm$3.54;37.98$\pm$5.88;41.26$\pm$4.24;39.64$\pm$5.46;36.29$\pm$2.91;33.69$\pm$4.55;30.69$\pm$2.96;24.85$\pm$2.94;23.36$\pm$1.09;23.86$\pm$0.63;23.92$\pm$0.9;24.08$\pm$0.92;40.66$\pm$1.45;40.21$\pm$1.65;35.53$\pm$2.48;39.61$\pm$3.3
