metrics;SBM_GRACE+Inner;SBM_BGRL+Inner;SBM_CSGCL+inner;GCN+inner;GRACE+inner;BGRL+inner;CSGCL+inner
Hits@10;4.6$\pm$1.67;13.07$\pm$1.97;9.31$\pm$3.09;17.59$\pm$5.94;15.43$\pm$3.31;5.21$\pm$1.48;16.07$\pm$4.41
Hits@20;9.22$\pm$2.63;21.08$\pm$3.03;18.12$\pm$4.02;31.05$\pm$5.89;27.15$\pm$4.33;9.25$\pm$2.01;29.94$\pm$4.87
Hits@50;21.99$\pm$3.4;33.99$\pm$3.77;37.59$\pm$6.04;78.37$\pm$9.35;66.34$\pm$4.57;17.04$\pm$2.49;70.28$\pm$4.94
Hits@100;43.91$\pm$5.24;47.59$\pm$4.87;58.86$\pm$5.65;99.03$\pm$0.5;91.88$\pm$3.29;27.31$\pm$4.45;93.43$\pm$1.95
ROCAUC;61.21$\pm$3.17;61.38$\pm$3.81;72.27$\pm$3.07;90.75$\pm$1.42;87.43$\pm$1.24;45.69$\pm$3.78;88.42$\pm$1.05
pretrain_time;210.06$\pm$5.0;301.65$\pm$9.24;271.89$\pm$5.44;nan$\pm$nan;25.87$\pm$0.43;16.91$\pm$0.53;28.78$\pm$0.79
