metrics;SBM_GRACE+MLP;SBM_BGRL+MLP;graceGCN+mlp;GRACE+mlp;BGRL+mlp
Hits@10;10.48$\pm$2.24;20.77$\pm$4.34;14.8$\pm$3.49;15.41$\pm$3.34;12.52$\pm$1.79
Hits@20;17.95$\pm$2.79;31.65$\pm$4.79;22.49$\pm$3.78;26.16$\pm$3.89;17.31$\pm$2.1
Hits@50;34.49$\pm$2.47;60.28$\pm$3.39;36.71$\pm$1.06;45.03$\pm$1.56;24.31$\pm$2.48
Hits@100;51.9$\pm$4.87;83.66$\pm$6.23;48.51$\pm$1.72;55.82$\pm$1.99;31.18$\pm$2.37
ROCAUC;82.38$\pm$1.57;91.77$\pm$1.89;77.19$\pm$0.77;79.13$\pm$1.16;64.26$\pm$1.88
pretrain_time;463.57$\pm$10.59;437.64$\pm$7.35;nan$\pm$nan;8.99$\pm$0.09;8.42$\pm$0.37
