metrics;SBM_GRACE+MLP;SBM_BGRL+MLP;graceGCN+mlp;GRACE+mlp;BGRL+mlp
Hits@10;3.49$\pm$1.16;3.9$\pm$1.52;2.89$\pm$1.24;4.35$\pm$2.38;3.1$\pm$1.94
Hits@20;7.35$\pm$1.33;8.9$\pm$2.09;7.41$\pm$1.64;8.36$\pm$2.95;6.62$\pm$2.5
Hits@50;19.85$\pm$2.41;21.59$\pm$4.08;19.5$\pm$2.03;18.6$\pm$2.3;18.23$\pm$3.97
Hits@100;39.07$\pm$2.38;41.25$\pm$5.29;37.63$\pm$3.21;37.59$\pm$3.96;35.84$\pm$5.61
ROCAUC;70.94$\pm$1.59;72.43$\pm$1.58;64.65$\pm$1.74;65.61$\pm$2.01;65.81$\pm$3.33
pretrain_time;145.57$\pm$5.5;147.04$\pm$2.46;nan$\pm$nan;11.74$\pm$0.14;13.74$\pm$0.33
