metrics;SBM_GRACE+Inner;SBM_BGRL+Inner;SBM_CSGCL+inner;GCN+inner;GRACE+inner;BGRL+inner;CSGCL+inner;BGRL_cs+inner
Hits@10;4.27$\pm$1.6;12.33$\pm$2.57;13.1$\pm$4.41;17.59$\pm$5.94;15.18$\pm$5.1;6.43$\pm$1.2;17.98$\pm$5.25;7.51$\pm$1.53
Hits@20;10.66$\pm$3.29;20.58$\pm$3.08;20.22$\pm$3.97;31.05$\pm$5.89;30.78$\pm$6.15;11.69$\pm$2.06;33.46$\pm$4.23;11.19$\pm$1.3
Hits@50;24.63$\pm$4.3;35.29$\pm$4.27;37.4$\pm$3.43;78.37$\pm$9.35;70.75$\pm$4.59;19.17$\pm$2.46;70.33$\pm$5.06;19.72$\pm$2.53
Hits@100;44.88$\pm$4.04;49.72$\pm$5.49;58.67$\pm$5.83;99.03$\pm$0.5;95.84$\pm$2.35;30.53$\pm$3.22;95.87$\pm$2.38;29.45$\pm$3.44
ROCAUC;62.79$\pm$2.59;63.62$\pm$3.87;72.17$\pm$2.99;90.75$\pm$1.42;89.27$\pm$1.28;47.87$\pm$2.92;89.24$\pm$1.4;46.22$\pm$2.07
pretrain_time;67.49$\pm$2.99;98.43$\pm$3.87;90.35$\pm$3.42;nan$\pm$nan;8.5$\pm$0.24;5.57$\pm$0.44;9.49$\pm$0.42;6.04$\pm$0.24
