metrics;agrace,enc:gcn_ncn,pred:mlp,random_mean;agrace,enc:gcn_ncn,pred:mlp,random;agrace,enc:gcn_ncn,pred:mlp,deg_mean;agrace,enc:gcn_ncn,pred:mlp,deg;agrace,enc:gcn_ncn,pred:mlp,evc_mean;agrace,enc:gcn_ncn,pred:mlp,evc;agrace,enc:gcn_ncn,pred:mlp,pr_mean;agrace,enc:gcn_ncn,pred:mlp,pr;abgrl,enc:gcn_ncn,pred:mlp,random_mean;abgrl,enc:gcn_ncn,pred:mlp,random;abgrl,enc:gcn_ncn,pred:mlp,deg_mean;abgrl,enc:gcn_ncn,pred:mlp,deg;abgrl,enc:gcn_ncn,pred:mlp,evc_mean;abgrl,enc:gcn_ncn,pred:mlp,evc;abgrl,enc:gcn_ncn,pred:mlp,pr_mean;abgrl,enc:gcn_ncn,pred:mlp,pr
Hits@10;31.07$\pm$4.66;"[0.30769231 0.31468531 0.41958042 0.3006993  0.26107226 0.34731935
 0.24475524 0.2983683  0.33333333 0.27972028]";31.79$\pm$3.85;"[0.33799534 0.31235431 0.4009324  0.26340326 0.33100233 0.32400932
 0.33799534 0.27505828 0.32400932 0.27272727]";28.23$\pm$3.85;"[0.24242424 0.28205128 0.34965035 0.23076923 0.28671329 0.35198135
 0.27738928 0.24941725 0.27972028 0.27272727]";26.13$\pm$6.37;"[0.2004662  0.34965035 0.21678322 0.2004662  0.35198135 0.35198135
 0.21212121 0.2004662  0.28438228 0.24475524]";19.42$\pm$7.41;"[0.25174825 0.19114219 0.2027972  0.22610723 0.28904429 0.16317016
 0.31235431 0.1048951  0.12121212 0.07925408]";29.53$\pm$5.92;"[0.33100233 0.28205128 0.41958042 0.22843823 0.22843823 0.29137529
 0.36596737 0.30536131 0.24475524 0.25641026]";31.52$\pm$5.48;"[0.35897436 0.37762238 0.32867133 0.23543124 0.38694639 0.3030303
 0.34032634 0.33333333 0.26806527 0.21911422]";21.1$\pm$4.63;"[0.14685315 0.21678322 0.17249417 0.22144522 0.1958042  0.26340326
 0.26573427 0.17715618 0.16083916 0.28904429]"
Hits@20;45.76$\pm$4.22;"[0.51282051 0.38461538 0.51048951 0.48951049 0.4032634  0.47785548
 0.41491841 0.46386946 0.44522145 0.47319347]";45.59$\pm$3.98;"[0.42424242 0.49184149 0.46620047 0.4032634  0.5011655  0.41958042
 0.51981352 0.4009324  0.46853147 0.46386946]";44.48$\pm$3.66;"[0.47086247 0.42890443 0.48251748 0.45454545 0.42890443 0.5034965
 0.43589744 0.36829837 0.41258741 0.46153846]";41.07$\pm$4.42;"[0.35198135 0.43356643 0.35198135 0.37296037 0.48018648 0.47319347
 0.44755245 0.40559441 0.4009324  0.38927739]";28.65$\pm$10.12;"[0.36596737 0.30536131 0.28205128 0.31468531 0.40559441 0.20745921
 0.46853147 0.16083916 0.20512821 0.14918415]";45.06$\pm$5.24;"[0.50815851 0.38461538 0.54778555 0.48951049 0.43589744 0.46153846
 0.45454545 0.38927739 0.38228438 0.45221445]";44.1$\pm$5.1;"[0.49417249 0.44755245 0.48717949 0.50815851 0.44988345 0.47319347
 0.44055944 0.37995338 0.36829837 0.36130536]";34.99$\pm$4.75;"[0.33333333 0.29370629 0.39160839 0.28438228 0.3030303  0.3962704
 0.36596737 0.31934732 0.37995338 0.43123543]"
Hits@50;68.3$\pm$2.94;"[0.72494172 0.65734266 0.67365967 0.7039627  0.62937063 0.6969697
 0.66666667 0.70862471 0.65501166 0.71328671]";67.95$\pm$1.52;"[0.70629371 0.69230769 0.67132867 0.68764569 0.66899767 0.7016317
 0.67132867 0.66666667 0.66200466 0.66666667]";67.83$\pm$2.77;"[0.68298368 0.68764569 0.70862471 0.72727273 0.64335664 0.6969697
 0.66666667 0.66899767 0.62937063 0.67132867]";63.89$\pm$3.38;"[0.66666667 0.66433566 0.63636364 0.67599068 0.60839161 0.69463869
 0.62470862 0.62004662 0.57808858 0.62004662]";46.85$\pm$12.69;"[0.65034965 0.40792541 0.39160839 0.5034965  0.61305361 0.41491841
 0.67832168 0.33799534 0.36829837 0.31934732]";65.1$\pm$4.21;"[0.68997669 0.55244755 0.6993007  0.69463869 0.65501166 0.66200466
 0.64335664 0.65034965 0.60606061 0.65734266]";66.34$\pm$3.88;"[0.71561772 0.61538462 0.63869464 0.71794872 0.65034965 0.68997669
 0.64335664 0.69463869 0.5990676  0.66899767]";55.24$\pm$3.47;"[0.53846154 0.50582751 0.5967366  0.52680653 0.53146853 0.55944056
 0.58508159 0.5034965  0.57342657 0.6037296 ]"
Hits@100;83.33$\pm$2.66;"[0.89044289 0.82517483 0.86247086 0.7995338  0.82983683 0.82051282
 0.84149184 0.83216783 0.79487179 0.83682984]";86.25$\pm$2.45;"[0.90675991 0.86480186 0.82983683 0.88111888 0.84615385 0.88344988
 0.87179487 0.82517483 0.84382284 0.87179487]";83.75$\pm$2.67;"[0.85314685 0.85081585 0.85081585 0.88578089 0.78321678 0.82750583
 0.84149184 0.81351981 0.81818182 0.85081585]";78.93$\pm$2.37;"[0.78787879 0.7995338  0.8041958  0.82517483 0.79020979 0.7995338
 0.77156177 0.76923077 0.73659674 0.80885781]";64.83$\pm$13.68;"[0.84382284 0.5990676  0.59440559 0.73193473 0.77622378 0.56643357
 0.86713287 0.48717949 0.4965035  0.51981352]";81.26$\pm$1.98;"[0.81351981 0.81118881 0.82517483 0.85081585 0.8018648  0.84149184
 0.78554779 0.7972028  0.79487179 0.8041958 ]";82.96$\pm$2.2;"[0.85081585 0.81585082 0.82284382 0.87179487 0.82517483 0.85780886
 0.81351981 0.8041958  0.8041958  0.82983683]";75.15$\pm$2.86;"[0.76689977 0.76923077 0.79487179 0.74358974 0.72960373 0.74358974
 0.76923077 0.69230769 0.72727273 0.77855478]"
ROCAUC;88.04$\pm$0.92;"[0.89872365 0.87675642 0.8940701  0.87627214 0.86862318 0.8846996
 0.87800362 0.87815883 0.86971925 0.87855369]";89.35$\pm$0.8;"[0.90291837 0.901074   0.89049191 0.89529507 0.88865779 0.90443977
 0.88659783 0.87651134 0.89271412 0.8963412 ]";87.73$\pm$1.06;"[0.88202629 0.88493127 0.88736575 0.89296407 0.86104606 0.8869654
 0.87281332 0.86233471 0.8679805  0.87453434]";85.42$\pm$1.17;"[0.85740134 0.86880487 0.85301614 0.8686923  0.84704913 0.86567124
 0.85436137 0.83730366 0.8328579  0.85649631]";77.71$\pm$7.45;"[0.88174918 0.75858876 0.73324184 0.81789384 0.85378556 0.75390266
 0.88595517 0.67949263 0.67245342 0.73404244]";86.17$\pm$1.59;"[0.87489201 0.85444306 0.87469229 0.88017344 0.85947932 0.87810868
 0.82946104 0.84065312 0.8579121  0.86691502]";87.7$\pm$1.13;"[0.88883455 0.87515522 0.88253491 0.89175781 0.87323605 0.89350199
 0.86695859 0.8677483  0.8571514  0.87311831]";83.3$\pm$1.91;"[0.84254052 0.82093218 0.85383308 0.83283616 0.8198632  0.84933792
 0.85105004 0.78672418 0.83212436 0.84101802]"
AP;87.05$\pm$1.02;"[0.8813386  0.86918629 0.88648425 0.87254817 0.84981312 0.88164561
 0.86420029 0.86495438 0.86989155 0.86493948]";88.14$\pm$0.89;"[0.88983528 0.89216229 0.88098283 0.87410902 0.88103076 0.89141194
 0.88176858 0.86024499 0.88302748 0.8791509 ]";86.59$\pm$1.01;"[0.86894822 0.87396241 0.87540377 0.8761072  0.85366937 0.87420185
 0.87330312 0.84703091 0.85918418 0.85750137]";84.8$\pm$1.24;"[0.84901031 0.86873159 0.84125467 0.8517117  0.84916461 0.86512717
 0.8485126  0.82459678 0.83343264 0.84799501]";77.31$\pm$6.73;"[0.86569445 0.76397276 0.75060694 0.80869419 0.83912487 0.74143754
 0.87752817 0.68882115 0.68914726 0.70633941]";86.02$\pm$1.2;"[0.87324096 0.85204893 0.88276026 0.8663763  0.85062419 0.87037103
 0.85424655 0.84145471 0.85143126 0.85908189]";86.85$\pm$1.09;"[0.88276384 0.87046456 0.87336624 0.87480905 0.86531546 0.88468445
 0.87091462 0.85752645 0.84951634 0.85559117]";82.19$\pm$1.75;"[0.81335432 0.81895157 0.82604222 0.81702415 0.81334869 0.83909661
 0.83984203 0.78091335 0.82446648 0.84574407]"
pretrain_time;14.84$\pm$0.24;"[15.14078188 15.13429284 15.06515932 15.12279844 14.84249878 14.59539437
 14.59672022 14.62059689 14.62134957 14.64121199]";44.65$\pm$1.06;"[45.11793756 45.21221757 45.65077877 45.15209746 44.56393671 45.28956008
 45.65413141 44.59083319 42.71876979 42.59221578]";69.83$\pm$0.68;"[70.50941658 70.10809016 70.82972312 69.82578778 69.8827765  69.59918189
 70.34187865 69.92167711 68.65701628 68.66611862]";35.32$\pm$0.95;"[34.30981874 34.64279747 36.14787936 36.3818171  36.49726248 36.26323271
 34.2175591  36.04336286 34.36037469 34.38480592]";37.25$\pm$4.37;"[33.68709373 41.95022035 43.37157369 41.13838005 39.17507744 28.47058558
 35.21555901 37.63219285 33.19504142 38.70978403]";83.4$\pm$0.44;"[82.97490978 83.00267148 83.59570312 83.11290026 83.39628792 83.24214554
 84.24857831 84.1610775  83.21614623 83.05425262]";66.2$\pm$0.63;"[65.24590373 66.2305038  67.11131763 65.61864495 65.70087409 65.74595237
 67.29631042 66.59366822 66.51086903 65.99457073]";38.92$\pm$0.87;"[41.37219286 38.60216784 38.86989951 38.5796411  38.28892612 38.36667705
 38.96020722 39.33150983 38.32079434 38.5103476 ]"
