metrics;agrace,enc:gcn_ncn,pred:mlp,random_mean;agrace,enc:gcn_ncn,pred:mlp,random;agrace,enc:gcn_ncn,pred:mlp,deg_mean;agrace,enc:gcn_ncn,pred:mlp,deg;agrace,enc:gcn_ncn,pred:mlp,evc_mean;agrace,enc:gcn_ncn,pred:mlp,evc;agrace,enc:gcn_ncn,pred:mlp,pr_mean;agrace,enc:gcn_ncn,pred:mlp,pr;abgrl,enc:gcn_ncn,pred:mlp,random_mean;abgrl,enc:gcn_ncn,pred:mlp,random;abgrl,enc:gcn_ncn,pred:mlp,deg_mean;abgrl,enc:gcn_ncn,pred:mlp,deg;abgrl,enc:gcn_ncn,pred:mlp,evc_mean;abgrl,enc:gcn_ncn,pred:mlp,evc;abgrl,enc:gcn_ncn,pred:mlp,pr_mean;abgrl,enc:gcn_ncn,pred:mlp,pr
Hits@10;65.22$\pm$4.43;"[0.66823529 0.71764706 0.68470588 0.64470588 0.59529412 0.65647059
 0.58117647 0.71764706 0.61647059 0.64      ]";74.35$\pm$3.0;"[0.73647059 0.71294118 0.73882353 0.80705882 0.72705882 0.76470588
 0.69411765 0.76470588 0.73176471 0.75764706]";73.2$\pm$4.51;"[0.64470588 0.76       0.73882353 0.69176471 0.74117647 0.77176471
 0.73647059 0.8        0.67529412 0.76      ]";67.48$\pm$6.8;"[0.68235294 0.72941176 0.52       0.73411765 0.69882353 0.61411765
 0.72       0.67294118 0.62117647 0.75529412]";63.22$\pm$7.48;"[0.71294118 0.68705882 0.54823529 0.65176471 0.67529412 0.62117647
 0.68705882 0.68       0.60235294 0.45647059]";70.56$\pm$4.11;"[0.65647059 0.74352941 0.68235294 0.68705882 0.64235294 0.73411765
 0.70352941 0.78352941 0.68705882 0.73647059]";35.55$\pm$17.96;"[0.48235294 0.4        0.34823529 0.54823529 0.00941176 0.49647059
 0.36705882 0.02117647 0.46352941 0.41882353]";74.89$\pm$3.72;"[0.74352941 0.80235294 0.68705882 0.73176471 0.72941176 0.74117647
 0.79294118 0.80470588 0.71294118 0.74352941]"
Hits@20;73.15$\pm$3.83;"[0.76705882 0.74823529 0.71058824 0.72235294 0.67294118 0.69882353
 0.72941176 0.81176471 0.69882353 0.75529412]";82.56$\pm$3.0;"[0.83764706 0.86117647 0.81882353 0.84470588 0.76941176 0.81882353
 0.79058824 0.87529412 0.80941176 0.83058824]";82.24$\pm$2.91;"[0.78823529 0.86352941 0.8        0.82117647 0.78823529 0.81882353
 0.8        0.87764706 0.82352941 0.84235294]";78.0$\pm$4.2;"[0.8        0.81882353 0.70823529 0.79294118 0.77411765 0.74117647
 0.81411765 0.82823529 0.71294118 0.80941176]";71.74$\pm$5.71;"[0.78352941 0.73882353 0.66352941 0.73647059 0.74588235 0.68941176
 0.76235294 0.76470588 0.70823529 0.58117647]";78.02$\pm$4.46;"[0.76470588 0.80705882 0.74823529 0.80235294 0.73647059 0.76705882
 0.76       0.89176471 0.73176471 0.79294118]";45.58$\pm$22.13;"[0.56470588 0.49411765 0.42588235 0.66352941 0.02117647 0.62588235
 0.50588235 0.04941176 0.56470588 0.64235294]";82.87$\pm$3.07;"[0.85176471 0.86352941 0.81882353 0.82588235 0.78117647 0.79294118
 0.83294118 0.88       0.79529412 0.84470588]"
Hits@50;84.64$\pm$2.78;"[0.85647059 0.86588235 0.82352941 0.82352941 0.82117647 0.85176471
 0.82117647 0.90117647 0.81882353 0.88      ]";89.88$\pm$2.56;"[0.91529412 0.90823529 0.90352941 0.91294118 0.84941176 0.89882353
 0.89647059 0.93411765 0.85411765 0.91529412]";89.51$\pm$2.45;"[0.87529412 0.92       0.88235294 0.90117647 0.86588235 0.87294118
 0.88941176 0.93411765 0.87529412 0.93411765]";88.45$\pm$2.79;"[0.90352941 0.91529412 0.87294118 0.88941176 0.84941176 0.87529412
 0.89647059 0.92       0.82588235 0.89647059]";83.29$\pm$4.51;"[0.90823529 0.83294118 0.8        0.87294118 0.84       0.79294118
 0.86823529 0.85411765 0.81882353 0.74117647]";87.18$\pm$2.73;"[0.88705882 0.88       0.86117647 0.87529412 0.84941176 0.84705882
 0.86352941 0.92941176 0.82823529 0.89647059]";61.86$\pm$26.13;"[0.73176471 0.73647059 0.63764706 0.81411765 0.04941176 0.80470588
 0.69411765 0.16705882 0.76470588 0.78588235]";90.24$\pm$2.02;"[0.90823529 0.92235294 0.87529412 0.91058824 0.87529412 0.88470588
 0.89647059 0.93411765 0.88941176 0.92705882]"
Hits@100;91.58$\pm$2.02;"[0.92       0.91764706 0.93882353 0.90588235 0.91058824 0.90823529
 0.90117647 0.93882353 0.87294118 0.94352941]";93.46$\pm$1.26;"[0.94117647 0.94352941 0.93176471 0.93647059 0.92       0.93176471
 0.92705882 0.95058824 0.91058824 0.95294118]";93.91$\pm$1.45;"[0.94352941 0.94823529 0.93411765 0.93647059 0.93411765 0.93176471
 0.94117647 0.95058824 0.90588235 0.96470588]";93.39$\pm$1.86;"[0.95294118 0.94588235 0.93647059 0.93176471 0.89882353 0.92235294
 0.93647059 0.94352941 0.90823529 0.96235294]";89.79$\pm$3.06;"[0.94352941 0.90352941 0.88941176 0.93176471 0.89882353 0.87294118
 0.90823529 0.92235294 0.87529412 0.83294118]";91.95$\pm$1.97;"[0.93882353 0.94352941 0.92941176 0.91294118 0.89647059 0.90823529
 0.91294118 0.94588235 0.88235294 0.92470588]";72.64$\pm$24.98;"[0.84       0.83529412 0.79764706 0.87058824 0.10117647 0.88
 0.83764706 0.39058824 0.84       0.87058824]";93.53$\pm$1.33;"[0.94823529 0.95058824 0.93411765 0.93647059 0.91764706 0.92705882
 0.92705882 0.94588235 0.91294118 0.95294118]"
ROCAUC;93.19$\pm$1.45;"[0.94660208 0.94427682 0.93721976 0.91757492 0.92701998 0.93291626
 0.92144284 0.9483128  0.9005564  0.94296919]";94.41$\pm$1.05;"[0.9523045  0.95170104 0.94502775 0.94313541 0.93641509 0.94236125
 0.94241398 0.95214394 0.91816747 0.95694118]";94.4$\pm$0.9;"[0.93974256 0.95533841 0.94130411 0.95085461 0.93659267 0.93492042
 0.94159822 0.94895502 0.93051349 0.9600112 ]";94.35$\pm$1.09;"[0.9530519  0.95194464 0.93262486 0.94148724 0.92599334 0.93714048
 0.95258602 0.95002353 0.93007059 0.95961905]";92.27$\pm$2.07;"[0.95191696 0.92845398 0.91857936 0.94060488 0.92460599 0.91137439
 0.93285239 0.93501453 0.911391   0.87243137]";92.44$\pm$1.33;"[0.9316872  0.94416055 0.92127081 0.92438957 0.91529967 0.91430311
 0.92053274 0.94356263 0.89793772 0.93048179]";78.98$\pm$19.34;"[0.86978824 0.86490242 0.84331853 0.90796337 0.28534684 0.90387266
 0.87413984 0.56618408 0.88551972 0.89653221]";93.55$\pm$1.12;"[0.9425827  0.95320138 0.92683685 0.9363374  0.92815205 0.91898131
 0.93794673 0.94349066 0.91956817 0.94812325]"
AP;94.23$\pm$1.0;"[0.95177979 0.95224703 0.94230988 0.9369157  0.93491013 0.93983671
 0.9326512  0.95637945 0.92406953 0.95221678]";95.68$\pm$0.66;"[0.95994285 0.96189255 0.95636872 0.95982645 0.95005867 0.95655916
 0.9547765  0.9616776  0.9414482  0.96545574]";95.47$\pm$0.76;"[0.9475188  0.96279102 0.95060868 0.96031543 0.95144093 0.94661841
 0.95328123 0.96134408 0.94435964 0.96848365]";95.14$\pm$0.95;"[0.95790093 0.96033893 0.93878421 0.95409837 0.94169998 0.94382874
 0.95893362 0.95698906 0.93723943 0.96433512]";93.58$\pm$1.66;"[0.95757498 0.93795604 0.92886241 0.94981708 0.94078492 0.92863759
 0.94771724 0.94253036 0.93012351 0.89431308]";94.49$\pm$0.96;"[0.9417196  0.95777286 0.94280615 0.94659997 0.93846057 0.93986851
 0.94083726 0.96272642 0.92746616 0.95029643]";80.93$\pm$17.37;"[0.88222191 0.8792074  0.85355577 0.92196191 0.38724406 0.91785604
 0.88328785 0.55807032 0.89991642 0.90920508]";95.54$\pm$0.67;"[0.95768741 0.96607655 0.95039547 0.95777874 0.94950663 0.94544112
 0.95645001 0.96225309 0.94653081 0.96210149]"
pretrain_time;9.0$\pm$0.68;"[7.99144816 9.41996813 9.46329021 9.45419145 9.44961929 9.45508933
 9.42743182 9.43311548 8.04595947 7.83836484]";15.24$\pm$1.27;"[13.81830382 13.80113125 13.98698592 14.39492798 16.57876801 16.16037941
 13.91956758 16.52606463 16.59970665 16.61578989]";18.79$\pm$1.49;"[19.92598438 19.8897202  20.1947844  19.91844606 19.92934656 19.92344451
 17.9802599  16.86820316 16.59682131 16.62560678]";5.62$\pm$0.25;"[5.84369087 5.78273845 5.96953249 5.40691161 5.46618915 5.33863235
 5.30073905 5.89083266 5.78438115 5.38959479]";11.42$\pm$0.05;"[11.48295808 11.44533968 11.47677779 11.38556099 11.47687459 11.35750532
 11.39881945 11.3576026  11.35603786 11.45800304]";32.0$\pm$0.36;"[32.04910183 31.89056706 32.58287835 31.65973353 31.89298987 31.80760074
 31.98109245 32.75516891 31.58314967 31.77626157]";41.22$\pm$3.28;"[37.50102639 37.58332777 38.68187904 37.89650083 42.28431773 41.49350739
 46.13079739 46.91445446 43.3088479  40.35599375]";54.95$\pm$0.52;"[54.60664153 54.82363248 56.04257774 54.73699999 54.66571379 54.8696444
 54.75841475 55.88795018 54.4049654  54.71940422]"
