metrics;baseline,enc:gcn_ncn,pred:mlp_mean;baseline,enc:gcn_ncn,pred:mlp;grace,enc:gcn_ncn,pred:mlp,random_mean;grace,enc:gcn_ncn,pred:mlp,random;grace,enc:gcn_ncn,pred:mlp,deg_mean;grace,enc:gcn_ncn,pred:mlp,deg;grace,enc:gcn_ncn,pred:mlp,evc_mean;grace,enc:gcn_ncn,pred:mlp,evc;grace,enc:gcn_ncn,pred:mlp,pr_mean;grace,enc:gcn_ncn,pred:mlp,pr;infomap_prob_pred_mean;infomap_prob_pred;grace,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;grace,enc:gcn_ncn,pred:mlp,sbm_fast2;bgrl,enc:gcn_ncn,pred:mlp,random_mean;bgrl,enc:gcn_ncn,pred:mlp,random;bgrl,enc:gcn_ncn,pred:mlp,deg_mean;bgrl,enc:gcn_ncn,pred:mlp,deg;bgrl,enc:gcn_ncn,pred:mlp,evc_mean;bgrl,enc:gcn_ncn,pred:mlp,evc;bgrl,enc:gcn_ncn,pred:mlp,pr_mean;bgrl,enc:gcn_ncn,pred:mlp,pr;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_ncn,pred:mlp,sbm_fast2;lbgrl,enc:gcn_ncn,pred:mlp,random_mean;lbgrl,enc:gcn_ncn,pred:mlp,random;lbgrl,enc:gcn_ncn,pred:mlp,deg_mean;lbgrl,enc:gcn_ncn,pred:mlp,deg;lbgrl,enc:gcn_ncn,pred:mlp,evc_mean;lbgrl,enc:gcn_ncn,pred:mlp,evc;lbgrl,enc:gcn_ncn,pred:mlp,pr_mean;lbgrl,enc:gcn_ncn,pred:mlp,pr;lbgrl,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_ncn,pred:mlp,sbm_fast2;lgrace,enc:gcn_ncn,pred:mlp,random_mean;lgrace,enc:gcn_ncn,pred:mlp,random;lgrace,enc:gcn_ncn,pred:mlp,deg_mean;lgrace,enc:gcn_ncn,pred:mlp,deg;lgrace,enc:gcn_ncn,pred:mlp,evc_mean;lgrace,enc:gcn_ncn,pred:mlp,evc;lgrace,enc:gcn_ncn,pred:mlp,pr_mean;lgrace,enc:gcn_ncn,pred:mlp,pr;louvain_prob_pred_mean;louvain_prob_pred;lgrace,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_ncn,pred:mlp,sbm_fast2
Hits@10;24.45$\pm$3.68;"[0.20943245 0.2126299  0.27897682 0.22781775 0.2773781  0.28217426
 0.22302158 0.26618705 0.28936851 0.17825739]";10.91$\pm$3.14;"[0.08872902 0.08553157 0.05515588 0.08952838 0.14788169 0.11670663
 0.1254996  0.17026379 0.10311751 0.10871303]";23.29$\pm$3.0;"[0.20863309 0.22142286 0.26538769 0.23661071 0.22541966 0.25899281
 0.2126299  0.22701839 0.29096723 0.18145484]";19.7$\pm$2.32;"[0.18864908 0.24780176 0.22222222 0.19584333 0.19504396 0.18864908
 0.18545164 0.19584333 0.15347722 0.19664269]";24.31$\pm$5.68;"[0.20543565 0.21502798 0.27178257 0.25899281 0.29576339 0.28377298
 0.17585931 0.24940048 0.33733014 0.13749001]";17.99$\pm$2.16;"[0.16946443 0.19184652 0.18864908 0.20063949 0.1942446  0.16227018
 0.17505995 0.19904077 0.12629896 0.19104716]";11.73$\pm$5.43;"[0.10791367 0.11510791 0.068745   0.06794564 0.26858513 0.09832134
 0.10871303 0.14148681 0.09832134 0.09832134]";24.77$\pm$3.06;"[0.19904077 0.21023181 0.28697042 0.23661071 0.26139089 0.29096723
 0.22941647 0.26458833 0.27418066 0.22382094]";25.5$\pm$3.12;"[0.21103118 0.22781775 0.27657874 0.27657874 0.26458833 0.27498002
 0.2246203  0.28217426 0.30055955 0.21103118]";16.35$\pm$13.57;"[0.26698641 0.         0.30135891 0.22621902 0.28057554 0.31814548
 0.24140687 0.         0.         0.        ]";23.39$\pm$2.92;"[0.21103118 0.2166267  0.26298961 0.24540368 0.22861711 0.25019984
 0.22222222 0.27178257 0.26059153 0.16946443]";17.99$\pm$2.16;"[0.16946443 0.19184652 0.18864908 0.20063949 0.1942446  0.16227018
 0.17505995 0.19904077 0.12629896 0.19104716]";26.88$\pm$4.77;"[0.27258193 0.21023181 0.28297362 0.23261391 0.27498002 0.33253397
 0.22541966 0.3157474  0.33972822 0.20143885]";24.48$\pm$3.99;"[0.19264588 0.1902478  0.30855316 0.23181455 0.26378897 0.28457234
 0.22382094 0.25979217 0.28776978 0.20543565]";21.54$\pm$3.37;"[0.19904077 0.21023181 0.19824141 0.27258193 0.19504396 0.19504396
 0.20063949 0.29016787 0.20543565 0.18784972]";25.65$\pm$4.02;"[0.19904077 0.2166267  0.2813749  0.21742606 0.29656275 0.29096723
 0.23581135 0.31414868 0.29256595 0.2206235 ]";28.23$\pm$5.44;"[0.26059153 0.22781775 0.30135891 0.26139089 0.3461231  0.33573141
 0.23341327 0.35091926 0.32214229 0.18385292]";24.34$\pm$3.82;"[0.17505995 0.21422862 0.29416467 0.21342926 0.26858513 0.28457234
 0.23341327 0.2773781  0.26778577 0.20543565]";10.44$\pm$10.2;"[0.22781775 0.03357314 0.04556355 0.24140687 0.05835332 0.03197442
 0.07114309 0.29896083 0.00959233 0.02557954]";22.68$\pm$3.41;"[0.20463629 0.20543565 0.22142286 0.23581135 0.21342926 0.23661071
 0.20063949 0.31494804 0.24620304 0.18864908]";22.28$\pm$5.16;"[0.20143885 0.25019984 0.28057554 0.19824141 0.26298961 0.28217426
 0.14868106 0.23421263 0.2470024  0.12230216]";17.54$\pm$7.57;"[0.17665867 0.19184652 0.25579536 0.25019984 0.06155076 0.2246203
 0.19984013 0.01598721 0.22861711 0.14868106]";17.99$\pm$2.16;"[0.16946443 0.19184652 0.18864908 0.20063949 0.1942446  0.16227018
 0.17505995 0.19904077 0.12629896 0.19104716]";25.84$\pm$4.36;"[0.20623501 0.24060751 0.29576339 0.22142286 0.29816147 0.28297362
 0.24380496 0.31015188 0.30375699 0.18065548]"
Hits@20;34.86$\pm$4.21;"[0.32773781 0.3197442  0.40047962 0.35891287 0.36770584 0.3685052
 0.29016787 0.40447642 0.37490008 0.27338129]";23.07$\pm$3.57;"[0.24380496 0.18944844 0.26139089 0.20303757 0.2853717  0.22781775
 0.19264588 0.28457234 0.23101519 0.18784972]";34.11$\pm$3.72;"[0.40607514 0.31894484 0.372502   0.34132694 0.34292566 0.35251799
 0.29016787 0.36450839 0.3501199  0.27178257]";25.51$\pm$6.94;"[0.37490008 0.40927258 0.23900879 0.21822542 0.21982414 0.22621902
 0.2126299  0.22541966 0.20943245 0.21582734]";35.36$\pm$5.18;"[0.37010392 0.32294165 0.35331735 0.37010392 0.37969624 0.37170264
 0.28297362 0.39808153 0.43645084 0.2509992 ]";21.05$\pm$1.11;"[0.19504396 0.2126299  0.20223821 0.2126299  0.23501199 0.21183054
 0.20623501 0.21023181 0.22142286 0.19744205]";22.35$\pm$6.36;"[0.29496403 0.16946443 0.20223821 0.21502798 0.36930456 0.19584333
 0.17585931 0.26538769 0.19344524 0.15347722]";33.99$\pm$3.39;"[0.3501199  0.28856914 0.34692246 0.36450839 0.3461231  0.35091926
 0.31494804 0.38609113 0.37410072 0.27657874]";34.01$\pm$3.66;"[0.34532374 0.29336531 0.3501199  0.35891287 0.36051159 0.34132694
 0.29656275 0.36690647 0.40607514 0.28217426]";21.67$\pm$17.8;"[0.3501199  0.         0.39968026 0.36770584 0.37729816 0.35411671
 0.31814548 0.         0.         0.        ]";33.04$\pm$4.71;"[0.33733014 0.27977618 0.3685052  0.36211031 0.33013589 0.34052758
 0.33892886 0.3764988  0.35811351 0.21183054]";21.05$\pm$1.11;"[0.19504396 0.2126299  0.20223821 0.2126299  0.23501199 0.21183054
 0.20623501 0.21023181 0.22142286 0.19744205]";37.22$\pm$4.12;"[0.39488409 0.32214229 0.38449241 0.38928857 0.40207834 0.37410072
 0.35091926 0.39088729 0.43165468 0.2813749 ]";34.0$\pm$2.73;"[0.32933653 0.32214229 0.36770584 0.36930456 0.34052758 0.34452438
 0.28697042 0.35811351 0.37410072 0.30695444]";29.62$\pm$5.82;"[0.33653078 0.25739408 0.2853717  0.40847322 0.25739408 0.27817746
 0.24860112 0.39248601 0.24060751 0.25739408]";36.15$\pm$3.11;"[0.36051159 0.33972822 0.37410072 0.4068745  0.36530775 0.37170264
 0.31734612 0.37729816 0.39808153 0.30375699]";37.97$\pm$3.47;"[0.372502   0.3764988  0.38848921 0.38529177 0.40447642 0.3804956
 0.33972822 0.41406875 0.43165468 0.30375699]";35.6$\pm$3.79;"[0.37090328 0.35731415 0.37090328 0.38289369 0.33972822 0.36690647
 0.29736211 0.39728217 0.39728217 0.27897682]";17.01$\pm$14.46;"[0.34932054 0.05755396 0.08872902 0.41646683 0.09272582 0.07593925
 0.10231815 0.39968026 0.04796163 0.07034373]";31.82$\pm$4.83;"[0.32773781 0.26538769 0.29416467 0.40127898 0.31334932 0.31734612
 0.29016787 0.38369305 0.35251799 0.23661071]";33.83$\pm$2.88;"[0.35331735 0.36051159 0.36610711 0.31734612 0.35651479 0.33972822
 0.3157474  0.35571543 0.35091926 0.26698641]";26.4$\pm$9.8;"[0.33413269 0.27897682 0.33573141 0.33253397 0.09592326 0.31894484
 0.25739408 0.05915268 0.35091926 0.27657874]";21.05$\pm$1.11;"[0.19504396 0.2126299  0.20223821 0.2126299  0.23501199 0.21183054
 0.20623501 0.21023181 0.22142286 0.19744205]";36.25$\pm$4.28;"[0.32693845 0.33013589 0.37490008 0.40527578 0.37090328 0.39168665
 0.32693845 0.38609113 0.43085532 0.2813749 ]"
Hits@50;52.67$\pm$2.86;"[0.59552358 0.50919265 0.49880096 0.52038369 0.5323741  0.51398881
 0.52038369 0.55955236 0.52118305 0.49560352]";46.57$\pm$3.84;"[0.54356515 0.46282974 0.47242206 0.46602718 0.45643485 0.4372502
 0.40367706 0.51958433 0.43405276 0.46123102]";50.59$\pm$3.62;"[0.59632294 0.4980016  0.51239009 0.51958433 0.48201439 0.5019984
 0.46522782 0.5283773  0.49000799 0.46522782]";31.67$\pm$12.82;"[0.61071143 0.5283773  0.25819345 0.26378897 0.27098321 0.25019984
 0.22941647 0.25899281 0.24780176 0.24860112]";52.87$\pm$3.67;"[0.61710631 0.50999201 0.49960032 0.51239009 0.53397282 0.53717026
 0.48760991 0.55635492 0.54196643 0.49080735]";22.81$\pm$1.1;"[0.21342926 0.23421263 0.22621902 0.22701839 0.2509992  0.2246203
 0.22621902 0.22621902 0.23980815 0.21183054]";41.17$\pm$7.99;"[0.58832934 0.43804956 0.37569944 0.36690647 0.50439648 0.3461231
 0.40127898 0.43565148 0.35971223 0.30055955]";51.56$\pm$4.1;"[0.6011191  0.51798561 0.49640288 0.51638689 0.53477218 0.49240608
 0.50919265 0.54836131 0.50759392 0.43165468]";52.37$\pm$3.66;"[0.61470823 0.50679456 0.50519584 0.52757794 0.52677858 0.51478817
 0.51079137 0.5547562  0.5059952  0.46922462]";32.6$\pm$26.78;"[0.61470823 0.         0.49480416 0.54196643 0.56434852 0.51798561
 0.52597922 0.         0.         0.        ]";51.1$\pm$4.59;"[0.60271783 0.52118305 0.51159073 0.52677858 0.49960032 0.50279776
 0.50839329 0.51958433 0.51558753 0.40127898]";22.81$\pm$1.1;"[0.21342926 0.23421263 0.22621902 0.22701839 0.2509992  0.2246203
 0.22621902 0.22621902 0.23980815 0.21183054]";53.74$\pm$3.17;"[0.59552358 0.52517986 0.51638689 0.55155875 0.55075939 0.5283773
 0.52917666 0.56434852 0.54436451 0.46842526]";52.03$\pm$3.22;"[0.59552358 0.49560352 0.49880096 0.5243805  0.53317346 0.50279776
 0.50759392 0.53796962 0.5363709  0.47082334]";42.03$\pm$8.95;"[0.59552358 0.32933653 0.40447642 0.51718625 0.37969624 0.36770584
 0.37569944 0.52358114 0.30055955 0.40927258]";52.78$\pm$3.45;"[0.60831335 0.52517986 0.51638689 0.52997602 0.53397282 0.53157474
 0.50279776 0.54436451 0.52358114 0.46203038]";53.96$\pm$3.53;"[0.61470823 0.50439648 0.51478817 0.54916067 0.5547562  0.54916067
 0.53477218 0.54596323 0.55395683 0.47402078]";52.54$\pm$3.9;"[0.627498   0.50759392 0.50759392 0.51798561 0.51239009 0.50919265
 0.53717026 0.54516387 0.51958433 0.47002398]";29.14$\pm$18.37;"[0.63709033 0.15827338 0.20703437 0.52358114 0.16306954 0.18385292
 0.20143885 0.54116707 0.13669065 0.16227018]";50.64$\pm$4.15;"[0.61630695 0.51478817 0.47961631 0.51239009 0.4756195  0.48760991
 0.48920863 0.52517986 0.50519584 0.45803357]";51.21$\pm$3.19;"[0.59232614 0.49720224 0.4940048  0.48201439 0.53397282 0.51159073
 0.47082334 0.51638689 0.51638689 0.5059952 ]";42.9$\pm$14.39;"[0.57234213 0.48361311 0.48121503 0.52278177 0.14468425 0.49880096
 0.4676259  0.14948042 0.50039968 0.46922462]";22.81$\pm$1.1;"[0.21342926 0.23421263 0.22621902 0.22701839 0.2509992  0.2246203
 0.22621902 0.22621902 0.23980815 0.21183054]";53.16$\pm$2.81;"[0.59392486 0.4940048  0.53397282 0.54596323 0.54676259 0.51478817
 0.52677858 0.4980016  0.54996003 0.51159073]"
Hits@100;66.23$\pm$1.87;"[0.70423661 0.65627498 0.6618705  0.64668265 0.68265388 0.63709033
 0.64748201 0.66666667 0.65067946 0.66906475]";64.48$\pm$2.28;"[0.69784173 0.62509992 0.6314948  0.627498   0.67066347 0.63229416
 0.62589928 0.65867306 0.64508393 0.63309353]";64.15$\pm$2.19;"[0.68665068 0.64908074 0.6498801  0.64348521 0.63948841 0.63309353
 0.61550759 0.66426859 0.62509992 0.60831335]";35.32$\pm$15.99;"[0.6882494  0.65547562 0.27498002 0.2853717  0.29336531 0.26538769
 0.25179856 0.27418066 0.27418066 0.26858513]";66.37$\pm$2.23;"[0.69864109 0.66426859 0.65227818 0.66426859 0.69704237 0.66586731
 0.63709033 0.67545963 0.65867306 0.6235012 ]";26.23$\pm$1.42;"[0.24380496 0.25819345 0.25419664 0.26298961 0.29496403 0.25339728
 0.26378897 0.25819345 0.28057554 0.25259792]";60.07$\pm$5.87;"[0.70743405 0.62110312 0.58033573 0.55555556 0.6882494  0.58353317
 0.5931255  0.62030376 0.55555556 0.5019984 ]";65.7$\pm$2.24;"[0.70983213 0.66666667 0.64508393 0.62989608 0.67226219 0.63868905
 0.64668265 0.67066347 0.65307754 0.63709033]";65.79$\pm$1.79;"[0.69144684 0.65307754 0.65067946 0.63389289 0.67306155 0.6314948
 0.65147882 0.67865707 0.6538769  0.66107114]";39.23$\pm$32.08;"[0.69464428 0.         0.63629097 0.62509992 0.67146283 0.65147882
 0.64428457 0.         0.         0.        ]";65.36$\pm$2.83;"[0.70023981 0.67386091 0.6498801  0.63469225 0.67466027 0.62509992
 0.64108713 0.6842526  0.6498801  0.60191847]";26.23$\pm$1.42;"[0.24380496 0.25819345 0.25419664 0.26298961 0.29496403 0.25339728
 0.26378897 0.25819345 0.28057554 0.25259792]";65.28$\pm$1.95;"[0.69704237 0.64908074 0.64108713 0.62270184 0.66346922 0.64508393
 0.64188649 0.67066347 0.64028777 0.65707434]";65.68$\pm$2.09;"[0.70023981 0.64108713 0.64108713 0.6498801  0.67306155 0.62509992
 0.63948841 0.67466027 0.66346922 0.65947242]";54.19$\pm$10.45;"[0.69944045 0.42126299 0.57873701 0.64908074 0.51079137 0.45803357
 0.49640288 0.67386091 0.37090328 0.56035172]";66.76$\pm$2.0;"[0.70023981 0.67545963 0.65067946 0.63389289 0.69704237 0.66107114
 0.64748201 0.67785771 0.66266986 0.66986411]";66.51$\pm$2.87;"[0.7146283  0.63709033 0.63469225 0.63229416 0.71542766 0.65147882
 0.6538769  0.67066347 0.67625899 0.66426859]";65.72$\pm$2.45;"[0.70583533 0.66346922 0.65707434 0.64748201 0.66986411 0.63069544
 0.64908074 0.67466027 0.66346922 0.60991207]";41.69$\pm$17.66;"[0.71702638 0.2853717  0.32533973 0.64508393 0.30135891 0.30855316
 0.33892886 0.68984812 0.27817746 0.27897682]";64.92$\pm$2.1;"[0.69784173 0.6538769  0.64508393 0.63229416 0.66346922 0.63229416
 0.62430056 0.66746603 0.63709033 0.63868905]";64.38$\pm$1.93;"[0.68265388 0.61790568 0.64908074 0.62430056 0.66027178 0.64828137
 0.63469225 0.65467626 0.64748201 0.61870504]";56.39$\pm$16.17;"[0.69384492 0.62589928 0.63229416 0.65067946 0.2166267  0.62430056
 0.6314948  0.27098321 0.63948841 0.6538769 ]";26.23$\pm$1.42;"[0.24380496 0.25819345 0.25419664 0.26298961 0.29496403 0.25339728
 0.26378897 0.25819345 0.28057554 0.25259792]";65.73$\pm$2.72;"[0.69864109 0.62989608 0.64668265 0.67386091 0.68665068 0.65947242
 0.64348521 0.60431655 0.68185452 0.64828137]"
ROCAUC;85.06$\pm$0.71;"[0.85952405 0.85062278 0.84301416 0.8416608  0.86241734 0.85038923
 0.84362246 0.85944929 0.84558221 0.84927422]";83.64$\pm$0.87;"[0.85105824 0.83558988 0.83319436 0.82479181 0.85415089 0.83181289
 0.83106592 0.83768445 0.83190298 0.83324356]";83.09$\pm$0.72;"[0.84313301 0.82831704 0.82494931 0.8261311  0.84527997 0.82331577
 0.82697679 0.83252151 0.83158222 0.82713685]";56.63$\pm$13.83;"[0.84779243 0.83616432 0.50671022 0.51219328 0.50813578 0.48170448
 0.48443867 0.48565528 0.50729297 0.49304633]";85.16$\pm$0.73;"[0.84901735 0.84990361 0.84566783 0.84604291 0.86728762 0.85367038
 0.8458001  0.8568953  0.85948955 0.8427132 ]";60.06$\pm$1.19;"[0.57659644 0.59459067 0.59420537 0.61469034 0.61157916 0.59305457
 0.59074211 0.60722517 0.61310376 0.60986479]";83.28$\pm$2.32;"[0.8648921  0.84178349 0.82195858 0.80187648 0.87275663 0.82735762
 0.83624036 0.84484962 0.81810107 0.79833399]";85.23$\pm$0.8;"[0.8620397  0.852556   0.83990042 0.84140713 0.86689657 0.85131192
 0.85083141 0.85895664 0.849933   0.84946272]";85.33$\pm$0.68;"[0.86404545 0.85172661 0.85083492 0.8418247  0.86316494 0.85122853
 0.84620202 0.86008188 0.85373683 0.85051703]";72.31$\pm$18.23;"[0.88236493 0.5        0.86837836 0.85898475 0.87936813 0.87266558
 0.86944226 0.5        0.5        0.5       ]";85.48$\pm$1.03;"[0.87161478 0.85790744 0.85559179 0.84928029 0.8674544  0.84527933
 0.84567039 0.86365248 0.85444802 0.83679883]";60.06$\pm$1.19;"[0.57659644 0.59459067 0.59420537 0.61469034 0.61157916 0.59305457
 0.59074211 0.60722517 0.61310376 0.60986479]";86.99$\pm$0.62;"[0.88255599 0.86773044 0.8692052  0.85757709 0.87478698 0.87057644
 0.86912532 0.87413203 0.86557964 0.86723778]";83.98$\pm$0.73;"[0.84995984 0.84016176 0.8397148  0.82955282 0.85164291 0.83695026
 0.83830937 0.83637614 0.82919116 0.8463215 ]";76.03$\pm$7.7;"[0.86416878 0.66236539 0.76813433 0.84521863 0.75050655 0.71924938
 0.73491135 0.85435281 0.61965264 0.78463177]";86.28$\pm$0.71;"[0.8649135  0.86501159 0.85982373 0.84846463 0.87757803 0.8675151
 0.86284482 0.85661734 0.86291446 0.86235919]";87.29$\pm$0.64;"[0.88229081 0.86880583 0.87101158 0.86236814 0.88035407 0.87612979
 0.87012596 0.88068506 0.87124353 0.86596782]";84.68$\pm$1.73;"[0.86689913 0.85067997 0.84571511 0.83494451 0.86139945 0.84911639
 0.85597837 0.85483012 0.84682374 0.8015145 ]";73.62$\pm$8.64;"[0.87667164 0.68405675 0.68020755 0.85760456 0.68091841 0.67491107
 0.68692161 0.86888507 0.68527784 0.66614015]";83.79$\pm$1.25;"[0.85929498 0.83676464 0.82582887 0.83883333 0.85346303 0.83463205
 0.813572   0.84774003 0.83615346 0.83320777]";82.82$\pm$1.0;"[0.84602949 0.83238126 0.81576178 0.8165212  0.84570936 0.8265164
 0.82447998 0.82631129 0.82211066 0.82643398]";79.63$\pm$7.75;"[0.84740169 0.82591641 0.82781928 0.83925857 0.61592485 0.83319563
 0.83151321 0.6716328  0.83095602 0.83958285]";60.06$\pm$1.19;"[0.57659644 0.59459067 0.59420537 0.61469034 0.61157916 0.59305457
 0.59074211 0.60722517 0.61310376 0.60986479]";84.75$\pm$1.75;"[0.86422117 0.82255091 0.83230043 0.85802245 0.86091127 0.85854961
 0.85177358 0.8123867  0.86397453 0.8498576 ]"
AP;87.31$\pm$0.63;"[0.87899117 0.87073615 0.86951962 0.86790318 0.88376274 0.87230507
 0.86487288 0.88263558 0.87392979 0.86633183]";84.68$\pm$0.93;"[0.85978324 0.84092847 0.8404216  0.83844817 0.86358981 0.84188748
 0.83795902 0.85872462 0.84268235 0.8439419 ]";85.91$\pm$0.66;"[0.87131291 0.857479   0.85992538 0.85773855 0.86636793 0.8535758
 0.85087199 0.86557542 0.85825609 0.84990982]";67.49$\pm$9.79;"[0.87466438 0.8654529  0.63139872 0.63627174 0.63621246 0.61784905
 0.61071341 0.62161216 0.63170438 0.62345811]";87.33$\pm$0.87;"[0.87458946 0.86733351 0.8700509  0.87120096 0.88750868 0.87523456
 0.86343504 0.88067514 0.88477831 0.85847722]";66.28$\pm$0.82;"[0.64627945 0.66148458 0.65923059 0.66994012 0.67761638 0.65595098
 0.65901076 0.66487693 0.66893289 0.66515843]";84.05$\pm$2.37;"[0.87234234 0.8458261  0.82520917 0.81470244 0.88567905 0.833852
 0.83905328 0.85629099 0.82495937 0.80712453]";87.26$\pm$0.72;"[0.88195665 0.87033364 0.86479414 0.86540092 0.88423793 0.87230676
 0.86939143 0.88097364 0.8736633  0.86269233]";87.35$\pm$0.67;"[0.88127615 0.86990734 0.8732494  0.86494332 0.88287242 0.87185556
 0.86624579 0.88171384 0.87804651 0.86492271]";73.03$\pm$18.81;"[0.89181996 0.5        0.88093809 0.87242356 0.89175625 0.8860638
 0.87984181 0.5        0.5        0.5       ]";87.35$\pm$0.98;"[0.88788983 0.8738407  0.87638343 0.8697781  0.88245538 0.86813204
 0.8674488  0.8824823  0.87508583 0.8510147 ]";66.28$\pm$0.82;"[0.64627945 0.66148458 0.65923059 0.66994012 0.67761638 0.65595098
 0.65901076 0.66487693 0.66893289 0.66515843]";88.25$\pm$0.61;"[0.89241689 0.87776869 0.88157304 0.87302996 0.88912107 0.8848363
 0.88040617 0.88858469 0.88320492 0.8744911 ]";86.59$\pm$0.48;"[0.87329329 0.8607868  0.86593826 0.86040725 0.87553666 0.86465906
 0.86171912 0.86814985 0.86487228 0.86351148]";81.04$\pm$5.6;"[0.88252182 0.73671105 0.82096178 0.87158514 0.8021888  0.78448483
 0.79319827 0.87886723 0.70623145 0.82724943]";87.96$\pm$0.58;"[0.88289139 0.87788239 0.87836715 0.87061493 0.89161312 0.88331976
 0.87709641 0.88012189 0.88238574 0.87133423]";88.54$\pm$0.77;"[0.89371152 0.87766581 0.88318908 0.8757145  0.8967039  0.88943396
 0.8822947  0.89318057 0.8886916  0.87358183]";87.06$\pm$1.15;"[0.8838736  0.87007392 0.87095157 0.86331691 0.88033711 0.87117155
 0.87333758 0.87938473 0.87334897 0.84042421]";75.43$\pm$8.61;"[0.89103173 0.69468596 0.70954585 0.87554571 0.69964834 0.69944059
 0.71912203 0.88748592 0.68083078 0.68530199]";86.51$\pm$0.94;"[0.88046002 0.86260472 0.85745237 0.86595171 0.87381585 0.86190552
 0.8494107  0.87732858 0.86636808 0.85557744]";85.86$\pm$0.81;"[0.87044865 0.85628834 0.85458779 0.85174579 0.87310254 0.85981132
 0.84981981 0.86294755 0.86063607 0.84676473]";81.95$\pm$8.11;"[0.86946446 0.85127988 0.85797485 0.86462604 0.64203945 0.85940397
 0.85553317 0.67461284 0.86239514 0.85806155]";66.28$\pm$0.82;"[0.64627945 0.66148458 0.65923059 0.66994012 0.67761638 0.65595098
 0.65901076 0.66487693 0.66893289 0.66515843]";87.23$\pm$1.11;"[0.88222601 0.85523537 0.86586561 0.8781537  0.8833414  0.87955434
 0.87130239 0.8526731  0.88607479 0.86831429]"
pretrain_time;nan$\pm$nan;[];37.12$\pm$0.01;"[37.1150043  37.13273072 37.11804461 37.1166265  37.12504363 37.12754679
 37.11569428 37.1162281  37.12455058 37.1241653 ]";45.8$\pm$0.02;"[45.79873109 45.83456159 45.77629757 45.79162478 45.80083346 45.82181811
 45.79460073 45.77988887 45.80808687 45.81425667]";19.3$\pm$0.01;"[19.29081655 19.29020023 19.29970121 19.29941916 19.28337312 19.29281425
 19.31049061 19.31415963 19.29344177 19.32614112]";10.7$\pm$0.02;"[10.68049955 10.66953254 10.68584943 10.71071982 10.70858788 10.71094131
 10.71246815 10.71775961 10.70452094 10.6896615 ]";nan$\pm$nan;[];13.46$\pm$0.06;"[13.44246197 13.46169806 13.42902327 13.42801428 13.3993082  13.37026072
 13.53243351 13.47271657 13.54416108 13.54063869]";22.04$\pm$0.02;"[22.03066254 22.04571819 22.05772376 22.02403545 22.05493784 22.00087738
 22.0608108  22.04079652 22.02037621 22.05564928]";6.3$\pm$0.01;"[6.28495669 6.30870676 6.30785251 6.28000546 6.29855561 6.29985499
 6.29841781 6.27873063 6.30752945 6.29964185]";34.37$\pm$0.07;"[34.25580955 34.41475034 34.3815825  34.27898479 34.42483187 34.43863821
 34.41839814 34.27910542 34.40940785 34.38439918]";16.59$\pm$0.02;"[16.58363771 16.61620259 16.60139728 16.58883262 16.57618046 16.61888194
 16.61270642 16.58843088 16.57215285 16.56334877]";nan$\pm$nan;[];183.88$\pm$0.5;"[183.96745872 184.62231708 184.2489512  184.07429481 184.27216148
 184.26909542 183.69125962 182.87168455 183.49283171 183.3328321 ]";95.8$\pm$13.21;"[ 75.57670927 104.379843   104.32378745  75.73812199 104.33631182
 104.9787972  104.69441199  75.55913424 104.20771718 104.17453361]";136.43$\pm$9.01;"[122.75772214 142.21961117 142.30287766 122.50466514 142.71250343
 142.92992187 142.44867563 122.75090647 141.90556741 141.72951388]";124.33$\pm$5.09;"[116.62809563 127.95494008 127.28492808 116.53847337 127.62222981
 127.79097486 127.68410945 116.52900815 127.58546472 127.72840953]";187.4$\pm$2.67;"[183.1855464  189.41084909 189.43970418 183.27100086 189.09217644
 189.14174962 189.17817569 183.55623341 188.8965838  188.8266995 ]";114.26$\pm$0.17;"[114.38825965 114.49845886 114.37643647 114.47235584 114.28111386
 114.02780581 114.14840126 114.02416086 114.28801084 114.08726454]";23.89$\pm$5.56;"[15.41463852 27.51850581 27.52114058 15.39202809 27.51766014 27.52576518
 27.5487833  15.41676188 27.49792838 27.57933664]";42.57$\pm$3.56;"[37.00723958 45.24472833 45.46787953 37.01579952 44.48191261 44.75611448
 44.86332464 37.44594812 45.01427436 44.44693923]";40.81$\pm$9.89;"[25.62568879 47.8896997  46.00497246 25.73661971 47.43775487 47.64017534
 47.38667655 25.81033444 47.22709918 47.34111643]";115.53$\pm$4.13;"[109.60567856 118.65574193 118.56890583 108.71359563 117.55933928
 118.29201365 118.67190909 109.45061302 117.96165895 117.80739498]";nan$\pm$nan;[];129.57$\pm$0.31;"[129.29612875 129.99663639 129.08550906 129.59086466 129.68008065
 130.16773105 129.66212463 129.42042494 129.45850563 129.33317327]"
