metrics;agrace,enc:gcn_ncn,pred:mlp,random_mean;agrace,enc:gcn_ncn,pred:mlp,random;agrace,enc:gcn_ncn,pred:mlp,deg_mean;agrace,enc:gcn_ncn,pred:mlp,deg;agrace,enc:gcn_ncn,pred:mlp,evc_mean;agrace,enc:gcn_ncn,pred:mlp,evc;agrace,enc:gcn_ncn,pred:mlp,pr_mean;agrace,enc:gcn_ncn,pred:mlp,pr;abgrl,enc:gcn_ncn,pred:mlp,random_mean;abgrl,enc:gcn_ncn,pred:mlp,random;abgrl,enc:gcn_ncn,pred:mlp,deg_mean;abgrl,enc:gcn_ncn,pred:mlp,deg;abgrl,enc:gcn_ncn,pred:mlp,evc_mean;abgrl,enc:gcn_ncn,pred:mlp,evc
Hits@10;71.98$\pm$3.06;"[0.73738238 0.69931565 0.65355004 0.72155689 0.73652695 0.70915312
 0.70145423 0.7245509  0.73866553 0.77587682]";73.13$\pm$2.93;"[0.72754491 0.6578272  0.71642429 0.71984602 0.73652695 0.73438837
 0.76518392 0.73695466 0.75278015 0.76518392]";76.08$\pm$1.85;"[0.74465355 0.74721985 0.73866553 0.74721985 0.74080411 0.78785287
 0.76347305 0.78699743 0.77887083 0.77245509]";72.86$\pm$3.3;"[0.67579127 0.70615911 0.68562874 0.69974337 0.74294269 0.76988879
 0.73438837 0.74807528 0.74721985 0.77587682]";67.68$\pm$3.27;"[0.70017109 0.62403764 0.64200171 0.68391788 0.6578272  0.68648417
 0.71300257 0.69931565 0.63686912 0.72412318]";64.7$\pm$6.59;"[0.64371257 0.58468777 0.68520103 0.57399487 0.61291702 0.65911035
 0.54319932 0.67408041 0.73652695 0.75620188]";70.02$\pm$1.43;"[0.69803251 0.6685201  0.69546621 0.69931565 0.72412318 0.70744226
 0.69375535 0.69803251 0.69888794 0.71856287]"
Hits@20;78.24$\pm$1.81;"[0.76432849 0.76518392 0.74807528 0.77715997 0.79897348 0.79597947
 0.79170231 0.79084688 0.78015398 0.81137725]";79.5$\pm$1.4;"[0.80624465 0.77331052 0.7968349  0.79811805 0.77673225 0.80239521
 0.79041916 0.78272027 0.80111206 0.82249786]";80.42$\pm$1.04;"[0.7968349  0.79041916 0.78828058 0.79426861 0.81180496 0.81180496
 0.80923867 0.81608212 0.80496151 0.8182207 ]";79.6$\pm$1.62;"[0.76432849 0.78956373 0.78956373 0.78314799 0.78699743 0.81479897
 0.80838323 0.79982891 0.79982891 0.82378101]";76.39$\pm$2.16;"[0.76946108 0.73823781 0.71685201 0.77074423 0.76090676 0.78656972
 0.76176219 0.76176219 0.77587682 0.79640719]";74.47$\pm$3.51;"[0.78956373 0.6924722  0.76390077 0.72112917 0.71770744 0.75021386
 0.70530368 0.73053892 0.77459367 0.80196749]";77.72$\pm$2.35;"[0.77373824 0.76432849 0.75320787 0.75363559 0.80624465 0.78229256
 0.80538922 0.78485885 0.73866553 0.80923867]"
Hits@50;83.54$\pm$0.93;"[0.83019675 0.81736527 0.83019675 0.83276305 0.82848589 0.84644996
 0.84345595 0.83875107 0.83575706 0.85072712]";83.73$\pm$0.92;"[0.83575706 0.82335329 0.83618477 0.8421728  0.82335329 0.84388366
 0.84260051 0.82976903 0.84174508 0.85414885]";83.8$\pm$0.55;"[0.83062447 0.83361848 0.8396065  0.83618477 0.8289136  0.84131737
 0.84003422 0.84473909 0.83832335 0.84687767]";84.2$\pm$0.64;"[0.83447391 0.83789564 0.83875107 0.83832335 0.83361848 0.84944397
 0.84858854 0.84602224 0.8396065  0.8528657 ]";81.95$\pm$0.98;"[0.81437126 0.81565441 0.80624465 0.82763045 0.80710009 0.83789564
 0.81522669 0.82121471 0.81736527 0.83233533]";81.52$\pm$2.51;"[0.83618477 0.78186484 0.83105218 0.83704021 0.78357571 0.8075278
 0.78186484 0.80410607 0.8421728  0.84644996]";84.11$\pm$0.89;"[0.82934132 0.84431138 0.82720274 0.84473909 0.84046193 0.85115483
 0.84602224 0.83447391 0.83618477 0.85671514]"
Hits@100;85.83$\pm$0.6;"[0.8528657  0.84816082 0.85543199 0.85970915 0.8528657  0.86869119
 0.86227545 0.85928144 0.85757057 0.86655261]";85.84$\pm$0.51;"[0.85500428 0.85115483 0.85757057 0.85970915 0.85201027 0.86313088
 0.86484175 0.8528657  0.86227545 0.86526946]";85.52$\pm$0.49;"[0.84987169 0.85928144 0.85243798 0.85842601 0.84388366 0.85799829
 0.8609923  0.85628743 0.85543199 0.85757057]";85.94$\pm$0.51;"[0.85372113 0.85714286 0.85970915 0.86013687 0.84773311 0.86313088
 0.86398631 0.86056459 0.86184773 0.86569718]";84.63$\pm$0.72;"[0.84046193 0.84816082 0.84174508 0.85072712 0.83361848 0.85757057
 0.84730539 0.84088965 0.84559453 0.85714286]";84.95$\pm$1.09;"[0.84944397 0.84088965 0.8528657  0.85970915 0.83404619 0.84687767
 0.83704021 0.8421728  0.86826347 0.8635586 ]";86.33$\pm$0.48;"[0.85799829 0.8609923  0.86313088 0.86869119 0.85671514 0.87082977
 0.86783576 0.85842601 0.86142002 0.86740804]"
ROCAUC;92.67$\pm$0.31;"[0.92511403 0.92443824 0.92467092 0.92457481 0.92158537 0.92751494
 0.92900372 0.92884401 0.93276517 0.92880889]";91.54$\pm$0.42;"[0.91409083 0.91085908 0.90777641 0.9184579  0.91412302 0.91782017
 0.92329322 0.91320786 0.91849449 0.91545529]";91.74$\pm$0.26;"[0.91696895 0.91707523 0.91640193 0.92066801 0.91352334 0.91980782
 0.92032079 0.91702438 0.91958894 0.91262867]";91.88$\pm$0.4;"[0.91728031 0.91699895 0.91544584 0.91973922 0.91038234 0.92105384
 0.92501487 0.9204655  0.9236913  0.91842296]";93.09$\pm$0.4;"[0.92477394 0.9314994  0.92438669 0.93039169 0.92753964 0.93502531
 0.93611765 0.93111294 0.93542678 0.9330619 ]";92.23$\pm$0.41;"[0.91982886 0.92506921 0.91595353 0.91849879 0.92330465 0.92718217
 0.92699722 0.92760678 0.92168196 0.91701002]";92.08$\pm$0.39;"[0.91724939 0.91815696 0.91788072 0.91934224 0.91647665 0.92371014
 0.93012862 0.92273708 0.92103664 0.92100371]"
AP;95.17$\pm$0.25;"[0.9507905  0.9474273  0.94928516 0.95053217 0.94919958 0.95375572
 0.95411364 0.95348116 0.95565231 0.95315077]";94.78$\pm$0.22;"[0.94608601 0.94487823 0.94456954 0.94950067 0.94619432 0.94945921
 0.9516131  0.94748094 0.94992092 0.94800262]";94.84$\pm$0.18;"[0.9478533  0.94811056 0.94792502 0.95008455 0.94441236 0.95048026
 0.95011688 0.9485364  0.95003801 0.94693432]";94.91$\pm$0.24;"[0.94757224 0.94758045 0.9477021  0.94921809 0.9441375  0.95113374
 0.95228398 0.95043676 0.95191213 0.94946684]";95.28$\pm$0.25;"[0.94875718 0.95203196 0.94916593 0.95320645 0.9502974  0.95564467
 0.95589729 0.952995   0.95440745 0.95513475]";94.9$\pm$0.17;"[0.94765929 0.94861136 0.94687122 0.94791566 0.94761409 0.95164085
 0.94987367 0.95163765 0.9506495  0.94723827]";95.01$\pm$0.22;"[0.94830276 0.94804318 0.94859696 0.94900464 0.94751878 0.95202889
 0.95492947 0.95156635 0.95030519 0.95085909]"
pretrain_time;15.34$\pm$0.08;"[15.49643874 15.33888865 15.35449123 15.37485862 15.30031395 15.26466751
 15.4301312  15.22399354 15.29547596 15.32403255]";118.05$\pm$1.23;"[117.73144913 116.90814972 117.08610368 121.12256312 117.59841824
 119.19796896 116.75125432 118.19334292 118.29838824 117.6583302 ]";84.51$\pm$0.37;"[84.97948384 84.22433949 84.78970599 84.88246131 83.96406007 84.20330453
 84.2111814  84.13961053 84.86592698 84.86635494]";73.18$\pm$1.44;"[75.55184507 71.36788893 73.40562177 73.74971437 71.59316397 72.10247827
 75.50397182 73.97316003 72.28627849 72.23532796]";66.42$\pm$1.27;"[66.3696394  67.11967063 66.09103942 68.17437172 65.43490505 68.3320446
 66.37849832 64.50727725 67.22505331 64.5388093 ]";85.8$\pm$0.79;"[84.53073668 86.07233691 86.59561801 86.01126838 85.0430119  85.06841779
 85.98388982 85.04715037 86.57379103 87.08141088]";126.77$\pm$2.94;"[130.00219011 132.02037668 127.5812335  126.64750648 123.83670807
 123.32468796 128.28926444 124.64318681 122.68953133 128.65971375]"
