metrics;agrace,enc:gcn_ncn,pred:mlp,random_mean;agrace,enc:gcn_ncn,pred:mlp,random;agrace,enc:gcn_ncn,pred:mlp,deg_mean;agrace,enc:gcn_ncn,pred:mlp,deg;agrace,enc:gcn_ncn,pred:mlp,evc_mean;agrace,enc:gcn_ncn,pred:mlp,evc;agrace,enc:gcn_ncn,pred:mlp,pr_mean;agrace,enc:gcn_ncn,pred:mlp,pr;abgrl,enc:gcn_ncn,pred:mlp,random_mean;abgrl,enc:gcn_ncn,pred:mlp,random;abgrl,enc:gcn_ncn,pred:mlp,deg_mean;abgrl,enc:gcn_ncn,pred:mlp,deg;abgrl,enc:gcn_ncn,pred:mlp,evc_mean;abgrl,enc:gcn_ncn,pred:mlp,evc;abgrl,enc:gcn_ncn,pred:mlp,pr_mean;abgrl,enc:gcn_ncn,pred:mlp,pr
Hits@10;45.53$\pm$4.88;"[0.54175824 0.49450549 0.48571429 0.47472527 0.45824176 0.4010989
 0.39010989 0.37802198 0.47362637 0.45494505]";53.16$\pm$4.55;"[0.57252747 0.56263736 0.52087912 0.6010989  0.47142857 0.53846154
 0.49230769 0.51428571 0.58241758 0.46043956]";71.07$\pm$4.84;"[0.72417582 0.68901099 0.77142857 0.72307692 0.75934066 0.71538462
 0.59450549 0.66483516 0.73516484 0.72967033]";58.26$\pm$4.43;"[0.55164835 0.61208791 0.56483516 0.66483516 0.64835165 0.50769231
 0.56923077 0.56923077 0.57582418 0.56263736]";55.38$\pm$4.72;"[0.54835165 0.54065934 0.57252747 0.62527473 0.54395604 0.4989011
 0.49120879 0.62417582 0.59450549 0.4989011 ]";53.87$\pm$15.61;"[0.66813187 0.46593407 0.65494505 0.65934066 0.58241758 0.36703297
 0.52197802 0.16813187 0.64285714 0.65604396]";52.63$\pm$11.27;"[0.68351648 0.34945055 0.61098901 0.53956044 0.59450549 0.57142857
 0.34175824 0.40879121 0.62087912 0.54175824]";54.91$\pm$3.4;"[0.57032967 0.52307692 0.56593407 0.6021978  0.53186813 0.51538462
 0.48901099 0.53846154 0.59450549 0.56043956]"
Hits@20;58.34$\pm$4.92;"[0.62527473 0.58901099 0.58571429 0.64395604 0.59340659 0.57692308
 0.53076923 0.48791209 0.65604396 0.54505495]";66.51$\pm$4.29;"[0.65824176 0.64285714 0.64175824 0.75824176 0.67362637 0.68681319
 0.59230769 0.67582418 0.6967033  0.62417582]";78.78$\pm$2.78;"[0.81318681 0.75274725 0.80989011 0.79230769 0.80989011 0.79120879
 0.72307692 0.78901099 0.81318681 0.78351648]";68.74$\pm$3.37;"[0.71318681 0.69340659 0.66043956 0.73406593 0.68681319 0.64065934
 0.68131868 0.67362637 0.74615385 0.64395604]";68.36$\pm$4.83;"[0.67912088 0.6967033  0.73406593 0.75164835 0.63736264 0.65604396
 0.5956044  0.72747253 0.71978022 0.63846154]";64.56$\pm$16.99;"[0.73076923 0.56483516 0.76483516 0.80769231 0.72527473 0.46703297
 0.68241758 0.22747253 0.76593407 0.71978022]";62.67$\pm$9.92;"[0.73516484 0.48021978 0.72197802 0.62857143 0.67032967 0.71318681
 0.44945055 0.52527473 0.69450549 0.64835165]";67.6$\pm$3.02;"[0.69450549 0.64725275 0.68901099 0.71428571 0.65604396 0.68901099
 0.60769231 0.68901099 0.70549451 0.66813187]"
Hits@50;76.65$\pm$4.39;"[0.75494505 0.76483516 0.75934066 0.81868132 0.76703297 0.80769231
 0.70989011 0.68681319 0.83736264 0.75824176]";81.98$\pm$2.52;"[0.79340659 0.82857143 0.84175824 0.84835165 0.81318681 0.83406593
 0.77252747 0.82417582 0.85054945 0.79120879]";86.46$\pm$1.52;"[0.87252747 0.85714286 0.87252747 0.86593407 0.87362637 0.86923077
 0.83186813 0.88021978 0.88021978 0.84285714]";82.98$\pm$2.32;"[0.85384615 0.81648352 0.84505495 0.85164835 0.82857143 0.78791209
 0.80549451 0.81428571 0.86593407 0.82857143]";82.43$\pm$3.45;"[0.82967033 0.82527473 0.86483516 0.87362637 0.8021978  0.80879121
 0.75274725 0.83076923 0.85824176 0.7967033 ]";77.33$\pm$16.05;"[0.83516484 0.76373626 0.88571429 0.89450549 0.85934066 0.64175824
 0.80989011 0.34065934 0.87362637 0.82857143]";79.8$\pm$7.34;"[0.84835165 0.64725275 0.86593407 0.83406593 0.8032967  0.86593407
 0.67802198 0.77252747 0.85054945 0.81428571]";83.11$\pm$2.31;"[0.82417582 0.82967033 0.85054945 0.86043956 0.83516484 0.82747253
 0.77582418 0.83736264 0.85604396 0.81428571]"
Hits@100;88.71$\pm$1.7;"[0.88351648 0.88901099 0.88681319 0.90769231 0.88131868 0.89450549
 0.86593407 0.87802198 0.92197802 0.86263736]";89.16$\pm$1.24;"[0.90879121 0.88681319 0.89340659 0.8956044  0.88021978 0.90659341
 0.87142857 0.8956044  0.9032967  0.87472527]";91.56$\pm$1.05;"[0.91868132 0.91758242 0.93296703 0.91538462 0.91098901 0.90769231
 0.89340659 0.92747253 0.92197802 0.90989011]";90.67$\pm$1.07;"[0.91208791 0.91538462 0.92417582 0.91758242 0.9021978  0.8956044
 0.88571429 0.90549451 0.90769231 0.9010989 ]";90.51$\pm$1.91;"[0.91428571 0.90549451 0.91978022 0.92857143 0.88681319 0.89450549
 0.86483516 0.9043956  0.93186813 0.9       ]";85.67$\pm$13.14;"[0.91318681 0.87032967 0.93846154 0.94065934 0.91428571 0.79340659
 0.88021978 0.48241758 0.92747253 0.90659341]";88.55$\pm$4.12;"[0.9010989  0.78461538 0.92307692 0.89010989 0.89230769 0.91648352
 0.83406593 0.88901099 0.91758242 0.90659341]";91.35$\pm$1.62;"[0.90769231 0.8956044  0.92857143 0.93846154 0.91648352 0.91648352
 0.87912088 0.92197802 0.92417582 0.90659341]"
ROCAUC;95.44$\pm$0.54;"[0.95594493 0.95544862 0.95617452 0.95849294 0.9540611  0.95660307
 0.94420118 0.94663809 0.96399981 0.95248883]";94.93$\pm$0.58;"[0.95889748 0.94142857 0.9481691  0.9522286  0.94106569 0.95436783
 0.94679145 0.95109045 0.9554673  0.94336312]";96.65$\pm$0.36;"[0.9703502  0.96244053 0.97256374 0.96500423 0.96618283 0.96761502
 0.96057119 0.96623958 0.97021482 0.96378094]";95.99$\pm$0.31;"[0.95987441 0.95976211 0.96058584 0.96570221 0.96110434 0.95653786
 0.95416013 0.95975728 0.96363472 0.95787224]";96.31$\pm$0.51;"[0.96580848 0.96371815 0.96855136 0.96649922 0.95953931 0.96222135
 0.95196474 0.96571127 0.96940908 0.95768627]";94.54$\pm$4.54;"[0.96640623 0.95063036 0.96971796 0.96948195 0.96732399 0.92896269
 0.95313851 0.81435092 0.9712702  0.96243811]";95.52$\pm$1.19;"[0.96534839 0.93216157 0.96670173 0.95441613 0.95899831 0.96701244
 0.93560319 0.94999758 0.96392002 0.95817413]";96.17$\pm$0.43;"[0.96390774 0.95783239 0.96476384 0.96382683 0.96331663 0.96247434
 0.95218693 0.96204323 0.96844377 0.95867166]"
AP;95.21$\pm$0.63;"[0.95463422 0.95448948 0.95301082 0.95993398 0.95156655 0.95261979
 0.94126284 0.94142802 0.96173289 0.95066247]";95.34$\pm$0.52;"[0.96019166 0.94875311 0.95184545 0.95936024 0.94826508 0.95558344
 0.94581695 0.95575809 0.95993476 0.94858383]";97.06$\pm$0.38;"[0.97430513 0.96845738 0.97680444 0.96984146 0.96988524 0.97138377
 0.96281036 0.97007642 0.97465592 0.96757638]";96.12$\pm$0.35;"[0.96232598 0.96157703 0.96003473 0.96769113 0.96151873 0.95638858
 0.95598805 0.96138452 0.96610622 0.95909161]";96.33$\pm$0.55;"[0.96576512 0.96464969 0.96959024 0.9692054  0.95870849 0.96098576
 0.95236442 0.96412632 0.96985251 0.95803229]";94.55$\pm$4.86;"[0.96781567 0.948068   0.97235475 0.97332832 0.96897771 0.92707269
 0.95529818 0.80569831 0.97277789 0.9637127 ]";95.47$\pm$1.47;"[0.96876573 0.92780447 0.96758204 0.95609621 0.96003014 0.96792384
 0.92880784 0.94654728 0.96487356 0.95902604]";96.26$\pm$0.42;"[0.96484374 0.96041949 0.9659358  0.9667733  0.96305743 0.96281717
 0.95274892 0.96124821 0.96839321 0.95996872]"
pretrain_time;9.58$\pm$0.37;"[ 9.29955745  9.41444683  9.72336602  9.35059595  9.4652462   9.41134071
  9.91058159 10.55382204  9.3788023   9.31847763]";16.34$\pm$0.69;"[15.72922254 15.60669732 15.84558272 16.92646837 16.97525454 15.90070558
 16.51423621 16.23909211 17.87135553 15.79009557]";8.91$\pm$0.14;"[8.91482353 8.80409646 8.96777916 8.9119072  8.87728596 8.99270225
 8.7603271  8.71744084 8.88515258 9.23239231]";24.32$\pm$0.18;"[24.15060258 24.42139292 24.30405045 24.15469432 24.33210278 24.18149543
 24.72623205 24.13705325 24.53467107 24.24556994]";44.9$\pm$0.36;"[44.91804743 44.94821143 44.99332643 45.18142891 44.93139267 44.71110129
 45.66557622 44.32735586 44.9516449  44.41107893]";15.67$\pm$0.08;"[15.58251643 15.68552709 15.65823078 15.65153837 15.65906835 15.59897542
 15.56566215 15.69758081 15.77554917 15.84951186]";17.05$\pm$0.35;"[16.86477876 17.55899072 16.39899349 17.34044099 16.58681369 17.25547671
 16.94436598 17.36889958 17.20048118 16.97800565]";75.79$\pm$0.72;"[76.11329007 75.68004751 75.11465406 75.00511646 77.40681744 76.17029738
 76.22687793 74.81860209 75.50262332 75.88576508]"
