metrics;baseline,enc:gcn_ncn,pred:mlp_mean;baseline,enc:gcn_ncn,pred:mlp;grace,enc:gcn_ncn,pred:mlp,random_mean;grace,enc:gcn_ncn,pred:mlp,random;grace,enc:gcn_ncn,pred:mlp,deg_mean;grace,enc:gcn_ncn,pred:mlp,deg;grace,enc:gcn_ncn,pred:mlp,evc_mean;grace,enc:gcn_ncn,pred:mlp,evc;grace,enc:gcn_ncn,pred:mlp,pr_mean;grace,enc:gcn_ncn,pred:mlp,pr;infomap_prob_pred_mean;infomap_prob_pred;grace,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;grace,enc:gcn_ncn,pred:mlp,sbm_fast2;bgrl,enc:gcn_ncn,pred:mlp,random_mean;bgrl,enc:gcn_ncn,pred:mlp,random;bgrl,enc:gcn_ncn,pred:mlp,deg_mean;bgrl,enc:gcn_ncn,pred:mlp,deg;bgrl,enc:gcn_ncn,pred:mlp,evc_mean;bgrl,enc:gcn_ncn,pred:mlp,evc;bgrl,enc:gcn_ncn,pred:mlp,pr_mean;bgrl,enc:gcn_ncn,pred:mlp,pr;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_ncn,pred:mlp,sbm_fast2;lbgrl,enc:gcn_ncn,pred:mlp,random_mean;lbgrl,enc:gcn_ncn,pred:mlp,random;lbgrl,enc:gcn_ncn,pred:mlp,deg_mean;lbgrl,enc:gcn_ncn,pred:mlp,deg;lbgrl,enc:gcn_ncn,pred:mlp,evc_mean;lbgrl,enc:gcn_ncn,pred:mlp,evc;lbgrl,enc:gcn_ncn,pred:mlp,pr_mean;lbgrl,enc:gcn_ncn,pred:mlp,pr;lbgrl,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_ncn,pred:mlp,sbm_fast2;lgrace,enc:gcn_ncn,pred:mlp,random_mean;lgrace,enc:gcn_ncn,pred:mlp,random;lgrace,enc:gcn_ncn,pred:mlp,deg_mean;lgrace,enc:gcn_ncn,pred:mlp,deg;lgrace,enc:gcn_ncn,pred:mlp,evc_mean;lgrace,enc:gcn_ncn,pred:mlp,evc;lgrace,enc:gcn_ncn,pred:mlp,pr_mean;lgrace,enc:gcn_ncn,pred:mlp,pr;lgrace,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_ncn,pred:mlp,sbm_fast2
Hits@10;24.48$\pm$15.12;"[0.34265734 0.36363636 0.39393939 0.37762238 0.41724942 0.20745921
 0.         0.21445221 0.13053613 0.        ]";31.77$\pm$4.57;"[0.22843823 0.3030303  0.33566434 0.30536131 0.33566434 0.41258741
 0.31934732 0.3006993  0.35431235 0.28205128]";26.46$\pm$6.14;"[0.20512821 0.33799534 0.33566434 0.16550117 0.27738928 0.32634033
 0.28904429 0.28904429 0.17249417 0.24708625]";30.35$\pm$5.04;"[0.22144522 0.34498834 0.30769231 0.34965035 0.35431235 0.36596737
 0.29137529 0.29370629 0.29137529 0.21445221]";27.32$\pm$4.79;"[0.26340326 0.33566434 0.33333333 0.18181818 0.2960373  0.21445221
 0.29370629 0.25641026 0.24475524 0.31235431]";8.37$\pm$2.64;"[0.06993007 0.1048951  0.06526807 0.06993007 0.0955711  0.14219114
 0.09090909 0.06060606 0.04428904 0.09324009]";22.49$\pm$3.79;"[0.19114219 0.16783217 0.20979021 0.22377622 0.17948718 0.28438228
 0.26806527 0.21212121 0.26340326 0.24941725]";24.59$\pm$5.22;"[0.14918415 0.33566434 0.29370629 0.23310023 0.23310023 0.24475524
 0.23776224 0.17482517 0.27972028 0.27738928]";28.18$\pm$7.22;"[0.4032634  0.27505828 0.1981352  0.37529138 0.35431235 0.26573427
 0.24009324 0.2004662  0.30769231 0.1981352 ]";25.94$\pm$5.45;"[0.23543124 0.27505828 0.35198135 0.21445221 0.20745921 0.31934732
 0.33333333 0.22843823 0.18648019 0.24242424]";22.82$\pm$4.32;"[0.16550117 0.31235431 0.15850816 0.24009324 0.20979021 0.25407925
 0.24475524 0.24708625 0.24708625 0.2027972 ]";8.37$\pm$2.64;"[0.06993007 0.1048951  0.06526807 0.06993007 0.0955711  0.14219114
 0.09090909 0.06060606 0.04428904 0.09324009]";21.82$\pm$4.18;"[0.24941725 0.21212121 0.26340326 0.16550117 0.16317016 0.24242424
 0.26573427 0.17016317 0.26573427 0.18414918]";26.85$\pm$4.27;"[0.26340326 0.33566434 0.21445221 0.20512821 0.30769231 0.2960373
 0.31934732 0.25174825 0.26340326 0.22843823]";18.14$\pm$3.43;"[0.16783217 0.15151515 0.16783217 0.15617716 0.15384615 0.20979021
 0.16550117 0.17948718 0.19114219 0.27039627]";24.13$\pm$4.84;"[0.20979021 0.30536131 0.26107226 0.17715618 0.29137529 0.28438228
 0.25641026 0.17249417 0.27272727 0.18181818]";21.63$\pm$2.62;"[0.27505828 0.21678322 0.19114219 0.19347319 0.24475524 0.19114219
 0.20979021 0.22610723 0.22377622 0.19114219]";21.84$\pm$4.52;"[0.14918415 0.27039627 0.2960373  0.20745921 0.18881119 0.23543124
 0.23310023 0.15384615 0.2004662  0.24941725]";30.51$\pm$11.3;"[0.37296037 0.25407925 0.35897436 0.42890443 0.33799534 0.28438228
 0.28904429 0.         0.34265734 0.38228438]";29.28$\pm$6.07;"[0.22144522 0.34265734 0.43356643 0.27039627 0.33333333 0.27972028
 0.29137529 0.25874126 0.27972028 0.21678322]";27.95$\pm$3.41;"[0.25407925 0.27039627 0.24475524 0.27738928 0.24475524 0.27505828
 0.32400932 0.30536131 0.34965035 0.24941725]";34.48$\pm$3.92;"[0.3962704  0.37529138 0.37062937 0.37062937 0.34965035 0.30536131
 0.34032634 0.2983683  0.37296037 0.26806527]";23.73$\pm$5.5;"[0.21911422 0.27272727 0.2027972  0.32400932 0.25641026 0.23776224
 0.3006993  0.16783217 0.13519814 0.25641026]"
Hits@20;35.34$\pm$21.38;"[0.52680653 0.47785548 0.57808858 0.54312354 0.56410256 0.35198135
 0.         0.30769231 0.18414918 0.        ]";47.48$\pm$4.15;"[0.49184149 0.46386946 0.45454545 0.49184149 0.40792541 0.51048951
 0.55011655 0.44755245 0.50815851 0.42191142]";41.59$\pm$6.37;"[0.39160839 0.47086247 0.5034965  0.28205128 0.41258741 0.39393939
 0.42191142 0.50815851 0.36829837 0.40559441]";44.38$\pm$5.38;"[0.41958042 0.43356643 0.4965035  0.44755245 0.43356643 0.55477855
 0.36130536 0.47319347 0.44755245 0.37062937]";43.89$\pm$5.49;"[0.5034965  0.47319347 0.46386946 0.33566434 0.48484848 0.37062937
 0.44522145 0.37062937 0.46620047 0.47552448]";14.85$\pm$2.23;"[0.14452214 0.13519814 0.12587413 0.15151515 0.16550117 0.17715618
 0.13986014 0.12354312 0.12820513 0.19347319]";36.85$\pm$4.18;"[0.38927739 0.35897436 0.33566434 0.2983683  0.32867133 0.4032634
 0.45687646 0.38461538 0.36130536 0.36829837]";37.69$\pm$4.76;"[0.29137529 0.45221445 0.44289044 0.39160839 0.37762238 0.33333333
 0.38927739 0.33566434 0.35198135 0.4032634 ]";42.47$\pm$8.83;"[0.53613054 0.37529138 0.36363636 0.5011655  0.47552448 0.55944056
 0.31002331 0.28438228 0.42191142 0.41958042]";41.24$\pm$5.22;"[0.3962704  0.46386946 0.48251748 0.41958042 0.40559441 0.48717949
 0.43123543 0.34498834 0.34265734 0.34965035]";39.07$\pm$3.81;"[0.37762238 0.38461538 0.38927739 0.36596737 0.46386946 0.45221445
 0.37062937 0.32634033 0.38927739 0.38694639]";14.85$\pm$2.23;"[0.14452214 0.13519814 0.12587413 0.15151515 0.16550117 0.17715618
 0.13986014 0.12354312 0.12820513 0.19347319]";34.8$\pm$2.84;"[0.35664336 0.32867133 0.36596737 0.31235431 0.30769231 0.35664336
 0.34265734 0.34032634 0.35664336 0.41258741]";44.43$\pm$2.48;"[0.44755245 0.44988345 0.46620047 0.44755245 0.47785548 0.45687646
 0.43123543 0.44289044 0.44289044 0.37995338]";31.61$\pm$3.11;"[0.31235431 0.27972028 0.31235431 0.35431235 0.31934732 0.3030303
 0.28671329 0.2983683  0.30536131 0.38927739]";36.69$\pm$5.12;"[0.37762238 0.39160839 0.3962704  0.36130536 0.3962704  0.38228438
 0.3986014  0.28671329 0.42424242 0.25407925]";35.06$\pm$5.5;"[0.45221445 0.39393939 0.30536131 0.30536131 0.39393939 0.29370629
 0.26806527 0.36363636 0.33799534 0.39160839]";34.97$\pm$4.49;"[0.32167832 0.34498834 0.44522145 0.37296037 0.29370629 0.33100233
 0.35897436 0.34498834 0.28671329 0.3962704 ]";43.31$\pm$15.31;"[0.52214452 0.41025641 0.56643357 0.51748252 0.52447552 0.41258741
 0.47785548 0.         0.41724942 0.48251748]";47.16$\pm$4.47;"[0.44522145 0.44289044 0.6013986  0.45687646 0.46853147 0.46386946
 0.43822844 0.47552448 0.45920746 0.46386946]";46.53$\pm$3.32;"[0.48018648 0.42191142 0.44755245 0.41724942 0.50815851 0.46153846
 0.51981352 0.4965035  0.44522145 0.45454545]";48.88$\pm$5.12;"[0.49417249 0.45454545 0.61305361 0.55477855 0.45687646 0.44055944
 0.47086247 0.45920746 0.46620047 0.47785548]";37.72$\pm$4.62;"[0.35664336 0.38927739 0.38228438 0.44289044 0.36596737 0.38694639
 0.45221445 0.34498834 0.27972028 0.37062937]"
Hits@50;51.56$\pm$28.47;"[0.77855478 0.70629371 0.71794872 0.72727273 0.77855478 0.57808858
 0.         0.45920746 0.41025641 0.        ]";70.23$\pm$3.41;"[0.72727273 0.71095571 0.72027972 0.73892774 0.67132867 0.75757576
 0.69230769 0.66899767 0.63869464 0.6969697 ]";67.18$\pm$3.85;"[0.69230769 0.72727273 0.71561772 0.65501166 0.65967366 0.61305361
 0.68997669 0.70862471 0.62937063 0.62703963]";69.39$\pm$3.75;"[0.6993007  0.67365967 0.7016317  0.68764569 0.72261072 0.72494172
 0.66899767 0.73426573 0.6013986  0.72494172]";70.3$\pm$3.68;"[0.74358974 0.71328671 0.69463869 0.74825175 0.66200466 0.68065268
 0.68764569 0.65034965 0.68298368 0.76689977]";35.06$\pm$4.98;"[0.33566434 0.35431235 0.36829837 0.33566434 0.34498834 0.35897436
 0.33566434 0.28904429 0.3006993  0.48251748]";60.98$\pm$2.74;"[0.61305361 0.62004662 0.6013986  0.64102564 0.58741259 0.65967366
 0.6037296  0.60606061 0.61305361 0.55244755]";60.84$\pm$1.84;"[0.62470862 0.60606061 0.62703963 0.63170163 0.5967366  0.63170163
 0.58275058 0.58041958 0.5990676  0.6037296 ]";64.29$\pm$6.21;"[0.7016317  0.62470862 0.6013986  0.71794872 0.66433566 0.73892774
 0.54545455 0.55710956 0.61771562 0.65967366]";65.69$\pm$4.82;"[0.64102564 0.65967366 0.72261072 0.72960373 0.67599068 0.6969697
 0.64568765 0.62237762 0.57342657 0.6013986 ]";63.99$\pm$4.38;"[0.67365967 0.59207459 0.65034965 0.64568765 0.62470862 0.72027972
 0.63636364 0.57109557 0.5967366  0.68764569]";35.06$\pm$4.98;"[0.33566434 0.35431235 0.36829837 0.33566434 0.34498834 0.35897436
 0.33566434 0.28904429 0.3006993  0.48251748]";57.86$\pm$4.03;"[0.58508159 0.52680653 0.55944056 0.57575758 0.51048951 0.5990676
 0.63403263 0.58041958 0.56643357 0.64801865]";68.67$\pm$3.72;"[0.68997669 0.63869464 0.68298368 0.6993007  0.68065268 0.73426573
 0.71561772 0.7016317  0.6037296  0.72027972]";57.02$\pm$4.1;"[0.62237762 0.52680653 0.56876457 0.59207459 0.55011655 0.56643357
 0.58041958 0.55011655 0.4988345  0.64568765]";57.32$\pm$6.35;"[0.64801865 0.57808858 0.59207459 0.56410256 0.56410256 0.65967366
 0.56876457 0.53613054 0.6037296  0.41724942]";57.3$\pm$5.85;"[0.65268065 0.63636364 0.54079254 0.64335664 0.56410256 0.53379953
 0.46853147 0.51282051 0.56410256 0.61305361]";60.42$\pm$3.57;"[0.61305361 0.6037296  0.66666667 0.65734266 0.57342657 0.56643357
 0.63170163 0.58041958 0.55944056 0.58974359]";68.21$\pm$7.37;"[0.74825175 0.65034965 0.75058275 0.72027972 0.7016317  0.69463869
 0.6993007  0.48951049 0.63403263 0.73193473]";71.4$\pm$2.93;"[0.7016317  0.68997669 0.70862471 0.74592075 0.7016317  0.76689977
 0.69230769 0.72727273 0.66433566 0.74125874]";70.79$\pm$2.56;"[0.72027972 0.70629371 0.71328671 0.73659674 0.66666667 0.72261072
 0.72727273 0.68531469 0.66433566 0.73659674]";73.03$\pm$3.04;"[0.74825175 0.7016317  0.74358974 0.75757576 0.72261072 0.75990676
 0.77622378 0.68764569 0.68298368 0.72261072]";60.72$\pm$4.46;"[0.64568765 0.61305361 0.62703963 0.69230769 0.55710956 0.5990676
 0.63636364 0.54545455 0.54778555 0.60839161]"
Hits@100;73.8$\pm$26.36;"[0.9020979  0.85780886 0.8974359  0.9020979  0.86013986 0.85547786
 0.82517483 0.66433566 0.61538462 0.        ]";84.73$\pm$2.52;"[0.87412587 0.83916084 0.88111888 0.86013986 0.84149184 0.85081585
 0.85780886 0.82517483 0.78787879 0.85547786]";84.5$\pm$1.46;"[0.85314685 0.82284382 0.86946387 0.82517483 0.85314685 0.83682984
 0.85081585 0.82983683 0.85780886 0.85081585]";85.76$\pm$2.28;"[0.88811189 0.86013986 0.86946387 0.86713287 0.83916084 0.86480186
 0.84615385 0.82284382 0.82517483 0.89277389]";86.01$\pm$1.73;"[0.88111888 0.85081585 0.84149184 0.89277389 0.84848485 0.86480186
 0.85081585 0.83682984 0.85780886 0.87645688]";58.9$\pm$3.95;"[0.61538462 0.58508159 0.61538462 0.66200466 0.6013986  0.58041958
 0.53146853 0.58041958 0.51748252 0.6013986 ]";81.79$\pm$2.27;"[0.84149184 0.8041958  0.83682984 0.83216783 0.78321678 0.84382284
 0.7995338  0.8041958  0.79020979 0.84382284]";76.83$\pm$2.81;"[0.79020979 0.72727273 0.81118881 0.80885781 0.74825175 0.78321678
 0.74358974 0.76689977 0.73659674 0.76689977]";79.09$\pm$5.71;"[0.80652681 0.82983683 0.73426573 0.85780886 0.80652681 0.85081585
 0.70862471 0.68531469 0.8018648  0.82750583]";82.59$\pm$3.13;"[0.82284382 0.85314685 0.84615385 0.87412587 0.81818182 0.85780886
 0.83216783 0.79254079 0.78088578 0.78088578]";83.31$\pm$3.03;"[0.86247086 0.82750583 0.83449883 0.84615385 0.84149184 0.86480186
 0.84149184 0.75291375 0.81351981 0.84615385]";58.9$\pm$3.95;"[0.61538462 0.58508159 0.61538462 0.66200466 0.6013986  0.58041958
 0.53146853 0.58041958 0.51748252 0.6013986 ]";78.02$\pm$3.12;"[0.84382284 0.77622378 0.78321678 0.79487179 0.73426573 0.7972028
 0.77156177 0.76689977 0.73193473 0.8018648 ]";86.08$\pm$2.02;"[0.88578089 0.84382284 0.86946387 0.88111888 0.83216783 0.85780886
 0.88344988 0.86946387 0.82517483 0.86013986]";75.59$\pm$1.5;"[0.75058275 0.77389277 0.75990676 0.74592075 0.73193473 0.76223776
 0.76223776 0.73659674 0.78321678 0.75291375]";77.3$\pm$3.99;"[0.79020979 0.79254079 0.76689977 0.81585082 0.76456876 0.8041958
 0.82517483 0.73659674 0.74825175 0.68531469]";75.71$\pm$7.37;"[0.85081585 0.83216783 0.76689977 0.86013986 0.72960373 0.68997669
 0.65734266 0.64102564 0.77389277 0.76923077]";77.69$\pm$3.44;"[0.81351981 0.81585082 0.81585082 0.8018648  0.74358974 0.79020979
 0.77622378 0.73426573 0.71794872 0.75990676]";85.08$\pm$7.37;"[0.87412587 0.86480186 0.89044289 0.90675991 0.84615385 0.88811189
 0.88344988 0.64102564 0.82284382 0.89044289]";86.08$\pm$2.4;"[0.87179487 0.85081585 0.87179487 0.8997669  0.86713287 0.88111888
 0.82750583 0.82284382 0.83682984 0.87878788]";86.01$\pm$3.01;"[0.86480186 0.83216783 0.9020979  0.90675991 0.83216783 0.8951049
 0.86713287 0.83916084 0.82284382 0.83916084]";87.09$\pm$1.88;"[0.88344988 0.87179487 0.88578089 0.86480186 0.85780886 0.89044289
 0.87645688 0.86247086 0.82517483 0.89044289]";84.03$\pm$2.74;"[0.85547786 0.81585082 0.85547786 0.84615385 0.78787879 0.88111888
 0.85081585 0.82051282 0.81818182 0.87179487]"
ROCAUC;82.88$\pm$12.06;"[0.90858559 0.89567131 0.90915082 0.90984618 0.89877336 0.87760336
 0.83789731 0.79051478 0.75976549 0.5       ]";88.85$\pm$0.91;"[0.89381171 0.89380324 0.89731608 0.89589276 0.87953576 0.89689797
 0.89458205 0.87322179 0.87362055 0.88665773]";88.15$\pm$0.65;"[0.88490608 0.88456092 0.89628674 0.87247407 0.8795576  0.88193392
 0.88576999 0.87454524 0.87757076 0.8773664 ]";88.95$\pm$0.98;"[0.89676213 0.88698451 0.89981592 0.89719139 0.88947664 0.90422243
 0.88201752 0.87127475 0.87798371 0.88972398]";89.08$\pm$0.86;"[0.90106552 0.89576389 0.89236542 0.89763694 0.88304046 0.89132313
 0.88663595 0.87171862 0.88719905 0.90138989]";72.69$\pm$2.2;"[0.7364772  0.69723656 0.75288652 0.74857776 0.72874666 0.74526328
 0.73533865 0.71197416 0.68136448 0.7309544 ]";86.73$\pm$1.06;"[0.8731261  0.87078731 0.87638607 0.87913019 0.84698908 0.88313474
 0.86094046 0.85630024 0.86350324 0.86256345]";83.26$\pm$1.39;"[0.84908797 0.8245485  0.85609328 0.84676241 0.82417037 0.84229601
 0.82002266 0.81269743 0.82215376 0.82776725]";85.36$\pm$3.08;"[0.87136019 0.86731259 0.83528854 0.88897039 0.86290213 0.88962785
 0.79983879 0.79871686 0.8580751  0.86383788]";87.26$\pm$1.19;"[0.87389223 0.87611921 0.88220813 0.88603626 0.866183   0.89375194
 0.87251378 0.8541762  0.85882494 0.86181731]";87.58$\pm$1.22;"[0.87963008 0.87719212 0.88170708 0.87577225 0.87783255 0.89609924
 0.87040063 0.84488487 0.87347385 0.88061238]";72.69$\pm$2.2;"[0.7364772  0.69723656 0.75288652 0.74857776 0.72874666 0.74526328
 0.73533865 0.71197416 0.68136448 0.7309544 ]";85.3$\pm$1.17;"[0.86557887 0.84691632 0.86269416 0.85643416 0.82804081 0.86299792
 0.85535804 0.84454175 0.84242098 0.86535738]";88.92$\pm$0.8;"[0.89659369 0.8906444  0.89698386 0.89202949 0.88470546 0.89952782
 0.89148857 0.88324837 0.87065926 0.88586803]";82.88$\pm$1.42;"[0.83863378 0.81644446 0.84460166 0.82255584 0.81803442 0.84042143
 0.82181448 0.80372743 0.830027   0.85219376]";84.96$\pm$2.13;"[0.86657864 0.86749777 0.84907849 0.86478013 0.85051015 0.87186007
 0.86563514 0.8182853  0.83271119 0.80856371]";84.3$\pm$3.7;"[0.88577545 0.88082478 0.85601159 0.88103194 0.83204227 0.81275911
 0.78025401 0.78503039 0.86204161 0.85383853]";83.81$\pm$1.87;"[0.84750137 0.84985186 0.87084722 0.84935965 0.82139718 0.85387495
 0.83723286 0.80789382 0.81598666 0.82676514]";88.67$\pm$3.83;"[0.90234785 0.88930462 0.91392719 0.91226955 0.89212427 0.89793035
 0.89404287 0.77515086 0.88406931 0.90619894]";88.49$\pm$1.01;"[0.88980173 0.87892676 0.89122715 0.89882146 0.88314418 0.89954412
 0.8755528  0.86775102 0.87469097 0.88984925]";89.02$\pm$0.99;"[0.88900299 0.89174999 0.90283859 0.90469515 0.88364095 0.90367364
 0.88828617 0.88011132 0.87690786 0.88066684]";89.46$\pm$0.92;"[0.89793035 0.89444045 0.90676535 0.90520591 0.88638684 0.90908548
 0.89015968 0.88245322 0.88438446 0.88935364]";87.59$\pm$1.29;"[0.87954858 0.87774764 0.88344444 0.89339332 0.85329971 0.88737292
 0.88441932 0.85612596 0.86356301 0.88019846]"
AP;81.39$\pm$11.82;"[0.90109303 0.88634144 0.89797636 0.89637277 0.89733873 0.85148635
 0.77669622 0.78136825 0.74977757 0.50058343]";87.75$\pm$0.95;"[0.87411589 0.87859044 0.88092687 0.88252925 0.87143009 0.89328966
 0.88928264 0.85768769 0.87323717 0.87394918]";86.77$\pm$1.1;"[0.86601971 0.87854504 0.88659608 0.84777511 0.87004658 0.87035281
 0.87675634 0.8669208  0.8550759  0.85905652]";87.5$\pm$1.06;"[0.87376048 0.87653133 0.88461997 0.8806834  0.88235784 0.8955267
 0.86891106 0.85945178 0.86581084 0.86254833]";87.55$\pm$0.78;"[0.88536683 0.88349179 0.88089489 0.87144847 0.86946948 0.87295803
 0.87806635 0.85991899 0.86950844 0.88362332]";70.37$\pm$2.05;"[0.71050559 0.69035752 0.71812601 0.72356556 0.71315334 0.72166494
 0.70500955 0.67755773 0.65828259 0.71903891]";84.51$\pm$1.18;"[0.84934554 0.84383904 0.84022694 0.8578664  0.82079015 0.86617491
 0.84130297 0.83623489 0.85260966 0.84284369]";83.1$\pm$1.48;"[0.82221745 0.8418367  0.85601055 0.84661818 0.82958448 0.83484002
 0.82146466 0.79931204 0.83003075 0.82772597]";84.85$\pm$3.23;"[0.87773836 0.85932314 0.81831004 0.87955779 0.86512329 0.88564729
 0.8028447  0.78772676 0.86059657 0.84803778]";86.05$\pm$1.56;"[0.85598561 0.87115419 0.87701228 0.86313626 0.85903224 0.88593295
 0.87115466 0.83841863 0.83698025 0.84626869]";85.46$\pm$1.49;"[0.84639332 0.86486188 0.84558507 0.85874496 0.86524728 0.87861821
 0.84976079 0.81988533 0.85924039 0.85785397]";70.37$\pm$2.05;"[0.71050559 0.69035752 0.71812601 0.72356556 0.71315334 0.72166494
 0.70500955 0.67755773 0.65828259 0.71903891]";83.58$\pm$1.22;"[0.84345976 0.82591971 0.84415214 0.83201347 0.80893333 0.8472464
 0.85067076 0.82592991 0.83551839 0.84392756]";87.29$\pm$0.77;"[0.87992692 0.87798206 0.86927331 0.86780083 0.87414991 0.88452362
 0.8831527  0.86417801 0.86243986 0.86528004]";81.57$\pm$1.35;"[0.81465051 0.81125811 0.81943801 0.81208678 0.81018827 0.82089312
 0.80980974 0.79178181 0.81777382 0.84875725]";83.75$\pm$2.45;"[0.8478167  0.85761371 0.83835079 0.8384471  0.84890092 0.86539506
 0.85441387 0.80188548 0.83956782 0.78244593]";82.86$\pm$2.94;"[0.86866135 0.86017175 0.83183078 0.84830679 0.83140673 0.7993548
 0.77355104 0.79083948 0.84300177 0.83866525]";82.94$\pm$1.81;"[0.82370641 0.84821086 0.86063116 0.8373287  0.81561854 0.83551326
 0.84256249 0.7965053  0.81133969 0.82307669]";87.61$\pm$4.16;"[0.89487878 0.87252808 0.90973779 0.90387596 0.88687531 0.88394943
 0.88578667 0.75617902 0.87113206 0.89561226]";87.65$\pm$0.68;"[0.87563704 0.87450203 0.88577295 0.87986262 0.88069612 0.88885829
 0.87290123 0.87079313 0.86741552 0.868627  ]";87.77$\pm$0.64;"[0.8727056  0.88043907 0.87541138 0.88049281 0.87118867 0.88518712
 0.89091577 0.86895279 0.87455082 0.87717962]";89.03$\pm$0.88;"[0.89784626 0.89009967 0.90357076 0.89917821 0.88818052 0.89317875
 0.89252758 0.87204816 0.88500597 0.88151879]";85.25$\pm$1.81;"[0.85382875 0.85946791 0.84996754 0.87908049 0.8347128  0.86164102
 0.87552237 0.82511406 0.82503659 0.86055834]"
pretrain_time;nan$\pm$nan;[];49.86$\pm$2.98;"[45.87961125 53.36029458 47.6185174  47.79330492 53.33926916 47.58471322
 46.86693406 53.41849327 53.40038991 49.38168073]";34.29$\pm$0.09;"[34.25166249 34.23166275 34.39043164 34.21481371 34.1940403  34.24030948
 34.17909074 34.34196806 34.420362   34.42783523]";11.42$\pm$0.04;"[11.47780085 11.47763968 11.447541   11.45467925 11.42252207 11.40600204
 11.37836051 11.37503624 11.38714337 11.37451339]";41.81$\pm$1.35;"[40.73119664 42.97056007 41.44833803 42.81761742 42.36654449 41.72662497
 38.31006575 42.24691629 42.83853364 42.68914843]";nan$\pm$nan;[];6.11$\pm$0.41;"[5.61884093 5.63535047 6.61544657 6.40443444 6.33818173 6.29528427
 5.59316158 5.59700918 6.47738695 6.48572063]";11.16$\pm$0.4;"[ 9.98633647 11.34826517 11.34057117 11.35051847 11.03474832 11.13000488
 11.34139371 11.34720016 11.34924579 11.35354114]";38.33$\pm$0.66;"[38.25470829 38.75827575 38.70284057 38.73943877 36.52715468 37.95386004
 38.66086793 38.30740118 38.72541261 38.69988966]";41.59$\pm$0.4;"[41.53629279 41.50130439 41.51693344 41.45048451 41.47137141 41.5402379
 41.55261946 41.37082458 41.19134092 42.74700356]";49.95$\pm$2.0;"[51.34683895 49.07451987 49.16172385 49.09136724 49.07125783 49.0580759
 49.14506221 48.98397732 48.95119071 55.5846324 ]";nan$\pm$nan;[];39.8$\pm$2.99;"[41.80586934 41.79940534 41.77986169 41.7662816  41.75837421 41.72874379
 36.25364304 41.55678821 34.85687852 34.71116948]";73.46$\pm$5.6;"[69.90027404 69.86953616 70.08154607 69.88504815 69.85299921 70.04787397
 77.58712769 83.18102789 84.2246294  69.96096158]";59.59$\pm$4.43;"[63.27686143 63.28658605 63.26428151 63.21484518 63.26415205 61.64010215
 52.43503761 52.34807205 55.27389479 57.93150043]";8.29$\pm$0.21;"[7.70572543 8.13551235 8.43828583 8.37761331 8.36470819 8.36240816
 8.40718555 8.39524794 8.35201764 8.3585422 ]";70.62$\pm$0.62;"[70.23547339 70.16310263 72.28776407 71.13170266 70.44043851 70.37507176
 70.27222061 70.30312777 70.22052479 70.76848221]";16.05$\pm$0.17;"[16.54024482 16.00295568 15.98314857 16.00145531 15.99120855 15.98924375
 16.01330304 16.00683784 15.97240782 15.96653008]";50.93$\pm$2.45;"[55.01891613 55.07574177 53.42948222 50.70001149 49.57726789 48.725734
 49.56978488 49.65811229 48.76457024 48.73353601]";136.63$\pm$5.68;"[132.66253424 132.66717911 144.91965461 132.86325836 133.03422451
 133.08815241 146.41606021 144.5221169  132.97998953 133.17030072]";50.14$\pm$2.36;"[49.02504826 49.69774151 56.09327555 53.17951465 48.55066252 48.66745615
 49.21869254 49.21984148 48.97586989 48.77663112]";88.04$\pm$3.55;"[85.92500758 87.79751062 85.29478073 90.67608929 84.80857754 95.50892973
 84.87884021 85.05364633 87.75831032 92.74361134]";21.04$\pm$0.03;"[21.05018306 21.03179336 21.13869929 21.0116787  21.04853368 21.02633119
 21.0515945  21.03611636 21.01243806 21.02639937]"
