metrics;agrace,enc:gcn_ncn,pred:mlp,random_mean;agrace,enc:gcn_ncn,pred:mlp,random;agrace,enc:gcn_ncn,pred:mlp,deg_mean;agrace,enc:gcn_ncn,pred:mlp,deg;agrace,enc:gcn_ncn,pred:mlp,evc_mean;agrace,enc:gcn_ncn,pred:mlp,evc;agrace,enc:gcn_ncn,pred:mlp,pr_mean;agrace,enc:gcn_ncn,pred:mlp,pr;abgrl,enc:gcn_ncn,pred:mlp,random_mean;abgrl,enc:gcn_ncn,pred:mlp,random;abgrl,enc:gcn_ncn,pred:mlp,deg_mean;abgrl,enc:gcn_ncn,pred:mlp,deg;abgrl,enc:gcn_ncn,pred:mlp,evc_mean;abgrl,enc:gcn_ncn,pred:mlp,evc;abgrl,enc:gcn_ncn,pred:mlp,pr_mean;abgrl,enc:gcn_ncn,pred:mlp,pr
Hits@10;21.42$\pm$4.59;"[0.19928187 0.16008378 0.26301616 0.26211849 0.1385398  0.23459007
 0.20676242 0.29204069 0.18731299 0.19868342]";22.54$\pm$5.38;"[0.23698384 0.2106523  0.28246559 0.26570916 0.10562537 0.18940754
 0.21843208 0.26511071 0.18521843 0.29473369]";21.54$\pm$5.48;"[0.20347098 0.21454219 0.30071813 0.22321963 0.21962896 0.19539198
 0.19898265 0.30670257 0.10203471 0.18940754]";24.43$\pm$4.48;"[0.17624177 0.20945542 0.22980251 0.2812687  0.20167564 0.2160383
 0.2636146  0.3043088  0.23847995 0.32166367]";15.51$\pm$3.36;"[0.17504488 0.20825853 0.09724716 0.17743866 0.12896469 0.14093357
 0.12028725 0.19030521 0.17773788 0.13524835]";20.61$\pm$1.77;"[0.20257331 0.21454219 0.19359665 0.21214841 0.22471574 0.18013166
 0.18132855 0.23997606 0.21214841 0.20017953]";19.83$\pm$5.49;"[0.16816278 0.21454219 0.06433273 0.23578695 0.17055655 0.22172352
 0.19718731 0.19509276 0.23309396 0.28246559]";18.21$\pm$4.19;"[0.13644524 0.2390784  0.18043088 0.18940754 0.15589467 0.15529623
 0.14093357 0.24057451 0.13913824 0.24356673]"
Hits@20;31.08$\pm$4.99;"[0.29084381 0.25972472 0.33632555 0.35637343 0.21154997 0.33183722
 0.27767804 0.37342908 0.29862358 0.37133453]";31.96$\pm$4.06;"[0.33632555 0.2962298  0.3641532  0.38629563 0.24236984 0.29952124
 0.30311191 0.32645123 0.28515859 0.35667265]";30.32$\pm$4.16;"[0.29054458 0.31238779 0.35278276 0.34590066 0.28605625 0.27648115
 0.25314183 0.35008977 0.22651107 0.33782166]";33.15$\pm$4.18;"[0.28874925 0.31986834 0.33931777 0.34290844 0.28246559 0.33572711
 0.32495512 0.35757032 0.28964692 0.43357271]";27.26$\pm$4.68;"[0.26750449 0.27528426 0.20077798 0.33123878 0.23668462 0.23070018
 0.25703172 0.37073609 0.28964692 0.26600838]";29.63$\pm$3.57;"[0.29084381 0.34081388 0.26301616 0.3614602  0.30849791 0.25463794
 0.30580491 0.31956912 0.2663076  0.25194494]";27.88$\pm$6.75;"[0.2513465  0.29922202 0.10981448 0.36116098 0.26780371 0.36026332
 0.25912627 0.27289048 0.28456014 0.3219629 ]";28.88$\pm$3.33;"[0.25523639 0.30610413 0.25583483 0.31238779 0.25463794 0.26451227
 0.29204069 0.326152   0.26600838 0.35487732]"
Hits@50;48.03$\pm$4.33;"[0.50418911 0.44404548 0.48982645 0.53560742 0.42639138 0.48982645
 0.39497307 0.52573309 0.47546379 0.51645721]";48.11$\pm$3.1;"[0.4904249  0.45571514 0.49491323 0.51077199 0.43117893 0.497307
 0.44195093 0.48025135 0.46947935 0.53919808]";47.13$\pm$4.46;"[0.49341712 0.48563734 0.51286655 0.52603232 0.43836026 0.45272292
 0.40035907 0.51166966 0.39557151 0.49640934]";48.55$\pm$3.15;"[0.4593058  0.44763615 0.48204668 0.52094554 0.46918013 0.46349491
 0.45541592 0.48952723 0.52274087 0.54458408]";42.86$\pm$3.79;"[0.45122681 0.40993417 0.40275284 0.4700778  0.34889288 0.41591861
 0.41532017 0.48414123 0.46499102 0.42280072]";44.31$\pm$5.27;"[0.47067624 0.46140036 0.4225015  0.52094554 0.44913226 0.44344704
 0.47875524 0.48114901 0.36983842 0.33303411]";42.15$\pm$8.58;"[0.45780969 0.43327349 0.19000598 0.51256732 0.42130461 0.48084979
 0.43417115 0.36235787 0.45960503 0.46289647]";46.35$\pm$2.68;"[0.4524237  0.46529025 0.44793537 0.49102334 0.41382406 0.45391981
 0.45541592 0.47067624 0.46289647 0.52184321]"
Hits@100;62.95$\pm$2.31;"[0.63524835 0.6304608  0.63375224 0.66756433 0.60383004 0.63524835
 0.57959306 0.6181927  0.64482346 0.64631957]";62.04$\pm$2.2;"[0.62507481 0.61041293 0.62956314 0.65529623 0.59006583 0.60622382
 0.5855775  0.62956314 0.61968881 0.65230401]";60.9$\pm$2.74;"[0.62058648 0.60233393 0.65320168 0.64003591 0.6059246  0.61370437
 0.56313585 0.60981448 0.5625374  0.61909037]";63.08$\pm$2.97;"[0.60801915 0.59844405 0.65050868 0.66397367 0.6032316  0.61101137
 0.59335727 0.64033513 0.66277678 0.67684022]";59.23$\pm$3.81;"[0.60113704 0.56074207 0.60293238 0.64183124 0.497307   0.58168761
 0.58946738 0.61699581 0.61101137 0.61998803]";58.74$\pm$5.17;"[0.6059246  0.61460203 0.60771993 0.65888689 0.61370437 0.58916816
 0.5951526  0.60023938 0.52453621 0.46379414]";55.13$\pm$8.62;"[0.56762418 0.58677439 0.33333333 0.64572113 0.53770197 0.6032316
 0.55745063 0.4673848  0.61879114 0.59485338]";60.59$\pm$2.51;"[0.58168761 0.58467983 0.61310592 0.64841412 0.58198683 0.59575105
 0.57630162 0.62058648 0.60981448 0.64631957]"
ROCAUC;93.34$\pm$0.33;"[0.93649125 0.92968291 0.93347913 0.93773045 0.93216766 0.93338914
 0.92608059 0.93602423 0.93554867 0.93317315]";93.63$\pm$0.21;"[0.9346424  0.93434225 0.93752459 0.93929162 0.93899673 0.93466853
 0.93255168 0.93720082 0.93669442 0.93726389]";92.14$\pm$0.25;"[0.92343802 0.92172707 0.92473476 0.92539008 0.92179402 0.91949573
 0.92017053 0.92180182 0.91839486 0.91731577]";93.91$\pm$0.21;"[0.9354878  0.93836407 0.93900429 0.94285379 0.94056502 0.93653075
 0.93727535 0.94131423 0.94007725 0.93913994]";93.22$\pm$0.29;"[0.93298493 0.93079063 0.92914108 0.937265   0.92765521 0.93159148
 0.93149404 0.9356695  0.93537118 0.92999871]";93.03$\pm$0.62;"[0.93390595 0.93468168 0.93331952 0.93752914 0.93433596 0.93286759
 0.92953667 0.92910588 0.92136426 0.91681561]";92.99$\pm$1.5;"[0.93337478 0.93465607 0.89460162 0.94410525 0.93922493 0.93823003
 0.93796145 0.90920936 0.94056176 0.92732224]";93.68$\pm$0.31;"[0.93320415 0.93616865 0.93553528 0.94254391 0.93910832 0.93058937
 0.93740957 0.93896776 0.93699431 0.93783555]"
AP;93.75$\pm$0.51;"[0.94029098 0.93291151 0.93933423 0.94448123 0.93034856 0.93899789
 0.92759115 0.94173035 0.93897928 0.94005481]";93.93$\pm$0.35;"[0.93874381 0.93845662 0.94170046 0.94446432 0.93445474 0.93631586
 0.93456816 0.94176241 0.93810741 0.94418439]";92.91$\pm$0.41;"[0.93188097 0.9305369  0.93446116 0.93402587 0.92768285 0.92781409
 0.92425066 0.93193566 0.92073331 0.92746609]";94.15$\pm$0.32;"[0.93736898 0.93955804 0.94217194 0.94587099 0.93831625 0.93820214
 0.9395977  0.94492957 0.94277711 0.94617735]";93.11$\pm$0.45;"[0.93276159 0.93065109 0.92801348 0.93828603 0.92140202 0.9299534
 0.92904752 0.93519182 0.93546376 0.93051122]";93.26$\pm$0.76;"[0.93667921 0.93806934 0.93425452 0.94295428 0.93625227 0.93384331
 0.93264273 0.93385353 0.92239943 0.91526673]";92.86$\pm$1.86;"[0.93374825 0.93641156 0.8792579  0.94563386 0.93473298 0.93848104
 0.93340721 0.91032379 0.94038442 0.93344992]";93.6$\pm$0.4;"[0.93188861 0.93652458 0.93483643 0.94385838 0.93265442 0.93064775
 0.93362949 0.94035026 0.93529435 0.9402535 ]"
pretrain_time;94.47$\pm$0.22;"[94.33145642 94.20173383 94.35813165 94.61119962 94.24443388 94.3114872
 94.54666305 94.89993834 94.43967271 94.78322244]";96.42$\pm$0.59;"[95.96692157 95.93745494 95.98763847 97.32392764 97.28582835 96.08693624
 97.32233047 95.94040203 96.14871621 96.15984774]";76.88$\pm$0.58;"[76.57592893 76.68226075 77.0449574  77.12207484 77.34232378 76.2652936
 77.54046941 76.57587075 75.82294488 77.80969214]";42.47$\pm$0.4;"[42.29079056 42.23783016 42.43730974 43.24274635 42.97269559 42.07201219
 42.94678116 42.09113312 42.19144058 42.25333214]";58.87$\pm$0.75;"[58.44470644 58.46857238 58.68547273 58.38605762 58.0898397  58.27002907
 58.68657804 59.1380794  60.13260818 60.40878963]";76.1$\pm$1.81;"[75.12953854 75.57634354 74.69476914 76.39087868 81.17165375 76.64318442
 76.23753738 75.15187049 74.79550624 75.20677304]";15.21$\pm$0.31;"[15.23963428 15.05473614 14.93769097 15.17692232 15.15365624 14.89324594
 15.7195909  15.65001154 15.51798129 14.76765823]";57.81$\pm$0.52;"[57.29934645 57.76018095 56.73893976 58.41214275 58.33635783 57.31661439
 58.11134577 57.71598625 58.10432386 58.31904054]"
