metrics;agrace,enc:gcn_ncn,pred:mlp,random_mean;agrace,enc:gcn_ncn,pred:mlp,random;agrace,enc:gcn_ncn,pred:mlp,deg_mean;agrace,enc:gcn_ncn,pred:mlp,deg;agrace,enc:gcn_ncn,pred:mlp,evc_mean;agrace,enc:gcn_ncn,pred:mlp,evc;agrace,enc:gcn_ncn,pred:mlp,pr_mean;agrace,enc:gcn_ncn,pred:mlp,pr;abgrl,enc:gcn_ncn,pred:mlp,random_mean;abgrl,enc:gcn_ncn,pred:mlp,random;abgrl,enc:gcn_ncn,pred:mlp,deg_mean;abgrl,enc:gcn_ncn,pred:mlp,deg
Hits@10;66.81$\pm$11.53;"[0.74817518 0.72992701 0.77554745 0.63686131 0.75912409 0.67518248
 0.55656934 0.77737226 0.62956204 0.39233577]";68.19$\pm$8.71;"[0.45072993 0.65693431 0.77007299 0.75       0.73540146 0.64416058
 0.70437956 0.73357664 0.71715328 0.65693431]";36.26$\pm$36.37;"[0.73905109 0.         0.         0.         0.71532847 0.66240876
 0.         0.72262774 0.78649635 0.        ]";74.85$\pm$3.43;"[0.72445255 0.74270073 0.78832117 0.7189781  0.66970803 0.75912409
 0.76642336 0.77189781 0.75729927 0.78649635]";78.8$\pm$1.45;"[0.77007299 0.80839416 0.79927007 0.80291971 0.79014599 0.7810219
 0.78284672 0.77189781 0.76824818 0.80474453]";45.0$\pm$8.37;"[0.46532847 0.39233577 0.61313869 0.46167883 0.49270073 0.43430657
 0.42335766 0.51824818 0.27189781 0.4270073 ]"
Hits@20;77.68$\pm$2.13;"[0.76094891 0.79014599 0.79744526 0.80109489 0.78832117 0.78467153
 0.77919708 0.78467153 0.72992701 0.75182482]";73.21$\pm$7.54;"[0.52189781 0.72445255 0.80291971 0.77919708 0.78284672 0.7080292
 0.74270073 0.76824818 0.76094891 0.72992701]";62.34$\pm$31.21;"[0.76094891 0.80474453 0.79014599 0.         0.76277372 0.75729927
 0.78467153 0.77189781 0.80109489 0.        ]";78.03$\pm$2.5;"[0.75912409 0.78649635 0.80474453 0.77737226 0.72262774 0.77189781
 0.7810219  0.81569343 0.7810219  0.80291971]";80.51$\pm$1.85;"[0.77554745 0.81751825 0.83941606 0.81569343 0.79744526 0.79014599
 0.79379562 0.80474453 0.79014599 0.82664234]";58.87$\pm$8.96;"[0.61861314 0.59671533 0.73357664 0.68248175 0.67335766 0.55656934
 0.50364964 0.58759124 0.41970803 0.51459854]"
Hits@50;82.83$\pm$1.72;"[0.79379562 0.84306569 0.84306569 0.84489051 0.82481752 0.81021898
 0.83576642 0.83029197 0.81021898 0.84671533]";79.53$\pm$3.52;"[0.69890511 0.7919708  0.83394161 0.82481752 0.78832117 0.7919708
 0.80474453 0.81751825 0.79562044 0.80474453]";83.94$\pm$2.06;"[0.81386861 0.85766423 0.86131387 0.84124088 0.84124088 0.82664234
 0.84671533 0.80474453 0.87408759 0.82664234]";83.78$\pm$1.98;"[0.80656934 0.85036496 0.85218978 0.83211679 0.79744526 0.83576642
 0.85036496 0.84854015 0.84124088 0.86313869]";83.59$\pm$2.24;"[0.8120438  0.86861314 0.87408759 0.85218978 0.81934307 0.83211679
 0.81386861 0.84124088 0.80656934 0.83941606]";74.65$\pm$4.03;"[0.73722628 0.74270073 0.7919708  0.79927007 0.77554745 0.77372263
 0.75547445 0.71715328 0.65875912 0.71350365]"
Hits@100;88.1$\pm$1.92;"[0.83211679 0.89781022 0.8959854  0.88138686 0.88686131 0.8649635
 0.89416058 0.87226277 0.89233577 0.89233577]";85.47$\pm$2.25;"[0.80474453 0.8850365  0.88138686 0.85766423 0.84854015 0.86131387
 0.8540146  0.85036496 0.87226277 0.83211679]";87.94$\pm$2.18;"[0.88321168 0.86678832 0.87043796 0.84124088 0.85766423 0.87773723
 0.90875912 0.87591241 0.91788321 0.89416058]";88.28$\pm$1.35;"[0.85218978 0.89051095 0.89051095 0.88138686 0.87591241 0.86678832
 0.8959854  0.88686131 0.8959854  0.89233577]";86.39$\pm$2.05;"[0.84489051 0.89051095 0.89416058 0.88868613 0.84306569 0.8540146
 0.84671533 0.87043796 0.83759124 0.86861314]";82.68$\pm$2.41;"[0.81569343 0.83029197 0.85583942 0.83941606 0.86861314 0.83029197
 0.83759124 0.7919708  0.79379562 0.80474453]"
ROCAUC;93.21$\pm$0.69;"[0.91990783 0.942435   0.93987759 0.93329426 0.93571847 0.92770326
 0.93351404 0.93705046 0.92781981 0.9233893 ]";91.51$\pm$1.4;"[0.88094731 0.93000093 0.93090335 0.91653125 0.91947826 0.91031421
 0.91970803 0.91941166 0.9221722  0.90174956]";91.41$\pm$1.33;"[0.92328607 0.90895393 0.91470144 0.89262714 0.90619672 0.91002118
 0.92822107 0.91212072 0.94195049 0.90290506]";92.72$\pm$0.68;"[0.91637807 0.93132626 0.93385036 0.92631467 0.92874887 0.91290159
 0.93075017 0.92784645 0.9354654  0.92840588]";91.5$\pm$1.2;"[0.89787349 0.93164926 0.93054039 0.9242068  0.90411383 0.90898223
 0.91598847 0.92705392 0.90014119 0.90994126]";89.18$\pm$1.33;"[0.88685132 0.90047086 0.90958162 0.89454353 0.91708735 0.89207603
 0.88561424 0.88162329 0.87412755 0.87616882]"
AP;94.22$\pm$0.79;"[0.93827729 0.95329427 0.95061999 0.94496552 0.94511854 0.93520406
 0.94189027 0.94824291 0.93974299 0.92459438]";93.36$\pm$1.47;"[0.89343396 0.94142129 0.95097103 0.93786259 0.93722794 0.92967346
 0.93875534 0.94048132 0.93837694 0.92787472]";90.97$\pm$2.04;"[0.92824847 0.90000113 0.90843285 0.87494775 0.90350537 0.91146467
 0.92502241 0.91849023 0.94618486 0.88111325]";94.63$\pm$0.58;"[0.93832587 0.95001436 0.95318063 0.94389887 0.93652195 0.93999039
 0.94894065 0.94962948 0.95111816 0.95130592]";94.35$\pm$0.75;"[0.93372111 0.95329121 0.95449049 0.95065577 0.93681661 0.93905862
 0.94215606 0.94921402 0.93369804 0.94211415]";90.53$\pm$1.67;"[0.90650666 0.90795047 0.92935843 0.91340389 0.92869224 0.90268105
 0.89883836 0.90439876 0.86804993 0.89324033]"
pretrain_time;100.17$\pm$0.42;"[100.07435346 100.65837407 100.41030216 100.19933653 100.95692492
 100.16619682 100.21516943  99.90428019  99.45530534  99.64183259]";9.99$\pm$0.06;"[ 9.92729926  9.92822266 10.00616121  9.97250128 10.14742279 10.01096368
  9.9595623   9.98242497  9.98851109 10.01607466]";110.06$\pm$0.51;"[109.57287621 110.01488495 110.41742969 110.03396988 111.35296011
 110.03133821 109.85822701 109.38020849 109.80231214 110.11387777]";8.36$\pm$0.05;"[8.30729866 8.32608223 8.33627248 8.32543111 8.48605394 8.32521582
 8.40162373 8.38844776 8.36124325 8.38687086]";87.26$\pm$0.55;"[87.12518072 87.23149395 87.10824895 87.14013505 88.73786545 87.16632318
 86.46250987 87.05224133 87.13848925 87.45056391]";103.98$\pm$0.4;"[103.42923951 103.98954988 103.67807388 103.64034772 104.78499722
 103.56251335 104.01275468 104.13907194 104.11583519 104.42936826]"
