metrics;baseline,enc:gcn_ncn,pred:mlp_mean;baseline,enc:gcn_ncn,pred:mlp;grace,enc:gcn_ncn,pred:mlp,random_mean;grace,enc:gcn_ncn,pred:mlp,random;grace,enc:gcn_ncn,pred:mlp,deg_mean;grace,enc:gcn_ncn,pred:mlp,deg;grace,enc:gcn_ncn,pred:mlp,evc_mean;grace,enc:gcn_ncn,pred:mlp,evc;grace,enc:gcn_ncn,pred:mlp,pr_mean;grace,enc:gcn_ncn,pred:mlp,pr;bgrl,enc:gcn_ncn,pred:mlp,random_mean;bgrl,enc:gcn_ncn,pred:mlp,random;bgrl,enc:gcn_ncn,pred:mlp,deg_mean;bgrl,enc:gcn_ncn,pred:mlp,deg;bgrl,enc:gcn_ncn,pred:mlp,evc_mean;bgrl,enc:gcn_ncn,pred:mlp,evc;bgrl,enc:gcn_ncn,pred:mlp,pr_mean;bgrl,enc:gcn_ncn,pred:mlp,pr;lbgrl,enc:gcn_ncn,pred:mlp,random_mean;lbgrl,enc:gcn_ncn,pred:mlp,random;lbgrl,enc:gcn_ncn,pred:mlp,deg_mean;lbgrl,enc:gcn_ncn,pred:mlp,deg;lbgrl,enc:gcn_ncn,pred:mlp,evc_mean;lbgrl,enc:gcn_ncn,pred:mlp,evc;lbgrl,enc:gcn_ncn,pred:mlp,pr_mean;lbgrl,enc:gcn_ncn,pred:mlp,pr;lgrace,enc:gcn_ncn,pred:mlp,random_mean;lgrace,enc:gcn_ncn,pred:mlp,random;lgrace,enc:gcn_ncn,pred:mlp,deg_mean;lgrace,enc:gcn_ncn,pred:mlp,deg;lgrace,enc:gcn_ncn,pred:mlp,evc_mean;lgrace,enc:gcn_ncn,pred:mlp,evc;lgrace,enc:gcn_ncn,pred:mlp,pr_mean;lgrace,enc:gcn_ncn,pred:mlp,pr
Hits@10;55.09$\pm$3.16;"[0.492891   0.55545024 0.57819905 0.57156398 0.58578199 0.57440758
 0.5014218  0.57725118 0.53080569 0.54123223]";42.37$\pm$6.37;"[0.36777251 0.43033175 0.47203791 0.49004739 0.40853081 0.52701422
 0.40853081 0.47109005 0.33649289 0.32511848]";37.3$\pm$6.21;"[0.35924171 0.38388626 0.35165877 0.33175355 0.31848341 0.46445498
 0.34028436 0.47867299 0.27488152 0.42654028]";46.11$\pm$7.0;"[0.33175355 0.38672986 0.49763033 0.46255924 0.50521327 0.47582938
 0.43791469 0.56018957 0.39810427 0.55545024]";42.06$\pm$3.11;"[0.41800948 0.36303318 0.44834123 0.44454976 0.42369668 0.42559242
 0.38104265 0.4492891  0.46161137 0.39052133]";42.71$\pm$4.54;"[0.37725118 0.47298578 0.48151659 0.46824645 0.35734597 0.41800948
 0.39241706 0.45971564 0.37630332 0.46729858]";38.38$\pm$5.13;"[0.45118483 0.42559242 0.34028436 0.37535545 0.41516588 0.37251185
 0.2957346  0.46255924 0.36777251 0.33175355]";52.27$\pm$5.23;"[0.45118483 0.47677725 0.51753555 0.55545024 0.49668246 0.59052133
 0.45023697 0.61232227 0.54123223 0.53554502]";37.81$\pm$4.72;"[0.36113744 0.35924171 0.36208531 0.35260664 0.3450237  0.41232227
 0.34597156 0.4436019  0.32132701 0.47772512]";39.46$\pm$3.69;"[0.36966825 0.38199052 0.41327014 0.40758294 0.43791469 0.43412322
 0.34028436 0.33649289 0.4436019  0.38104265]";42.45$\pm$6.09;"[0.43601896 0.42559242 0.26824645 0.43317536 0.4464455  0.4464455
 0.38672986 0.52227488 0.44075829 0.43886256]";36.64$\pm$5.54;"[0.35165877 0.38104265 0.32322275 0.42369668 0.26824645 0.34691943
 0.38672986 0.47203791 0.39526066 0.31469194]";32.71$\pm$6.33;"[0.36208531 0.3478673  0.17156398 0.42274882 0.36587678 0.33459716
 0.32322275 0.34597156 0.32606635 0.27109005]";52.23$\pm$4.52;"[0.4985782  0.51090047 0.56587678 0.59620853 0.5042654  0.53933649
 0.44549763 0.58009479 0.50805687 0.47393365]";38.13$\pm$6.65;"[0.41611374 0.35924171 0.23317536 0.33364929 0.32606635 0.38957346
 0.46635071 0.43791469 0.4056872  0.44549763]";41.52$\pm$4.86;"[0.40853081 0.47582938 0.39241706 0.42843602 0.32417062 0.46066351
 0.45687204 0.43222749 0.33554502 0.43696682]";47.27$\pm$5.24;"[0.42559242 0.4056872  0.50995261 0.53364929 0.41611374 0.52985782
 0.41895735 0.54597156 0.49194313 0.4492891 ]"
Hits@20;64.09$\pm$1.28;"[0.62369668 0.63981043 0.65876777 0.63791469 0.65402844 0.65308057
 0.61611374 0.64739336 0.63601896 0.64265403]";59.33$\pm$4.21;"[0.52796209 0.57345972 0.62843602 0.59336493 0.58388626 0.67582938
 0.55450237 0.63033175 0.55260664 0.61232227]";51.17$\pm$4.35;"[0.5478673  0.507109   0.5450237  0.52037915 0.43317536 0.53554502
 0.4464455  0.58009479 0.48436019 0.51658768]";59.91$\pm$4.98;"[0.492891   0.58578199 0.67014218 0.61516588 0.56872038 0.62274882
 0.56018957 0.65687204 0.58199052 0.63601896]";55.89$\pm$3.79;"[0.49478673 0.5478673  0.62085308 0.55165877 0.52417062 0.55924171
 0.61042654 0.57156398 0.58672986 0.52132701]";57.29$\pm$3.63;"[0.507109   0.58199052 0.58199052 0.60853081 0.58009479 0.57345972
 0.50236967 0.59241706 0.61611374 0.58483412]";50.55$\pm$3.23;"[0.53933649 0.51090047 0.4957346  0.51848341 0.52037915 0.48436019
 0.47962085 0.57251185 0.45687204 0.47677725]";63.76$\pm$3.93;"[0.57440758 0.58009479 0.67867299 0.66255924 0.60473934 0.68436019
 0.61706161 0.67962085 0.65781991 0.63696682]";50.34$\pm$4.63;"[0.5014218  0.50047393 0.55924171 0.45308057 0.4464455  0.56682464
 0.4492891  0.55734597 0.46350711 0.53649289]";51.59$\pm$3.26;"[0.51279621 0.48530806 0.57535545 0.50521327 0.50616114 0.5042654
 0.47203791 0.52037915 0.57630332 0.5014218 ]";53.88$\pm$7.45;"[0.54407583 0.56208531 0.33933649 0.59620853 0.5563981  0.56303318
 0.47962085 0.61232227 0.58104265 0.5535545 ]";49.86$\pm$5.27;"[0.52227488 0.51090047 0.49763033 0.54597156 0.36303318 0.50521327
 0.4464455  0.53933649 0.54123223 0.51374408]";44.32$\pm$6.89;"[0.43981043 0.47298578 0.25023697 0.50995261 0.48436019 0.45402844
 0.46919431 0.48815166 0.43791469 0.42559242]";62.86$\pm$3.2;"[0.59146919 0.59526066 0.66729858 0.67582938 0.59052133 0.63033175
 0.60189573 0.66161137 0.65402844 0.61800948]";50.3$\pm$7.4;"[0.50995261 0.49952607 0.31184834 0.50521327 0.45402844 0.54123223
 0.52890995 0.60094787 0.51279621 0.56587678]";56.67$\pm$5.09;"[0.52132701 0.65023697 0.58199052 0.52606635 0.49763033 0.58862559
 0.50995261 0.64549763 0.58293839 0.56303318]";60.1$\pm$4.09;"[0.61421801 0.58199052 0.5971564  0.68056872 0.53649289 0.64265403
 0.55545024 0.63127962 0.6        0.57061611]"
Hits@50;76.75$\pm$1.06;"[0.76398104 0.75260664 0.78199052 0.76872038 0.77251185 0.77156398
 0.75450237 0.76682464 0.78578199 0.7563981 ]";75.5$\pm$2.2;"[0.71943128 0.73649289 0.77819905 0.75450237 0.7478673  0.78483412
 0.76208531 0.78767773 0.73080569 0.7478673 ]";70.56$\pm$4.82;"[0.70900474 0.72511848 0.76777251 0.70331754 0.63222749 0.69478673
 0.61611374 0.77630332 0.70521327 0.72606635]";76.9$\pm$2.96;"[0.7507109  0.75165877 0.83033175 0.7478673  0.72796209 0.76872038
 0.79146919 0.8        0.74312796 0.77819905]";73.9$\pm$1.94;"[0.70995261 0.74312796 0.77156398 0.72701422 0.71090047 0.73744076
 0.72985782 0.76398104 0.75165877 0.74407583]";73.65$\pm$2.11;"[0.70616114 0.73175355 0.74881517 0.75545024 0.74881517 0.76113744
 0.69004739 0.73933649 0.74597156 0.73744076]";65.72$\pm$2.68;"[0.68056872 0.63791469 0.66161137 0.69952607 0.66066351 0.6
 0.65687204 0.68625592 0.64265403 0.64549763]";76.8$\pm$2.12;"[0.72322275 0.78862559 0.78104265 0.78388626 0.73933649 0.77725118
 0.7507109  0.77061611 0.78293839 0.78199052]";71.58$\pm$3.19;"[0.7042654  0.74597156 0.74881517 0.66824645 0.66255924 0.72890995
 0.68246445 0.74597156 0.73649289 0.73459716]";70.86$\pm$2.62;"[0.72037915 0.71943128 0.74123223 0.72322275 0.67488152 0.66729858
 0.68530806 0.70047393 0.75165877 0.70236967]";72.17$\pm$5.34;"[0.72132701 0.7450237  0.57251185 0.75829384 0.69952607 0.76208531
 0.71658768 0.75924171 0.7450237  0.73744076]";69.06$\pm$4.46;"[0.63696682 0.7014218  0.7507109  0.71658768 0.59810427 0.68625592
 0.66635071 0.68815166 0.74028436 0.72132701]";62.33$\pm$8.03;"[0.58578199 0.60189573 0.4028436  0.65308057 0.70805687 0.67393365
 0.64739336 0.65023697 0.6464455  0.66350711]";75.71$\pm$1.81;"[0.7535545  0.74028436 0.78578199 0.79241706 0.76018957 0.73175355
 0.7478673  0.7450237  0.75924171 0.75450237]";68.17$\pm$8.33;"[0.70331754 0.66824645 0.4492891  0.70047393 0.65687204 0.71279621
 0.72606635 0.77630332 0.71279621 0.71090047]";73.86$\pm$2.26;"[0.71658768 0.76303318 0.73744076 0.73459716 0.71848341 0.73649289
 0.70995261 0.78578199 0.72511848 0.75829384]";76.92$\pm$2.91;"[0.72511848 0.74123223 0.76113744 0.80094787 0.72796209 0.76966825
 0.76587678 0.79620853 0.7943128  0.80947867]"
Hits@100;85.74$\pm$0.95;"[0.8464455  0.84170616 0.85592417 0.87677725 0.85687204 0.85118483
 0.86350711 0.86255924 0.86445498 0.8549763 ]";84.04$\pm$0.76;"[0.83507109 0.83222749 0.8492891  0.8464455  0.83696682 0.83412322
 0.82938389 0.8492891  0.85118483 0.83981043]";84.31$\pm$2.6;"[0.84075829 0.83033175 0.8957346  0.83507109 0.82938389 0.81990521
 0.8028436  0.87962085 0.85118483 0.8464455 ]";87.1$\pm$1.76;"[0.85876777 0.86066351 0.91090047 0.88151659 0.84834123 0.8492891
 0.86824645 0.87962085 0.87772512 0.87488152]";84.63$\pm$1.54;"[0.84739336 0.83127962 0.86635071 0.8549763  0.83222749 0.82085308
 0.83696682 0.87298578 0.85118483 0.84834123]";84.33$\pm$1.29;"[0.82938389 0.85876777 0.86255924 0.85971564 0.83696682 0.83507109
 0.82369668 0.8464455  0.8464455  0.83412322]";76.12$\pm$1.52;"[0.76587678 0.7535545  0.76777251 0.77156398 0.75165877 0.72985782
 0.76682464 0.79146919 0.76018957 0.7535545 ]";84.69$\pm$1.0;"[0.83981043 0.83507109 0.8492891  0.84834123 0.82654028 0.8492891
 0.85023697 0.85118483 0.86350711 0.85592417]";84.5$\pm$0.94;"[0.83886256 0.8464455  0.85118483 0.82843602 0.82843602 0.85402844
 0.84834123 0.85592417 0.8521327  0.8464455 ]";83.29$\pm$1.55;"[0.85023697 0.83791469 0.83886256 0.84739336 0.82180095 0.80663507
 0.81042654 0.84739336 0.8464455  0.82180095]";83.19$\pm$3.41;"[0.84549763 0.85781991 0.73744076 0.84549763 0.81990521 0.85402844
 0.81990521 0.85781991 0.84549763 0.83601896]";81.7$\pm$1.8;"[0.80379147 0.82938389 0.83412322 0.83317536 0.78293839 0.80189573
 0.79810427 0.81990521 0.83886256 0.82748815]";76.57$\pm$7.23;"[0.77725118 0.79052133 0.55260664 0.78483412 0.82369668 0.79052133
 0.78009479 0.78957346 0.79620853 0.77156398]";83.07$\pm$1.32;"[0.83601896 0.81990521 0.84549763 0.85308057 0.82369668 0.80853081
 0.82274882 0.82464455 0.82748815 0.84549763]";79.36$\pm$7.14;"[0.81327014 0.76872038 0.59146919 0.79810427 0.81800948 0.83127962
 0.80758294 0.86255924 0.83791469 0.80758294]";84.8$\pm$1.96;"[0.83127962 0.86350711 0.85781991 0.8549763  0.82654028 0.82274882
 0.82559242 0.88530806 0.85118483 0.86066351]";86.93$\pm$1.34;"[0.84549763 0.87582938 0.87488152 0.88246445 0.85402844 0.85971564
 0.85592417 0.87677725 0.88530806 0.88246445]"
ROCAUC;95.08$\pm$0.27;"[0.94666853 0.9457739  0.95290672 0.95225354 0.95050066 0.95358146
 0.94975944 0.95033804 0.95146991 0.95449967]";93.63$\pm$0.27;"[0.93367447 0.93165472 0.94039757 0.93370679 0.93723771 0.93865816
 0.93397633 0.93774084 0.9375172  0.93876777]";94.72$\pm$0.71;"[0.94832235 0.94411626 0.95950405 0.9447317  0.9395674  0.94940186
 0.93363671 0.95545293 0.94633129 0.95138833]";95.07$\pm$0.53;"[0.9425677  0.94417735 0.96299544 0.95003167 0.94884571 0.94992745
 0.95146919 0.95130208 0.95046584 0.95487253]";94.56$\pm$0.6;"[0.93843089 0.94668628 0.95475483 0.9464172  0.93743716 0.94545855
 0.93664428 0.95266324 0.95049507 0.94747108]";93.93$\pm$0.4;"[0.93655404 0.94202826 0.94634397 0.94220256 0.93625211 0.93530604
 0.93221985 0.940491   0.9393311  0.94212259]";91.06$\pm$0.49;"[0.91619828 0.90303632 0.91951349 0.91047101 0.91066328 0.90638755
 0.90901013 0.91364794 0.91246167 0.90448103]";93.79$\pm$0.63;"[0.93347752 0.93365468 0.93725658 0.942119   0.9296934  0.94201837
 0.92735024 0.94250983 0.94662536 0.94474158]";93.96$\pm$0.38;"[0.93935088 0.93912985 0.94460367 0.93668246 0.93700052 0.9398558
 0.93179488 0.94369578 0.93901454 0.94495901]";93.27$\pm$0.54;"[0.93793987 0.93374722 0.94175737 0.93704634 0.92527661 0.93349386
 0.9231338  0.93067451 0.93390874 0.92996069]";94.14$\pm$1.04;"[0.94200923 0.94427169 0.91232811 0.94695537 0.9416554  0.95027785
 0.93678129 0.94877563 0.94652554 0.94472541]";93.3$\pm$0.58;"[0.93110785 0.93825835 0.93632219 0.9361946  0.92107365 0.93299252
 0.92351475 0.9379996  0.93757475 0.93522473]";91.48$\pm$2.28;"[0.91753195 0.92033422 0.84720739 0.92232654 0.93007614 0.92388042
 0.91895061 0.9220907  0.91854187 0.92672671]";93.02$\pm$0.56;"[0.93165553 0.91926327 0.9384039  0.93750904 0.93208508 0.92761798
 0.92403181 0.92648593 0.93191903 0.93349431]";91.64$\pm$2.43;"[0.93072655 0.91377732 0.84658431 0.91847802 0.92969161 0.92806631
 0.91605849 0.9360805  0.92724534 0.91683206]";94.62$\pm$0.46;"[0.94020072 0.94976169 0.95179623 0.94431931 0.94055929 0.94680982
 0.9417695  0.95271984 0.94348229 0.95104737]";95.45$\pm$0.38;"[0.94965152 0.9522203  0.95989578 0.95475483 0.94965432 0.95455358
 0.95063004 0.95894791 0.95519483 0.9594223 ]"
AP;95.38$\pm$0.27;"[0.95010477 0.95031936 0.95802404 0.9550848  0.9549905  0.95613879
 0.94967212 0.95335727 0.95591964 0.95466535]";94.13$\pm$0.31;"[0.93699865 0.93859704 0.942838   0.94191513 0.9421156  0.94717926
 0.93805212 0.94542423 0.93958421 0.94036576]";94.33$\pm$0.78;"[0.94300251 0.94310231 0.95197146 0.94258436 0.93347549 0.94772162
 0.9282019  0.95600337 0.93991475 0.9471006 ]";95.11$\pm$0.45;"[0.9433663  0.94602332 0.95983638 0.95067203 0.95075954 0.9503607
 0.95329624 0.95414918 0.94763695 0.9546974 ]";94.47$\pm$0.61;"[0.93727761 0.94174729 0.95562632 0.94706364 0.93992501 0.94357938
 0.93586306 0.95193273 0.94991146 0.94441505]";94.19$\pm$0.35;"[0.93748805 0.94672959 0.94344635 0.94526813 0.93955081 0.94230888
 0.93465179 0.94492161 0.9423319  0.94254185]";91.79$\pm$0.53;"[0.92627183 0.91599479 0.92141984 0.92120013 0.91921138 0.91232322
 0.91466003 0.92480777 0.91389991 0.90899114]";94.59$\pm$0.44;"[0.94064084 0.94323169 0.94518582 0.94933362 0.94037501 0.94949401
 0.94000947 0.95119658 0.95108117 0.94894167]";93.9$\pm$0.5;"[0.93977175 0.9401167  0.94271466 0.93086584 0.93433742 0.9420561
 0.93158729 0.9472781  0.93810309 0.94319339]";93.48$\pm$0.46;"[0.94005044 0.9366718  0.93883891 0.93856709 0.93133164 0.93595079
 0.92555455 0.93440131 0.93800355 0.92837365]";94.22$\pm$1.19;"[0.94364373 0.94619097 0.90875036 0.94912932 0.94449545 0.95006542
 0.93631362 0.95167643 0.94705537 0.9448447 ]";93.26$\pm$0.67;"[0.930866   0.93982568 0.93268182 0.9400207  0.91758042 0.93381348
 0.92526102 0.94044716 0.93324914 0.93243872]";91.69$\pm$2.45;"[0.92123023 0.92192066 0.84427152 0.92708385 0.93430855 0.92613162
 0.92205455 0.92680659 0.92096298 0.9240307 ]";94.0$\pm$0.43;"[0.93801374 0.93460537 0.94555844 0.94751178 0.94233871 0.93878549
 0.9334884  0.94201911 0.94100978 0.93678367]";92.43$\pm$2.39;"[0.93554969 0.92152614 0.85507094 0.92812869 0.93197635 0.93671481
 0.92942712 0.94518572 0.93272505 0.92710942]";94.59$\pm$0.5;"[0.93849211 0.9533356  0.94989968 0.94525771 0.93987119 0.94711108
 0.94215851 0.95389437 0.94258399 0.94686119]";95.36$\pm$0.42;"[0.94674601 0.95092821 0.95793893 0.95812812 0.94831131 0.95487715
 0.9500315  0.95948733 0.95344152 0.95650684]"
pretrain_time;nan$\pm$nan;[];5.07$\pm$0.01;"[5.04992867 5.06029153 5.05839682 5.05361009 5.0619483  5.06426048
 5.08669329 5.08590388 5.08586884 5.08676481]";18.24$\pm$0.08;"[18.19808364 18.16677022 18.35891628 18.33914375 18.18876338 18.32246685
 18.17593789 18.17348313 18.3237474  18.19164729]";31.96$\pm$0.1;"[31.92155242 31.89328456 31.94805932 31.90779376 32.17023826 32.14411378
 31.88344431 31.88816381 31.93712807 31.90900445]";16.27$\pm$0.03;"[16.25094485 16.20924687 16.2609179  16.24705863 16.31884336 16.28559113
 16.28248858 16.2854259  16.29418898 16.22930765]";28.19$\pm$0.16;"[28.38957429 28.09507966 28.11478591 28.05963016 28.60897589 28.0809226
 28.15110207 28.14417672 28.15927267 28.13500524]";11.74$\pm$0.01;"[11.72936749 11.73205662 11.73604345 11.73600173 11.73767638 11.75358224
 11.74008346 11.74849868 11.74491262 11.74151683]";26.95$\pm$0.35;"[28.00499701 26.77339411 26.87491703 26.88272786 26.88000607 26.81408715
 26.81526518 26.82638407 26.84742713 26.81780744]";27.09$\pm$0.45;"[26.87915301 26.76222539 26.80038071 26.78624058 26.80506206 26.87934542
 26.85094547 27.80866385 28.07353091 27.23235202]";29.93$\pm$0.42;"[29.77855015 29.78948975 29.72807884 29.73925447 31.19309211 29.75826025
 29.84285307 29.77455854 29.8110652  29.90995216]";18.17$\pm$0.44;"[18.00839281 18.75761914 17.92495227 17.92375731 17.93092871 17.93451667
 17.96878123 17.96799207 17.95971298 19.27537656]";24.53$\pm$0.06;"[24.56568003 24.56683135 24.48365092 24.45187211 24.55816054 24.50946021
 24.64775038 24.45493913 24.56413984 24.47627735]";19.5$\pm$0.13;"[19.42770243 19.43035841 19.46131134 19.3775816  19.47096276 19.42760611
 19.53994155 19.47389865 19.49949074 19.87075138]";26.63$\pm$0.42;"[26.45360112 26.41173482 26.37521648 26.45337963 26.40335345 26.4111464
 27.34291148 26.36264467 27.59198451 26.54174209]";66.31$\pm$0.2;"[65.99191523 66.07828975 66.33239794 66.50197291 66.18870592 66.50785184
 66.30679154 66.49794364 66.60139537 66.09287667]";83.36$\pm$4.02;"[82.09039426 84.386971   81.93601298 81.73681355 80.12462783 94.95842171
 81.31223059 81.11651421 83.10059047 82.81799507]";49.87$\pm$2.9;"[47.6914103  51.81482291 57.30834556 51.56157541 49.79627442 49.03442764
 48.51295662 47.89766932 47.55171204 47.49204636]"
