metrics;baseline,enc:gcn_ncn,pred:mlp_mean;baseline,enc:gcn_ncn,pred:mlp;grace,enc:gcn_ncn,pred:mlp,random_mean;grace,enc:gcn_ncn,pred:mlp,random;grace,enc:gcn_ncn,pred:mlp,deg_mean;grace,enc:gcn_ncn,pred:mlp,deg;grace,enc:gcn_ncn,pred:mlp,evc_mean;grace,enc:gcn_ncn,pred:mlp,evc;grace,enc:gcn_ncn,pred:mlp,pr_mean;grace,enc:gcn_ncn,pred:mlp,pr;infomap_prob_pred_mean;infomap_prob_pred;grace,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;grace,enc:gcn_ncn,pred:mlp,sbm_fast2;bgrl,enc:gcn_ncn,pred:mlp,random_mean;bgrl,enc:gcn_ncn,pred:mlp,random;bgrl,enc:gcn_ncn,pred:mlp,deg_mean;bgrl,enc:gcn_ncn,pred:mlp,deg;bgrl,enc:gcn_ncn,pred:mlp,evc_mean;bgrl,enc:gcn_ncn,pred:mlp,evc;bgrl,enc:gcn_ncn,pred:mlp,pr_mean;bgrl,enc:gcn_ncn,pred:mlp,pr;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_ncn,pred:mlp,sbm_fast2;lbgrl,enc:gcn_ncn,pred:mlp,random_mean;lbgrl,enc:gcn_ncn,pred:mlp,random;lbgrl,enc:gcn_ncn,pred:mlp,deg_mean;lbgrl,enc:gcn_ncn,pred:mlp,deg;lbgrl,enc:gcn_ncn,pred:mlp,evc_mean;lbgrl,enc:gcn_ncn,pred:mlp,evc;lbgrl,enc:gcn_ncn,pred:mlp,pr_mean;lbgrl,enc:gcn_ncn,pred:mlp,pr;lbgrl,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_ncn,pred:mlp,sbm_fast2;lgrace,enc:gcn_ncn,pred:mlp,random_mean;lgrace,enc:gcn_ncn,pred:mlp,random;lgrace,enc:gcn_ncn,pred:mlp,deg_mean;lgrace,enc:gcn_ncn,pred:mlp,deg;lgrace,enc:gcn_ncn,pred:mlp,evc_mean;lgrace,enc:gcn_ncn,pred:mlp,evc;lgrace,enc:gcn_ncn,pred:mlp,pr_mean;lgrace,enc:gcn_ncn,pred:mlp,pr;lgrace,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_ncn,pred:mlp,sbm_fast2
Hits@10;71.17$\pm$6.68;"[0.74817518 0.69708029 0.79014599 0.58759124 0.72262774 0.66788321
 0.79014599 0.77372263 0.72445255 0.6149635 ]";78.65$\pm$0.97;"[0.77554745 0.80656934 0.79562044 0.78467153 0.79014599 0.7810219
 0.78649635 0.77007299 0.78467153 0.79014599]";73.65$\pm$5.83;"[0.75547445 0.71532847 0.78467153 0.73357664 0.78284672 0.58941606
 0.78467153 0.75912409 0.68430657 0.77554745]";49.87$\pm$9.79;"[0.40328467 0.31021898 0.60218978 0.60948905 0.51277372 0.43065693
 0.47445255 0.64416058 0.47080292 0.52919708]";78.38$\pm$1.39;"[0.76642336 0.80474453 0.80109489 0.78649635 0.77372263 0.7810219
 0.77737226 0.76277372 0.78284672 0.80109489]";79.2$\pm$1.1;"[0.76642336 0.79927007 0.79744526 0.80474453 0.78467153 0.79014599
 0.79562044 0.79379562 0.78284672 0.80474453]";61.26$\pm$7.82;"[0.6459854  0.47445255 0.51094891 0.68248175 0.60583942 0.52737226
 0.71167883 0.66605839 0.61313869 0.6879562 ]";56.02$\pm$7.32;"[0.55109489 0.49087591 0.62773723 0.6350365  0.59671533 0.51824818
 0.54744526 0.66605839 0.56386861 0.40510949]";79.23$\pm$1.17;"[0.76824818 0.8120438  0.79744526 0.79927007 0.78832117 0.78649635
 0.78649635 0.78284672 0.79927007 0.80291971]";78.67$\pm$1.14;"[0.76277372 0.79379562 0.79562044 0.79562044 0.7810219  0.77919708
 0.7919708  0.78284672 0.77919708 0.80474453]";15.31$\pm$30.62;"[0.75547445 0.         0.         0.         0.         0.
 0.77554745 0.         0.         0.        ]";79.2$\pm$1.1;"[0.76642336 0.79927007 0.79744526 0.80474453 0.78467153 0.79014599
 0.79562044 0.79379562 0.78284672 0.80474453]";78.41$\pm$0.94;"[0.77007299 0.7810219  0.79562044 0.79562044 0.77189781 0.78832117
 0.79014599 0.77372263 0.7810219  0.79379562]";66.22$\pm$10.98;"[0.75547445 0.76642336 0.63868613 0.73357664 0.74635036 0.65328467
 0.77007299 0.55291971 0.58576642 0.41970803]";75.38$\pm$3.37;"[0.74635036 0.79379562 0.78284672 0.74270073 0.78649635 0.72810219
 0.75729927 0.67153285 0.76277372 0.76642336]";54.51$\pm$28.41;"[0.77372263 0.76824818 0.         0.79562044 0.77737226 0.3959854
 0.77007299 0.69343066 0.30109489 0.17518248]";23.1$\pm$35.31;"[0.76642336 0.         0.80109489 0.         0.         0.
 0.         0.         0.74270073 0.        ]";76.57$\pm$2.71;"[0.75729927 0.78467153 0.79562044 0.79927007 0.70072993 0.76642336
 0.7810219  0.77007299 0.75       0.75182482]";0.53$\pm$1.59;"[0.         0.         0.         0.         0.05291971 0.
 0.         0.         0.         0.        ]";79.25$\pm$1.19;"[0.76824818 0.79562044 0.80656934 0.80291971 0.79744526 0.79014599
 0.79014599 0.7919708  0.77554745 0.80656934]";0.0$\pm$0.0;[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];65.8$\pm$6.59;"[0.67335766 0.69708029 0.59854015 0.75       0.72992701 0.73540146
 0.6459854  0.55109489 0.60583942 0.59306569]";40.64$\pm$7.24;"[0.3850365  0.36861314 0.29744526 0.39781022 0.42518248 0.43065693
 0.40145985 0.48175182 0.31569343 0.56021898]"
Hits@20;77.66$\pm$1.49;"[0.77007299 0.7810219  0.79744526 0.74817518 0.78467153 0.76277372
 0.79927007 0.77919708 0.77919708 0.76459854]";79.98$\pm$1.41;"[0.78832117 0.83029197 0.81569343 0.79562044 0.80656934 0.79014599
 0.79927007 0.77737226 0.79744526 0.79744526]";77.96$\pm$1.82;"[0.76642336 0.76824818 0.7919708  0.79014599 0.78649635 0.7810219
 0.78832117 0.77737226 0.73722628 0.80839416]";63.72$\pm$6.92;"[0.60218978 0.55474453 0.70620438 0.70620438 0.67335766 0.53649635
 0.54014599 0.68613139 0.6459854  0.72080292]";79.4$\pm$1.79;"[0.77372263 0.80474453 0.83029197 0.7919708  0.77919708 0.7919708
 0.78832117 0.77372263 0.78649635 0.81934307]";79.62$\pm$1.19;"[0.76824818 0.80291971 0.80291971 0.80656934 0.78832117 0.79562044
 0.79927007 0.79927007 0.78649635 0.8120438 ]";72.77$\pm$4.0;"[0.74270073 0.63868613 0.69160584 0.72262774 0.74452555 0.69160584
 0.76459854 0.75182482 0.75364964 0.77554745]";66.08$\pm$7.43;"[0.68978102 0.6459854  0.70437956 0.76094891 0.68248175 0.58941606
 0.70255474 0.72262774 0.62043796 0.48905109]";80.18$\pm$1.13;"[0.78467153 0.82116788 0.8120438  0.80839416 0.79379562 0.79014599
 0.79927007 0.79014599 0.80839416 0.81021898]";79.16$\pm$1.18;"[0.76459854 0.79744526 0.80109489 0.80109489 0.7810219  0.7919708
 0.79562044 0.78467153 0.79014599 0.80839416]";15.53$\pm$31.06;"[0.77007299 0.         0.         0.         0.         0.
 0.78284672 0.         0.         0.        ]";79.62$\pm$1.19;"[0.76824818 0.80291971 0.80291971 0.80656934 0.78832117 0.79562044
 0.79927007 0.79927007 0.78649635 0.8120438 ]";79.18$\pm$0.91;"[0.77554745 0.79379562 0.79744526 0.80656934 0.77919708 0.79562044
 0.79379562 0.78284672 0.79562044 0.79744526]";70.62$\pm$10.15;"[0.76459854 0.78832117 0.69708029 0.79379562 0.76277372 0.75729927
 0.78284672 0.59124088 0.65875912 0.46532847]";77.9$\pm$2.32;"[0.75912409 0.80474453 0.78832117 0.80474453 0.79014599 0.76642336
 0.77189781 0.72445255 0.7919708  0.78832117]";63.43$\pm$20.28;"[0.78649635 0.79014599 0.57664234 0.80109489 0.78284672 0.47992701
 0.78832117 0.75912409 0.35766423 0.22080292]";30.07$\pm$37.16;"[0.78467153 0.         0.82664234 0.         0.         0.62226277
 0.         0.         0.77372263 0.        ]";78.87$\pm$1.08;"[0.76094891 0.79379562 0.79562044 0.79927007 0.78649635 0.79562044
 0.79379562 0.7810219  0.78467153 0.79562044]";17.85$\pm$25.89;"[0.         0.60036496 0.         0.         0.06751825 0.
 0.56934307 0.54744526 0.         0.        ]";80.16$\pm$1.01;"[0.77737226 0.80291971 0.80656934 0.80656934 0.81021898 0.79379562
 0.80474453 0.80656934 0.79379562 0.81386861]";26.06$\pm$32.14;"[0.66240876 0.         0.         0.         0.         0.55109489
 0.         0.70437956 0.6879562  0.        ]";71.22$\pm$4.24;"[0.72810219 0.74087591 0.66058394 0.76277372 0.76642336 0.75729927
 0.69890511 0.65145985 0.69343066 0.66240876]";56.81$\pm$10.31;"[0.51459854 0.60948905 0.59854015 0.44890511 0.54927007 0.51094891
 0.67518248 0.68430657 0.37591241 0.71350365]"
Hits@50;80.93$\pm$0.91;"[0.79379562 0.81569343 0.81751825 0.81751825 0.79744526 0.8229927
 0.8120438  0.80839416 0.80656934 0.80109489]";84.27$\pm$2.12;"[0.83394161 0.89051095 0.85218978 0.83211679 0.85948905 0.81021898
 0.83941606 0.81934307 0.84671533 0.84306569]";82.28$\pm$1.79;"[0.80109489 0.84124088 0.80109489 0.81021898 0.80839416 0.85036496
 0.81386861 0.84854015 0.83029197 0.8229927 ]";77.99$\pm$1.67;"[0.77007299 0.80474453 0.7919708  0.79562044 0.75729927 0.78832117
 0.76459854 0.77189781 0.75729927 0.79744526]";83.07$\pm$2.3;"[0.79927007 0.82116788 0.86131387 0.80109489 0.81751825 0.85218978
 0.80839416 0.83576642 0.86131387 0.84854015]";81.02$\pm$0.93;"[0.79562044 0.81934307 0.81569343 0.80839416 0.80656934 0.8120438
 0.81021898 0.82481752 0.79379562 0.81569343]";79.67$\pm$1.64;"[0.80656934 0.78284672 0.77919708 0.79379562 0.8120438  0.77372263
 0.7810219  0.79927007 0.81386861 0.82481752]";77.79$\pm$1.92;"[0.76459854 0.7919708  0.76824818 0.80291971 0.79927007 0.75182482
 0.7919708  0.79379562 0.76642336 0.74817518]";83.28$\pm$1.62;"[0.81569343 0.85948905 0.84489051 0.84489051 0.79927007 0.83759124
 0.82664234 0.82481752 0.84124088 0.83394161]";81.35$\pm$1.43;"[0.79744526 0.83029197 0.80839416 0.82664234 0.79927007 0.80109489
 0.82846715 0.80839416 0.79927007 0.83576642]";21.09$\pm$33.58;"[0.81386861 0.         0.         0.         0.         0.
 0.83576642 0.         0.         0.45985401]";81.02$\pm$0.93;"[0.79562044 0.81934307 0.81569343 0.80839416 0.80656934 0.8120438
 0.81021898 0.82481752 0.79379562 0.81569343]";81.41$\pm$1.13;"[0.78649635 0.82116788 0.8229927  0.81934307 0.8120438  0.80656934
 0.8229927  0.80656934 0.82664234 0.81569343]";76.51$\pm$6.89;"[0.78832117 0.82481752 0.77554745 0.82664234 0.78832117 0.80656934
 0.81569343 0.66970803 0.75       0.60583942]";79.12$\pm$1.37;"[0.76642336 0.80839416 0.79379562 0.81021898 0.79744526 0.77919708
 0.79014599 0.77372263 0.7919708  0.80109489]";70.97$\pm$17.73;"[0.82116788 0.84489051 0.74817518 0.84489051 0.7919708  0.61861314
 0.83029197 0.83029197 0.43978102 0.32664234]";69.56$\pm$24.24;"[0.8120438  0.7080292  0.86678832 0.82116788 0.         0.67518248
 0.7919708  0.63868613 0.83941606 0.80291971]";80.49$\pm$1.28;"[0.77372263 0.81021898 0.81021898 0.81386861 0.79014599 0.80656934
 0.81386861 0.80291971 0.80839416 0.81934307]";53.67$\pm$32.47;"[0.         0.78649635 0.60948905 0.         0.14963504 0.76459854
 0.77737226 0.75729927 0.78649635 0.73540146]";82.65$\pm$1.13;"[0.80839416 0.83394161 0.83211679 0.83394161 0.81751825 0.80656934
 0.83759124 0.83941606 0.8229927  0.83211679]";64.95$\pm$32.54;"[0.79379562 0.         0.86313869 0.78467153 0.         0.79379562
 0.82481752 0.80839416 0.82116788 0.80474453]";78.34$\pm$1.48;"[0.77372263 0.80109489 0.77007299 0.8120438  0.78284672 0.79562044
 0.77007299 0.76277372 0.77919708 0.78649635]";73.49$\pm$10.8;"[0.68430657 0.77007299 0.80109489 0.61678832 0.74270073 0.71167883
 0.83029197 0.85036496 0.49270073 0.84854015]"
Hits@100;83.45$\pm$0.96;"[0.83029197 0.85036496 0.82846715 0.83394161 0.83394161 0.85036496
 0.84124088 0.83029197 0.82664234 0.81934307]";90.49$\pm$1.68;"[0.88868613 0.93065693 0.90328467 0.92335766 0.91423358 0.87408759
 0.91058394 0.88868613 0.91788321 0.89781022]";88.23$\pm$1.72;"[0.84671533 0.91605839 0.87773723 0.87226277 0.87956204 0.88321168
 0.88321168 0.88686131 0.90145985 0.87591241]";84.43$\pm$1.4;"[0.8540146  0.84306569 0.86313869 0.84489051 0.85766423 0.84854015
 0.81386861 0.84854015 0.82481752 0.84489051]";88.12$\pm$1.63;"[0.88321168 0.8649635  0.89233577 0.84671533 0.88138686 0.88138686
 0.87226277 0.8959854  0.90875912 0.8850365 ]";83.23$\pm$1.23;"[0.81934307 0.83394161 0.84306569 0.82846715 0.83941606 0.83576642
 0.82116788 0.85036496 0.80839416 0.84306569]";85.64$\pm$1.81;"[0.8649635  0.82481752 0.85036496 0.84854015 0.87043796 0.85036496
 0.83211679 0.85948905 0.8850365  0.87773723]";83.91$\pm$2.08;"[0.8229927  0.85766423 0.84306569 0.84124088 0.87956204 0.81751825
 0.85218978 0.84671533 0.82481752 0.80474453]";87.9$\pm$2.36;"[0.87408759 0.91240876 0.89781022 0.87591241 0.82116788 0.87408759
 0.87408759 0.86861314 0.89416058 0.89781022]";85.68$\pm$1.04;"[0.84854015 0.86313869 0.85218978 0.8540146  0.84124088 0.84489051
 0.8540146  0.8649635  0.87043796 0.87408759]";22.52$\pm$36.2;"[0.87591241 0.         0.         0.         0.         0.
 0.91605839 0.         0.         0.45985401]";83.23$\pm$1.23;"[0.81934307 0.83394161 0.84306569 0.82846715 0.83941606 0.83576642
 0.82116788 0.85036496 0.80839416 0.84306569]";83.19$\pm$1.07;"[0.81569343 0.84306569 0.83211679 0.82846715 0.82664234 0.82664234
 0.85036496 0.81751825 0.84306569 0.83576642]";81.53$\pm$5.12;"[0.82846715 0.85583942 0.83759124 0.85583942 0.81021898 0.85766423
 0.8540146  0.75182482 0.80839416 0.69343066]";80.6$\pm$1.13;"[0.79562044 0.81751825 0.80839416 0.81569343 0.81934307 0.81021898
 0.79562044 0.78284672 0.80109489 0.81386861]";76.42$\pm$14.38;"[0.8540146  0.86678832 0.84489051 0.86861314 0.80839416 0.70072993
 0.84854015 0.85948905 0.54014599 0.45072993]";74.2$\pm$25.88;"[0.86678832 0.77554745 0.91058394 0.89416058 0.         0.67518248
 0.82846715 0.70985401 0.88686131 0.87226277]";83.3$\pm$1.38;"[0.81751825 0.82116788 0.81934307 0.82481752 0.83211679 0.82846715
 0.83029197 0.85583942 0.84306569 0.85766423]";76.24$\pm$17.97;"[0.7189781  0.85766423 0.78832117 0.84306569 0.23540146 0.83211679
 0.83576642 0.83576642 0.83759124 0.83941606]";86.17$\pm$1.11;"[0.84671533 0.85948905 0.85948905 0.86861314 0.86313869 0.84489051
 0.88686131 0.85948905 0.86131387 0.86678832]";87.5$\pm$2.08;"[0.85766423 0.90328467 0.8959854  0.85036496 0.84124088 0.88321168
 0.89781022 0.87591241 0.88686131 0.85766423]";83.94$\pm$2.34;"[0.85036496 0.87408759 0.84854015 0.87773723 0.80839416 0.83759124
 0.81569343 0.8120438  0.8229927  0.84671533]";82.81$\pm$5.49;"[0.79562044 0.80656934 0.86313869 0.75364964 0.86131387 0.8649635
 0.86313869 0.89051095 0.71532847 0.86678832]"
ROCAUC;89.6$\pm$0.9;"[0.88978502 0.90501958 0.88613538 0.9061884  0.90324138 0.89179964
 0.90307821 0.90592866 0.88581238 0.88293862]";94.65$\pm$0.78;"[0.94094318 0.95969085 0.94420321 0.94892842 0.95258138 0.93811271
 0.95338723 0.93132626 0.94820582 0.94806263]";93.09$\pm$0.61;"[0.91802973 0.94037042 0.92948146 0.93080012 0.93819929 0.92493773
 0.93336419 0.93423997 0.93190567 0.92768661]";90.46$\pm$0.65;"[0.89949185 0.9031215  0.91038081 0.91060059 0.91524255 0.89662475
 0.89314162 0.90869252 0.905589   0.90263533]";93.16$\pm$1.12;"[0.93101324 0.93409345 0.94450956 0.90284179 0.92836925 0.93020739
 0.93012414 0.93308614 0.94680058 0.93473613]";89.44$\pm$0.64;"[0.8887161  0.89534605 0.90343785 0.89500306 0.90008458 0.88674477
 0.89159652 0.90030436 0.88294528 0.90031768]";92.15$\pm$0.57;"[0.92235535 0.9128583  0.91734043 0.92449651 0.92527905 0.91257692
 0.9253623  0.91851923 0.93110648 0.92508258]";90.92$\pm$1.23;"[0.90007459 0.91924849 0.91670441 0.91118    0.92522577 0.89718086
 0.91985788 0.9141137  0.90609516 0.88241915]";93.15$\pm$1.65;"[0.93384371 0.95145586 0.93850232 0.93553199 0.88579573 0.92904523
 0.93603482 0.92663268 0.93960786 0.93884197]";92.98$\pm$0.62;"[0.92255181 0.93325763 0.9347994  0.92887541 0.91966141 0.92355746
 0.93314774 0.92856572 0.9318757  0.94160251]";72.62$\pm$14.15;"[0.93932149 0.72445255 0.70678546 0.5        0.5        0.78869412
 0.93155103 0.68156934 0.78570715 0.70437956]";89.44$\pm$0.64;"[0.8887161  0.89534605 0.90343785 0.89500306 0.90008458 0.88674477
 0.89159652 0.90030436 0.88294528 0.90031768]";87.86$\pm$0.98;"[0.86855486 0.8847035  0.88472681 0.87784878 0.86037482 0.87241595
 0.89508631 0.87142029 0.88481339 0.8862819 ]";88.94$\pm$3.38;"[0.90158639 0.91007113 0.9033213  0.91919189 0.88333156 0.91384397
 0.91827282 0.84276267 0.88991822 0.81123129]";89.51$\pm$1.59;"[0.89141004 0.91369745 0.90833955 0.89942192 0.88280209 0.89748055
 0.89543263 0.85525001 0.89745724 0.90999787]";87.42$\pm$9.13;"[0.9422402  0.94658413 0.91221895 0.93882532 0.8776007  0.84311065
 0.93512241 0.93053373 0.75616708 0.65942512]";85.18$\pm$12.66;"[0.94283459 0.84846855 0.95053346 0.92737859 0.50091574 0.81348234
 0.87645852 0.81505075 0.93276646 0.91019434]";91.25$\pm$1.05;"[0.90248049 0.9102676  0.91397384 0.88738412 0.91778831 0.91360754
 0.91203913 0.91734875 0.92353082 0.9260849 ]";83.03$\pm$10.63;"[0.81255161 0.90215415 0.85081118 0.85245951 0.51854621 0.86589589
 0.87592573 0.87632033 0.87029477 0.87817512]";92.17$\pm$0.68;"[0.90817305 0.93304951 0.91653458 0.92363738 0.92246191 0.91874734
 0.93206384 0.9215828  0.91975798 0.92130807]";90.39$\pm$2.09;"[0.91100352 0.90074058 0.92437663 0.89155489 0.85034165 0.90357105
 0.92091181 0.91728049 0.92241862 0.89675129]";92.06$\pm$1.26;"[0.92236534 0.94032381 0.91853255 0.94485588 0.90622503 0.92251518
 0.91682095 0.90603189 0.90779011 0.92004103]";87.95$\pm$2.5;"[0.86699811 0.84252957 0.90056077 0.84713157 0.884214   0.88231925
 0.89795008 0.92171266 0.85307555 0.89895239]"
AP;92.77$\pm$0.46;"[0.92655602 0.93324794 0.92640687 0.92924862 0.93075578 0.92436555
 0.93121379 0.93381319 0.92240091 0.91876687]";95.94$\pm$0.51;"[0.95537609 0.9693035  0.95973507 0.96019566 0.96373801 0.9527948
 0.96297157 0.95120191 0.95903095 0.95971719]";94.57$\pm$0.64;"[0.93937897 0.94800753 0.94821712 0.9475601  0.95294282 0.93042068
 0.95085733 0.95042175 0.94152163 0.9475606 ]";91.59$\pm$0.97;"[0.91455521 0.90488173 0.92903214 0.92921563 0.92185789 0.90653388
 0.89939018 0.9234732  0.91189047 0.91802706]";94.91$\pm$0.9;"[0.94868344 0.95184399 0.95925675 0.92563542 0.94497419 0.95062885
 0.94880099 0.94792996 0.95922412 0.95368331]";93.14$\pm$0.43;"[0.92666049 0.93261462 0.93727348 0.9315177  0.93338519 0.92765204
 0.92988335 0.93586705 0.92314498 0.93550516]";93.26$\pm$0.77;"[0.93632238 0.91731691 0.9268523  0.93628458 0.93150426 0.92336093
 0.93763649 0.93257155 0.9409883  0.94357649]";92.37$\pm$1.12;"[0.91885119 0.92543174 0.92783218 0.93185118 0.93709461 0.91270945
 0.93291481 0.93237694 0.92013883 0.89772734]";95.1$\pm$0.93;"[0.95057849 0.96324928 0.95623715 0.95271596 0.92613601 0.94910673
 0.9522729  0.94787351 0.95600166 0.9555065 ]";94.84$\pm$0.41;"[0.94285953 0.95169003 0.95082281 0.94876398 0.94192716 0.94450204
 0.95076116 0.94799197 0.9491481  0.95598895]";69.33$\pm$14.48;"[0.95301758 0.66412038 0.6534687  0.5        0.5        0.72357278
 0.9326391  0.61306106 0.70906511 0.68394161]";93.14$\pm$0.43;"[0.92666049 0.93261462 0.93727348 0.9315177  0.93338519 0.92765204
 0.92988335 0.93586705 0.92314498 0.93550516]";92.23$\pm$0.61;"[0.91349979 0.9193098  0.92793774 0.9220816  0.91588266 0.91533714
 0.93292116 0.92127986 0.92697761 0.92765456]";91.89$\pm$2.8;"[0.93135737 0.9383056  0.9264196  0.94173198 0.92263197 0.93630773
 0.94191389 0.88389691 0.91585466 0.85082377]";92.43$\pm$1.08;"[0.92255761 0.93604817 0.93304151 0.92763677 0.92082556 0.92094328
 0.92594635 0.89564562 0.92730589 0.93300477]";89.4$\pm$8.09;"[0.95388323 0.95613624 0.90669016 0.95354299 0.91999251 0.86443714
 0.94977101 0.94386693 0.7869938  0.70490395]";84.71$\pm$12.75;"[0.95309697 0.83363775 0.96163779 0.91483346 0.50045829 0.80598635
 0.87030269 0.80851115 0.93767111 0.88529917]";93.7$\pm$0.49;"[0.92955641 0.93732654 0.93933555 0.92779282 0.93424927 0.93687355
 0.93976729 0.94191408 0.93932376 0.94430529]";81.21$\pm$9.52;"[0.75624334 0.89403373 0.82813789 0.80883079 0.54767612 0.8466378
 0.86976404 0.8624305  0.84706528 0.85995414]";94.46$\pm$0.48;"[0.93752098 0.95101221 0.94400928 0.94825644 0.94637662 0.94098795
 0.95074854 0.94686208 0.93663313 0.94372713]";88.85$\pm$3.23;"[0.91214567 0.86152454 0.90669949 0.87422977 0.80561315 0.9009606
 0.90188493 0.91578814 0.91364301 0.89207576]";93.54$\pm$1.01;"[0.93855636 0.94989205 0.92932023 0.95412232 0.92988587 0.94123719
 0.93246999 0.91965358 0.92647786 0.93209466]";89.77$\pm$2.26;"[0.88710769 0.88319538 0.90796218 0.86949536 0.90406365 0.89989507
 0.91594098 0.92758946 0.85515667 0.92616074]"
pretrain_time;nan$\pm$nan;[];77.01$\pm$0.33;"[76.72235918 77.00197649 76.68982697 76.56066537 77.66147804 77.14603662
 76.71750402 77.33918738 77.1468327  77.15989423]";61.75$\pm$1.04;"[61.33855939 61.6322639  64.78356957 61.45557737 61.52706289 61.11744738
 61.46448469 61.09027719 61.18286514 61.91349483]";11.95$\pm$0.46;"[12.85766959 11.55088663 11.59554315 11.54367518 12.5004437  11.78459096
 11.63629103 11.54342365 12.04164767 12.41041946]";6.82$\pm$0.08;"[6.78623843 6.82641149 6.80178666 7.03804493 6.84180713 6.79109859
 6.78067207 6.77321529 6.77133107 6.74359632]";nan$\pm$nan;[];82.7$\pm$0.36;"[82.62638974 83.18206811 82.71928501 82.8498435  82.71004963 82.9914732
 83.12094736 81.88160181 82.56247163 82.35664153]";72.46$\pm$0.37;"[72.76202321 72.4698503  72.6021204  72.78302193 72.28092217 71.87678123
 72.45416045 71.73999524 72.94091153 72.67288065]";90.81$\pm$0.52;"[90.70360684 90.32996774 91.32693505 89.96661735 91.71119189 91.34959531
 90.94752359 90.57706475 90.27429676 90.95573521]";69.82$\pm$0.38;"[70.11602712 70.03831387 68.96316504 69.82606077 70.26972342 69.86529517
 70.20802402 69.92907119 69.53798175 69.42998791]";88.37$\pm$0.45;"[87.83716249 88.04819846 87.98472548 88.89677787 89.12706852 88.38592434
 88.22568369 88.15312672 88.00826168 89.04739451]";nan$\pm$nan;[];35.41$\pm$0.26;"[35.23070049 35.16413879 35.49470115 35.56388235 35.81081653 35.34236622
 35.82266045 35.52120042 35.1058538  35.04790616]";24.68$\pm$0.65;"[24.54695964 24.5631938  26.48835063 24.34687042 25.18048978 24.32377839
 24.30619478 24.30844545 24.34308672 24.39257598]";47.02$\pm$0.38;"[46.95190787 46.70081425 46.76741004 47.46523786 47.96414137 46.77811861
 46.75526333 46.93112254 46.84139347 47.01497269]";77.71$\pm$0.37;"[77.69921207 78.12269092 77.75472403 78.32027793 77.96201754 77.88671231
 77.66281796 77.23141456 77.28952885 77.17524219]";78.15$\pm$1.05;"[77.55177045 77.67188668 77.52311754 77.88536954 81.19276428 77.91303921
 77.40586519 78.3095386  77.75620914 78.30478358]";60.97$\pm$0.35;"[60.96728325 60.87709975 60.95470977 60.99506474 61.12924647 60.95486784
 61.70265889 61.21380758 60.64204168 60.25666642]";80.82$\pm$31.34;"[ 71.90299654  69.67456579  67.16590548  72.39476776 174.67488432
  72.65056515  70.96843791  68.78475499  71.89188433  68.12985206]";166.94$\pm$25.03;"[160.65763927 160.26567984 159.02412939 160.40147853 241.80690122
 161.42937851 157.16288948 155.93091774 156.15376258 156.55962968]";114.74$\pm$3.21;"[113.96727753 113.2252512  113.75620651 113.5983994  124.33249187
 114.24925137 113.42061281 113.34029746 113.81385899 113.67518926]";59.51$\pm$8.09;"[57.03644466 56.6272912  56.629848   56.70158267 83.78051925 56.80588794
 56.74051404 56.79806733 56.97717714 56.98077941]";72.98$\pm$0.36;"[72.4807744  73.30998993 72.84747887 72.7866683  72.62171483 73.35806894
 73.70286322 73.03206348 73.03241038 72.64087629]"
