metrics;baseline,enc:gcn_ncn,pred:mlp_mean;baseline,enc:gcn_ncn,pred:mlp;grace,enc:gcn_ncn,pred:mlp,random_mean;grace,enc:gcn_ncn,pred:mlp,random;grace,enc:gcn_ncn,pred:mlp,deg_mean;grace,enc:gcn_ncn,pred:mlp,deg;grace,enc:gcn_ncn,pred:mlp,evc_mean;grace,enc:gcn_ncn,pred:mlp,evc;grace,enc:gcn_ncn,pred:mlp,pr_mean;grace,enc:gcn_ncn,pred:mlp,pr;infomap_prob_pred_mean;infomap_prob_pred;grace,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;grace,enc:gcn_ncn,pred:mlp,sbm_fast2;bgrl,enc:gcn_ncn,pred:mlp,random_mean;bgrl,enc:gcn_ncn,pred:mlp,random;bgrl,enc:gcn_ncn,pred:mlp,deg_mean;bgrl,enc:gcn_ncn,pred:mlp,deg;bgrl,enc:gcn_ncn,pred:mlp,evc_mean;bgrl,enc:gcn_ncn,pred:mlp,evc;bgrl,enc:gcn_ncn,pred:mlp,pr_mean;bgrl,enc:gcn_ncn,pred:mlp,pr;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_ncn,pred:mlp,sbm_fast2;lbgrl,enc:gcn_ncn,pred:mlp,random_mean;lbgrl,enc:gcn_ncn,pred:mlp,random;lbgrl,enc:gcn_ncn,pred:mlp,deg_mean;lbgrl,enc:gcn_ncn,pred:mlp,deg;lbgrl,enc:gcn_ncn,pred:mlp,evc_mean;lbgrl,enc:gcn_ncn,pred:mlp,evc;lbgrl,enc:gcn_ncn,pred:mlp,pr_mean;lbgrl,enc:gcn_ncn,pred:mlp,pr;leiden_prob_pred_mean;leiden_prob_pred;lbgrl,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_ncn,pred:mlp,sbm_fast2;lgrace,enc:gcn_ncn,pred:mlp,random_mean;lgrace,enc:gcn_ncn,pred:mlp,random;lgrace,enc:gcn_ncn,pred:mlp,deg_mean;lgrace,enc:gcn_ncn,pred:mlp,deg
Hits@10;25.56$\pm$4.25;"[0.26451227 0.24476361 0.28695392 0.23608618 0.24506284 0.21214841
 0.22351885 0.30550569 0.1956912  0.34141233]";18.99$\pm$5.6;"[0.10263315 0.2160383  0.15858767 0.2336924  0.12118492 0.20676242
 0.12268103 0.27498504 0.22800718 0.23429084]";23.64$\pm$3.38;"[0.24117295 0.21843208 0.26002394 0.23728306 0.18850987 0.18821065
 0.2241173  0.23937762 0.25703172 0.30939557]";28.15$\pm$4.28;"[0.2663076  0.2283064  0.32046679 0.30520646 0.24296828 0.2459605
 0.28216637 0.29503291 0.25074806 0.37791741]";20.04$\pm$8.35;"[0.18312388 0.21753441 0.21095153 0.25284261 0.18461999 0.2010772
 0.14183124 0.3043088  0.         0.30819868]";0.91$\pm$0.39;"[0.01346499 0.00598444 0.01855177 0.00568522 0.005386   0.01077199
 0.00807899 0.00658288 0.00777977 0.00867744]";20.61$\pm$3.62;"[0.18192699 0.1956912  0.25553561 0.22740874 0.1304608  0.18312388
 0.18701376 0.21843208 0.25374028 0.22800718]";21.51$\pm$4.85;"[0.21394375 0.22232196 0.27498504 0.27977259 0.21843208 0.18701376
 0.2309994  0.12896469 0.13973668 0.25463794]";19.92$\pm$3.6;"[0.20706164 0.23189707 0.22710952 0.19180132 0.11849192 0.15739078
 0.18491921 0.23818073 0.20466786 0.23040096]";19.9$\pm$3.57;"[0.17654099 0.16965889 0.23459007 0.17504488 0.14213046 0.22172352
 0.17055655 0.26421305 0.21274686 0.22232196]";21.37$\pm$3.32;"[0.23279473 0.19150209 0.2283064  0.21992819 0.18821065 0.15320168
 0.17594255 0.23578695 0.24655895 0.26451227]";0.91$\pm$0.39;"[0.01346499 0.00598444 0.01855177 0.00568522 0.005386   0.01077199
 0.00807899 0.00658288 0.00777977 0.00867744]";21.68$\pm$4.43;"[0.15978456 0.21843208 0.21274686 0.27229204 0.19718731 0.15888689
 0.18043088 0.21992819 0.24476361 0.30311191]";19.05$\pm$5.51;"[0.14871335 0.19000598 0.19958109 0.19389587 0.12716936 0.15020946
 0.16128067 0.26690604 0.15469779 0.31268701]";20.86$\pm$3.45;"[0.21843208 0.22441652 0.19419509 0.2160383  0.1561939  0.14691801
 0.23459007 0.22202274 0.20227409 0.27049671]";19.55$\pm$4.15;"[0.1807301  0.22531418 0.17504488 0.17654099 0.16756433 0.14063435
 0.15858767 0.25194494 0.20017953 0.27887493]";16.79$\pm$6.54;"[0.22202274 0.20077798 0.0774985  0.09844405 0.22980251 0.22591263
 0.22651107 0.21125075 0.12627169 0.06044285]";0.91$\pm$0.39;"[0.01346499 0.00598444 0.01855177 0.00568522 0.005386   0.01077199
 0.00807899 0.00658288 0.00777977 0.00867744]";21.9$\pm$4.96;"[0.20047876 0.17654099 0.24895272 0.23997606 0.19060443 0.13554758
 0.27109515 0.19509276 0.21244764 0.31897068]";17.72$\pm$5.26;"[0.16157989 0.06941951 0.19539198 0.20766008 0.163076   0.22860563
 0.11789348 0.23877917 0.15140634 0.23788151]";19.91$\pm$3.51;"[0.17684022 0.21184919 0.20795931 0.16487133 0.16965889 0.17025733
 0.15828845 0.2459605  0.21992819 0.26570916]"
Hits@20;35.64$\pm$3.2;"[0.38210652 0.33093956 0.38569719 0.38090963 0.34859366 0.30281269
 0.34440455 0.37941352 0.31089168 0.39856373]";29.06$\pm$4.46;"[0.26929982 0.34051466 0.28037104 0.33393178 0.21514063 0.26062238
 0.23788151 0.33991622 0.28216637 0.3464991 ]";31.52$\pm$3.68;"[0.28964692 0.28485937 0.32495512 0.31807301 0.27289048 0.32076601
 0.31687612 0.30341113 0.30640335 0.4144225 ]";37.31$\pm$3.89;"[0.36295631 0.31298624 0.39497307 0.39317774 0.3572711  0.37342908
 0.37283064 0.38120886 0.3219629  0.46020347]";29.49$\pm$10.95;"[0.27318971 0.31777379 0.35487732 0.37043686 0.31089168 0.31208857
 0.23070018 0.39437463 0.         0.38479952]";2.18$\pm$0.83;"[0.03500898 0.02603232 0.03680431 0.01885099 0.01196888 0.02244165
 0.01436266 0.01196888 0.0176541  0.0230401 ]";29.26$\pm$3.8;"[0.25044883 0.30879713 0.32375823 0.334231   0.21903052 0.26122083
 0.28067026 0.29593058 0.30400958 0.34769599]";30.82$\pm$6.29;"[0.30730102 0.30071813 0.35098743 0.37522442 0.31687612 0.31897068
 0.34530221 0.15529623 0.24117295 0.36983842]";27.32$\pm$3.93;"[0.27947337 0.28874925 0.27079593 0.27498504 0.19239976 0.24177139
 0.25912627 0.32794734 0.25882705 0.33842011]";29.91$\pm$3.94;"[0.2540395  0.30101735 0.29982047 0.32226212 0.23608618 0.28755236
 0.29862358 0.33453022 0.27408737 0.38270497]";31.82$\pm$3.7;"[0.31059246 0.24266906 0.31597846 0.37163375 0.29593058 0.29144225
 0.33512867 0.326152   0.31508079 0.37761819]";2.18$\pm$0.83;"[0.03500898 0.02603232 0.03680431 0.01885099 0.01196888 0.02244165
 0.01436266 0.01196888 0.0176541  0.0230401 ]";30.18$\pm$3.3;"[0.25613405 0.29473369 0.30670257 0.31897068 0.28156792 0.26451227
 0.30400958 0.30011969 0.30789946 0.38300419]";28.66$\pm$3.9;"[0.27707959 0.25912627 0.30071813 0.28037104 0.23578695 0.25613405
 0.27049671 0.33093956 0.27737882 0.37761819]";28.32$\pm$4.18;"[0.26122083 0.29383603 0.30849791 0.30580491 0.21783363 0.21514063
 0.29174147 0.28426092 0.28815081 0.36535009]";28.35$\pm$2.78;"[0.25583483 0.27767804 0.27797726 0.30789946 0.24356673 0.2486535
 0.27977259 0.30071813 0.30939557 0.33363256]";25.65$\pm$7.46;"[0.35098743 0.26720527 0.16068223 0.15769001 0.30849791 0.33871933
 0.30371035 0.30550569 0.22890485 0.14302813]";2.18$\pm$0.83;"[0.03500898 0.02603232 0.03680431 0.01885099 0.01196888 0.02244165
 0.01436266 0.01196888 0.0176541  0.0230401 ]";31.61$\pm$3.84;"[0.32764811 0.31687612 0.30580491 0.32345901 0.2866547  0.25792938
 0.32645123 0.29174147 0.31089168 0.41352484]";29.01$\pm$7.09;"[0.28426092 0.10173549 0.31418312 0.3043088  0.27887493 0.32136445
 0.25882705 0.37761819 0.30640335 0.35308199]";30.37$\pm$4.73;"[0.2962298  0.30730102 0.29563136 0.30969479 0.25912627 0.25822861
 0.23967684 0.30879713 0.34889288 0.41322561]"
Hits@50;51.57$\pm$3.08;"[0.502693   0.49611011 0.56971873 0.54877319 0.47905446 0.48414123
 0.48354279 0.5326152  0.51017355 0.55056852]";46.47$\pm$2.74;"[0.4374626  0.45571514 0.45601436 0.51286655 0.43626571 0.43536804
 0.4443447  0.50209455 0.47546379 0.49102334]";48.08$\pm$3.39;"[0.44853381 0.45691203 0.49640934 0.53141831 0.45332136 0.50299222
 0.47845601 0.46289647 0.43656493 0.54039497]";53.61$\pm$3.11;"[0.52962298 0.47636146 0.56732496 0.59694794 0.51376421 0.52004788
 0.53919808 0.53411131 0.52603232 0.55804907]";43.38$\pm$15.35;"[0.46798324 0.47187313 0.53859964 0.52902454 0.46140036 0.49551167
 0.34679832 0.51615799 0.         0.51077199]";5.23$\pm$1.06;"[0.06822262 0.06343507 0.06852184 0.05116697 0.04697786 0.0502693
 0.04458408 0.03620586 0.04099342 0.05266308]";44.8$\pm$2.25;"[0.43895871 0.45661281 0.44554159 0.49222023 0.42489527 0.4347696
 0.41262717 0.44195093 0.45421903 0.47845601]";44.07$\pm$6.41;"[0.45571514 0.44464393 0.46828247 0.49940156 0.43776182 0.48204668
 0.4646918  0.27378815 0.38360263 0.497307  ]";44.52$\pm$2.9;"[0.42429683 0.42519449 0.44763615 0.4727708  0.40754039 0.45152603
 0.39826451 0.48922801 0.47785757 0.45751047]";45.88$\pm$3.45;"[0.43716338 0.4619988  0.43357271 0.48713345 0.40394973 0.44135248
 0.43536804 0.50927588 0.4593058  0.51855177]";49.89$\pm$2.8;"[0.47516457 0.46977858 0.52274087 0.56313585 0.48803112 0.48084979
 0.50209455 0.48174746 0.48114901 0.52453621]";5.23$\pm$1.06;"[0.06822262 0.06343507 0.06852184 0.05116697 0.04697786 0.0502693
 0.04458408 0.03620586 0.04099342 0.05266308]";45.52$\pm$2.53;"[0.44733692 0.45391981 0.45990425 0.49790545 0.41861161 0.42459605
 0.4347696  0.45571514 0.46169958 0.497307  ]";45.97$\pm$3.22;"[0.45122681 0.42639138 0.46977858 0.50209455 0.4144225  0.46499102
 0.42639138 0.47187313 0.44793537 0.52154399]";44.28$\pm$3.4;"[0.43626571 0.42998205 0.45990425 0.46588869 0.37462597 0.41651706
 0.41292639 0.46229803 0.47157391 0.49850389]";44.79$\pm$2.76;"[0.46558947 0.41412328 0.42549372 0.46169958 0.41532017 0.43895871
 0.41921005 0.48324357 0.4619988  0.49311789]";41.11$\pm$8.38;"[0.46618791 0.46110114 0.30281269 0.26840215 0.45571514 0.4769599
 0.46798324 0.48204668 0.44763615 0.28186715]";5.23$\pm$1.06;"[0.06822262 0.06343507 0.06852184 0.05116697 0.04697786 0.0502693
 0.04458408 0.03620586 0.04099342 0.05266308]";45.81$\pm$2.4;"[0.46828247 0.43925793 0.45481747 0.47935368 0.4266906  0.43536804
 0.42908438 0.4796529  0.46558947 0.502693  ]";44.58$\pm$8.37;"[0.44883303 0.20287253 0.49611011 0.48862956 0.45691203 0.4727708
 0.44075404 0.4727708  0.46349491 0.51436266]";47.91$\pm$1.96;"[0.49251945 0.46888091 0.49102334 0.4673848  0.44554159 0.48473968
 0.48354279 0.4700778  0.46499102 0.52184321]"
Hits@100;64.91$\pm$1.79;"[0.63285458 0.6454219  0.67564333 0.67354877 0.663076   0.63105925
 0.6181927  0.64153202 0.65290245 0.65679234]";61.56$\pm$2.66;"[0.59724716 0.59395572 0.62238181 0.65918612 0.58707361 0.59844405
 0.57809695 0.6454219  0.63883902 0.63554758]";61.69$\pm$2.07;"[0.60831837 0.59036505 0.62417714 0.660383   0.6032316  0.61310592
 0.61879114 0.6128067  0.59275883 0.64482346]";66.39$\pm$2.71;"[0.65290245 0.61699581 0.67534411 0.70496709 0.65230401 0.660383
 0.62447636 0.66965889 0.69090365 0.69120287]";55.63$\pm$19.13;"[0.62716936 0.63405147 0.65110712 0.65200479 0.62028725 0.62447636
 0.48144823 0.6427289  0.         0.62956314]";10.39$\pm$1.52;"[0.13494913 0.10801915 0.12028725 0.09904249 0.08856972 0.11160981
 0.09395572 0.08049072 0.09545183 0.10712148]";59.27$\pm$2.67;"[0.59305805 0.58049072 0.58946738 0.62327947 0.55445841 0.58049072
 0.55505685 0.5951526  0.61131059 0.64422501]";58.83$\pm$7.12;"[0.64033513 0.62537403 0.61879114 0.64153202 0.59874327 0.59575105
 0.59694794 0.3967684  0.5299222  0.63913824]";58.97$\pm$1.85;"[0.56433273 0.5855775  0.58617594 0.61160981 0.57390784 0.57301017
 0.57031718 0.60891682 0.61430281 0.60921604]";61.65$\pm$2.22;"[0.60652304 0.62148414 0.60023938 0.62866547 0.58856972 0.5978456
 0.59754638 0.63345302 0.6235787  0.66726511]";63.59$\pm$2.1;"[0.61729503 0.6181927  0.66128067 0.67863555 0.61041293 0.6235787
 0.62567325 0.62896469 0.64362657 0.65170557]";10.39$\pm$1.52;"[0.13494913 0.10801915 0.12028725 0.09904249 0.08856972 0.11160981
 0.09395572 0.08049072 0.09545183 0.10712148]";59.06$\pm$2.56;"[0.57301017 0.57899461 0.5978456  0.61849192 0.55745063 0.57600239
 0.54997008 0.61370437 0.62028725 0.62028725]";60.37$\pm$2.36;"[0.58108917 0.57630162 0.61789348 0.64033513 0.57301017 0.5978456
 0.58348294 0.6235787  0.60921604 0.63464991]";58.62$\pm$2.87;"[0.57091562 0.58856972 0.60891682 0.59844405 0.53949731 0.56433273
 0.54308797 0.60951526 0.61460203 0.62417714]";59.25$\pm$2.43;"[0.58677439 0.57869539 0.60742071 0.62417714 0.55804907 0.58707361
 0.5502693  0.61460203 0.59455416 0.6235787 ]";55.3$\pm$8.68;"[0.63076002 0.59245961 0.46409336 0.42878516 0.60532615 0.6208857
 0.60472771 0.60921604 0.59275883 0.38061041]";10.39$\pm$1.52;"[0.13494913 0.10801915 0.12028725 0.09904249 0.08856972 0.11160981
 0.09395572 0.08049072 0.09545183 0.10712148]";59.71$\pm$2.98;"[0.59335727 0.59545183 0.60502693 0.63644524 0.56552962 0.57241173
 0.54578097 0.59006583 0.62058648 0.64602035]";58.7$\pm$9.55;"[0.59096349 0.3111909  0.64572113 0.64871335 0.58797127 0.59365649
 0.58049072 0.63016158 0.63195691 0.64871335]";62.78$\pm$1.87;"[0.6181927  0.63165769 0.63345302 0.65230401 0.59275883 0.61699581
 0.60622382 0.63883902 0.63105925 0.65649312]"
ROCAUC;94.16$\pm$0.39;"[0.94322141 0.9394866  0.94130906 0.94905474 0.94776303 0.93573433
 0.93987261 0.93940682 0.93924632 0.94100005]";92.72$\pm$0.4;"[0.92448422 0.92669213 0.92597687 0.93355237 0.9285318  0.91940852
 0.92387527 0.93193926 0.9312225  0.92627734]";93.71$\pm$0.16;"[0.93613734 0.9337366  0.93823717 0.93839167 0.93822155 0.93591014
 0.93713448 0.9396651  0.93608365 0.93769364]";94.09$\pm$0.23;"[0.94057772 0.93653789 0.93921033 0.94524125 0.94207462 0.93996987
 0.93939359 0.94327324 0.94193515 0.94029558]";93.21$\pm$0.53;"[0.93327147 0.93440596 0.93293824 0.93818928 0.93419662 0.93369612
 0.9213789  0.93767595 0.93196845 0.92286661]";78.36$\pm$0.43;"[0.78023998 0.78270644 0.78208571 0.78988422 0.78321486 0.78092713
 0.78145792 0.77631747 0.79033769 0.7883462 ]";93.9$\pm$0.25;"[0.93638977 0.93806552 0.93771525 0.94371996 0.94063066 0.93734937
 0.93483025 0.93958591 0.94003852 0.94183975]";92.87$\pm$0.97;"[0.93134293 0.9289828  0.93329924 0.93608048 0.92793542 0.93399028
 0.92842721 0.90263217 0.9240167  0.94021875]";93.43$\pm$0.33;"[0.93414588 0.93668526 0.9362178  0.93423209 0.9310343  0.9287097
 0.92945843 0.9379091  0.9360927  0.93863001]";93.85$\pm$0.24;"[0.93675757 0.93618943 0.93604154 0.94374675 0.94000406 0.93599592
 0.93702583 0.93938004 0.93995686 0.94001575]";92.62$\pm$0.29;"[0.92463962 0.92262004 0.92791679 0.93083437 0.92909066 0.92249863
 0.92633567 0.92823052 0.92810165 0.92218507]";78.36$\pm$0.43;"[0.78023998 0.78270644 0.78208571 0.78988422 0.78321486 0.78092713
 0.78145792 0.77631747 0.79033769 0.7883462 ]";93.43$\pm$0.23;"[0.93237313 0.93220562 0.93406475 0.93871151 0.93529703 0.93008419
 0.93342162 0.93461851 0.93663315 0.93582243]";93.59$\pm$0.44;"[0.93265268 0.93434494 0.94156638 0.93954707 0.93189529 0.93593621
 0.9266383  0.94047462 0.93680714 0.93927804]";94.0$\pm$0.29;"[0.93746224 0.94180132 0.94157015 0.94126583 0.93741176 0.93528976
 0.93664909 0.94090598 0.94287132 0.94474435]";94.17$\pm$0.36;"[0.9420511  0.9378364  0.94003627 0.94513053 0.94471566 0.93576578
 0.94126357 0.94400087 0.93842068 0.9482018 ]";92.49$\pm$1.73;"[0.9393482  0.9363548  0.90710345 0.89832106 0.93673279 0.93547616
 0.93787065 0.93778359 0.92739527 0.89264743]";78.36$\pm$0.43;"[0.78023998 0.78270644 0.78208571 0.78988422 0.78321486 0.78092713
 0.78145792 0.77631747 0.79033769 0.7883462 ]";94.32$\pm$0.23;"[0.94139641 0.94240522 0.94312929 0.94629005 0.94487899 0.93899442
 0.9426731  0.94123911 0.94440768 0.94678686]";92.72$\pm$2.07;"[0.93026415 0.86548094 0.9337029  0.93593454 0.93387198 0.9324432
 0.93087227 0.93602893 0.93790529 0.93555694]";93.96$\pm$0.24;"[0.9397488  0.9387629  0.94021773 0.94116868 0.93974841 0.93789847
 0.9338609  0.94116923 0.94322356 0.94035018]"
AP;94.48$\pm$0.34;"[0.94541859 0.94300041 0.94684962 0.95053753 0.94681896 0.93779869
 0.94181205 0.94492389 0.94257605 0.94785936]";93.18$\pm$0.53;"[0.92767994 0.93272244 0.93058361 0.94020468 0.92682835 0.92546585
 0.92495354 0.93875001 0.93586409 0.93523925]";93.96$\pm$0.27;"[0.93794343 0.93725107 0.94220238 0.9429756  0.93748233 0.93678294
 0.94008448 0.94034957 0.93677463 0.94452259]";94.64$\pm$0.28;"[0.94608436 0.94101284 0.94693119 0.95142686 0.94559275 0.94506487
 0.94437577 0.94903809 0.94556118 0.94930282]";93.45$\pm$0.81;"[0.93647193 0.93931496 0.93839073 0.94347728 0.93476699 0.93581386
 0.91804625 0.94397786 0.92120177 0.93306941]";73.76$\pm$0.64;"[0.74305885 0.73722735 0.74462679 0.74417583 0.73115874 0.73810535
 0.73088534 0.72429735 0.74088312 0.7415202 ]";93.64$\pm$0.39;"[0.9338501  0.93583878 0.93692727 0.94252608 0.93236216 0.93231468
 0.93124938 0.93704355 0.93961577 0.94232355]";93.17$\pm$1.37;"[0.93664997 0.93505823 0.93930755 0.94253466 0.93288347 0.93603931
 0.93494117 0.89471882 0.92091357 0.94364853]";93.31$\pm$0.45;"[0.93254312 0.93483823 0.93537514 0.93566139 0.92519968 0.92778869
 0.92715556 0.93850745 0.93497273 0.93885188]";93.82$\pm$0.33;"[0.93518776 0.9364731  0.93678575 0.94288466 0.93360721 0.93607776
 0.93597036 0.94215223 0.93957476 0.94320616]";93.41$\pm$0.28;"[0.93305806 0.93026724 0.93611665 0.93955404 0.93415252 0.92965937
 0.93355599 0.93604736 0.9363474  0.9326748 ]";73.76$\pm$0.64;"[0.74305885 0.73722735 0.74462679 0.74417583 0.73115874 0.73810535
 0.73088534 0.72429735 0.74088312 0.7415202 ]";93.58$\pm$0.35;"[0.93282727 0.93500574 0.93678113 0.94079305 0.93351299 0.93023907
 0.93339821 0.93501329 0.93857296 0.94205525]";93.52$\pm$0.5;"[0.93104813 0.93259902 0.93935994 0.94053752 0.92942388 0.93247248
 0.92831383 0.94099584 0.93441546 0.94254512]";93.63$\pm$0.47;"[0.9340974  0.93786257 0.93902322 0.93983603 0.9288889  0.92895441
 0.93277539 0.93894533 0.93942866 0.9436095 ]";93.82$\pm$0.42;"[0.93768803 0.93612758 0.93665905 0.94317251 0.93635191 0.9319927
 0.93437433 0.94233166 0.93663212 0.94627659]";92.25$\pm$2.17;"[0.9401184  0.93626418 0.89755011 0.88992717 0.93710703 0.93706233
 0.93902978 0.93807278 0.92686127 0.88280344]";73.76$\pm$0.64;"[0.74305885 0.73722735 0.74462679 0.74417583 0.73115874 0.73810535
 0.73088534 0.72429735 0.74088312 0.7415202 ]";94.04$\pm$0.35;"[0.93869302 0.93967549 0.94131135 0.94485077 0.93878037 0.9342658
 0.93942658 0.93804814 0.94119513 0.94768967]";92.79$\pm$2.52;"[0.93286421 0.85300476 0.93669142 0.94005404 0.93309019 0.93556152
 0.93055351 0.93866713 0.93875044 0.93995764]";94.03$\pm$0.35;"[0.93982719 0.94016902 0.94177943 0.94277559 0.93582417 0.93734508
 0.93371914 0.94334961 0.94316027 0.94511582]"
pretrain_time;nan$\pm$nan;[];27.17$\pm$0.08;"[27.19579959 27.20629001 27.0747714  27.11770415 27.02272487 27.12336826
 27.20816636 27.27824378 27.22484684 27.23778152]";56.15$\pm$0.24;"[55.95994449 56.2420578  56.49176264 56.47513604 56.51787114 56.03274012
 55.97214079 55.95089984 55.92684746 55.90009499]";73.89$\pm$0.15;"[73.93142319 73.72566271 73.68944001 74.12547827 74.03720331 73.75963426
 74.11367846 73.82375884 73.85862327 73.83444166]";12.0$\pm$0.01;"[12.01110411 11.97492313 11.97782516 11.99643779 12.00701928 12.01477861
 12.01323748 12.01241708 12.00925636 11.99911571]";nan$\pm$nan;[];37.29$\pm$0.18;"[36.92913795 37.51131535 37.15688109 37.28224134 37.50511837 37.14993382
 37.4866848  37.28413153 37.35719514 37.23777008]";54.39$\pm$0.06;"[54.35446858 54.40881276 54.48532557 54.48264074 54.38897014 54.36729932
 54.41052318 54.31699133 54.30411553 54.39948368]";19.66$\pm$0.1;"[19.62472415 19.80032945 19.79700637 19.66916442 19.79851866 19.6081183
 19.5962503  19.56165361 19.53464484 19.57560658]";30.48$\pm$0.18;"[30.34753513 30.24827886 30.31174612 30.35247135 30.31231666 30.51040936
 30.7042222  30.72033048 30.66572762 30.65739083]";46.46$\pm$0.28;"[46.75370574 46.73903322 46.68655777 46.62594986 46.11468744 46.14302611
 46.06377149 46.15525031 46.74296641 46.57910562]";nan$\pm$nan;[];91.72$\pm$0.61;"[91.32268357 92.01594853 92.10436368 92.93449402 92.04329991 90.8050251
 92.16573596 91.00090885 91.25999689 91.56072402]";123.04$\pm$6.83;"[118.16454506 118.08774424 118.99549484 134.07344675 132.96477127
 118.43193126 133.34107995 118.94244337 119.04929256 118.3959682 ]";86.65$\pm$2.01;"[87.38958502 86.80765343 86.3415556  90.19450808 89.39817548 85.25050735
 88.06859732 84.5503633  84.31548595 84.20269752]";101.13$\pm$1.79;"[100.26491642  99.93501091  99.45511413 103.77526999 103.54725313
  99.9288857  104.17961955 100.0099175  100.16058326 100.0392499 ]";57.91$\pm$1.27;"[57.78166723 57.38016963 56.73667431 59.77393532 59.63784862 57.21190357
 59.94240999 56.95744157 56.60235071 57.06771684]";nan$\pm$nan;[];144.32$\pm$0.73;"[143.83170366 143.98807359 143.8424542  145.37683749 145.03596973
 143.42046785 145.69712758 143.81897569 143.95065069 144.20164847]";250.03$\pm$28.13;"[231.76225972 231.57941914 232.87433314 293.03003907 292.86078215
 230.95676875 293.08114171 231.38301635 231.22591352 231.51366115]";633.59$\pm$23.87;"[623.04626751 616.57909751 613.82780743 670.50527143 667.25901008
 620.40267467 671.76535988 618.60766244 617.3258245  616.59841967]"
