metrics;agrace,enc:gcn_ncn,pred:mlp,random_mean;agrace,enc:gcn_ncn,pred:mlp,random;agrace,enc:gcn_ncn,pred:mlp,deg_mean;agrace,enc:gcn_ncn,pred:mlp,deg;agrace,enc:gcn_ncn,pred:mlp,evc_mean;agrace,enc:gcn_ncn,pred:mlp,evc;agrace,enc:gcn_ncn,pred:mlp,pr_mean;agrace,enc:gcn_ncn,pred:mlp,pr;abgrl,enc:gcn_ncn,pred:mlp,random_mean;abgrl,enc:gcn_ncn,pred:mlp,random;abgrl,enc:gcn_ncn,pred:mlp,deg_mean;abgrl,enc:gcn_ncn,pred:mlp,deg;abgrl,enc:gcn_ncn,pred:mlp,evc_mean;abgrl,enc:gcn_ncn,pred:mlp,evc;abgrl,enc:gcn_ncn,pred:mlp,pr_mean;abgrl,enc:gcn_ncn,pred:mlp,pr
Hits@10;40.72$\pm$4.8;"[0.39146919 0.34881517 0.48056872 0.48341232 0.4056872  0.43412322
 0.32890995 0.41800948 0.40853081 0.37251185]";46.1$\pm$6.72;"[0.47203791 0.38957346 0.43696682 0.50047393 0.49383886 0.52606635
 0.42938389 0.57819905 0.32796209 0.45592417]";41.07$\pm$3.75;"[0.4436019  0.39620853 0.36587678 0.47488152 0.37725118 0.3563981
 0.38578199 0.44265403 0.43412322 0.43033175]";41.47$\pm$7.0;"[0.31848341 0.49478673 0.45876777 0.29004739 0.45687204 0.45118483
 0.32511848 0.43886256 0.43791469 0.47488152]";48.27$\pm$4.15;"[0.48530806 0.40189573 0.53080569 0.51563981 0.47014218 0.4492891
 0.48246445 0.51279621 0.43886256 0.53933649]";40.66$\pm$6.48;"[0.35734597 0.48246445 0.45118483 0.50236967 0.42085308 0.36966825
 0.33838863 0.46255924 0.292891   0.38862559]";48.52$\pm$4.46;"[0.48246445 0.45781991 0.56872038 0.48341232 0.45023697 0.40853081
 0.52985782 0.51753555 0.4464455  0.507109  ]";41.66$\pm$5.52;"[0.43791469 0.4056872  0.4028436  0.39810427 0.38578199 0.4464455
 0.28246445 0.45781991 0.45023697 0.4985782 ]"
Hits@20;55.19$\pm$5.76;"[0.507109   0.5014218  0.63412322 0.59241706 0.5450237  0.5971564
 0.45023697 0.62938389 0.50900474 0.5535545 ]";58.6$\pm$3.4;"[0.55734597 0.54312796 0.57630332 0.5943128  0.58104265 0.63981043
 0.5507109  0.63412322 0.62464455 0.55829384]";54.3$\pm$1.86;"[0.56966825 0.54028436 0.51279621 0.5535545  0.53459716 0.52322275
 0.52417062 0.57061611 0.55450237 0.54691943]";57.35$\pm$4.1;"[0.53554502 0.61421801 0.63981043 0.50805687 0.5450237  0.63033175
 0.54976303 0.58672986 0.56018957 0.56492891]";60.46$\pm$1.83;"[0.58862559 0.61895735 0.59052133 0.61516588 0.56398104 0.61990521
 0.5943128  0.61611374 0.62180095 0.61706161]";53.93$\pm$5.3;"[0.48530806 0.58199052 0.57535545 0.59810427 0.51563981 0.46919431
 0.492891   0.62559242 0.48530806 0.56398104]";61.07$\pm$4.15;"[0.57251185 0.60189573 0.65118483 0.67298578 0.61232227 0.52796209
 0.63507109 0.65308057 0.58578199 0.5943128 ]";54.93$\pm$7.49;"[0.4957346  0.58672986 0.59052133 0.48530806 0.4492891  0.59241706
 0.41895735 0.63222749 0.62843602 0.61327014]"
Hits@50;75.42$\pm$1.64;"[0.74312796 0.73744076 0.76966825 0.75829384 0.75829384 0.76398104
 0.71658768 0.77156398 0.75450237 0.76872038]";73.23$\pm$1.96;"[0.71658768 0.71374408 0.74881517 0.72606635 0.71943128 0.71943128
 0.74976303 0.77819905 0.73270142 0.71848341]";73.1$\pm$2.46;"[0.73080569 0.72037915 0.73364929 0.7563981  0.72037915 0.67677725
 0.71184834 0.76303318 0.75924171 0.73744076]";74.91$\pm$2.24;"[0.72037915 0.72606635 0.8        0.72796209 0.75734597 0.74312796
 0.74407583 0.74597156 0.76966825 0.7563981 ]";76.64$\pm$1.07;"[0.77061611 0.75829384 0.79052133 0.77251185 0.7563981  0.75734597
 0.76208531 0.77061611 0.77251185 0.75260664]";72.0$\pm$3.73;"[0.69383886 0.74218009 0.75734597 0.76777251 0.71658768 0.64834123
 0.67298578 0.76113744 0.72132701 0.71848341]";76.26$\pm$3.05;"[0.7450237  0.77156398 0.79336493 0.79241706 0.7563981  0.69194313
 0.78199052 0.79241706 0.73459716 0.76587678]";73.63$\pm$3.56;"[0.68151659 0.76018957 0.78483412 0.71374408 0.71090047 0.73744076
 0.68341232 0.77725118 0.76777251 0.74597156]"
Hits@100;85.38$\pm$0.92;"[0.86255924 0.84454976 0.85592417 0.86161137 0.8436019  0.85687204
 0.84739336 0.86161137 0.86635071 0.83791469]";82.88$\pm$0.79;"[0.82843602 0.83317536 0.83601896 0.82180095 0.81990521 0.81516588
 0.83507109 0.84075829 0.83412322 0.82369668]";84.15$\pm$1.69;"[0.8464455  0.82369668 0.83886256 0.86161137 0.82938389 0.82464455
 0.81800948 0.85687204 0.87109005 0.84454976]";84.42$\pm$1.47;"[0.81895735 0.84075829 0.85402844 0.85023697 0.84454976 0.85118483
 0.81990521 0.83791469 0.85687204 0.86729858]";86.6$\pm$1.18;"[0.85971564 0.85876777 0.87772512 0.88056872 0.8464455  0.85687204
 0.85971564 0.87298578 0.88530806 0.86161137]";84.14$\pm$2.35;"[0.83696682 0.85876777 0.87203791 0.84739336 0.83981043 0.79526066
 0.81232227 0.87109005 0.85402844 0.82654028]";84.43$\pm$1.86;"[0.84454976 0.83222749 0.85592417 0.86635071 0.83601896 0.8
 0.84170616 0.86919431 0.84549763 0.85118483]";85.18$\pm$1.82;"[0.82180095 0.84739336 0.87772512 0.84834123 0.84834123 0.83981043
 0.82748815 0.87677725 0.86350711 0.86635071]"
ROCAUC;94.06$\pm$0.32;"[0.94185455 0.93861234 0.94654478 0.94293749 0.93885672 0.94300667
 0.93481278 0.93731138 0.93980323 0.94259608]";92.58$\pm$0.52;"[0.92129509 0.91990746 0.92746434 0.92148874 0.91771254 0.92531704
 0.92837807 0.93458907 0.93090731 0.93051773]";94.46$\pm$0.46;"[0.94702375 0.93833202 0.94523034 0.94543339 0.94382336 0.93776061
 0.93909481 0.94841625 0.9521309  0.94833539]";93.98$\pm$0.57;"[0.93104041 0.9334696  0.94872981 0.93557198 0.93981627 0.94083062
 0.93448844 0.94317558 0.94354434 0.94725366]";95.1$\pm$0.34;"[0.94958677 0.95025628 0.95825431 0.95054559 0.94688439 0.95153209
 0.94723209 0.94980796 0.95620296 0.94964623]";93.9$\pm$0.63;"[0.93183629 0.94272096 0.94553492 0.94131039 0.93664203 0.92938883
 0.93063229 0.94911794 0.94058743 0.94223221]";93.95$\pm$0.61;"[0.93581482 0.93686036 0.93821433 0.9447919  0.9345136  0.9336421
 0.93126929 0.95094001 0.94689425 0.94160239]";94.49$\pm$0.67;"[0.93793807 0.94402641 0.95507918 0.94207767 0.94273624 0.9454289
 0.93105007 0.95269648 0.94894736 0.94912154]"
AP;94.25$\pm$0.44;"[0.94109325 0.93681244 0.94892665 0.94880997 0.94253186 0.94727021
 0.93546108 0.94075104 0.94205504 0.94178461]";93.62$\pm$0.37;"[0.93403959 0.93224678 0.93524748 0.93440291 0.93329697 0.9388638
 0.93755512 0.94590605 0.93545562 0.93494147]";94.42$\pm$0.34;"[0.94819232 0.94185734 0.94395713 0.94814335 0.94328335 0.93881718
 0.94035063 0.9480164  0.94746464 0.9415006 ]";94.22$\pm$0.49;"[0.93402039 0.94085462 0.94701519 0.9358417  0.94367809 0.94374049
 0.93653915 0.9469508  0.94376926 0.94930292]";95.15$\pm$0.39;"[0.95037097 0.94977477 0.95880076 0.95322679 0.94567559 0.95006547
 0.94596506 0.95256028 0.9565514  0.95248709]";93.93$\pm$0.69;"[0.93299908 0.94755972 0.94316069 0.94458028 0.93823216 0.92950277
 0.92993308 0.95095477 0.93661767 0.93982928]";94.49$\pm$0.58;"[0.94319796 0.94476102 0.94660371 0.95201172 0.9412316  0.93342716
 0.94174301 0.95614524 0.94451077 0.9453098 ]";94.44$\pm$0.69;"[0.93577364 0.94554098 0.95124075 0.9425906  0.94183949 0.94681092
 0.93009118 0.95520226 0.94830824 0.94688592]"
pretrain_time;43.12$\pm$0.69;"[42.81682992 42.53469157 42.72841263 44.68506408 44.02408671 43.21986079
 43.1092906  42.72784257 42.27515697 43.10354733]";61.82$\pm$2.36;"[59.5651257  56.69649196 60.28005505 61.48529983 62.59527016 63.26831603
 64.72329593 61.60713744 63.23375154 64.76770067]";17.41$\pm$0.14;"[17.44444704 17.68438244 17.36071157 17.50779891 17.41920924 17.27143192
 17.53607321 17.20231938 17.27601266 17.43068957]";90.33$\pm$2.03;"[89.04672718 88.66500211 90.79832482 85.83591509 92.10708046 92.22125721
 90.96391439 92.87312078 89.22940063 91.55899286]";46.71$\pm$2.64;"[50.46816254 47.52327514 45.1920898  45.37042356 44.71008968 41.47002363
 46.91999412 48.89879775 50.47111154 46.10261631]";14.29$\pm$0.78;"[13.76921773 13.94207501 14.01203513 13.58778048 13.78577662 13.24494934
 14.43986511 15.14057779 15.66675234 15.33270049]";60.76$\pm$0.34;"[61.40802622 60.7569468  61.24452949 60.2018671  60.78979588 60.67440748
 60.62508321 60.9288013  60.39824486 60.58444881]";60.15$\pm$0.39;"[60.12830448 60.44454265 61.08728814 59.9688623  59.65307975 60.37920666
 59.76729369 59.96266413 59.98497009 60.09948444]"
