metrics;baseline,enc:gcn_ncn,pred:mlp_mean;baseline,enc:gcn_ncn,pred:mlp;grace,enc:gcn_ncn,pred:mlp,random_mean;grace,enc:gcn_ncn,pred:mlp,random;grace,enc:gcn_ncn,pred:mlp,deg_mean;grace,enc:gcn_ncn,pred:mlp,deg;grace,enc:gcn_ncn,pred:mlp,evc_mean;grace,enc:gcn_ncn,pred:mlp,evc;grace,enc:gcn_ncn,pred:mlp,pr_mean;grace,enc:gcn_ncn,pred:mlp,pr;infomap_prob_pred_mean;infomap_prob_pred;grace,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;grace,enc:gcn_ncn,pred:mlp,sbm_fast2;bgrl,enc:gcn_ncn,pred:mlp,random_mean;bgrl,enc:gcn_ncn,pred:mlp,random;bgrl,enc:gcn_ncn,pred:mlp,deg_mean;bgrl,enc:gcn_ncn,pred:mlp,deg;bgrl,enc:gcn_ncn,pred:mlp,evc_mean;bgrl,enc:gcn_ncn,pred:mlp,evc;bgrl,enc:gcn_ncn,pred:mlp,pr_mean;bgrl,enc:gcn_ncn,pred:mlp,pr;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_ncn,pred:mlp,sbm_fast2;lbgrl,enc:gcn_ncn,pred:mlp,random_mean;lbgrl,enc:gcn_ncn,pred:mlp,random;lbgrl,enc:gcn_ncn,pred:mlp,deg_mean;lbgrl,enc:gcn_ncn,pred:mlp,deg;lbgrl,enc:gcn_ncn,pred:mlp,evc_mean;lbgrl,enc:gcn_ncn,pred:mlp,evc;lbgrl,enc:gcn_ncn,pred:mlp,pr_mean;lbgrl,enc:gcn_ncn,pred:mlp,pr;louvain_prob_pred_mean;louvain_prob_pred;lbgrl,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_ncn,pred:mlp,sbm_fast2;lgrace,enc:gcn_ncn,pred:mlp,random_mean;lgrace,enc:gcn_ncn,pred:mlp,random;lgrace,enc:gcn_ncn,pred:mlp,deg_mean;lgrace,enc:gcn_ncn,pred:mlp,deg;lgrace,enc:gcn_ncn,pred:mlp,evc_mean;lgrace,enc:gcn_ncn,pred:mlp,evc;lgrace,enc:gcn_ncn,pred:mlp,pr_mean;lgrace,enc:gcn_ncn,pred:mlp,pr;lgrace,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_ncn,pred:mlp,sbm_fast2
Hits@10;72.71$\pm$5.43;"[0.77882353 0.78588235 0.72705882 0.75058824 0.66352941 0.75764706
 0.72705882 0.77882353 0.69176471 0.60941176]";68.4$\pm$4.14;"[0.67529412 0.68705882 0.64941176 0.76705882 0.67764706 0.70588235
 0.72235294 0.66588235 0.60235294 0.68705882]";55.27$\pm$5.0;"[0.60941176 0.54823529 0.56       0.62352941 0.48941176 0.57411765
 0.47764706 0.59529412 0.56470588 0.48470588]";75.01$\pm$2.81;"[0.74352941 0.73882353 0.71529412 0.77882353 0.70352941 0.77176471
 0.74352941 0.80470588 0.74588235 0.75529412]";74.56$\pm$4.51;"[0.76470588 0.75764706 0.68       0.79764706 0.72470588 0.72
 0.71294118 0.84470588 0.73647059 0.71764706]";12.16$\pm$2.82;"[0.13176471 0.13647059 0.12       0.17882353 0.14823529 0.10588235
 0.12       0.09647059 0.10823529 0.07058824]";72.19$\pm$3.74;"[0.74588235 0.75764706 0.70352941 0.75294118 0.70352941 0.72941176
 0.68235294 0.79058824 0.67764706 0.67529412]";42.82$\pm$15.3;"[0.53411765 0.57176471 0.00235294 0.52470588 0.42588235 0.47058824
 0.41882353 0.37176471 0.50352941 0.45882353]";64.54$\pm$6.1;"[0.72235294 0.69647059 0.60235294 0.70352941 0.65882353 0.66823529
 0.67529412 0.62352941 0.59529412 0.50823529]";70.42$\pm$5.32;"[0.78823529 0.71058824 0.65882353 0.73176471 0.66352941 0.70823529
 0.62823529 0.79294118 0.64941176 0.71058824]";71.91$\pm$4.94;"[0.78588235 0.74823529 0.72470588 0.62588235 0.66823529 0.68705882
 0.77882353 0.70352941 0.69882353 0.76941176]";12.16$\pm$2.82;"[0.13176471 0.13647059 0.12       0.17882353 0.14823529 0.10588235
 0.12       0.09647059 0.10823529 0.07058824]";62.26$\pm$7.58;"[0.73882353 0.70588235 0.57882353 0.67294118 0.60941176 0.62588235
 0.65647059 0.60470588 0.58117647 0.45176471]";74.09$\pm$4.02;"[0.72235294 0.77411765 0.70823529 0.73647059 0.76705882 0.70588235
 0.68941176 0.83529412 0.74117647 0.72941176]";31.51$\pm$6.92;"[0.36235294 0.22352941 0.26352941 0.40941176 0.33176471 0.25882353
 0.38588235 0.21647059 0.29882353 0.4       ]";57.62$\pm$8.18;"[0.63058824 0.61647059 0.55058824 0.68470588 0.37411765 0.63529412
 0.55058824 0.63058824 0.54117647 0.54823529]";71.25$\pm$11.55;"[0.74352941 0.68941176 0.37411765 0.75058824 0.76235294 0.77647059
 0.77882353 0.72941176 0.75058824 0.76941176]";12.16$\pm$2.82;"[0.13176471 0.13647059 0.12       0.17882353 0.14823529 0.10588235
 0.12       0.09647059 0.10823529 0.07058824]";68.61$\pm$3.07;"[0.70117647 0.69647059 0.64705882 0.72470588 0.64       0.66117647
 0.68       0.74117647 0.67294118 0.69647059]";77.2$\pm$2.72;"[0.77882353 0.81882353 0.72705882 0.77882353 0.77411765 0.76705882
 0.72705882 0.78117647 0.76470588 0.80235294]";77.81$\pm$4.19;"[0.80705882 0.78352941 0.75058824 0.78117647 0.73176471 0.77176471
 0.77882353 0.88       0.77647059 0.72      ]";80.4$\pm$4.06;"[0.84470588 0.79529412 0.71058824 0.78823529 0.81882353 0.8
 0.77882353 0.87058824 0.80705882 0.82588235]";77.18$\pm$3.95;"[0.75294118 0.80235294 0.72941176 0.78588235 0.71058824 0.79764706
 0.74117647 0.83058824 0.74352941 0.82352941]";67.74$\pm$4.61;"[0.72941176 0.71529412 0.58117647 0.74117647 0.65882353 0.66117647
 0.69647059 0.67529412 0.62588235 0.68941176]"
Hits@20;80.73$\pm$4.71;"[0.84941176 0.87058824 0.80705882 0.83294118 0.77882353 0.80235294
 0.79294118 0.86823529 0.75294118 0.71764706]";79.34$\pm$3.91;"[0.86117647 0.80235294 0.70823529 0.83764706 0.77411765 0.79294118
 0.79058824 0.80705882 0.76470588 0.79529412]";65.88$\pm$2.58;"[0.66823529 0.66117647 0.65176471 0.68705882 0.61647059 0.65411765
 0.65647059 0.70823529 0.66352941 0.62117647]";82.05$\pm$3.14;"[0.84235294 0.82588235 0.77882353 0.80941176 0.77882353 0.82823529
 0.78588235 0.87529412 0.82117647 0.85882353]";81.34$\pm$4.26;"[0.85176471 0.82823529 0.75294118 0.85176471 0.77647059 0.78823529
 0.77882353 0.88941176 0.77411765 0.84235294]";22.35$\pm$5.28;"[0.20941176 0.26588235 0.15294118 0.25176471 0.26823529 0.27294118
 0.30588235 0.16470588 0.17647059 0.16705882]";81.08$\pm$3.45;"[0.79764706 0.84470588 0.76941176 0.83529412 0.77647059 0.83294118
 0.79058824 0.85176471 0.75764706 0.85176471]";56.35$\pm$18.86;"[0.67294118 0.68235294 0.00470588 0.60705882 0.6        0.64235294
 0.59058824 0.59764706 0.61411765 0.62352941]";73.6$\pm$5.32;"[0.78352941 0.75764706 0.68235294 0.82588235 0.73647059 0.73882353
 0.76941176 0.75058824 0.68       0.63529412]";79.22$\pm$3.23;"[0.84235294 0.81176471 0.75294118 0.78117647 0.76235294 0.76705882
 0.77647059 0.84235294 0.76470588 0.82117647]";80.16$\pm$2.9;"[0.83058824 0.81882353 0.76941176 0.77882353 0.75529412 0.78588235
 0.83529412 0.81176471 0.78588235 0.84470588]";22.35$\pm$5.28;"[0.20941176 0.26588235 0.15294118 0.25176471 0.26823529 0.27294118
 0.30588235 0.16470588 0.17647059 0.16705882]";71.76$\pm$5.32;"[0.79764706 0.76235294 0.68       0.75764706 0.69176471 0.72
 0.73411765 0.74117647 0.69647059 0.59529412]";81.18$\pm$3.75;"[0.83529412 0.83294118 0.78352941 0.8        0.82352941 0.77411765
 0.75529412 0.89176471 0.78823529 0.83294118]";44.66$\pm$5.96;"[0.53176471 0.37411765 0.36       0.49411765 0.48705882 0.36470588
 0.47294118 0.42588235 0.44705882 0.50823529]";68.07$\pm$5.82;"[0.68       0.72705882 0.65411765 0.72470588 0.53411765 0.70117647
 0.72705882 0.74352941 0.66117647 0.65411765]";79.98$\pm$8.78;"[0.86352941 0.81176471 0.54117647 0.81411765 0.83294118 0.81647059
 0.82117647 0.84705882 0.80941176 0.84      ]";22.35$\pm$5.28;"[0.20941176 0.26588235 0.15294118 0.25176471 0.26823529 0.27294118
 0.30588235 0.16470588 0.17647059 0.16705882]";77.98$\pm$2.58;"[0.80235294 0.76941176 0.74823529 0.79529412 0.79058824 0.79764706
 0.76705882 0.82588235 0.73647059 0.76470588]";83.58$\pm$2.87;"[0.86352941 0.87529412 0.79529412 0.84       0.84470588 0.79058824
 0.83058824 0.87294118 0.80941176 0.83529412]";84.73$\pm$2.98;"[0.85176471 0.88470588 0.81411765 0.85647059 0.83294118 0.81176471
 0.83058824 0.91058824 0.82588235 0.85411765]";84.61$\pm$4.69;"[0.90352941 0.80705882 0.75529412 0.80941176 0.84941176 0.85647059
 0.83764706 0.92235294 0.83529412 0.88470588]";84.61$\pm$3.14;"[0.85647059 0.86823529 0.80470588 0.86823529 0.82352941 0.82117647
 0.82352941 0.90588235 0.81411765 0.87529412]";78.73$\pm$3.17;"[0.79294118 0.82117647 0.75294118 0.83294118 0.74823529 0.76235294
 0.78823529 0.83764706 0.75764706 0.77882353]"
Hits@50;88.64$\pm$2.61;"[0.90588235 0.90823529 0.87294118 0.92       0.85882353 0.86117647
 0.89411765 0.92470588 0.86823529 0.84941176]";88.12$\pm$2.32;"[0.92235294 0.87764706 0.83529412 0.88941176 0.86588235 0.88470588
 0.86352941 0.89647059 0.87058824 0.90588235]";78.33$\pm$3.61;"[0.81411765 0.78588235 0.74823529 0.80705882 0.73882353 0.73882353
 0.80705882 0.84705882 0.74588235 0.8       ]";89.84$\pm$2.1;"[0.93411765 0.90823529 0.88235294 0.90117647 0.86352941 0.89176471
 0.88       0.91058824 0.88470588 0.92705882]";89.2$\pm$2.7;"[0.90588235 0.88       0.86823529 0.92705882 0.86117647 0.89176471
 0.87058824 0.92470588 0.85882353 0.93176471]";47.15$\pm$10.78;"[0.44941176 0.57647059 0.32470588 0.56235294 0.6        0.54823529
 0.57882353 0.38823529 0.31764706 0.36941176]";88.73$\pm$2.51;"[0.90823529 0.90352941 0.85647059 0.90588235 0.85411765 0.88941176
 0.87529412 0.91058824 0.84941176 0.92      ]";70.28$\pm$23.37;"[0.77176471 0.79058824 0.00470588 0.81411765 0.74352941 0.77176471
 0.75764706 0.79764706 0.76470588 0.81176471]";85.44$\pm$3.46;"[0.88470588 0.88       0.83294118 0.91058824 0.85411765 0.82352941
 0.87529412 0.87294118 0.81176471 0.79764706]";88.31$\pm$2.51;"[0.88470588 0.89176471 0.86588235 0.88705882 0.84470588 0.85647059
 0.88705882 0.93176471 0.86588235 0.91529412]";89.2$\pm$2.77;"[0.92705882 0.91764706 0.86117647 0.86117647 0.85882353 0.88705882
 0.90352941 0.92235294 0.86117647 0.92      ]";47.15$\pm$10.78;"[0.44941176 0.57647059 0.32470588 0.56235294 0.6        0.54823529
 0.57882353 0.38823529 0.31764706 0.36941176]";81.79$\pm$3.91;"[0.87058824 0.84705882 0.78823529 0.84235294 0.81882353 0.81176471
 0.84       0.83529412 0.80235294 0.72235294]";88.71$\pm$2.09;"[0.89882353 0.88941176 0.87529412 0.88470588 0.88470588 0.87294118
 0.86117647 0.93176471 0.86117647 0.91058824]";64.87$\pm$4.44;"[0.71529412 0.61411765 0.62823529 0.68470588 0.64941176 0.60235294
 0.60941176 0.68705882 0.58823529 0.70823529]";80.38$\pm$4.55;"[0.81647059 0.81882353 0.76941176 0.82352941 0.68941176 0.82352941
 0.84       0.84235294 0.77176471 0.84235294]";88.73$\pm$6.4;"[0.93411765 0.90352941 0.69882353 0.89882353 0.89411765 0.90117647
 0.90823529 0.90823529 0.89882353 0.92705882]";47.15$\pm$10.78;"[0.44941176 0.57647059 0.32470588 0.56235294 0.6        0.54823529
 0.57882353 0.38823529 0.31764706 0.36941176]";87.95$\pm$2.12;"[0.89411765 0.88       0.86352941 0.90117647 0.86352941 0.85882353
 0.87058824 0.91529412 0.84705882 0.90117647]";89.95$\pm$2.13;"[0.94352941 0.92       0.88235294 0.89882353 0.90352941 0.88705882
 0.90117647 0.91294118 0.86588235 0.88      ]";91.36$\pm$1.78;"[0.92941176 0.92       0.89647059 0.92       0.90588235 0.88941176
 0.90117647 0.92941176 0.89647059 0.94823529]";90.21$\pm$4.01;"[0.94117647 0.84941176 0.85882353 0.83529412 0.92       0.90352941
 0.93411765 0.95058824 0.88705882 0.94117647]";92.0$\pm$2.13;"[0.93176471 0.92       0.91294118 0.93882353 0.90352941 0.89176471
 0.90823529 0.94352941 0.89176471 0.95764706]";88.75$\pm$2.62;"[0.90588235 0.89647059 0.87294118 0.90588235 0.84470588 0.85176471
 0.89882353 0.92       0.86117647 0.91764706]"
Hits@100;93.55$\pm$1.39;"[0.94352941 0.93411765 0.93882353 0.95764706 0.91764706 0.92705882
 0.93647059 0.95764706 0.91529412 0.92705882]";93.04$\pm$1.11;"[0.95764706 0.92705882 0.92705882 0.92235294 0.92       0.93647059
 0.93176471 0.92470588 0.91764706 0.93882353]";85.41$\pm$4.21;"[0.88       0.86117647 0.83764706 0.88705882 0.78823529 0.77647059
 0.86117647 0.91764706 0.84470588 0.88705882]";93.34$\pm$1.54;"[0.96470588 0.95058824 0.92941176 0.92941176 0.91764706 0.92941176
 0.92235294 0.93411765 0.91058824 0.94588235]";93.69$\pm$1.14;"[0.94352941 0.94117647 0.91058824 0.94588235 0.92941176 0.93882353
 0.94117647 0.95058824 0.92470588 0.94352941]";72.42$\pm$5.58;"[0.76705882 0.75764706 0.73647059 0.72705882 0.74823529 0.73647059
 0.72470588 0.77647059 0.69882353 0.56941176]";93.08$\pm$1.52;"[0.93882353 0.94352941 0.90823529 0.94588235 0.91529412 0.93176471
 0.92705882 0.94823529 0.90588235 0.94352941]";76.85$\pm$25.31;"[0.85882353 0.83058824 0.01176471 0.87294118 0.81176471 0.84941176
 0.84941176 0.88       0.84       0.88      ]";90.87$\pm$2.31;"[0.92235294 0.92705882 0.89882353 0.95529412 0.89411765 0.89411765
 0.92470588 0.91294118 0.88470588 0.87294118]";92.85$\pm$1.75;"[0.92705882 0.94117647 0.89882353 0.94117647 0.90117647 0.91764706
 0.93647059 0.94588235 0.92235294 0.95294118]";93.67$\pm$1.9;"[0.96       0.94823529 0.92235294 0.91294118 0.91764706 0.93176471
 0.93882353 0.96470588 0.91294118 0.95764706]";72.42$\pm$5.58;"[0.76705882 0.75764706 0.73647059 0.72705882 0.74823529 0.73647059
 0.72470588 0.77647059 0.69882353 0.56941176]";88.78$\pm$2.04;"[0.92235294 0.90117647 0.87764706 0.90352941 0.87764706 0.87294118
 0.90117647 0.90117647 0.87058824 0.84941176]";92.73$\pm$1.45;"[0.93176471 0.93647059 0.93176471 0.93411765 0.92705882 0.91294118
 0.91529412 0.95058824 0.89647059 0.93647059]";79.2$\pm$3.11;"[0.81411765 0.79294118 0.78588235 0.82352941 0.78588235 0.75058824
 0.79058824 0.81882353 0.72705882 0.83058824]";86.45$\pm$2.3;"[0.86117647 0.85882353 0.84705882 0.88235294 0.81176471 0.88470588
 0.87764706 0.89647059 0.85176471 0.87294118]";93.69$\pm$3.74;"[0.96470588 0.95058824 0.82823529 0.94588235 0.95294118 0.94823529
 0.95058824 0.93176471 0.93647059 0.96      ]";72.42$\pm$5.58;"[0.76705882 0.75764706 0.73647059 0.72705882 0.74823529 0.73647059
 0.72470588 0.77647059 0.69882353 0.56941176]";92.64$\pm$1.82;"[0.92941176 0.93882353 0.90588235 0.94588235 0.90117647 0.90352941
 0.92941176 0.95294118 0.91294118 0.94352941]";93.01$\pm$1.55;"[0.96       0.94823529 0.90823529 0.92705882 0.93647059 0.91764706
 0.93647059 0.93411765 0.91058824 0.92235294]";93.91$\pm$1.42;"[0.95294118 0.95764706 0.93411765 0.93647059 0.93411765 0.92941176
 0.93176471 0.94352941 0.91058824 0.96      ]";93.98$\pm$3.26;"[0.96705882 0.89647059 0.91058824 0.88       0.96235294 0.95529412
 0.97411765 0.97176471 0.92235294 0.95764706]";95.53$\pm$1.35;"[0.97411765 0.95529412 0.95529412 0.96470588 0.95058824 0.94823529
 0.94352941 0.96       0.92705882 0.97411765]";93.46$\pm$1.64;"[0.95058824 0.94352941 0.93411765 0.94352941 0.92235294 0.90588235
 0.94117647 0.93882353 0.90823529 0.95764706]"
ROCAUC;94.56$\pm$1.03;"[0.95338408 0.95022837 0.94849612 0.95899001 0.93314095 0.94145329
 0.94591565 0.96102976 0.9328     0.93103081]";94.5$\pm$0.78;"[0.96032664 0.94667958 0.93026082 0.94280244 0.94523862 0.9442436
 0.94608213 0.94692872 0.9353301  0.95253221]";89.15$\pm$3.13;"[0.91566505 0.89965952 0.89149279 0.91756382 0.84786349 0.82312526
 0.89971143 0.93105052 0.88386436 0.90514846]";93.55$\pm$1.2;"[0.95351142 0.95105882 0.92749168 0.93397891 0.92529967 0.92991557
 0.92815205 0.94101038 0.91538824 0.94927731]";94.94$\pm$0.89;"[0.95480692 0.95022284 0.9422919  0.95796337 0.93499445 0.9478699
 0.94944506 0.96312803 0.93632111 0.9572549 ]";80.77$\pm$2.06;"[0.81677509 0.83634602 0.78926193 0.81668701 0.82327414 0.82009135
 0.82087125 0.80703114 0.7713218  0.77580392]";94.46$\pm$1.08;"[0.95410381 0.95420346 0.93513319 0.95291898 0.93493896 0.94798062
 0.93457825 0.95936886 0.92465606 0.94839776]";81.91$\pm$21.5;"[0.90685675 0.87247336 0.17532186 0.90933407 0.87098779 0.87670035
 0.88318535 0.89450519 0.89079585 0.9105098 ]";93.0$\pm$1.57;"[0.94444291 0.94208443 0.92832408 0.95335738 0.93206992 0.92354879
 0.94026637 0.92804429 0.9079308  0.89951821]";94.27$\pm$0.96;"[0.94599308 0.94918754 0.9341343  0.94629301 0.92599889 0.93675294
 0.94233074 0.95871557 0.93388512 0.95416246]";94.45$\pm$1.3;"[0.95531626 0.95902007 0.93554384 0.92334073 0.92671476 0.94496332
 0.95026082 0.95721522 0.93370796 0.95910924]";80.77$\pm$2.06;"[0.81677509 0.83634602 0.78926193 0.81668701 0.82327414 0.82009135
 0.82087125 0.80703114 0.7713218  0.77580392]";91.44$\pm$1.81;"[0.93988097 0.92750173 0.90586016 0.93155938 0.90802997 0.91074879
 0.92844617 0.91813979 0.89924429 0.87431933]";94.53$\pm$0.96;"[0.95257578 0.95584221 0.93450055 0.94937847 0.94947836 0.93378547
 0.93402331 0.95670588 0.93307682 0.95389916]";85.31$\pm$1.74;"[0.8702782  0.83998339 0.84398446 0.87434517 0.83642619 0.83408166
 0.8549556  0.86840692 0.83005675 0.87817367]";90.35$\pm$1.67;"[0.90754879 0.90711142 0.90440622 0.9113485  0.86234739 0.9257301
 0.91890677 0.90992388 0.88956678 0.8980056 ]";94.68$\pm$2.8;"[0.9667654  0.95244291 0.86547725 0.95104329 0.95903441 0.96043183
 0.95944506 0.94251073 0.94754879 0.96288515]";80.77$\pm$2.06;"[0.81677509 0.83634602 0.78926193 0.81668701 0.82327414 0.82009135
 0.82087125 0.80703114 0.7713218  0.77580392]";94.19$\pm$1.08;"[0.94923737 0.94967474 0.93597114 0.95212542 0.92309101 0.93561799
 0.93849057 0.95967889 0.92872526 0.94687395]";93.33$\pm$1.38;"[0.95245398 0.95277509 0.91418424 0.93195893 0.94623196 0.92330519
 0.93279689 0.93289412 0.91031696 0.93605042]";94.86$\pm$0.9;"[0.95052734 0.96224775 0.94288568 0.95301332 0.94751942 0.94139792
 0.95215871 0.9496526  0.92846505 0.95857703]";95.47$\pm$2.01;"[0.97437232 0.93444983 0.92329634 0.92038291 0.96758047 0.96293426
 0.97033296 0.97430035 0.95108651 0.96839776]";95.71$\pm$0.95;"[0.96175502 0.96513772 0.9523141  0.96403996 0.95083796 0.94808028
 0.94805771 0.96890242 0.94163599 0.96984314]";93.69$\pm$1.42;"[0.94666298 0.95202768 0.92605993 0.94874029 0.93211432 0.91410934
 0.9408879  0.94698408 0.91209965 0.94966947]"
AP;95.61$\pm$0.81;"[0.96082442 0.96228751 0.95655739 0.96665544 0.94726044 0.9537989
 0.95792803 0.96659147 0.94737733 0.94140334]";95.33$\pm$0.7;"[0.96547968 0.95528226 0.93785467 0.95509052 0.95179245 0.95418658
 0.95547939 0.95337987 0.94558396 0.95854383]";91.28$\pm$1.76;"[0.92792776 0.91738517 0.90805165 0.93104996 0.88782285 0.87914168
 0.91218978 0.93961511 0.90906581 0.91606324]";95.42$\pm$0.72;"[0.96528449 0.96208636 0.94851967 0.95417656 0.94726161 0.95170835
 0.94833132 0.9550084  0.9443233  0.96517425]";95.95$\pm$0.65;"[0.96343969 0.96117236 0.95224226 0.96793672 0.95126964 0.95799994
 0.95670188 0.96854453 0.9504696  0.9656911 ]";78.17$\pm$2.7;"[0.78661203 0.81292032 0.75305876 0.79944861 0.81310253 0.79617818
 0.80650803 0.76254756 0.74621031 0.74010837]";95.47$\pm$0.81;"[0.96077716 0.96033234 0.94902341 0.96266913 0.94865043 0.9536531
 0.9442829  0.96705448 0.94150006 0.95911623]";85.02$\pm$17.06;"[0.91814958 0.90681383 0.33941621 0.92277606 0.89002911 0.9005028
 0.90065853 0.89730186 0.90657739 0.91991136]";94.1$\pm$1.42;"[0.95184942 0.95213221 0.93482445 0.96000183 0.94630478 0.9391332
 0.95139508 0.94074683 0.92328626 0.91076499]";95.39$\pm$0.76;"[0.95789031 0.95816717 0.94675649 0.95580706 0.94178034 0.94890718
 0.95239939 0.96772443 0.94723521 0.96247319]";95.48$\pm$0.9;"[0.9601052  0.96389742 0.94940143 0.93665522 0.94541838 0.9553716
 0.96053565 0.96200631 0.94862753 0.96640015]";78.17$\pm$2.7;"[0.78661203 0.81292032 0.75305876 0.79944861 0.81310253 0.79617818
 0.80650803 0.76254756 0.74621031 0.74010837]";93.06$\pm$1.54;"[0.94983952 0.94365102 0.92203714 0.94562115 0.92825741 0.92814317
 0.94129408 0.93293302 0.92007489 0.89463312]";95.61$\pm$0.75;"[0.96040565 0.96236502 0.9499482  0.95755593 0.95889391 0.94536479
 0.94647754 0.96898448 0.9490824  0.96155323]";85.72$\pm$2.05;"[0.87853271 0.82906823 0.84188397 0.88447383 0.85450754 0.83010726
 0.86686426 0.86294864 0.8385695  0.88466798]";92.12$\pm$1.6;"[0.92658199 0.92519216 0.91811347 0.93262499 0.87830761 0.93632403
 0.9311578  0.93161872 0.91141696 0.92100407]";95.34$\pm$2.56;"[0.96934135 0.94673565 0.87890691 0.96143568 0.96492024 0.96436754
 0.96462268 0.9551209  0.9593802  0.96913796]";78.17$\pm$2.7;"[0.78661203 0.81292032 0.75305876 0.79944861 0.81310253 0.79617818
 0.80650803 0.76254756 0.74621031 0.74010837]";95.1$\pm$0.69;"[0.95724621 0.9561797  0.94741051 0.95686037 0.94189924 0.94514606
 0.94567822 0.96265679 0.94281859 0.95384712]";95.44$\pm$0.81;"[0.96586061 0.96664429 0.94166234 0.95377125 0.96202812 0.94882035
 0.95199702 0.95419838 0.94331079 0.95530421]";96.15$\pm$0.58;"[0.964204   0.97038926 0.95720525 0.9649049  0.96020281 0.95577933
 0.9618785  0.9634143  0.94934884 0.96734753]";96.48$\pm$1.31;"[0.97769503 0.95128631 0.94491411 0.94346408 0.97334383 0.96935433
 0.9729406  0.97921916 0.96030621 0.97571348]";96.59$\pm$0.67;"[0.96777335 0.97170659 0.96094223 0.97202795 0.96070427 0.96097236
 0.95919484 0.97319818 0.9562828  0.97620271]";95.11$\pm$0.95;"[0.95729186 0.96120169 0.93906819 0.96183665 0.94466999 0.93909514
 0.95171582 0.95900776 0.93779556 0.9595385 ]"
pretrain_time;nan$\pm$nan;[];7.11$\pm$0.02;"[7.11123419 7.11418986 7.09919715 7.06552982 7.09303594 7.0742867
 7.12605953 7.13661432 7.12923074 7.1318953 ]";4.99$\pm$0.02;"[4.97691059 4.99665642 5.01468587 4.96650982 4.97817016 4.96526694
 4.95882821 5.02564049 4.98683    4.99091482]";68.07$\pm$0.24;"[68.40920067 67.903193   67.77110744 67.85125709 68.1020565  67.71674871
 68.03245306 68.339288   68.31164432 68.21787691]";3.8$\pm$0.01;"[3.80977631 3.80299354 3.81623793 3.80779219 3.80162501 3.79241896
 3.78172469 3.80767202 3.80727696 3.81078959]";nan$\pm$nan;[];4.95$\pm$0.02;"[4.92044663 4.92522693 4.97543764 4.98804402 4.97440243 4.97228885
 4.95085192 4.94351649 4.94263864 4.93655777]";16.74$\pm$0.22;"[16.74211311 16.74121308 16.77226758 16.72758269 16.72155476 16.8855834
 17.29003096 16.54515982 16.51655984 16.50587821]";3.87$\pm$0.05;"[3.82586956 3.82147884 3.99720526 3.87433028 3.92192888 3.87881207
 3.82761025 3.86636233 3.83776069 3.85086751]";7.2$\pm$0.04;"[7.14835143 7.14554977 7.20968294 7.20675159 7.23474169 7.24254775
 7.26051879 7.24572825 7.14476848 7.15110517]";10.44$\pm$0.03;"[10.43538094 10.43554974 10.44346261 10.44384623 10.420959   10.42332315
 10.42791128 10.52407289 10.41332412 10.40207124]";nan$\pm$nan;[];29.4$\pm$0.3;"[29.56888747 30.0624361  29.79607654 29.25618052 29.09267783 29.23425889
 29.24531388 29.3946538  29.22742796 29.07965636]";39.37$\pm$0.18;"[39.07920575 39.02566051 39.29232764 39.58968806 39.41881061 39.40487409
 39.48523068 39.49166965 39.45464754 39.4966774 ]";4.41$\pm$0.02;"[4.41821456 4.44375324 4.42559099 4.39884114 4.42056894 4.43386626
 4.36435103 4.36908579 4.42223358 4.4045229 ]";71.47$\pm$0.42;"[72.04226518 70.95878649 71.64848757 71.89147615 71.9101131  71.85563755
 70.98101139 71.11842227 70.99106097 71.27156663]";57.06$\pm$0.33;"[56.68667555 56.79732585 57.6904664  57.28042364 57.33745193 57.25986791
 56.73488975 57.12083864 56.58122158 57.07471919]";nan$\pm$nan;[];10.25$\pm$0.03;"[10.23771858 10.19402194 10.27339411 10.25583816 10.23060513 10.261271
 10.23292089 10.30903268 10.26293612 10.23700809]";18.49$\pm$2.78;"[17.17030907 17.42856193 24.2781074  17.21490908 17.02196097 17.01305389
 17.01383066 23.82935143 16.96084237 17.01735282]";22.02$\pm$0.91;"[21.6983223  21.45916748 23.81302762 21.4834578  21.59386134 21.67392612
 21.52561641 23.85211873 21.58710957 21.52214932]";115.56$\pm$0.26;"[116.07918668 115.32589602 115.82510376 115.24542093 115.28470802
 115.59495854 115.45877361 115.79580235 115.68779302 115.34687757]";108.24$\pm$0.48;"[108.19044065 108.06149578 109.04891753 108.16766262 108.38295865
 108.43658423 108.5467608  108.53543615 107.90301514 107.13026237]";55.91$\pm$0.28;"[56.21734405 55.90955114 56.28932762 55.45535994 55.43998837 56.12570238
 56.09298611 55.93212628 55.88672137 55.71651053]"
