metrics;lbgrl,enc:gcn_ncn,pred:mlp,random_mean;lbgrl,enc:gcn_ncn,pred:mlp,random;lbgrl,enc:gcn_ncn,pred:mlp,deg_mean;lbgrl,enc:gcn_ncn,pred:mlp,deg;lbgrl,enc:gcn_ncn,pred:mlp,evc_mean;lbgrl,enc:gcn_ncn,pred:mlp,evc;lbgrl,enc:gcn_ncn,pred:mlp,pr_mean;lbgrl,enc:gcn_ncn,pred:mlp,pr
Hits@10;32.79$\pm$4.3;"[0.32547383 0.40162455 0.3146435  0.37364621 0.36924639 0.25078971
 0.33066336 0.30234657 0.27809116 0.33246841]";38.04$\pm$3.86;"[0.42666968 0.3969991  0.38481498 0.34284747 0.43388989 0.31656137
 0.41143953 0.40263989 0.34183213 0.34600632]";33.4$\pm$4.62;"[0.36981047 0.37274368 0.36642599 0.29963899 0.3657491  0.24481047
 0.35559567 0.30426444 0.27549639 0.38526625]";34.37$\pm$4.72;"[0.40433213 0.37251805 0.3991426  0.29399819 0.38628159 0.26771209
 0.28689079 0.35976986 0.31125903 0.35469314]"
Hits@20;45.84$\pm$4.34;"[0.46277076 0.50293321 0.49481047 0.47326264 0.43693592 0.34623195
 0.4737139  0.4836417  0.42903881 0.48059567]";50.61$\pm$4.59;"[0.56103339 0.54569043 0.51647112 0.43411552 0.5504287  0.45791968
 0.55843863 0.48003159 0.44720217 0.50947653]";44.99$\pm$3.05;"[0.43197202 0.47032942 0.48240072 0.42272112 0.45408394 0.38018953
 0.47608303 0.45351986 0.44393051 0.4836417 ]";48.25$\pm$5.59;"[0.50022563 0.47145758 0.49165162 0.47732401 0.58528881 0.37443592
 0.54061372 0.49199007 0.41166516 0.48025722]"
Hits@50;64.3$\pm$2.47;"[0.65421931 0.64508123 0.65568592 0.6299639  0.61856949 0.58325812
 0.65726534 0.65579874 0.65794224 0.67238267]";68.39$\pm$2.18;"[0.69280235 0.68445397 0.67520307 0.69122292 0.71141697 0.64305054
 0.71615523 0.65771661 0.66899819 0.69754061]";62.17$\pm$1.73;"[0.62590253 0.61676444 0.62939982 0.62545126 0.63876354 0.58122744
 0.64541968 0.60379061 0.63030235 0.61958484]";66.98$\pm$3.76;"[0.67305957 0.67215704 0.62545126 0.66753159 0.7208935  0.59296029
 0.70543773 0.69336643 0.64395307 0.70329422]"
Hits@100;75.71$\pm$1.44;"[0.76342509 0.75879964 0.76004061 0.74052347 0.76658394 0.72405235
 0.76974278 0.7663583  0.74842058 0.77256318]";80.32$\pm$1.25;"[0.80922834 0.81058213 0.79320848 0.79794675 0.81261282 0.77775271
 0.82445848 0.81238718 0.79636733 0.79726986]";73.77$\pm$1.08;"[0.74379513 0.73555957 0.72743682 0.74537455 0.7422157  0.71243231
 0.75203069 0.73330325 0.73781588 0.74695397]";78.83$\pm$1.83;"[0.78643953 0.79975181 0.76432762 0.78632671 0.80392599 0.75090253
 0.79580325 0.81193592 0.77888087 0.80516697]"
ROCAUC;96.02$\pm$0.24;"[0.96247981 0.95822841 0.95986862 0.95495319 0.95991583 0.96139422
 0.96011637 0.96333996 0.95898992 0.96316703]";98.69$\pm$0.04;"[0.98741995 0.9871508  0.98664025 0.98680318 0.98699726 0.98678513
 0.98606309 0.98712385 0.98647188 0.98735303]";98.11$\pm$0.08;"[0.98230536 0.98021297 0.98014162 0.98092597 0.98200158 0.9802092
 0.98191702 0.98173269 0.9803728  0.98074166]";98.56$\pm$0.1;"[0.98591892 0.98547821 0.98536869 0.98569082 0.98678141 0.98297859
 0.98684015 0.98578001 0.98500319 0.98610634]"
AP;96.85$\pm$0.17;"[0.96989292 0.9677477  0.96832138 0.96479742 0.96889198 0.96776339
 0.96884665 0.97088631 0.96708994 0.97054425]";98.65$\pm$0.06;"[0.9873123  0.98713615 0.98630727 0.98582608 0.98716305 0.98582085
 0.98663836 0.98656438 0.98542487 0.98669985]";98.1$\pm$0.09;"[0.98211154 0.98066605 0.98072915 0.98067994 0.98193796 0.97936693
 0.982016   0.98140307 0.97993782 0.98105113]";98.5$\pm$0.14;"[0.98577934 0.98520054 0.9848222  0.98444854 0.98629219 0.98155246
 0.98649667 0.98564878 0.98418791 0.98599061]"
pretrain_time;58.58$\pm$5.28;"[65.01051784 54.25758958 65.14297056 54.31174946 54.25398517 65.08162498
 54.24934912 64.95517325 54.24053407 54.27009749]";54.41$\pm$1.68;"[56.51235652 53.04296374 56.45318031 53.00690293 53.00794721 56.4674449
 53.03579593 56.46650791 53.0781517  53.06225276]";84.53$\pm$3.4;"[88.2237606  81.73849249 89.02834773 81.84467411 81.50514531 89.01042819
 82.09253454 88.47247195 81.73411989 81.63584995]";112.85$\pm$5.52;"[119.05923581 108.26934934 119.82942843 108.54358649 108.39538336
 119.8275423  108.30702639 119.69745994 108.27300191 108.26061153]"
