metrics;baseline,enc:gcn_ncn,pred:mlp_mean;baseline,enc:gcn_ncn,pred:mlp;grace,enc:gcn_ncn,pred:mlp,random_mean;grace,enc:gcn_ncn,pred:mlp,random;grace,enc:gcn_ncn,pred:mlp,deg_mean;grace,enc:gcn_ncn,pred:mlp,deg;grace,enc:gcn_ncn,pred:mlp,evc_mean;grace,enc:gcn_ncn,pred:mlp,evc;grace,enc:gcn_ncn,pred:mlp,pr_mean;grace,enc:gcn_ncn,pred:mlp,pr;bgrl,enc:gcn_ncn,pred:mlp,random_mean;bgrl,enc:gcn_ncn,pred:mlp,random;bgrl,enc:gcn_ncn,pred:mlp,deg_mean;bgrl,enc:gcn_ncn,pred:mlp,deg;bgrl,enc:gcn_ncn,pred:mlp,evc_mean;bgrl,enc:gcn_ncn,pred:mlp,evc;bgrl,enc:gcn_ncn,pred:mlp,pr_mean;bgrl,enc:gcn_ncn,pred:mlp,pr;lbgrl,enc:gcn_ncn,pred:mlp,random_mean;lbgrl,enc:gcn_ncn,pred:mlp,random;lbgrl,enc:gcn_ncn,pred:mlp,deg_mean;lbgrl,enc:gcn_ncn,pred:mlp,deg;lbgrl,enc:gcn_ncn,pred:mlp,evc_mean;lbgrl,enc:gcn_ncn,pred:mlp,evc;lbgrl,enc:gcn_ncn,pred:mlp,pr_mean;lbgrl,enc:gcn_ncn,pred:mlp,pr;lgrace,enc:gcn_ncn,pred:mlp,random_mean;lgrace,enc:gcn_ncn,pred:mlp,random;lgrace,enc:gcn_ncn,pred:mlp,deg_mean;lgrace,enc:gcn_ncn,pred:mlp,deg;lgrace,enc:gcn_ncn,pred:mlp,evc_mean;lgrace,enc:gcn_ncn,pred:mlp,evc;lgrace,enc:gcn_ncn,pred:mlp,pr_mean;lgrace,enc:gcn_ncn,pred:mlp,pr
Hits@10;53.54$\pm$6.72;"[0.59450549 0.44065934 0.55384615 0.65054945 0.50549451 0.51868132
 0.41428571 0.58681319 0.55824176 0.53076923]";50.65$\pm$3.65;"[0.54505495 0.46263736 0.56483516 0.52637363 0.53296703 0.48901099
 0.43626374 0.49340659 0.50549451 0.50879121]";56.24$\pm$5.22;"[0.60549451 0.46153846 0.58241758 0.61758242 0.5032967  0.55714286
 0.51318681 0.58791209 0.63406593 0.56153846]";59.12$\pm$4.78;"[0.58461538 0.56703297 0.68791209 0.61758242 0.58901099 0.56813187
 0.50549451 0.56263736 0.64945055 0.58021978]";58.16$\pm$6.83;"[0.65164835 0.51098901 0.64175824 0.66043956 0.51648352 0.62307692
 0.47142857 0.59120879 0.64065934 0.50879121]";49.29$\pm$6.93;"[0.51538462 0.45054945 0.5967033  0.56373626 0.4010989  0.52197802
 0.38351648 0.54175824 0.53076923 0.42307692]";58.85$\pm$18.64;"[0.51098901 0.65934066 0.67472527 0.76373626 0.68241758 0.11758242
 0.4010989  0.67582418 0.71538462 0.68351648]";60.22$\pm$4.16;"[0.66593407 0.60989011 0.58131868 0.68241758 0.57362637 0.57472527
 0.53736264 0.61758242 0.58681319 0.59230769]";44.07$\pm$17.03;"[0.54945055 0.11868132 0.5989011  0.55274725 0.57252747 0.44615385
 0.3956044  0.12417582 0.56483516 0.48351648]";33.2$\pm$6.17;"[0.33626374 0.26813187 0.40989011 0.42307692 0.33406593 0.2956044
 0.38681319 0.25714286 0.36813187 0.24065934]";44.41$\pm$4.78;"[0.39230769 0.49010989 0.43076923 0.45714286 0.46043956 0.46923077
 0.38791209 0.36043956 0.52087912 0.47142857]";48.46$\pm$6.19;"[0.59120879 0.53846154 0.42417582 0.50879121 0.37362637 0.42417582
 0.47912088 0.46373626 0.53956044 0.5032967 ]";54.03$\pm$11.98;"[0.6032967  0.6032967  0.20989011 0.63406593 0.63406593 0.52637363
 0.55934066 0.53076923 0.48791209 0.61428571]";44.26$\pm$11.89;"[0.52417582 0.53076923 0.48901099 0.55934066 0.11978022 0.41428571
 0.40549451 0.45054945 0.50879121 0.42417582]";44.69$\pm$8.16;"[0.60879121 0.34725275 0.44725275 0.43296703 0.50769231 0.47692308
 0.51758242 0.38901099 0.42417582 0.31758242]";61.19$\pm$4.98;"[0.63846154 0.57472527 0.62417582 0.68571429 0.64175824 0.6021978
 0.49340659 0.65494505 0.60769231 0.5956044 ]";64.2$\pm$12.51;"[0.71098901 0.65934066 0.71758242 0.74725275 0.28461538 0.65824176
 0.60989011 0.65934066 0.71208791 0.66043956]"
Hits@20;63.32$\pm$4.11;"[0.65714286 0.5978022  0.66813187 0.7032967  0.62087912 0.6010989
 0.55274725 0.66263736 0.64835165 0.61978022]";62.86$\pm$4.24;"[0.62747253 0.60659341 0.7021978  0.67362637 0.6021978  0.66483516
 0.55054945 0.65274725 0.60659341 0.5989011 ]";68.93$\pm$2.45;"[0.70989011 0.67582418 0.7010989  0.67912088 0.68571429 0.63956044
 0.67582418 0.7021978  0.73736264 0.68681319]";72.62$\pm$4.76;"[0.78351648 0.67582418 0.77912088 0.73076923 0.75934066 0.71648352
 0.64065934 0.67582418 0.78021978 0.71978022]";71.12$\pm$3.65;"[0.73956044 0.68351648 0.75384615 0.73956044 0.68131868 0.7032967
 0.64615385 0.70769231 0.76923077 0.68791209]";62.93$\pm$5.01;"[0.67692308 0.57912088 0.67252747 0.68021978 0.58351648 0.66263736
 0.58901099 0.61868132 0.68791209 0.54285714]";67.03$\pm$19.66;"[0.62637363 0.77362637 0.76153846 0.82417582 0.75934066 0.14505495
 0.50549451 0.76593407 0.7989011  0.74285714]";69.91$\pm$3.63;"[0.73956044 0.71208791 0.68901099 0.75164835 0.65274725 0.67802198
 0.64945055 0.72967033 0.72967033 0.65934066]";53.65$\pm$20.55;"[0.67802198 0.15054945 0.7043956  0.67252747 0.70769231 0.52197802
 0.5021978  0.14615385 0.67032967 0.61098901]";41.25$\pm$7.65;"[0.47362637 0.30879121 0.48791209 0.53956044 0.40549451 0.36263736
 0.47032967 0.33516484 0.42967033 0.31208791]";55.85$\pm$4.65;"[0.53406593 0.54505495 0.61318681 0.5978022  0.55494505 0.54065934
 0.55824176 0.45274725 0.62747253 0.56043956]";57.24$\pm$5.84;"[0.66593407 0.58901099 0.52417582 0.59450549 0.48021978 0.54395604
 0.54505495 0.51098901 0.61758242 0.65274725]";62.75$\pm$12.2;"[0.66593407 0.66483516 0.27362637 0.6956044  0.72637363 0.67802198
 0.65274725 0.66153846 0.5967033  0.65934066]";55.67$\pm$14.62;"[0.61318681 0.64065934 0.67032967 0.71098901 0.15384615 0.55164835
 0.54945055 0.55824176 0.60659341 0.51208791]";54.43$\pm$7.36;"[0.67032967 0.48351648 0.53846154 0.52087912 0.58461538 0.60769231
 0.62857143 0.47252747 0.51538462 0.42087912]";70.81$\pm$4.07;"[0.75274725 0.6978022  0.68791209 0.76813187 0.71538462 0.68131868
 0.62857143 0.75164835 0.72417582 0.67362637]";71.63$\pm$12.56;"[0.77582418 0.74505495 0.76043956 0.8021978  0.34725275 0.73626374
 0.70989011 0.76043956 0.78681319 0.73846154]"
Hits@50;76.51$\pm$2.41;"[0.77142857 0.74725275 0.78241758 0.79340659 0.79230769 0.76483516
 0.71208791 0.78461538 0.75274725 0.74945055]";77.75$\pm$2.62;"[0.77142857 0.76923077 0.78681319 0.81868132 0.73736264 0.8
 0.74175824 0.8        0.7978022  0.75164835]";82.6$\pm$2.02;"[0.83736264 0.8        0.86263736 0.84505495 0.83846154 0.80989011
 0.7967033  0.81318681 0.83626374 0.82087912]";86.05$\pm$2.19;"[0.86593407 0.85604396 0.8978022  0.87912088 0.86373626 0.84615385
 0.82087912 0.83406593 0.88351648 0.85824176]";83.3$\pm$2.52;"[0.85494505 0.81978022 0.84725275 0.83736264 0.82857143 0.83516484
 0.79010989 0.82967033 0.88461538 0.8021978 ]";79.07$\pm$2.29;"[0.8032967  0.8032967  0.81318681 0.78571429 0.8032967  0.78461538
 0.73296703 0.79010989 0.81538462 0.77472527]";78.45$\pm$18.67;"[0.77032967 0.85164835 0.89230769 0.88901099 0.85824176 0.23736264
 0.77582418 0.83956044 0.88131868 0.84945055]";81.43$\pm$2.57;"[0.83736264 0.81098901 0.82747253 0.83626374 0.75824176 0.83186813
 0.77362637 0.82307692 0.82967033 0.81428571]";67.82$\pm$22.47;"[0.78681319 0.27472527 0.86263736 0.83846154 0.87362637 0.68901099
 0.63406593 0.22967033 0.81868132 0.77472527]";53.51$\pm$8.8;"[0.61868132 0.41978022 0.60659341 0.65164835 0.57582418 0.44065934
 0.62637363 0.46263736 0.53296703 0.41538462]";71.2$\pm$4.21;"[0.7        0.69340659 0.74285714 0.76043956 0.71428571 0.72637363
 0.67582418 0.63626374 0.78791209 0.68241758]";71.41$\pm$4.12;"[0.78681319 0.76593407 0.69010989 0.70989011 0.63956044 0.68461538
 0.69120879 0.6967033  0.73846154 0.73736264]";73.56$\pm$10.67;"[0.76373626 0.77252747 0.42527473 0.79120879 0.81098901 0.78901099
 0.74175824 0.77692308 0.71098901 0.77362637]";72.12$\pm$15.21;"[0.76703297 0.74615385 0.83186813 0.83296703 0.27802198 0.79340659
 0.74615385 0.74725275 0.75274725 0.71648352]";65.98$\pm$8.27;"[0.8010989  0.58901099 0.61758242 0.62087912 0.71758242 0.78461538
 0.7043956  0.62527473 0.5956044  0.54175824]";82.96$\pm$1.76;"[0.82637363 0.83186813 0.84175824 0.85714286 0.82087912 0.82087912
 0.79450549 0.85494505 0.81758242 0.82967033]";80.62$\pm$12.67;"[0.85274725 0.81648352 0.84835165 0.87692308 0.42967033 0.85384615
 0.82527473 0.84395604 0.87362637 0.84065934]"
Hits@100;85.66$\pm$2.07;"[0.86263736 0.83736264 0.89120879 0.87142857 0.85934066 0.86813187
 0.80879121 0.85274725 0.85824176 0.85604396]";89.56$\pm$1.55;"[0.89230769 0.9010989  0.90659341 0.90549451 0.88131868 0.90549451
 0.86263736 0.91428571 0.90769231 0.87912088]";90.22$\pm$0.98;"[0.9043956  0.88791209 0.91318681 0.9032967  0.8967033  0.9021978
 0.88571429 0.91978022 0.9043956  0.9043956 ]";92.66$\pm$1.28;"[0.92197802 0.91648352 0.94945055 0.93516484 0.94395604 0.91978022
 0.9043956  0.92087912 0.93186813 0.92197802]";90.3$\pm$1.03;"[0.9        0.8978022  0.91098901 0.9021978  0.90769231 0.90989011
 0.88351648 0.90879121 0.91978022 0.88901099]";87.99$\pm$2.26;"[0.90989011 0.88131868 0.90659341 0.87472527 0.89450549 0.86703297
 0.82747253 0.88351648 0.88901099 0.86483516]";85.66$\pm$17.82;"[0.8956044  0.91868132 0.93956044 0.93076923 0.93186813 0.32527473
 0.86813187 0.91648352 0.92857143 0.91098901]";88.69$\pm$1.59;"[0.8989011  0.87362637 0.9        0.9        0.84835165 0.8956044
 0.88241758 0.8956044  0.8978022  0.87692308]";78.52$\pm$21.32;"[0.88791209 0.41868132 0.94505495 0.91098901 0.92747253 0.85054945
 0.8        0.31758242 0.89010989 0.9032967 ]";64.02$\pm$9.23;"[0.75384615 0.51538462 0.72417582 0.74065934 0.68351648 0.53846154
 0.72637363 0.58901099 0.62087912 0.50989011]";82.62$\pm$3.37;"[0.79120879 0.80989011 0.83296703 0.85934066 0.85714286 0.83186813
 0.77142857 0.82967033 0.88571429 0.79230769]";82.05$\pm$2.38;"[0.85494505 0.85274725 0.8        0.84725275 0.78571429 0.8032967
 0.82747253 0.82637363 0.79450549 0.81318681]";81.8$\pm$10.84;"[0.83406593 0.85164835 0.50879121 0.87362637 0.8967033  0.87802198
 0.82087912 0.87032967 0.77362637 0.87252747]";82.41$\pm$15.21;"[0.8989011  0.88021978 0.91318681 0.90989011 0.37582418 0.88351648
 0.84835165 0.85384615 0.86043956 0.81648352]";78.0$\pm$7.32;"[0.8967033  0.71758242 0.74395604 0.76043956 0.82637363 0.88681319
 0.83516484 0.75604396 0.7043956  0.67252747]";90.26$\pm$1.52;"[0.9021978  0.89230769 0.92417582 0.92087912 0.9032967  0.90879121
 0.86923077 0.90989011 0.88901099 0.90659341]";87.66$\pm$11.02;"[0.92307692 0.9032967  0.92197802 0.91428571 0.54725275 0.91868132
 0.91098901 0.8956044  0.92527473 0.90549451]"
ROCAUC;94.83$\pm$0.98;"[0.95646661 0.93650767 0.95840375 0.95526265 0.95431832 0.95227267
 0.92465523 0.94763917 0.94781489 0.94953146]";95.74$\pm$0.44;"[0.95785895 0.95563459 0.96194103 0.96077768 0.95520348 0.96184398
 0.94738558 0.95930322 0.96080949 0.95281609]";95.89$\pm$0.42;"[0.96743872 0.95118585 0.96068497 0.95959667 0.95652276 0.96020408
 0.95488468 0.96213742 0.95909041 0.95722377]";96.77$\pm$0.41;"[0.97097694 0.96657771 0.97172234 0.96856539 0.97210965 0.96675764
 0.95730226 0.96735056 0.970239   0.96576983]";96.08$\pm$0.4;"[0.96692549 0.95710059 0.95996083 0.96215916 0.95902125 0.96254076
 0.95546552 0.96300085 0.96698582 0.95515155]";93.76$\pm$0.79;"[0.94624925 0.93861369 0.94205805 0.94476029 0.94191583 0.93629211
 0.92294288 0.93783239 0.94249749 0.92273155]";93.28$\pm$9.37;"[0.95617921 0.96297669 0.9733048  0.9674834  0.96966127 0.65244596
 0.94752687 0.96610554 0.96896964 0.96338244]";95.64$\pm$0.43;"[0.96248883 0.95453085 0.9597807  0.95982973 0.94943183 0.95815723
 0.95011714 0.95938292 0.95812933 0.95178722]";90.23$\pm$11.07;"[0.96007004 0.71750151 0.96820924 0.96325323 0.96930504 0.9454462
 0.92946263 0.65064968 0.96084092 0.95832387]";84.06$\pm$4.29;"[0.89115566 0.78518597 0.87844268 0.89593527 0.86065451 0.80073421
 0.87835769 0.8071344  0.82768288 0.780637  ]";93.91$\pm$0.92;"[0.93155295 0.94127521 0.94662049 0.95184398 0.9434712  0.93971984
 0.92689409 0.92788069 0.95217786 0.92913175]";93.52$\pm$0.74;"[0.95070161 0.94356599 0.93473446 0.93900374 0.92764642 0.92610675
 0.92679266 0.9356056  0.93121774 0.93666345]";92.83$\pm$4.8;"[0.94358169 0.95090448 0.79343803 0.95346577 0.95948255 0.95514914
 0.92900857 0.94827195 0.89859041 0.95096486]";92.95$\pm$6.99;"[0.96092501 0.95433402 0.96231217 0.9629779  0.72134163 0.95460331
 0.94693757 0.9466248  0.95088795 0.93438594]";90.79$\pm$2.95;"[0.95796703 0.88547881 0.89277917 0.90273276 0.92307028 0.94833293
 0.93257276 0.89319104 0.87553887 0.86686028]";96.12$\pm$0.45;"[0.96458157 0.95787465 0.96514223 0.96526627 0.96217305 0.96396812
 0.95059655 0.96439319 0.95997534 0.95772552]";94.78$\pm$4.77;"[0.96650646 0.95770438 0.96820319 0.96825746 0.80516242 0.96568047
 0.95914865 0.96050719 0.96596187 0.96130781]"
AP;95.07$\pm$0.86;"[0.95773513 0.94090964 0.95862297 0.95888023 0.95366125 0.95361343
 0.92958711 0.9506129  0.95223586 0.95104088]";95.54$\pm$0.56;"[0.95556536 0.95456781 0.960743   0.96229656 0.95297414 0.95926536
 0.94149053 0.95701051 0.9579533  0.95253012]";95.97$\pm$0.46;"[0.96743872 0.95209221 0.96031294 0.96432273 0.95587401 0.96093743
 0.95312245 0.96224326 0.96260884 0.95843353]";96.77$\pm$0.5;"[0.9702362  0.96553821 0.9742732  0.97127489 0.97086392 0.96750215
 0.95617324 0.9665009  0.97192458 0.96319869]";96.28$\pm$0.46;"[0.96822293 0.95904805 0.96314615 0.96615704 0.95798938 0.96418165
 0.95679151 0.963879   0.97114895 0.95760953]";94.4$\pm$0.86;"[0.95230048 0.94138503 0.95316442 0.95093769 0.9426238  0.94592941
 0.93021774 0.94647296 0.95049427 0.9268678 ]";93.83$\pm$8.24;"[0.95586266 0.96714878 0.9750728  0.973907   0.96961236 0.69289531
 0.94231283 0.96717972 0.9737844  0.96569135]";96.01$\pm$0.46;"[0.96618717 0.95928284 0.96283913 0.96458741 0.95286468 0.96160619
 0.95281508 0.96254673 0.96333298 0.95523744]";90.65$\pm$10.01;"[0.95978138 0.73444841 0.96843834 0.96462842 0.9698044  0.94172178
 0.92786976 0.68360861 0.95897049 0.95603117]";86.21$\pm$3.73;"[0.90308538 0.81034145 0.89579013 0.90906427 0.87963573 0.82873941
 0.89452011 0.83366299 0.8577557  0.80816444]";93.95$\pm$0.92;"[0.93160632 0.94213354 0.94575115 0.95242929 0.94159649 0.94150325
 0.92782165 0.92693296 0.95404702 0.93154539]";93.85$\pm$0.81;"[0.95393754 0.94772807 0.93413375 0.94324194 0.92578011 0.92854909
 0.93309768 0.93899766 0.93878765 0.94044639]";93.53$\pm$4.29;"[0.94983372 0.95373229 0.81220763 0.95906649 0.96278209 0.95675038
 0.93655579 0.95065941 0.9175801  0.95393228]";93.01$\pm$6.45;"[0.95893765 0.95508676 0.96142012 0.96472098 0.73826006 0.95160717
 0.94235317 0.94369148 0.95038265 0.93433145]";91.73$\pm$2.47;"[0.96055122 0.89632928 0.90607193 0.91266219 0.93114875 0.94682259
 0.94017936 0.90486356 0.89429772 0.88052558]";96.35$\pm$0.46;"[0.96734163 0.96232366 0.96582502 0.9696869  0.96350736 0.96429556
 0.95317266 0.96734182 0.96390296 0.95798875]";95.39$\pm$4.19;"[0.9705666  0.96233368 0.97073528 0.97389663 0.82885023 0.96901408
 0.96223244 0.96578969 0.97153295 0.9644131 ]"
pretrain_time;nan$\pm$nan;[];10.0$\pm$0.02;"[ 9.96719861  9.97803926  9.97216892 10.02625656 10.00322819 10.00683761
  9.99162745  9.99630475  9.9986999  10.03903437]";5.14$\pm$0.0;"[5.13558292 5.13435316 5.13789964 5.13331842 5.14055943 5.1356461
 5.13426495 5.13461971 5.13574171 5.1361568 ]";21.11$\pm$0.02;"[21.07816887 21.07080746 21.11963129 21.09828949 21.14927554 21.10612822
 21.12395239 21.1027627  21.12501264 21.10200667]";2.78$\pm$0.0;"[2.78255534 2.7756269  2.77827096 2.77780676 2.78021598 2.79052281
 2.77785087 2.77616477 2.77908993 2.77849889]";11.97$\pm$0.02;"[11.97045565 11.94368148 11.97543335 11.9931221  11.97626472 11.9471724
 11.9875598  11.95912743 11.95487785 11.96708751]";6.91$\pm$0.12;"[6.82014656 7.08581901 6.81212425 6.80750847 6.81885219 6.80597711
 7.05704665 7.04797339 6.7977283  7.06647611]";4.29$\pm$0.01;"[4.29187346 4.28255296 4.28976655 4.28595495 4.30782723 4.28557658
 4.28852773 4.28190708 4.28082657 4.2826755 ]";39.75$\pm$0.23;"[39.60382485 39.63313651 40.19692683 39.56983519 39.68738961 40.22819853
 39.64089394 39.717834   39.61887574 39.63428402]";4.82$\pm$0.04;"[4.90202761 4.78336835 4.78309345 4.77947044 4.80268764 4.82506418
 4.78839183 4.8709197  4.78459001 4.88064909]";19.06$\pm$0.41;"[18.93480968 18.91220236 18.89469051 18.90116715 20.26747084 18.92718983
 18.89204741 18.90053606 19.06017804 18.88018179]";9.01$\pm$0.29;"[8.87833214 8.86742902 8.84812498 9.18010759 9.78684974 8.85665512
 9.19228697 8.84498096 8.83520389 8.84251881]";37.84$\pm$0.29;"[37.78927302 37.75670481 37.72693253 37.71904111 38.69740272 37.74842548
 37.76605368 37.71080709 37.77723837 37.73159671]";13.02$\pm$6.51;"[10.6354804  10.92836905 10.53277278 10.66814137 32.50895095 11.81894374
 10.54927802 11.16332078 10.90543914 10.47491693]";62.29$\pm$0.38;"[62.22509432 62.19151235 62.10012627 62.12533021 63.43030143 62.07154393
 62.22026372 62.18312097 62.11197758 62.21186876]";35.9$\pm$3.03;"[34.9724431  34.91825318 34.84731722 34.858639   44.98434734 34.94126248
 34.82061696 34.9043262  34.88613105 34.88875961]";9.51$\pm$0.71;"[ 9.24973655  9.25768018  9.25761509  9.23268652 11.64100647  9.3896749
  9.27015185  9.26682854  9.25243402  9.29106379]"
