metrics;baseline,enc:gcn_ncn,pred:mlp_mean;baseline,enc:gcn_ncn,pred:mlp;grace,enc:gcn_ncn,pred:mlp,random_mean;grace,enc:gcn_ncn,pred:mlp,random;grace,enc:gcn_ncn,pred:mlp,deg_mean;grace,enc:gcn_ncn,pred:mlp,deg;grace,enc:gcn_ncn,pred:mlp,evc_mean;grace,enc:gcn_ncn,pred:mlp,evc;grace,enc:gcn_ncn,pred:mlp,pr_mean;grace,enc:gcn_ncn,pred:mlp,pr;infomap_prob_pred_mean;infomap_prob_pred;grace,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;grace,enc:gcn_ncn,pred:mlp,sbm_fast2;bgrl,enc:gcn_ncn,pred:mlp,random_mean;bgrl,enc:gcn_ncn,pred:mlp,random;bgrl,enc:gcn_ncn,pred:mlp,deg_mean;bgrl,enc:gcn_ncn,pred:mlp,deg;bgrl,enc:gcn_ncn,pred:mlp,evc_mean;bgrl,enc:gcn_ncn,pred:mlp,evc;bgrl,enc:gcn_ncn,pred:mlp,pr_mean;bgrl,enc:gcn_ncn,pred:mlp,pr;bgrl,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_ncn,pred:mlp,sbm_fast2;lbgrl,enc:gcn_ncn,pred:mlp,random_mean;lbgrl,enc:gcn_ncn,pred:mlp,random;lbgrl,enc:gcn_ncn,pred:mlp,deg_mean;lbgrl,enc:gcn_ncn,pred:mlp,deg;lbgrl,enc:gcn_ncn,pred:mlp,evc_mean;lbgrl,enc:gcn_ncn,pred:mlp,evc;lbgrl,enc:gcn_ncn,pred:mlp,pr_mean;lbgrl,enc:gcn_ncn,pred:mlp,pr;lbgrl,enc:gcn_ncn,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_ncn,pred:mlp,sbm_fast2;lgrace,enc:gcn_ncn,pred:mlp,random_mean;lgrace,enc:gcn_ncn,pred:mlp,random;lgrace,enc:gcn_ncn,pred:mlp,deg_mean;lgrace,enc:gcn_ncn,pred:mlp,deg
Hits@10;72.06$\pm$4.28;"[0.66882674 0.68894952 0.69713506 0.75613915 0.65893588 0.68622101
 0.76466576 0.76364256 0.78103683 0.7404502 ]";69.79$\pm$3.93;"[0.68826739 0.69065484 0.66439291 0.6872442  0.63165075 0.69884038
 0.70600273 0.7138472  0.70361528 0.79433834]";65.55$\pm$1.73;"[0.64529332 0.64290587 0.64461119 0.64597544 0.65927694 0.66814461
 0.63744884 0.65791269 0.70020464 0.65313779]";66.84$\pm$6.86;"[0.65245566 0.66336971 0.59652115 0.63437926 0.72885402 0.51773533
 0.73942701 0.68929059 0.71111869 0.75102319]";69.75$\pm$2.08;"[0.67837653 0.70190996 0.69645293 0.66575716 0.69508868 0.70839018
 0.72783083 0.66780355 0.70497954 0.72851296]";33.02$\pm$6.69;"[0.31991814 0.13608458 0.34038199 0.34276944 0.37005457 0.36289222
 0.38130969 0.35061392 0.3611869  0.33697135]";65.87$\pm$4.56;"[0.65518417 0.65723056 0.63062756 0.57332879 0.70736698 0.73294679
 0.65416098 0.6074352  0.70497954 0.66336971]";65.83$\pm$4.6;"[0.65279673 0.5665075  0.67701228 0.62653479 0.61084584 0.67905866
 0.7186221  0.65416098 0.72783083 0.66950887]";60.98$\pm$20.81;"[0.67121419 0.67633015 0.65075034 0.68485675 0.64938608 0.58049113
 0.         0.70293315 0.73635744 0.74556617]";56.23$\pm$3.94;"[0.47442019 0.57810368 0.58765348 0.58594816 0.54195089 0.57673943
 0.54195089 0.52694407 0.62039563 0.58867667]";68.11$\pm$3.47;"[0.6340382  0.670191   0.62687585 0.65313779 0.66950887 0.71111869
 0.7404502  0.70463847 0.69236016 0.70873124]";58.24$\pm$4.51;"[0.57264666 0.59890859 0.54160982 0.57366985 0.62653479 0.61255116
 0.63301501 0.59924966 0.59481583 0.47100955]";67.96$\pm$2.91;"[0.63301501 0.73465211 0.67633015 0.66302865 0.66268759 0.65893588
 0.70566166 0.66166439 0.68519782 0.71452933]";65.69$\pm$7.39;"[0.68963165 0.46657572 0.66984993 0.62482947 0.63847203 0.71623465
 0.69372442 0.71214188 0.73738063 0.62005457]";59.96$\pm$9.23;"[0.68963165 0.64461119 0.37824011 0.5494543  0.65279673 0.63813097
 0.69338336 0.54774898 0.66336971 0.53854025]";64.32$\pm$1.91;"[0.64938608 0.64120055 0.6074352  0.62994543 0.65518417 0.66098226
 0.66234652 0.62346521 0.67121419 0.63062756]";52.76$\pm$19.63;"[0.         0.4154161  0.61698499 0.52523874 0.48021828 0.67974079
 0.68144611 0.55150068 0.65620737 0.66950887]";70.93$\pm$2.91;"[0.69406548 0.65995907 0.6691678  0.69338336 0.70259209 0.73601637
 0.74351978 0.74351978 0.71282401 0.73840382]";66.99$\pm$4.47;"[0.61937244 0.58390177 0.68212824 0.66848568 0.69815825 0.64461119
 0.64222374 0.72885402 0.71657572 0.7148704 ]"
Hits@20;79.98$\pm$2.23;"[0.75613915 0.78103683 0.78240109 0.79843111 0.7851296  0.8175307
 0.81241473 0.82503411 0.83117326 0.80866303]";77.13$\pm$2.26;"[0.75784447 0.76739427 0.73260573 0.75443383 0.76875853 0.75613915
 0.78206003 0.79297408 0.78308322 0.81787176]";71.32$\pm$1.74;"[0.6824693  0.70770805 0.74420191 0.69474761 0.7100955  0.73806276
 0.71418827 0.71180082 0.72169168 0.70702592]";76.27$\pm$2.84;"[0.73908595 0.70907231 0.72987722 0.77523874 0.76637108 0.79297408
 0.77523874 0.77421555 0.75613915 0.80900409]";76.28$\pm$2.01;"[0.75238745 0.76466576 0.73158254 0.75648022 0.76637108 0.75545703
 0.78240109 0.73703956 0.78035471 0.80150068]";38.58$\pm$1.61;"[0.39358799 0.37858117 0.35845839 0.37244202 0.38199181 0.38847203
 0.39972715 0.37858117 0.38472033 0.42155525]";73.56$\pm$1.81;"[0.73806276 0.73772169 0.7186221  0.69952251 0.74693042 0.76978172
 0.7366985  0.73874488 0.74829468 0.72135061]";75.15$\pm$1.64;"[0.73806276 0.73260573 0.72680764 0.74317872 0.74079127 0.77114598
 0.77148704 0.75443383 0.76603001 0.77012278]";66.85$\pm$22.4;"[0.73294679 0.72373806 0.72169168 0.75272851 0.72169168 0.71657572
 0.         0.75409277 0.78035471 0.7813779 ]";64.9$\pm$3.2;"[0.56991814 0.65620737 0.66950887 0.65040928 0.61084584 0.6739427
 0.66439291 0.66746248 0.67837653 0.64904502]";75.68$\pm$2.24;"[0.74079127 0.76568895 0.70668486 0.75750341 0.76603001 0.7861528
 0.77967258 0.75784447 0.73533424 0.7718281 ]";65.57$\pm$5.84;"[0.67701228 0.67496589 0.66609823 0.65279673 0.70702592 0.67564802
 0.7100955  0.63574352 0.66473397 0.49249659]";74.09$\pm$2.01;"[0.7148704  0.77080491 0.72953615 0.7414734  0.71452933 0.75375171
 0.75034106 0.72680764 0.73294679 0.77421555]";72.74$\pm$6.26;"[0.73908595 0.54399727 0.74010914 0.72748977 0.72748977 0.76398363
 0.75375171 0.76057299 0.76773533 0.75      ]";71.32$\pm$2.59;"[0.72169168 0.72544338 0.66200546 0.68417462 0.72203274 0.70361528
 0.74317872 0.71043656 0.70293315 0.75613915]";72.33$\pm$1.48;"[0.70156889 0.72476126 0.74181446 0.69884038 0.73601637 0.74386085
 0.71998636 0.72510232 0.72919509 0.71145975]";60.53$\pm$21.72;"[0.         0.446794   0.69474761 0.70361528 0.66746248 0.72953615
 0.73465211 0.64120055 0.71930423 0.71521146]";78.41$\pm$1.16;"[0.77319236 0.77148704 0.76534789 0.78683492 0.79502046 0.78308322
 0.7946794  0.77523874 0.79604366 0.80013643]";75.26$\pm$2.79;"[0.71793997 0.70259209 0.75989086 0.71896317 0.75136426 0.76705321
 0.78410641 0.78649386 0.7728513  0.76432469]"
Hits@50;86.01$\pm$0.88;"[0.84822647 0.84652115 0.85027285 0.86391542 0.85914052 0.86493861
 0.85879945 0.87141883 0.87210095 0.8659618 ]";83.26$\pm$0.98;"[0.82571623 0.82708049 0.81173261 0.83185539 0.82946794 0.83049113
 0.83833561 0.84652115 0.83969986 0.84515689]";77.78$\pm$1.14;"[0.76466576 0.78001364 0.79297408 0.75750341 0.78206003 0.7861528
 0.78751705 0.7861528  0.77796726 0.76261937]";82.92$\pm$1.09;"[0.81957708 0.81957708 0.81446112 0.83185539 0.83424284 0.84993179
 0.8175307  0.83765348 0.82708049 0.84004093]";81.86$\pm$0.98;"[0.81480218 0.81957708 0.80252387 0.82298772 0.8175307  0.80763984
 0.82844475 0.81105048 0.82435198 0.83731241]";42.82$\pm$1.33;"[0.42837653 0.44167804 0.39768076 0.42598909 0.42360164 0.42769441
 0.44611187 0.41712142 0.43212824 0.44133697]";80.0$\pm$1.35;"[0.80354707 0.81173261 0.80559345 0.80081855 0.79433834 0.81855389
 0.79024557 0.80252387 0.80627558 0.76637108]";81.79$\pm$0.92;"[0.80695771 0.80661664 0.80593452 0.81446112 0.8175307  0.81412005
 0.83049113 0.82708049 0.82708049 0.82844475]";80.32$\pm$3.81;"[0.81514325 0.803206   0.7994543  0.82844475 0.82708049 0.79672578
 0.69508868 0.81002729 0.83492497 0.82230559]";76.02$\pm$1.26;"[0.72680764 0.77523874 0.76603001 0.75443383 0.75886767 0.76739427
 0.75920873 0.75750341 0.76841746 0.7680764 ]";81.94$\pm$1.09;"[0.82435198 0.81582538 0.79126876 0.83253752 0.82298772 0.83049113
 0.82060027 0.82298772 0.8127558  0.82060027]";73.44$\pm$6.0;"[0.77012278 0.76568895 0.74386085 0.75272851 0.78069577 0.75170532
 0.76671214 0.7138472  0.73635744 0.5627558 ]";80.56$\pm$0.74;"[0.79024557 0.81036835 0.79877217 0.803206   0.81446112 0.81002729
 0.81309686 0.80627558 0.79843111 0.81070941]";79.45$\pm$1.32;"[0.78751705 0.76091405 0.78854025 0.79331514 0.79263302 0.80081855
 0.80593452 0.80252387 0.8079809  0.80525239]";78.82$\pm$1.45;"[0.79433834 0.79297408 0.77080491 0.77216917 0.80184175 0.79092769
 0.803206   0.79843111 0.75920873 0.79843111]";78.25$\pm$1.08;"[0.77967258 0.78683492 0.79365621 0.76023192 0.78103683 0.7946794
 0.78376535 0.79672578 0.77114598 0.77728513]";76.88$\pm$3.42;"[0.70156889 0.7100955  0.79365621 0.79399727 0.7718281  0.79843111
 0.79672578 0.75409277 0.77557981 0.79195089]";83.88$\pm$1.11;"[0.82946794 0.83663029 0.81548431 0.84276944 0.85675307 0.84140518
 0.83969986 0.83253752 0.85368349 0.8393588 ]";82.98$\pm$0.94;"[0.81889495 0.81957708 0.8308322  0.81718963 0.82264666 0.84481583
 0.84038199 0.83594816 0.82946794 0.83799454]"
Hits@100;88.31$\pm$0.51;"[0.87653479 0.88062756 0.88096862 0.87994543 0.88130969 0.87619372
 0.88608458 0.88915416 0.88949523 0.89085948]";86.14$\pm$0.71;"[0.85402456 0.85845839 0.84924966 0.85709413 0.85572988 0.86834925
 0.86698499 0.86834925 0.87175989 0.86357435]";82.03$\pm$0.59;"[0.82025921 0.82196453 0.82639836 0.80934516 0.81105048 0.82639836
 0.82264666 0.81923602 0.81855389 0.82742156]";85.98$\pm$0.68;"[0.85231924 0.85538881 0.85129604 0.86186903 0.86357435 0.87687585
 0.85777626 0.85879945 0.86050477 0.85914052]";84.8$\pm$0.72;"[0.84004093 0.85334243 0.83492497 0.85641201 0.84583902 0.84856753
 0.85197817 0.84379263 0.84515689 0.85982265]";48.09$\pm$1.52;"[0.48874488 0.49283765 0.45463847 0.47646658 0.46316508 0.48840382
 0.50818554 0.46657572 0.48021828 0.48942701]";83.43$\pm$0.98;"[0.83424284 0.83901774 0.83628922 0.83663029 0.83321965 0.84720327
 0.8345839  0.83799454 0.83697135 0.80695771]";85.09$\pm$0.75;"[0.84447476 0.84345157 0.84038199 0.84754434 0.84890859 0.84583902
 0.86357435 0.85777626 0.85675307 0.85982265]";84.38$\pm$1.26;"[0.84447476 0.83833561 0.83390177 0.86425648 0.8526603  0.83356071
 0.81923602 0.84481583 0.85879945 0.8478854 ]";80.99$\pm$0.64;"[0.7994543  0.81139154 0.81684857 0.79911323 0.80934516 0.8127558
 0.80388813 0.81582538 0.81582538 0.81412005]";85.04$\pm$0.62;"[0.85368349 0.85027285 0.83731241 0.8611869  0.85368349 0.85095498
 0.84481583 0.85470668 0.84549795 0.85163711]";78.46$\pm$5.76;"[0.8165075  0.81957708 0.78274216 0.8127558  0.82571623 0.79672578
 0.81173261 0.76705321 0.79331514 0.61971351]";84.21$\pm$0.6;"[0.83356071 0.8526603  0.83526603 0.83663029 0.84379263 0.84072306
 0.84618008 0.84379263 0.83833561 0.84959072]";82.91$\pm$1.03;"[0.82401091 0.80457026 0.82469304 0.82435198 0.83424284 0.82810368
 0.84345157 0.83628922 0.8393588  0.83151432]";82.58$\pm$1.57;"[0.83253752 0.82912688 0.81821282 0.81684857 0.8393588  0.81514325
 0.84208731 0.8345839  0.78854025 0.84174625]";82.25$\pm$0.92;"[0.81548431 0.82264666 0.82673943 0.81002729 0.82264666 0.83526603
 0.81821282 0.84038199 0.81139154 0.82264666]";82.91$\pm$1.44;"[0.81412005 0.82503411 0.83765348 0.84618008 0.81957708 0.8431105
 0.84720327 0.80115962 0.82196453 0.83492497]";86.94$\pm$1.09;"[0.87278308 0.87619372 0.84652115 0.87619372 0.88096862 0.86766712
 0.87755798 0.86016371 0.8792633  0.85641201]";86.44$\pm$0.75;"[0.86323329 0.85300136 0.86357435 0.86084584 0.85436562 0.87005457
 0.87960437 0.87005457 0.86152797 0.86732606]"
ROCAUC;95.21$\pm$0.3;"[0.94626774 0.95441893 0.95328463 0.94920891 0.94998044 0.95109106
 0.95647366 0.95233457 0.9522267  0.95580072]";94.8$\pm$0.34;"[0.94404559 0.95196857 0.94447741 0.94405327 0.94651917 0.94463458
 0.95011178 0.95055129 0.95213326 0.95165431]";94.08$\pm$0.31;"[0.93519049 0.93645254 0.94515454 0.93922862 0.93937661 0.94249868
 0.94155155 0.94187178 0.94168956 0.94478113]";94.64$\pm$0.41;"[0.93892067 0.94283533 0.94877795 0.94424323 0.94127376 0.95093403
 0.95095467 0.95013022 0.9479872  0.94757178]";94.0$\pm$0.41;"[0.93404399 0.94428642 0.93774736 0.94094191 0.93559545 0.93738063
 0.945203   0.93645019 0.9422125  0.94609372]";86.27$\pm$0.53;"[0.8589772  0.8633526  0.8613227  0.8624718  0.86529096 0.86030421
 0.87573118 0.85719211 0.86603174 0.85639909]";93.97$\pm$0.35;"[0.9326282  0.94589559 0.94103663 0.93608172 0.93915172 0.94183984
 0.94085336 0.94150814 0.94129246 0.93681226]";94.72$\pm$0.3;"[0.94290986 0.9470452  0.94800233 0.94652287 0.94473568 0.9434064
 0.95312411 0.94682937 0.94917004 0.95005488]";94.53$\pm$0.57;"[0.94796004 0.94301441 0.94024541 0.95409086 0.94727317 0.93628707
 0.93929483 0.94397775 0.9544442  0.94656045]";92.89$\pm$0.22;"[0.92588823 0.93114684 0.92728672 0.92546667 0.92875531 0.9291696
 0.93204021 0.93194276 0.92935091 0.92768521]";94.7$\pm$0.35;"[0.94587305 0.95215802 0.94501641 0.95138888 0.95136461 0.94442785
 0.94844311 0.94451541 0.94550235 0.94098177]";92.82$\pm$0.92;"[0.92764532 0.93693992 0.9296356  0.93144949 0.93302607 0.93307787
 0.93095011 0.92771861 0.92970239 0.90168568]";94.46$\pm$0.17;"[0.94321748 0.94738585 0.94491867 0.94280258 0.94319129 0.94190013
 0.94607039 0.94563291 0.94617354 0.9445349 ]";94.13$\pm$0.34;"[0.937681   0.93720049 0.94143425 0.93964602 0.9386116  0.9409483
 0.94936076 0.94383252 0.94163545 0.94285529]";94.64$\pm$0.54;"[0.94661497 0.94904293 0.94690367 0.94391857 0.95324616 0.94367879
 0.94954107 0.95099033 0.9326748  0.94728191]";94.23$\pm$0.24;"[0.9398105  0.94188523 0.94271013 0.93992425 0.93955017 0.94665996
 0.94151838 0.94660549 0.94245139 0.9423647 ]";94.18$\pm$0.68;"[0.93431474 0.94605326 0.95148023 0.94752605 0.93616124 0.94480523
 0.94619687 0.92755611 0.94079943 0.9430964 ]";94.83$\pm$0.49;"[0.94628426 0.94657073 0.94269972 0.95373141 0.95095882 0.94718267
 0.95630621 0.94234085 0.95390026 0.94262454]";95.57$\pm$0.31;"[0.95224864 0.95377417 0.9620979  0.95295305 0.9525258  0.957602
 0.95695366 0.95881211 0.95706426 0.95293722]"
AP;96.74$\pm$0.21;"[0.96330845 0.96724435 0.96796998 0.96663286 0.96545919 0.96618149
 0.97063733 0.96879816 0.96803559 0.97010719]";96.36$\pm$0.24;"[0.95917218 0.96466544 0.96031364 0.96168351 0.96319026 0.96314671
 0.96561009 0.96500785 0.9668662  0.96629506]";95.71$\pm$0.2;"[0.95359459 0.95509454 0.95888856 0.95517035 0.95578571 0.95881208
 0.95748426 0.95804812 0.95848618 0.95978284]";96.15$\pm$0.28;"[0.9572216  0.95900938 0.96065756 0.95863582 0.95860847 0.96473293
 0.96462532 0.96395437 0.96311181 0.96415726]";95.89$\pm$0.26;"[0.95558857 0.96182261 0.95627108 0.95876182 0.95638177 0.95781232
 0.96213081 0.95718155 0.95998899 0.96353394]";87.94$\pm$0.46;"[0.87638186 0.8746771  0.87664787 0.87889574 0.88068151 0.88030242
 0.89152737 0.87542275 0.88163218 0.87832009]";95.72$\pm$0.2;"[0.9544047  0.96041474 0.95878812 0.95477311 0.95650581 0.95840304
 0.95879612 0.95645413 0.95833083 0.95477308]";96.13$\pm$0.26;"[0.95832579 0.95957936 0.96233242 0.95923023 0.9585405  0.95870957
 0.96612521 0.96196861 0.96441653 0.96342557]";96.0$\pm$0.57;"[0.96271773 0.95924198 0.95820029 0.9663072  0.96208058 0.9540098
 0.94714208 0.95927547 0.96761193 0.96293746]";94.88$\pm$0.23;"[0.94531472 0.94719762 0.94952517 0.94619218 0.94586774 0.95016227
 0.95132683 0.95172148 0.951529   0.94868137]";96.21$\pm$0.16;"[0.96183717 0.96338926 0.95881721 0.9636155  0.96310818 0.962553
 0.96351434 0.96269535 0.96176205 0.95936514]";94.79$\pm$0.88;"[0.94989785 0.95452909 0.94843373 0.95105169 0.95382588 0.95132787
 0.95164225 0.94665465 0.94882913 0.92249612]";96.09$\pm$0.11;"[0.95918668 0.96242382 0.960875   0.95943876 0.96053892 0.95967684
 0.96169134 0.96168809 0.96204734 0.96111232]";95.74$\pm$0.28;"[0.95468231 0.95278738 0.95796113 0.95498147 0.95477534 0.95780501
 0.96195667 0.9605946  0.95901206 0.95936291]";95.85$\pm$0.38;"[0.95967154 0.96107675 0.95624575 0.95639418 0.9634134  0.95656161
 0.96050793 0.96135552 0.94952632 0.96052901]";95.73$\pm$0.2;"[0.95610204 0.95684971 0.9571482  0.9540318  0.95488644 0.9603833
 0.95741805 0.96070941 0.95734536 0.957837  ]";95.71$\pm$0.61;"[0.94450526 0.95695525 0.96436671 0.96159281 0.95321802 0.96211306
 0.96173946 0.94875387 0.95798901 0.95947538]";96.48$\pm$0.31;"[0.96363649 0.96296347 0.96077127 0.9669534  0.96729325 0.9649047
 0.9702794  0.96140938 0.9684804  0.96154948]";96.75$\pm$0.23;"[0.96412659 0.96467    0.97147946 0.96591497 0.96541018 0.96855654
 0.96936488 0.96958028 0.96924078 0.96699981]"
pretrain_time;nan$\pm$nan;[];50.8$\pm$0.93;"[51.30915666 51.16085982 51.1066134  48.0300231  51.07835865 51.09487796
 51.0916853  51.03247952 51.053545   51.07806087]";46.15$\pm$0.08;"[46.15574455 46.04351115 46.07076263 46.26657796 46.25845027 46.2204113
 46.07552695 46.22442961 46.10278201 46.08414316]";78.12$\pm$0.09;"[78.03716326 78.05471992 78.24006867 78.11705589 78.17273951 78.23151731
 78.20373416 78.05658627 77.96015096 78.13863754]";39.72$\pm$1.1;"[38.64042211 38.61819029 38.65181136 38.62890458 38.65131474 40.14793277
 40.9571557  40.95816612 40.96635842 40.9612062 ]";nan$\pm$nan;[];15.27$\pm$0.03;"[15.252918   15.29191184 15.23815322 15.27002072 15.30319715 15.27329755
 15.33700228 15.24367547 15.21679306 15.25260139]";10.08$\pm$0.28;"[10.51695681 10.52015138 10.50266838  9.88374233  9.87866521  9.92427635
  9.88466477  9.88401842  9.92829847  9.87872815]";96.73$\pm$0.05;"[96.65380716 96.74806118 96.80793691 96.79289603 96.71533012 96.64438581
 96.68472219 96.72769284 96.69944096 96.77691531]";24.82$\pm$0.04;"[24.83515763 24.89027095 24.85054326 24.85991669 24.78841233 24.77393937
 24.7925458  24.78404069 24.82426286 24.76469135]";61.89$\pm$3.94;"[54.68140626 60.32844567 60.64049697 54.78781748 64.79007435 64.69114184
 64.76973534 64.7332859  64.80454254 64.6381216 ]";7.27$\pm$0.32;"[7.00196052 7.02633119 7.43699718 7.68556476 7.78173351 7.6907928
 7.0730567  6.99595952 6.98015141 7.02471352]";47.58$\pm$1.67;"[43.72765398 48.81308031 48.79164696 46.28312516 47.05998182 48.77555656
 45.99371576 48.74129748 48.85275435 48.72674942]";101.86$\pm$4.14;"[105.93561363 106.26082015 106.05239534 105.98370671 105.75604415
  97.83994007  97.64094996  97.7150929   97.72430515  97.7101655 ]";62.59$\pm$0.78;"[61.5051899  62.21415114 63.12645531 62.63281798 62.82586098 63.49764919
 62.52412868 61.790519   61.67794681 64.07161236]";68.83$\pm$0.1;"[68.8541925  68.96084857 68.88141823 68.97489595 68.79802513 68.80701637
 68.70726109 68.79487014 68.6411097  68.83265877]";125.66$\pm$2.54;"[132.50590229 124.41454005 124.15913796 124.07627416 124.6068418
 124.48331761 124.86274505 124.35539651 128.11029601 125.05362701]";126.88$\pm$1.84;"[130.30320954 130.42062378 127.73052859 125.41169882 125.7119689
 126.28940034 125.78295612 125.77736783 125.67992854 125.72634387]";1815.37$\pm$4.54;"[1806.8220892  1809.20021033 1812.30243397 1818.73341823 1812.62838984
 1817.8330698  1817.58720303 1821.10497427 1819.1687336  1818.29640007]"
